result_id,takers_id,validity_check,test_type,test_date,completion_time,total_score,personality_type,extraversion_score
59,59,True,NEO-PI-R,2024-10-31,107,146,None,1
60,60,True,CPI,2024-09-17,22,82,INTJ,3
61,61,True,CPI,2024-12-19,41,57,ENTJ,1
62,62,True,Big5,2025-01-14,34,125,INTJ,5
63,63,True,Big5,2024-08-01,33,140,INFP,5
64,64,True,MBTI,2025-02-11,109,64,ISFP,2
65,65,True,MMPI,2024-07-28,97,141,ENTJ,2
66,66,True,MBTI,2024-11-14,102,55,INTJ,2
67,67,True,NEO-PI-R,2024-10-23,92,76,INFP,8
68,68,True,CPI,2024-09-07,20,51,ISFJ,1
69,69,True,CPI,2024-12-17,70,60,None,8
70,70,True,MMPI,2025-05-06,97,146,INFP,8
71,71,True,CPI,2024-09-07,36,54,None,1
72,72,True,CPI,2024-12-29,17,75,ENFP,4
73,73,True,MMPI,2025-02-12,48,138,None,1
74,74,True,MBTI,2024-12-20,83,84,ENTJ,9
75,75,True,NEO-PI-R,2024-12-19,17,131,ISFP,2
76,76,True,MMPI,2024-08-07,63,89,ISFP,2
77,77,True,Big5,2024-11-11,32,92,ENTJ,1
78,78,True,MMPI,2024-12-22,38,143,ESTP,10
79,79,True,Big5,2024-06-15,71,51,ENTP,1
80,80,False,NEO-PI-R,2024-10-09,96,60,ENTP,3
81,81,True,CPI,2024-10-14,101,127,INFP,6
82,82,True,CPI,2024-11-02,95,140,ISFJ,4
83,83,True,NEO-PI-R,2024-12-01,83,80,INFP,1
84,84,True,NEO-PI-R,2024-10-10,23,64,ESTP,6
85,85,True,MMPI,2025-03-04,60,124,ISFJ,8
86,86,True,Big5,2024-11-18,54,146,ENFP,1
87,87,True,Big5,2024-08-20,75,140,ENFP,9
88,88,True,CPI,2025-06-01,98,64,ENFP,2
89,89,True,MBTI,2025-03-29,74,62,ESTP,9
90,90,False,MBTI,2024-10-25,113,148,ENFP,4
91,91,True,Big5,2024-07-08,66,94,ISFJ,5
92,92,True,MMPI,2024-11-04,54,122,ISFJ,1
93,93,True,MMPI,2025-03-27,61,73,ENTJ,1
94,94,True,CPI,2024-06-18,37,79,INFP,9
95,95,True,Big5,2024-10-11,89,84,ISFJ,1
96,96,True,MBTI,2024-06-23,116,144,None,5
97,97,True,NEO-PI-R,2025-05-19,81,116,ENFP,4
98,98,True,CPI,2025-02-18,102,106,None,3
99,99,True,MMPI,2025-03-26,51,78,INFP,6
100,100,True,MMPI,2024-10-30,19,150,None,7
101,101,True,MBTI,2025-05-28,104,70,ISFP,7
102,102,True,Big5,2025-04-11,35,88,ENTJ,7
103,103,True,CPI,2024-09-25,106,107,ISFJ,8
104,104,False,MMPI,2025-01-20,106,109,INFP,4
105,105,True,Big5,2024-07-17,19,122,None,8
106,106,True,Big5,2025-04-20,97,119,None,2
107,107,True,Big5,2025-01-08,79,65,ISFP,1
108,108,True,MBTI,2025-02-02,64,127,ISFJ,4
109,109,True,Big5,2025-01-15,108,60,ENFP,5
110,110,True,MMPI,2025-01-08,21,142,ENFP,3
111,111,True,MBTI,2025-04-17,42,148,ENFP,7
112,112,True,MBTI,2025-03-07,65,102,INFP,3
113,113,True,MBTI,2024-06-20,31,68,ESTP,7
114,114,True,MMPI,2024-06-28,59,129,ENTJ,7
115,115,True,MMPI,2025-01-16,93,81,ENTP,4
116,116,True,CPI,2025-05-12,73,149,ENTJ,9
117,117,False,CPI,2025-03-21,106,79,ENTJ,9
118,118,True,Big5,2024-09-05,52,149,ENTP,6
119,119,True,CPI,2024-12-22,24,70,ENTP,6
120,120,True,MBTI,2025-05-17,37,90,None,10
121,121,True,MBTI,2025-03-10,110,97,ISFJ,5
122,122,True,MBTI,2024-07-21,74,113,None,1
123,123,True,Big5,2025-04-22,99,126,INTJ,6
124,124,True,Big5,2024-09-05,51,92,ENFP,6
125,125,True,NEO-PI-R,2025-05-12,27,91,INFP,8
126,126,True,Big5,2024-12-02,41,147,ENTP,9
127,127,True,CPI,2025-05-09,120,124,ENFP,5
128,128,False,Big5,2024-08-16,90,74,INFP,8
129,129,True,NEO-PI-R,2025-01-31,66,111,None,5
130,130,True,MMPI,2025-01-04,45,67,ENTJ,2
131,131,True,MBTI,2024-07-24,18,104,ENFP,5
132,132,True,MMPI,2025-04-12,93,149,INTJ,3
133,133,True,CPI,2025-05-25,85,150,INTJ,10
134,134,True,CPI,2025-01-22,69,94,ENFP,8
135,135,True,CPI,2025-01-23,62,146,ENTP,5
136,136,False,Big5,2025-04-03,106,62,INTJ,7
137,137,True,CPI,2024-07-08,24,132,ENFP,10
138,138,True,Big5,2024-12-05,78,98,ENTJ,2
139,139,True,MMPI,2024-07-10,78,81,ISFP,6
140,140,False,Big5,2024-10-17,88,87,None,5
141,141,True,MMPI,2025-03-29,20,146,None,5
142,142,True,MBTI,2024-11-27,119,115,ISFJ,2
143,143,True,NEO-PI-R,2024-09-18,103,59,ISFJ,7
144,144,True,NEO-PI-R,2024-08-24,43,84,ENFP,3
145,145,True,Big5,2024-08-13,111,125,INFP,4
146,146,True,MMPI,2024-07-17,15,78,ISFP,10
147,147,True,NEO-PI-R,2024-08-18,85,116,ESTP,2
148,148,True,MMPI,2025-01-24,76,95,INFP,7
149,149,True,MMPI,2024-10-23,43,129,ENFP,3
150,150,True,MMPI,2024-09-23,108,78,ENFP,9
151,151,True,MBTI,2025-04-02,118,111,INFP,1
152,152,False,NEO-PI-R,2025-01-14,79,114,ENFP,10
153,153,True,MMPI,2025-02-25,101,89,ISFJ,3
154,154,True,CPI,2025-01-15,98,137,None,2
155,155,False,Big5,2024-09-12,118,64,ENTP,5
156,156,True,NEO-PI-R,2024-10-05,117,79,ENTP,8
157,157,True,NEO-PI-R,2025-01-06,109,125,INTJ,10
158,158,True,MMPI,2024-09-06,49,68,None,7
159,159,True,Big5,2024-11-25,47,68,INTJ,8
160,160,True,CPI,2024-08-16,102,147,ESTP,7
161,161,True,Big5,2024-12-27,96,141,ISFP,2
162,162,True,MBTI,2025-01-29,77,107,INTJ,8
163,163,True,NEO-PI-R,2025-05-29,42,99,ENTP,6
164,164,True,MMPI,2024-11-04,46,142,INTJ,5
165,165,True,Big5,2024-09-26,29,101,None,6
166,166,False,CPI,2024-08-07,87,75,ENTP,8
167,167,False,MBTI,2025-04-07,113,85,ENTP,5
168,168,True,Big5,2024-10-03,97,149,ISFP,6
169,169,True,Big5,2024-10-09,89,55,None,5
170,170,True,MBTI,2025-03-07,116,52,INFP,3
171,171,True,NEO-PI-R,2024-10-03,110,78,None,10
172,172,True,MBTI,2024-06-29,26,103,ESTP,2
173,173,True,MMPI,2024-07-03,24,133,ENFP,7
174,174,True,Big5,2024-07-01,94,145,ISFJ,10
175,175,True,NEO-PI-R,2024-12-09,53,63,ISFJ,5
176,176,True,CPI,2024-06-18,69,109,ENFP,4
177,177,True,Big5,2024-08-09,98,101,ENTJ,8
178,178,True,MBTI,2024-07-18,105,82,None,4
179,179,True,MMPI,2025-01-01,98,67,ESTP,9
180,180,True,NEO-PI-R,2025-05-12,58,61,ISFP,3
181,181,True,Big5,2025-03-12,66,76,INTJ,7
182,182,True,Big5,2024-12-24,50,97,None,1
183,183,True,CPI,2025-03-20,17,57,ENTJ,10
184,184,True,Big5,2024-08-05,118,103,ISFP,4
185,185,True,CPI,2025-04-25,47,140,ENTP,5
186,186,True,MMPI,2024-10-02,115,111,ESTP,4
187,187,True,CPI,2024-10-01,71,116,ISFJ,4
188,188,True,Big5,2024-08-13,82,114,INFP,8
189,189,True,NEO-PI-R,2025-02-13,56,124,INFP,6
190,190,True,CPI,2024-09-19,72,111,None,10
191,191,True,NEO-PI-R,2024-08-05,60,64,ISFP,9
192,192,True,Big5,2024-12-18,100,138,ISFP,9
193,193,True,NEO-PI-R,2024-07-15,85,60,ISFP,1
194,194,True,CPI,2024-09-06,22,126,INFP,7
195,195,True,CPI,2025-03-17,54,128,ISFP,1
196,196,True,Big5,2024-12-28,118,119,ISFJ,2
197,197,True,NEO-PI-R,2025-02-07,62,137,ENTP,5
198,198,True,Big5,2025-03-18,38,93,INFP,5
199,199,True,MMPI,2024-11-18,120,116,ENTP,9
200,200,True,Big5,2024-11-30,103,138,ISFJ,8
