setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed
179,179,일본어,False,True,False,보통
180,180,영어,False,True,True,보통
181,181,한국어,True,False,True,빠름
182,182,한국어,True,False,False,느림
183,183,일본어,True,True,False,느림
184,184,중국어,True,False,False,보통
185,185,영어,True,True,True,느림
186,186,중국어,False,False,True,빠름
187,187,한국어,False,True,False,보통
188,188,일본어,True,False,False,느림
189,189,한국어,True,True,True,느림
190,190,중국어,True,True,True,빠름
191,191,중국어,True,True,True,느림
192,192,한국어,True,True,True,보통
193,193,중국어,True,False,False,느림
194,194,영어,True,True,False,느림
195,195,중국어,True,True,True,느림
196,196,영어,False,True,True,보통
197,197,중국어,True,False,False,느림
198,198,중국어,False,True,False,느림
199,199,중국어,True,True,False,느림
200,200,일본어,False,False,False,느림
201,201,한국어,False,False,True,보통
202,202,중국어,True,True,True,느림
203,203,영어,True,False,True,빠름
204,204,중국어,True,True,True,보통
205,205,한국어,True,True,False,느림
206,206,영어,True,False,False,느림
207,207,영어,True,False,False,느림
208,208,일본어,True,False,True,느림
209,209,중국어,False,False,False,느림
210,210,한국어,True,False,False,빠름
211,211,영어,True,True,False,느림
212,212,한국어,True,True,False,보통
213,213,중국어,True,False,False,느림
214,214,한국어,True,True,True,빠름
215,215,중국어,True,True,True,보통
216,216,한국어,True,False,False,보통
217,217,중국어,True,True,False,보통
218,218,영어,True,False,True,빠름
219,219,한국어,True,True,True,느림
220,220,한국어,False,False,False,빠름
221,221,중국어,True,True,True,빠름
222,222,영어,False,True,False,보통
223,223,영어,True,True,False,느림
224,224,한국어,True,True,False,느림
225,225,일본어,False,True,False,보통
226,226,영어,False,True,True,빠름
227,227,일본어,False,True,False,보통
228,228,영어,True,True,True,보통
229,229,한국어,True,True,False,보통
230,230,영어,True,True,False,보통
231,231,중국어,True,True,False,느림
232,232,중국어,True,True,False,느림
233,233,일본어,True,False,False,빠름
234,234,중국어,True,True,True,보통
235,235,영어,False,True,True,빠름
236,236,중국어,True,True,False,느림
237,237,영어,False,True,False,느림
238,238,일본어,True,False,False,빠름
239,239,중국어,False,True,False,보통
240,240,영어,True,False,True,빠름
241,241,일본어,False,True,True,느림
242,242,일본어,True,True,False,빠름
243,243,영어,True,True,False,느림
244,244,영어,True,True,True,보통
245,245,중국어,True,False,False,보통
246,246,한국어,False,False,False,느림
247,247,한국어,True,False,False,보통
248,248,중국어,True,True,False,빠름
249,249,중국어,True,False,False,보통
250,250,한국어,True,False,False,느림
251,251,한국어,True,False,True,보통
252,252,한국어,True,True,True,느림
253,253,영어,True,True,False,빠름
254,254,한국어,True,True,True,느림
255,255,한국어,True,True,False,느림
256,256,한국어,True,True,False,빠름
257,257,한국어,True,False,False,보통
258,258,한국어,True,True,False,빠름
259,259,일본어,True,True,True,느림
260,260,영어,True,False,True,보통
261,261,한국어,False,True,True,느림
262,262,영어,True,True,True,빠름
263,263,한국어,True,True,True,보통
264,264,중국어,False,True,True,느림
265,265,중국어,True,True,False,빠름
266,266,한국어,True,False,False,보통
267,267,일본어,False,False,True,보통
268,268,영어,True,True,False,느림
269,269,한국어,True,False,True,느림
270,270,일본어,False,True,False,빠름
271,271,영어,True,True,True,빠름
272,272,중국어,True,True,False,빠름
273,273,일본어,False,False,False,느림
274,274,한국어,False,False,False,느림
275,275,중국어,True,True,True,느림
276,276,중국어,False,True,False,빠름
277,277,중국어,True,False,False,보통
278,278,중국어,False,False,True,빠름
279,279,일본어,True,True,False,빠름
280,280,일본어,True,True,True,빠름
281,281,일본어,True,True,True,느림
282,282,영어,True,True,False,빠름
283,283,한국어,True,True,False,느림
284,284,한국어,False,True,True,느림
285,285,중국어,False,False,False,느림
286,286,영어,False,True,False,보통
287,287,중국어,True,False,True,느림
288,288,일본어,True,True,False,보통
289,289,영어,True,True,False,보통
290,290,한국어,True,True,True,빠름
291,291,중국어,True,True,False,보통
292,292,중국어,True,False,False,느림
293,293,중국어,True,True,True,빠름
294,294,한국어,True,False,False,빠름
295,295,일본어,False,False,False,빠름
296,296,영어,True,False,False,빠름
297,297,중국어,True,False,False,보통
298,298,영어,True,True,True,보통
299,299,중국어,False,False,False,빠름
300,300,영어,True,True,True,보통
