setting_id,author_id,author_year,note_format,privacy_default,mood_tracking,weather_tracking,reminder_time,backup_enabled,theme_color,font_size,auto_save,updated_at,session_duration,conversion_rate
43,43,1989,격자 형식,공개,True,False,08:02:37,True,핑크색,보통,True,2025-05-08 10:51:51.041212,438,0.026
44,44,2001,격자 형식,비공개,False,True,12:47:02,True,검은색,작게,True,2025-05-25 11:09:42.991295,231,0.028
45,45,2005,백지 형식,비공개,True,True,18:30:44,True,보라색,크게,True,2025-05-30 20:55:10.167882,546,0.089
46,46,1996,격자 형식,비공개,False,False,06:12:14,True,파란색,작게,False,2025-05-10 00:06:24.224845,529,0.071
47,47,2005,백지 형식,친구만,True,False,00:17:03,True,파란색,크게,True,2025-05-15 09:40:20.647753,1445,0.1
48,48,1986,백지 형식,친구만,True,True,09:47:10,True,초록색,크게,True,2025-05-13 07:06:08.498155,505,0.047
49,49,1980,격자 형식,공개,False,True,15:32:43,True,핑크색,크게,True,2025-05-18 21:31:19.107169,786,0.024
50,50,1988,백지 형식,비공개,True,True,02:56:46,True,검은색,크게,False,2025-05-04 19:06:09.901263,1588,0.043
51,51,1980,격자 형식,친구만,True,False,14:19:51,True,보라색,작게,True,2025-05-17 02:47:38.230119,1618,0.018
52,52,1985,백지 형식,공개,False,True,00:20:43,True,보라색,보통,True,2025-05-23 03:20:47.884104,184,0.025
53,53,1996,백지 형식,친구만,True,True,21:53:40,True,초록색,크게,True,2025-05-31 03:48:59.760458,101,0.086
54,54,1986,격자 형식,공개,True,True,19:10:12,True,핑크색,크게,True,2025-05-24 22:54:43.129234,1396,0.025
55,55,1998,줄글 형식,비공개,True,True,10:44:03,True,파란색,보통,True,2025-05-30 06:52:04.839131,1123,0.012
56,56,1989,줄글 형식,비공개,False,True,07:40:02,True,보라색,작게,True,2025-05-06 03:25:15.844386,738,0.077
57,57,1980,격자 형식,비공개,True,True,22:37:14,True,검은색,작게,True,2025-06-01 11:18:58.560696,278,0.012
58,58,1996,줄글 형식,친구만,False,True,20:48:07,True,검은색,보통,True,2025-05-13 05:02:17.418800,1557,0.077
59,59,1982,격자 형식,비공개,True,True,02:29:32,True,보라색,작게,True,2025-05-22 20:33:48.680548,222,0.032
60,60,1983,격자 형식,친구만,False,False,20:04:57,False,초록색,크게,True,2025-05-03 19:05:32.696245,1529,0.09
61,61,2002,줄글 형식,공개,False,True,13:34:56,True,초록색,크게,True,2025-05-24 13:45:59.054961,1049,0.053
62,62,1992,백지 형식,비공개,False,True,23:25:01,True,초록색,크게,True,2025-05-27 19:30:43.458492,839,0.053
63,63,1984,줄글 형식,공개,False,True,23:34:08,True,검은색,보통,True,2025-05-15 13:43:18.359576,301,0.082
64,64,1981,줄글 형식,비공개,True,False,22:03:53,True,핑크색,작게,True,2025-05-15 13:06:46.473320,1224,0.098
65,65,2003,백지 형식,친구만,True,False,06:54:28,True,핑크색,작게,True,2025-05-07 02:52:23.051073,1339,0.065
66,66,1990,격자 형식,공개,True,True,00:49:30,True,보라색,보통,True,2025-05-16 01:04:33.997102,875,0.062
67,67,1999,백지 형식,비공개,False,True,00:58:28,True,핑크색,보통,True,2025-05-13 03:35:41.498203,1750,0.054
68,68,2003,백지 형식,공개,False,True,08:00:53,True,검은색,보통,True,2025-05-08 07:40:41.188418,1557,0.064
69,69,1993,백지 형식,공개,True,False,07:09:20,False,검은색,보통,True,2025-05-07 19:42:45.859953,936,0.018
70,70,1987,백지 형식,친구만,True,True,01:37:38,True,핑크색,작게,True,2025-05-08 20:45:54.817958,174,0.058
71,71,1990,줄글 형식,공개,True,True,03:46:17,False,보라색,보통,False,2025-05-05 20:56:26.920353,1097,0.018
72,72,1999,백지 형식,친구만,True,False,18:18:28,True,초록색,작게,True,2025-05-10 02:22:04.201994,1169,0.045
73,73,1990,백지 형식,친구만,True,True,05:20:31,True,파란색,보통,True,2025-05-22 22:37:49.869543,1600,0.013
74,74,1988,백지 형식,공개,True,True,13:20:20,True,파란색,보통,True,2025-05-12 02:45:41.759698,602,0.082
75,75,2000,백지 형식,공개,True,True,23:22:07,True,검은색,크게,False,2025-05-05 18:05:20.937314,537,0.015
76,76,1989,격자 형식,공개,False,True,06:49:59,False,초록색,크게,True,2025-05-10 16:29:40.987216,1765,0.058
77,77,1998,격자 형식,비공개,False,True,08:02:57,True,초록색,크게,True,2025-05-23 09:51:25.003963,170,0.048
78,78,1996,줄글 형식,비공개,False,True,13:50:32,True,핑크색,작게,True,2025-05-07 11:40:36.026394,1675,0.086
79,79,1983,백지 형식,비공개,True,True,00:50:34,True,보라색,크게,True,2025-05-05 05:43:14.969154,1446,0.081
80,80,1998,격자 형식,공개,True,True,21:41:34,True,보라색,보통,True,2025-05-05 00:50:19.623463,1065,0.08
