analytics_id,q1,total_answers,accepted_answer_id,avg_answer_length,best_answer_score,response_time_avg,tags,bookmark_count,share_count,updated_at,conversion_rate,bounce_rate
22,22,13,7.0,260,17,26,"['veniam', 'necessitatibus']",29,9,2025-04-10 14:47:47.508346,0.033,0.56
23,23,13,50.0,675,14,12,"['harum', 'tenetur', 'nihil']",25,17,2025-04-30 00:05:29.659450,0.068,0.64
24,24,2,,506,50,2,"['voluptatibus', 'voluptates', 'qui']",17,18,2025-04-08 06:44:08.607197,0.01,0.66
25,25,13,47.0,627,27,1,"['consequatur', 'alias', 'iusto', 'rerum', 'quas']",3,15,2025-04-17 18:11:11.547138,0.093,0.71
26,26,12,,511,49,40,"['nesciunt', 'natus', 'eos', 'et']",37,20,2025-03-11 15:15:38.456163,0.06,0.58
27,27,13,82.0,745,11,72,['consequuntur'],39,12,2025-03-19 01:09:42.844044,0.086,0.62
28,28,10,,481,8,6,"['repellat', 'ut', 'eum', 'officiis', 'necessitatibus']",21,18,2025-03-13 14:58:47.596251,0.087,0.43
29,29,7,,800,21,18,"['mollitia', 'ut']",41,1,2025-03-26 12:22:11.770911,0.053,0.42
30,30,14,,763,16,41,"['beatae', 'sunt', 'assumenda']",35,10,2025-05-30 21:33:46.014054,0.076,0.47
31,31,0,44.0,354,14,40,"['asperiores', 'veniam', 'eligendi', 'at', 'numquam']",30,16,2025-04-30 21:23:58.645478,0.087,0.5
32,32,2,36.0,323,12,22,"['reiciendis', 'atque', 'consectetur', 'assumenda', 'dolores']",16,12,2025-05-28 05:32:31.394629,0.092,0.5
33,33,3,95.0,647,31,28,['mollitia'],5,16,2025-03-04 16:20:58.638133,0.096,0.54
34,34,8,,645,0,19,"['in', 'porro', 'dolorum', 'accusantium']",16,8,2025-05-31 13:30:28.765605,0.014,0.32
35,35,7,72.0,449,8,59,"['voluptates', 'architecto', 'reprehenderit']",2,11,2025-05-05 06:55:50.190441,0.075,0.46
36,36,3,,777,26,4,"['dolorem', 'illo', 'aspernatur', 'labore']",31,6,2025-04-19 23:28:09.879455,0.049,0.36
37,37,12,60.0,605,48,62,"['voluptatem', 'culpa', 'laborum', 'deserunt', 'nesciunt']",31,11,2025-05-08 06:26:29.089885,0.059,0.31
38,38,6,28.0,704,23,50,"['possimus', 'rerum', 'amet', 'a']",33,11,2025-05-05 08:59:28.650823,0.051,0.24
39,39,14,,103,31,44,"['nulla', 'sapiente']",29,10,2025-03-28 05:41:46.885368,0.068,0.4
40,40,12,51.0,618,11,55,['nobis'],42,11,2025-05-10 18:33:25.248234,0.055,0.65
41,41,11,43.0,475,34,65,"['dignissimos', 'necessitatibus']",33,7,2025-04-12 22:14:58.174976,0.026,0.73
42,42,12,,353,14,22,['ea'],47,3,2025-03-07 22:04:02.301052,0.073,0.63
43,43,4,95.0,277,38,62,"['aliquam', 'labore']",39,1,2025-05-18 13:15:40.329125,0.06,0.75
44,44,14,88.0,381,7,16,['inventore'],38,6,2025-03-14 21:54:08.363772,0.064,0.72
45,45,13,92.0,332,18,13,"['ea', 'omnis', 'amet', 'laudantium', 'aspernatur']",38,7,2025-03-04 16:13:42.711071,0.013,0.4
46,46,11,87.0,82,30,1,"['ducimus', 'molestias', 'magni', 'nisi']",22,17,2025-04-10 10:46:49.338292,0.034,0.21
47,47,2,,659,23,16,['magnam'],2,14,2025-05-05 15:50:09.834723,0.08,0.55
48,48,13,91.0,654,2,15,"['facilis', 'incidunt']",42,10,2025-05-09 11:58:43.313853,0.021,0.2
49,49,5,41.0,692,26,27,"['esse', 'magni']",6,4,2025-04-27 14:05:04.854135,0.064,0.76
50,50,6,80.0,328,23,38,"['aut', 'optio', 'voluptate', 'alias', 'maxime']",2,7,2025-03-10 19:52:33.148100,0.016,0.28
51,51,1,74.0,66,19,27,"['maiores', 'nostrum']",17,17,2025-03-07 19:38:01.403839,0.042,0.45
52,52,9,20.0,736,49,42,"['illo', 'ut', 'sint', 'ex', 'voluptates']",29,7,2025-03-25 12:15:56.589682,0.022,0.73
53,53,2,,293,28,16,"['aliquid', 'eos', 'numquam']",18,16,2025-05-10 12:32:24.590413,0.042,0.59
54,54,10,82.0,423,0,38,"['autem', 'corrupti', 'repudiandae', 'aperiam']",27,10,2025-04-15 16:13:48.861077,0.065,0.24
55,55,10,,719,20,30,"['veritatis', 'at', 'accusantium', 'error', 'quis']",45,5,2025-03-29 15:34:43.184319,0.08,0.61
56,56,14,60.0,518,34,52,"['vero', 'cum']",25,15,2025-05-08 07:56:17.279190,0.025,0.41
57,57,10,22.0,453,37,64,['deserunt'],24,20,2025-05-15 15:06:20.096842,0.011,0.33
58,58,0,64.0,246,27,5,['nam'],26,14,2025-04-16 09:32:05.356876,0.09,0.32
59,59,5,36.0,233,9,63,"['possimus', 'est', 'nam', 'sequi', 'at']",44,11,2025-04-28 05:47:45.490361,0.042,0.38
60,60,7,78.0,794,39,29,['repellendus'],42,12,2025-03-15 15:35:17.239647,0.084,0.43
61,61,12,63.0,107,12,70,['provident'],31,18,2025-04-16 18:57:26.236646,0.059,0.44
62,62,5,76.0,797,50,69,"['corrupti', 'odio', 'in', 'quas']",12,4,2025-05-15 08:51:13.845678,0.061,0.55
63,63,11,,340,11,33,"['odio', 'excepturi']",30,0,2025-05-05 14:38:02.555317,0.067,0.57
64,64,2,73.0,642,18,26,['molestias'],24,16,2025-03-24 04:55:54.305426,0.032,0.5
65,65,4,,638,7,14,"['repellendus', 'culpa', 'alias', 'nulla', 'id']",22,16,2025-05-30 05:54:15.136553,0.051,0.79
66,66,10,98.0,113,33,4,"['cum', 'maxime', 'occaecati', 'at']",38,8,2025-04-05 11:26:12.002862,0.071,0.54
67,67,0,4.0,421,18,68,['corporis'],12,19,2025-05-04 19:08:33.040331,0.077,0.38
68,68,3,,560,2,25,"['occaecati', 'quod', 'minima', 'expedita']",30,17,2025-04-13 23:42:34.022628,0.093,0.51
69,69,9,41.0,488,11,52,"['at', 'accusamus', 'quaerat']",41,4,2025-04-04 18:38:44.973886,0.085,0.54
70,70,6,13.0,54,42,1,"['tempore', 'officia', 'et']",20,13,2025-03-23 10:57:14.147149,0.092,0.73
71,71,6,,578,33,18,"['maxime', 'voluptatum']",16,9,2025-05-04 23:06:01.912129,0.033,0.76
72,72,15,99.0,419,47,58,"['tempora', 'ut', 'dolores', 'assumenda']",20,4,2025-05-06 07:27:46.392104,0.073,0.66
73,73,1,,215,43,10,"['ratione', 'nemo', 'unde', 'itaque']",46,16,2025-04-04 08:03:55.848661,0.024,0.68
74,74,15,82.0,443,47,66,"['quia', 'pariatur']",34,14,2025-04-24 15:37:10.966340,0.084,0.23
75,75,0,,189,12,1,"['impedit', 'doloribus']",16,12,2025-04-26 09:38:13.242251,0.015,0.75
76,76,7,15.0,158,30,12,"['beatae', 'sequi']",10,8,2025-03-25 15:08:55.858436,0.073,0.47
77,77,9,7.0,146,7,27,"['ea', 'dolore']",6,14,2025-03-19 11:06:35.030709,0.056,0.44
78,78,2,,346,48,57,"['quia', 'praesentium']",31,18,2025-04-07 22:43:56.564380,0.069,0.72
79,79,0,,645,13,68,"['dicta', 'praesentium', 'nesciunt', 'perspiciatis', 'cum']",43,12,2025-05-27 17:44:45.326860,0.097,0.76
80,80,10,36.0,533,39,19,"['perspiciatis', 'quae', 'tempore', 'delectus', 'repudiandae']",26,18,2025-04-28 23:42:19.481568,0.093,0.77
81,81,11,52.0,590,26,57,"['illo', 'quibusdam']",4,1,2025-04-19 00:37:09.428721,0.051,0.42
82,82,12,13.0,408,9,3,"['unde', 'incidunt', 'voluptas']",24,4,2025-04-21 09:34:24.040602,0.023,0.33
83,83,6,,613,12,56,"['omnis', 'ratione', 'adipisci']",28,9,2025-04-16 20:27:12.002419,0.011,0.35
84,84,7,32.0,709,31,69,"['provident', 'sint']",36,0,2025-04-29 15:44:53.543283,0.099,0.46
85,85,3,92.0,294,29,26,"['autem', 'recusandae', 'aut', 'expedita', 'porro']",37,7,2025-05-20 12:45:08.868450,0.085,0.24
86,86,6,14.0,366,21,40,"['voluptates', 'veritatis']",29,11,2025-05-25 14:19:47.991200,0.021,0.8
87,87,9,89.0,765,18,23,['voluptates'],37,5,2025-04-18 01:14:51.519759,0.05,0.62
88,88,12,95.0,356,35,18,"['iusto', 'occaecati']",43,0,2025-05-11 03:00:45.431101,0.081,0.26
89,89,11,,611,48,28,"['illo', 'quam', 'eaque', 'mollitia']",39,17,2025-03-18 04:48:47.440007,0.095,0.57
90,90,9,78.0,176,36,58,"['et', 'libero', 'ullam']",30,11,2025-05-31 17:34:57.181420,0.038,0.79
91,91,3,,601,11,27,"['blanditiis', 'perferendis', 'delectus']",37,2,2025-05-12 17:54:59.410209,0.091,0.7
92,92,0,2.0,797,28,63,"['maiores', 'delectus', 'omnis', 'amet', 'distinctio']",11,7,2025-05-30 22:03:49.957402,0.062,0.66
93,93,7,,310,46,2,"['maiores', 'voluptatem', 'corrupti']",18,20,2025-05-19 08:35:24.109411,0.082,0.59
94,94,8,40.0,759,50,2,"['molestias', 'quisquam', 'doloremque', 'tempora']",25,11,2025-05-09 10:27:03.927069,0.083,0.48
95,95,1,,695,28,65,"['ad', 'reiciendis']",4,14,2025-04-06 06:10:04.724936,0.017,0.62
96,96,8,,635,20,13,"['corporis', 'laudantium', 'aspernatur', 'dolor', 'nihil']",11,17,2025-03-15 16:42:32.960590,0.043,0.55
97,97,15,,230,35,13,"['reprehenderit', 'earum', 'explicabo']",4,3,2025-05-16 10:34:33.689273,0.033,0.29
98,98,3,42.0,690,46,12,"['est', 'sunt', 'inventore', 'pariatur']",8,6,2025-04-03 03:48:10.808714,0.026,0.27
99,99,7,46.0,520,38,6,"['accusantium', 'voluptate', 'quidem', 'commodi', 'ipsa']",2,13,2025-05-09 16:32:28.254495,0.098,0.69
100,100,5,92.0,81,37,58,"['veniam', 'reprehenderit', 'totam']",45,8,2025-05-15 12:22:03.431986,0.083,0.3
101,101,13,34.0,481,36,23,"['odio', 'ratione', 'quod']",14,12,2025-04-23 10:19:45.817166,0.024,0.5
102,102,1,,447,24,7,"['officia', 'unde', 'cum', 'quidem', 'in']",19,20,2025-05-21 19:13:17.762959,0.026,0.22
103,103,14,,355,32,66,"['harum', 'dolorum', 'vel', 'dolor']",30,20,2025-04-18 22:01:33.208706,0.058,0.56
104,104,9,78.0,466,30,50,['incidunt'],29,19,2025-05-26 21:51:34.023743,0.077,0.59
105,105,2,100.0,90,24,9,"['harum', 'quisquam', 'voluptatibus']",22,9,2025-03-22 07:50:08.592952,0.013,0.51
106,106,0,71.0,52,25,16,"['consectetur', 'dicta']",17,16,2025-04-10 07:28:08.715870,0.1,0.66
107,107,9,,341,17,35,"['distinctio', 'optio']",4,3,2025-04-23 09:34:14.967119,0.043,0.33
108,108,9,,607,47,48,"['ea', 'sunt']",45,12,2025-04-21 07:13:09.151836,0.014,0.31
109,109,15,98.0,121,48,68,"['sunt', 'ratione']",19,6,2025-05-31 14:35:17.331115,0.072,0.61
110,110,14,59.0,718,35,46,"['aliquid', 'asperiores', 'fuga', 'minima']",37,18,2025-04-15 20:45:10.490169,0.029,0.25
111,111,1,36.0,625,44,19,"['voluptatibus', 'ab', 'a']",37,8,2025-04-16 23:35:32.341146,0.065,0.35
112,112,5,56.0,410,45,32,"['et', 'sint', 'nesciunt', 'assumenda']",49,3,2025-03-21 21:31:02.731367,0.073,0.44
113,113,1,78.0,356,2,28,"['eveniet', 'laboriosam', 'soluta', 'natus', 'id']",12,0,2025-03-27 00:41:33.826218,0.077,0.61
114,114,2,,92,16,10,"['animi', 'amet', 'aspernatur', 'sint']",33,6,2025-04-13 09:02:58.077457,0.065,0.43
115,115,0,29.0,524,38,20,"['vitae', 'temporibus', 'nulla', 'aliquid']",15,18,2025-04-11 17:04:50.202815,0.054,0.76
116,116,0,40.0,347,41,58,"['quia', 'optio', 'sint', 'incidunt']",35,16,2025-05-06 03:42:59.218033,0.039,0.43
117,117,15,41.0,306,24,39,"['maxime', 'porro', 'consequatur', 'odit', 'modi']",47,20,2025-03-26 14:00:29.512273,0.032,0.4
118,118,8,,448,41,39,"['minus', 'nemo', 'amet', 'eligendi']",40,7,2025-04-08 21:25:51.744556,0.092,0.56
119,119,11,,275,34,17,"['cumque', 'adipisci']",9,14,2025-05-01 07:45:49.219697,0.065,0.63
120,120,15,71.0,694,50,30,"['itaque', 'aliquid', 'excepturi', 'deserunt', 'asperiores']",41,18,2025-04-06 09:05:57.838391,0.074,0.56
121,121,4,4.0,438,1,64,"['adipisci', 'facere', 'veritatis', 'a', 'voluptatem']",34,7,2025-05-23 05:53:43.013102,0.091,0.72
122,122,2,,624,35,30,"['facere', 'occaecati', 'impedit', 'iure']",6,14,2025-05-02 02:52:41.511681,0.067,0.8
123,123,5,,563,32,12,"['molestiae', 'iusto', 'reprehenderit', 'dignissimos']",22,3,2025-03-10 12:23:14.827106,0.081,0.26
124,124,7,,311,37,62,"['temporibus', 'quidem']",14,13,2025-04-06 07:15:11.547955,0.06,0.49
125,125,14,,678,30,69,"['ab', 'quia', 'inventore']",37,1,2025-03-07 14:55:07.684411,0.07,0.74
126,126,7,41.0,794,39,71,"['quos', 'maxime', 'quasi', 'illum', 'deserunt']",47,20,2025-05-11 21:46:02.269459,0.02,0.26
127,127,8,,800,48,68,"['iusto', 'vero', 'nostrum', 'a']",24,18,2025-03-26 01:12:45.309815,0.073,0.36
128,128,9,,383,25,50,"['voluptate', 'doloremque', 'velit', 'autem', 'quibusdam']",36,12,2025-05-09 18:53:29.889308,0.018,0.43
129,129,1,14.0,737,6,3,"['facere', 'porro', 'accusantium', 'qui', 'voluptates']",5,6,2025-03-08 22:19:59.387478,0.018,0.76
130,130,5,48.0,175,21,32,"['nisi', 'ad', 'odit', 'tempore', 'minus']",19,9,2025-05-04 14:05:21.700164,0.067,0.39
131,131,5,37.0,140,22,72,"['cumque', 'fugiat', 'aspernatur']",40,11,2025-05-31 07:39:54.350640,0.061,0.26
132,132,2,93.0,294,4,55,['dolorem'],39,0,2025-05-25 20:05:55.174720,0.02,0.31
133,133,1,6.0,77,12,29,['fugiat'],40,20,2025-04-01 19:38:51.394992,0.014,0.33
134,134,12,,221,30,7,"['soluta', 'nisi']",5,5,2025-05-11 18:56:39.727357,0.058,0.48
135,135,10,53.0,582,25,7,['quam'],48,17,2025-05-23 09:10:59.964438,0.012,0.53
136,136,4,70.0,616,31,4,['sint'],12,0,2025-04-28 11:55:44.615339,0.042,0.78
137,137,6,,216,2,72,"['iste', 'dolores']",21,11,2025-04-25 09:06:43.270413,0.093,0.46
138,138,6,,335,25,37,"['itaque', 'beatae', 'vero']",6,20,2025-05-28 21:13:17.328765,0.094,0.4
139,139,15,75.0,688,3,3,['mollitia'],16,18,2025-03-09 14:35:29.398058,0.083,0.25
140,140,0,,300,44,21,"['est', 'vitae', 'nulla', 'illo', 'officia']",24,7,2025-04-21 03:38:18.421475,0.099,0.35
141,141,11,2.0,717,21,58,"['ad', 'adipisci', 'sequi', 'voluptates', 'aut']",16,20,2025-03-04 16:20:43.787998,0.061,0.37
142,142,8,12.0,284,13,4,"['suscipit', 'cum']",42,18,2025-05-08 04:45:25.031079,0.015,0.69
143,143,5,87.0,211,21,17,['quo'],12,4,2025-04-07 20:30:43.756165,0.024,0.69
144,144,7,,624,41,37,"['animi', 'modi', 'molestias']",40,0,2025-05-13 15:29:38.734265,0.021,0.59
145,145,4,11.0,748,5,2,"['culpa', 'nisi', 'commodi', 'optio']",35,17,2025-04-14 20:24:15.162469,0.074,0.5
146,146,1,,191,23,70,"['expedita', 'laboriosam', 'amet', 'officia']",4,14,2025-04-20 20:07:22.797278,0.069,0.72
147,147,2,,500,39,13,"['laudantium', 'animi', 'commodi', 'ab', 'nulla']",26,8,2025-05-25 03:45:07.135343,0.021,0.63
148,148,1,48.0,721,37,47,['necessitatibus'],50,6,2025-04-09 18:07:38.960003,0.047,0.38
149,149,1,24.0,522,2,61,"['nihil', 'officia', 'et', 'veritatis', 'iure']",32,18,2025-03-21 18:55:50.750418,0.018,0.5
150,150,10,48.0,301,48,51,['quia'],5,7,2025-03-19 05:41:08.074831,0.093,0.69
151,151,9,9.0,555,29,36,"['soluta', 'blanditiis', 'expedita']",27,17,2025-03-11 17:39:36.121010,0.072,0.28
152,152,13,,659,14,55,"['quae', 'porro', 'repudiandae']",21,0,2025-05-13 04:18:07.263384,0.043,0.25
153,153,0,33.0,307,37,6,"['ipsam', 'quas', 'corrupti']",31,0,2025-05-14 22:39:39.797773,0.087,0.41
154,154,8,9.0,276,43,19,"['cum', 'voluptatibus', 'labore', 'ratione']",8,14,2025-06-01 00:54:43.989604,0.069,0.25
155,155,11,,232,48,15,"['blanditiis', 'nulla', 'vitae', 'assumenda', 'ullam']",1,7,2025-04-11 15:33:21.526817,0.03,0.3
156,156,12,22.0,504,8,31,"['nihil', 'nam', 'autem']",38,11,2025-03-12 06:44:48.949076,0.099,0.72
157,157,4,38.0,274,45,57,"['hic', 'quos', 'esse', 'officia']",23,15,2025-05-02 03:55:18.846639,0.097,0.76
158,158,4,92.0,264,19,10,"['odit', 'perspiciatis', 'a', 'harum']",3,7,2025-05-28 02:52:14.258122,0.06,0.75
159,159,5,,432,46,48,"['corporis', 'doloremque', 'facilis', 'ratione']",7,7,2025-05-04 19:45:40.819390,0.088,0.6
160,160,7,,122,27,34,"['veritatis', 'occaecati']",36,6,2025-05-31 22:04:40.748999,0.087,0.23
161,161,6,88.0,309,21,23,"['similique', 'deserunt', 'cupiditate', 'sunt', 'voluptatibus']",48,2,2025-04-14 12:29:50.693200,0.089,0.46
162,162,1,35.0,659,35,15,"['architecto', 'debitis']",11,14,2025-03-14 19:30:03.280836,0.079,0.69
163,163,0,,563,49,69,"['harum', 'aliquid', 'a', 'eum', 'assumenda']",43,3,2025-04-04 16:26:35.836101,0.081,0.4
164,164,12,12.0,511,37,59,"['vero', 'minus', 'ad']",48,15,2025-03-22 01:15:32.719268,0.025,0.38
165,165,11,26.0,666,31,51,"['deserunt', 'numquam', 'minima', 'magni', 'beatae']",24,13,2025-04-07 18:53:22.384740,0.056,0.69
166,166,9,,771,35,4,"['repellat', 'illo', 'illum']",22,4,2025-05-01 06:25:29.410755,0.049,0.36
167,167,5,86.0,285,42,18,"['nulla', 'sapiente']",3,19,2025-06-02 04:22:55.146810,0.018,0.22
168,168,11,11.0,139,27,33,"['aliquid', 'quo', 'eveniet', 'id']",19,7,2025-05-07 01:01:53.199301,0.042,0.44
169,169,8,,582,26,17,['tempore'],26,9,2025-04-28 18:42:08.965265,0.046,0.61
170,170,3,27.0,57,5,27,"['earum', 'doloremque']",9,17,2025-05-25 11:24:03.775091,0.099,0.68
171,171,15,62.0,119,2,69,"['similique', 'nam', 'distinctio', 'ducimus', 'nobis']",15,3,2025-03-08 15:37:37.474592,0.048,0.61
172,172,14,,498,45,38,"['natus', 'animi', 'necessitatibus']",33,20,2025-03-06 00:19:20.546981,0.034,0.73
173,173,3,21.0,172,11,60,"['rem', 'facere']",26,12,2025-04-15 03:49:12.012763,0.073,0.4
174,174,5,83.0,779,20,63,"['sit', 'eos', 'delectus', 'eius', 'debitis']",2,4,2025-03-28 16:34:49.206845,0.039,0.37
175,175,6,87.0,556,27,53,"['ipsam', 'dolores', 'quisquam', 'et']",47,5,2025-05-04 18:36:57.548043,0.015,0.63
176,176,13,54.0,329,9,37,"['quae', 'voluptas', 'nihil', 'porro']",43,9,2025-05-05 15:48:57.151730,0.078,0.5
177,177,13,64.0,357,11,11,"['modi', 'ut']",28,18,2025-05-19 08:30:56.718926,0.084,0.74
178,178,6,38.0,629,31,68,"['fuga', 'incidunt', 'unde']",3,18,2025-05-04 02:06:56.788853,0.054,0.7
179,179,13,9.0,307,25,65,"['officiis', 'nulla']",43,6,2025-04-30 10:07:22.570793,0.041,0.28
180,180,7,15.0,279,43,49,"['eveniet', 'illum', 'repellendus', 'blanditiis']",33,14,2025-03-31 15:21:26.764662,0.075,0.73
181,181,6,99.0,305,15,53,['minus'],32,17,2025-04-03 09:16:28.843167,0.095,0.64
182,182,0,69.0,569,34,9,"['corrupti', 'sunt', 'adipisci']",35,2,2025-03-12 04:29:47.071538,0.07,0.77
183,183,10,67.0,116,41,9,"['a', 'ipsa', 'magni', 'veniam']",0,9,2025-05-30 11:15:32.532685,0.049,0.21
184,184,11,29.0,203,46,32,"['quasi', 'sint', 'beatae', 'adipisci']",15,7,2025-05-02 05:55:50.732619,0.015,0.52
185,185,12,7.0,415,42,51,['molestias'],30,17,2025-03-18 04:55:42.353120,0.094,0.49
186,186,15,49.0,245,3,40,"['occaecati', 'assumenda', 'itaque', 'cumque', 'reprehenderit']",47,5,2025-05-18 07:45:23.187290,0.089,0.37
187,187,8,47.0,116,42,36,"['at', 'nam', 'atque']",11,10,2025-05-19 11:28:27.048854,0.051,0.52
188,188,4,,559,5,22,['voluptatum'],49,19,2025-04-21 14:30:42.984038,0.058,0.24
189,189,15,29.0,590,19,62,"['beatae', 'accusamus', 'quisquam', 'provident', 'laboriosam']",44,18,2025-03-28 20:36:12.782966,0.044,0.59
190,190,3,,214,9,50,"['illum', 'harum', 'excepturi', 'molestias']",22,18,2025-04-30 16:10:43.785471,0.09,0.63
191,191,1,27.0,259,27,33,['consequuntur'],19,3,2025-05-10 19:06:29.020521,0.055,0.33
192,192,5,51.0,68,24,55,['eveniet'],37,0,2025-05-01 02:54:32.920598,0.093,0.39
193,193,15,55.0,309,27,60,"['voluptate', 'quisquam', 'corrupti', 'dolorem']",21,13,2025-05-27 15:24:31.092125,0.036,0.31
194,194,1,9.0,759,39,32,"['qui', 'itaque', 'quae', 'ipsa']",48,10,2025-03-30 22:56:34.500136,0.06,0.6
195,195,15,18.0,344,49,40,"['nulla', 'odit', 'maiores', 'illum', 'harum']",19,0,2025-03-05 20:29:46.256725,0.075,0.54
196,196,0,,433,32,42,"['in', 'fuga', 'quaerat', 'molestias']",24,17,2025-04-22 14:12:47.366175,0.014,0.48
197,197,3,,800,25,37,['quibusdam'],21,4,2025-03-18 12:18:51.996108,0.019,0.3
198,198,5,67.0,488,34,44,['autem'],26,10,2025-03-17 22:10:28.587157,0.023,0.55
199,199,12,50.0,426,46,56,"['nemo', 'quibusdam', 'est']",18,8,2025-05-06 15:07:37.445810,0.058,0.58
200,200,14,,166,49,39,"['explicabo', 'perspiciatis']",26,14,2025-03-03 04:26:11.914082,0.035,0.57
201,201,10,12.0,742,4,59,"['accusamus', 'tempore']",29,8,2025-04-10 02:05:28.245355,0.092,0.21
202,202,11,46.0,281,17,61,"['quos', 'odio']",17,13,2025-05-08 02:09:55.531812,0.067,0.65
203,203,5,45.0,264,39,13,"['blanditiis', 'voluptatum']",50,20,2025-03-03 09:11:22.584262,0.048,0.54
204,204,9,97.0,272,22,8,"['eligendi', 'veniam', 'natus']",7,0,2025-04-10 19:57:29.530356,0.021,0.39
205,205,5,89.0,690,25,49,"['ab', 'non']",12,5,2025-05-29 02:35:23.475056,0.085,0.79
206,206,8,,603,4,1,['deleniti'],50,1,2025-05-19 20:05:39.561139,0.018,0.32
207,207,15,,727,2,69,"['dolore', 'nulla', 'facilis']",15,10,2025-03-07 10:56:06.381739,0.056,0.23
208,208,15,35.0,720,3,11,"['quia', 'at', 'eius', 'ipsum', 'rerum']",39,15,2025-05-19 05:25:17.567075,0.044,0.23
209,209,14,36.0,702,10,18,"['asperiores', 'corrupti', 'ea']",29,3,2025-03-23 19:33:32.875477,0.041,0.64
210,210,11,87.0,477,4,2,['ipsam'],40,14,2025-03-03 19:09:55.086830,0.053,0.76
211,211,8,,584,8,15,"['modi', 'voluptate']",40,11,2025-03-28 21:31:54.129796,0.045,0.5
212,212,10,50.0,93,21,43,['voluptate'],21,2,2025-04-30 12:09:32.331444,0.043,0.42
213,213,5,,335,0,72,"['a', 'atque', 'quibusdam']",6,4,2025-04-13 10:25:49.081826,0.045,0.57
214,214,7,,673,6,57,"['natus', 'rerum']",7,11,2025-03-08 16:04:22.866072,0.01,0.25
215,215,4,,704,1,55,['libero'],20,7,2025-05-13 07:36:36.422351,0.018,0.3
216,216,0,,177,5,63,"['accusantium', 'voluptate']",33,7,2025-04-17 05:04:23.063489,0.089,0.56
217,217,0,94.0,421,6,17,"['consequatur', 'reiciendis', 'quod', 'ipsam', 'ipsa']",3,19,2025-05-27 22:54:45.381196,0.052,0.37
218,218,6,,632,34,52,['veritatis'],38,4,2025-05-18 12:35:29.466182,0.071,0.77
219,219,7,57.0,485,47,13,"['veritatis', 'itaque', 'at', 'quod', 'dolorum']",43,19,2025-05-14 22:57:40.546634,0.043,0.77
220,220,15,,543,34,23,['amet'],10,6,2025-05-09 22:21:20.288674,0.011,0.4
221,221,14,65.0,160,37,4,['dignissimos'],40,13,2025-04-10 01:01:15.718565,0.067,0.38
222,222,6,20.0,261,29,24,"['officiis', 'iste', 'laudantium']",2,8,2025-04-06 07:37:34.969024,0.047,0.34
