detail_id,project_id,description,start_date,end_date,reward_info,risk_info,delivery_date,thumbnail_url
11,11,"Exercitationem accusantium sed praesentium. Debitis perspiciatis ipsa corrupti quisquam consequuntur ab. Ex repellendus error alias labore velit.
Iure officiis error sequi et quisquam. Optio adipisci ad quod recusandae culpa laboriosam mollitia.
Nesciunt non debitis itaque sequi. Et iste unde a animi iusto molestiae neque. Inventore dignissimos atque veniam reiciendis consequuntur.
Pariatur incidunt doloribus. Autem atque quo assumenda eius omnis. Error quo hic neque amet ab.",2025-03-19,2025-08-08,"Dolores nesciunt placeat. Temporibus similique sequi officiis.
Ipsa perferendis quisquam aliquam quibusdam sit. Voluptatum veniam cum id.",Soluta placeat doloremque incidunt fugiat minima iure. Dolorem sequi quidem. Dicta excepturi accusantium voluptate repellendus accusamus.,2025-07-02,https://img.example.com/thumb_11.jpg
12,12,"Consequuntur ducimus explicabo maiores aperiam. Reprehenderit nihil itaque ipsa veniam eveniet.
Et repudiandae harum nemo molestias reprehenderit animi. Velit error dolores magni nesciunt nulla consequatur. Asperiores totam possimus incidunt deleniti voluptate exercitationem.
Neque voluptatibus ullam. In distinctio voluptatem aut voluptatibus inventore magni perferendis.
Cumque ducimus cupiditate harum eius in consectetur.",2025-05-02,2025-07-31,Provident est sequi. Amet ipsa in voluptatem repudiandae. Quam maiores fugiat distinctio distinctio consequuntur voluptate fugiat.,Voluptate impedit provident fugit. Dignissimos cupiditate quae quos. Exercitationem unde quae numquam nihil illum. Numquam pariatur laboriosam delectus ipsam quaerat consequatur doloribus.,2025-12-08,https://img.example.com/thumb_12.jpg
13,13,"Reprehenderit qui aspernatur explicabo maiores minus distinctio. Distinctio maxime sequi porro omnis.
Dolorum id veniam nihil quasi blanditiis. Explicabo reiciendis reprehenderit perspiciatis provident sunt quisquam dolores.
Officiis quidem error repellat accusamus debitis magni et. Nisi libero iusto voluptate dolore beatae. Ducimus ea perferendis.
Quibusdam dignissimos ea corrupti. Animi voluptatum ratione nemo.",2025-04-18,2025-08-13,"Sed explicabo totam voluptatum nisi quisquam facilis velit. Totam ut sint repellat suscipit ipsum pariatur.
Magni ipsam placeat a occaecati. Ipsa nulla assumenda similique.","Commodi ipsa fugiat itaque. Numquam voluptatum quasi a.
Nobis tempore provident aliquid delectus quo. Alias ab repellendus reprehenderit facere ipsam.",2025-11-10,https://img.example.com/thumb_13.jpg
14,14,"Earum accusamus blanditiis optio enim. Qui consequatur vel beatae. Enim quibusdam accusamus vero error.
Debitis fuga voluptatum eos harum itaque. Veniam repellat ipsum tempora perferendis. Ullam natus soluta repellat consequuntur. Temporibus expedita tenetur quos ducimus rerum.
Sapiente consectetur aliquam esse qui perferendis cum. Vitae maxime accusantium reiciendis sequi. Rem est exercitationem nemo aut quae.
Optio similique omnis fugit.
Vel temporibus natus ab numquam dolorem consequatur.",2025-03-20,2025-06-07,Placeat soluta incidunt architecto. Accusantium nam saepe eius.,Voluptate rerum earum maxime ad voluptates suscipit. Inventore quas optio similique.,2026-01-16,https://img.example.com/thumb_14.jpg
15,15,"Unde corrupti fuga necessitatibus similique soluta et. Asperiores laborum modi beatae adipisci facilis.
Deserunt porro ullam tenetur deserunt natus nesciunt ex.
Occaecati mollitia ea culpa nobis officiis eaque. Nesciunt recusandae provident suscipit. Aspernatur incidunt doloribus recusandae pariatur dolor commodi officiis.
Eum voluptatum ut quaerat unde. Iusto ipsam nihil sequi. Nemo consequuntur illum eveniet.",2025-04-15,2025-08-05,Suscipit voluptatum rem numquam commodi consequatur. In mollitia maiores rem.,"Eaque fugit dicta aperiam. Optio tenetur fugit voluptas voluptates fuga dolor.
Similique fugiat voluptatem suscipit. Voluptas ipsum possimus quod. Quam cum qui laudantium nihil.",2025-09-16,https://img.example.com/thumb_15.jpg
16,16,"Non maxime dolorum doloribus quidem excepturi maxime.
Fugit reprehenderit voluptas quis omnis quam. Distinctio ipsam cupiditate reiciendis totam veritatis aut neque.
Facere vel molestiae placeat maxime. Quo voluptates praesentium perferendis earum id. Odit ducimus iusto nemo. Porro porro velit ipsum.
Ea tempora repellat voluptas.
Neque odio perferendis adipisci inventore magni. Iusto quibusdam dolorem aut consequatur alias omnis. Quisquam placeat impedit expedita excepturi quisquam.",2025-05-08,2025-06-14,Vero minima assumenda quas cupiditate fuga dolore. Ut veritatis similique dolore voluptatum. Possimus iste explicabo aliquid corporis ab consectetur.,Reprehenderit recusandae accusantium recusandae exercitationem facere quas. Harum ea adipisci veniam ullam.,2026-01-30,https://img.example.com/thumb_16.jpg
17,17,"Quasi fugit voluptatibus sit delectus exercitationem corporis cupiditate.
Porro sed voluptatibus nostrum dolore facere doloribus. Recusandae minus eius officia distinctio asperiores aliquam non.
Iusto ea tenetur enim assumenda non laborum. Eaque fugiat nostrum libero rem magnam magnam. Distinctio alias tempora perspiciatis ea.
Vitae similique esse odit aut. Sit laborum omnis odio modi numquam.",2025-03-21,2025-07-14,"Aut esse sunt esse modi maiores vitae. Eius molestias maiores soluta culpa aspernatur.
Vel ut mollitia voluptates doloribus perspiciatis doloribus.",Illum amet labore eos. Quaerat a aliquam aperiam explicabo magni. Velit natus similique maxime delectus. Deserunt similique illum blanditiis.,2025-10-24,https://img.example.com/thumb_17.jpg
18,18,"Quibusdam porro ipsum expedita repellendus perspiciatis. Ipsam nemo in optio. Rem velit culpa at fugiat maiores.
Nisi illum odio deserunt nobis. Beatae iste consequuntur voluptate esse doloremque.
Repudiandae ipsam distinctio. Omnis quidem excepturi odit aut praesentium iste. Exercitationem doloremque nisi eos. Ipsam repellendus occaecati nam.
Assumenda quis possimus. Dolorum nostrum at fuga.",2025-03-29,2025-06-15,"Ex deserunt fugiat placeat. Aspernatur eligendi eveniet fuga ab.
Nobis assumenda eligendi itaque autem. Magnam error sed eum.",Voluptatibus iusto quisquam soluta. Et blanditiis repellendus aliquam. Iure ullam vitae ratione. Eius ad vel nesciunt commodi iusto nihil quaerat.,2026-04-06,https://img.example.com/thumb_18.jpg
19,19,"Sunt consectetur distinctio molestias facere. Quae quis optio quos beatae id itaque ipsam.
A deleniti quo inventore quibusdam tenetur. Aut nobis sapiente consequuntur. Distinctio sit accusantium natus molestias qui.
Molestias quam culpa id quis. In vitae similique laudantium saepe saepe. Commodi nesciunt maiores quibusdam quas.
Dolores dolorum impedit. Tempore beatae velit odio recusandae quia. Voluptate odio blanditiis eaque placeat laudantium tempore.",2025-03-16,2025-06-07,"Iure labore sunt impedit optio facere.
Dignissimos assumenda soluta sunt nisi quaerat soluta beatae. Nesciunt incidunt ut earum eveniet placeat. Dignissimos magnam autem fugiat ducimus in.","Magnam est ab laudantium. Ullam vel voluptatibus repellat. Ex fuga voluptatum occaecati.
Voluptatum saepe recusandae aut rerum adipisci perferendis. Quibusdam fugiat sit neque occaecati.",2026-02-19,https://img.example.com/thumb_19.jpg
20,20,"Labore reprehenderit pariatur tenetur sapiente expedita quibusdam quam. Tempore aperiam quaerat earum explicabo. Commodi reprehenderit cupiditate commodi saepe.
Deleniti vero animi eaque cupiditate. Ea architecto odit similique.
At quidem voluptatum nulla. Aliquam eligendi alias doloremque ea asperiores. Cupiditate saepe asperiores assumenda.
Quod illo nobis. Culpa ipsum et repellendus nihil rem aperiam in.",2025-04-29,2025-07-05,"Doloribus fuga provident ipsam. Laborum quod quia maxime.
Natus rem provident iure minima dolore. Quae expedita quos est. Repudiandae praesentium labore eos laborum officiis.",Sed numquam libero a suscipit alias. Enim molestias commodi sint mollitia quaerat est. Voluptate sit ab iste tenetur. Laboriosam neque excepturi earum rem rerum.,2026-05-22,https://img.example.com/thumb_20.jpg
21,21,"Magnam quo velit ut repudiandae aliquam.
Quibusdam maxime ullam quae. Cupiditate dignissimos commodi nesciunt. Incidunt reiciendis quasi deserunt.
Fugit laudantium quasi quod. Dicta rem iure ducimus velit reiciendis qui. Neque distinctio quisquam provident suscipit quia iusto.
Dignissimos enim perspiciatis quasi facilis. Ducimus recusandae recusandae amet doloribus.
Quod blanditiis minima quod aliquid possimus. Molestiae nulla hic eaque in voluptas itaque quam.",2025-03-22,2025-06-28,Mollitia exercitationem temporibus iure exercitationem recusandae aperiam eaque. Numquam nulla autem quis autem sunt tempora.,"Ea harum dolore omnis dignissimos. Assumenda quam aut velit aliquid praesentium. A ipsam dolor asperiores eum alias.
Autem quasi accusantium. Itaque voluptates doloribus voluptate nam ut.",2025-09-06,https://img.example.com/thumb_21.jpg
22,22,"Sed reiciendis officia quo eveniet vitae perspiciatis animi. Temporibus nihil ea saepe ea.
Quasi quo rem esse illo quasi voluptatibus. Minima accusamus a praesentium. Qui omnis tenetur ea officia vitae minus.
Quo ducimus temporibus voluptas totam eos error illum. Nesciunt beatae consequuntur eligendi numquam asperiores.",2025-05-02,2025-08-14,Eius nesciunt numquam inventore tempore sed officia. Quae enim nihil ullam modi explicabo quos illum.,"Nisi eos eum corrupti soluta est. Cupiditate sapiente fugit necessitatibus earum.
Quas ratione facere. Eveniet magnam consequuntur nostrum.",2026-04-29,https://img.example.com/thumb_22.jpg
23,23,"Pariatur corrupti eveniet architecto corrupti sed. Adipisci omnis similique rem ipsam velit est. Dignissimos fuga illum fugit exercitationem doloremque.
Odio ex nobis aliquid nesciunt repellat esse. Natus ullam aut at aspernatur qui. Sequi fugiat corrupti amet molestiae voluptate hic. Iste in explicabo culpa.
Minima dolorum veniam ex. Accusamus debitis quae quo.
Sint fugit ratione asperiores reprehenderit. Quisquam in alias nemo fugiat. Minima minus asperiores.",2025-04-01,2025-07-09,"Aliquid accusamus rerum laudantium recusandae quidem ut.
Alias commodi vero atque doloremque error omnis quis.",Doloribus exercitationem accusantium minima. Perspiciatis amet exercitationem aliquid a nulla sit. Tempore omnis modi tenetur.,2026-05-16,https://img.example.com/thumb_23.jpg
24,24,"Beatae magni maxime pariatur nemo at veritatis.
Vitae impedit autem nulla consequatur. Pariatur placeat vero qui. Magnam distinctio quae quos blanditiis.
Ab alias doloremque nobis sit laudantium unde. Autem dolores laborum minima magnam tempore explicabo.
Quae non excepturi in repudiandae temporibus. Veritatis nam natus perspiciatis ratione. Facere repellendus ex praesentium autem.
Hic libero odio laborum quis consectetur vitae. Quisquam sunt quo exercitationem maxime consequatur saepe.",2025-04-21,2025-07-23,Nostrum nihil error aut error. Ullam cum voluptatum.,"Placeat id officia quia ipsam et facere odit. Soluta delectus enim placeat.
Quasi sunt corrupti consequuntur. Quo laudantium deleniti eveniet eos illo provident.",2026-01-18,https://img.example.com/thumb_24.jpg
25,25,"Libero beatae deserunt doloremque delectus velit iure.
Aspernatur consectetur fugit esse eos adipisci. Quisquam nobis sed fugiat perferendis. Rem magnam ut illum soluta.
Alias labore autem incidunt nesciunt nemo. Occaecati deserunt voluptates in officiis ea possimus consequuntur.
Ab in harum id enim. Numquam possimus voluptates ratione dolore. Eveniet impedit ut deleniti sapiente.",2025-03-31,2025-07-24,Ratione dolorum nam. Dolorum minima hic quos repellat at cupiditate. Veritatis modi soluta odit possimus eos.,"Voluptas architecto unde corporis. Assumenda cum delectus voluptas omnis excepturi. Possimus cumque sint atque.
Non nihil eos enim. Magnam quia facere quaerat distinctio possimus fugit.",2025-12-08,https://img.example.com/thumb_25.jpg
26,26,"Ullam nulla ipsum a. Dolores beatae cupiditate quisquam voluptatum.
Omnis dicta accusantium asperiores nemo atque. Natus quas modi veritatis doloremque asperiores possimus.
Explicabo sunt accusamus magnam nihil. Amet saepe laborum accusamus consectetur.
Tempore accusamus ullam ullam sapiente ipsa. Rem sequi natus perferendis. Fuga optio debitis temporibus voluptas distinctio voluptatum repudiandae.",2025-05-01,2025-07-28,Sapiente in dolor laborum. In molestiae placeat tempora voluptas voluptas. Maxime cupiditate beatae sequi illum. Deserunt et dolor.,"Sunt autem veniam assumenda reprehenderit. Cumque omnis iusto optio.
Velit atque molestiae ut saepe in dolores. Odio perspiciatis vel voluptatum.",2026-03-30,https://img.example.com/thumb_26.jpg
27,27,"Quibusdam optio ab ratione molestiae nemo voluptatem. Blanditiis corrupti tenetur modi quibusdam. Pariatur praesentium magni porro. Culpa ad corporis minus fugit temporibus quam consequuntur.
Odio ad eos fugiat nostrum culpa.
Laboriosam esse repudiandae voluptas expedita dolores quaerat voluptate.
Consequuntur quaerat totam facere cumque aliquid error. A modi dolorum veniam quae. Quo mollitia porro nemo.",2025-04-10,2025-08-22,Dolorum fugit id. Qui beatae itaque dolorem. Pariatur sit adipisci laborum rerum fuga voluptatum.,Harum deleniti tenetur in nostrum alias inventore. Dolor illum a libero. Error eius aliquid quis sapiente autem. Nam quis et facere fuga.,2025-07-30,https://img.example.com/thumb_27.jpg
28,28,"Rerum ipsam perferendis voluptates. Officiis esse alias possimus nostrum. Asperiores veniam perspiciatis rem voluptate nulla.
Magnam deserunt consectetur expedita sequi consectetur. Rem error porro est id ut enim. Repellat qui consequuntur placeat deleniti incidunt.
Molestias omnis ipsa architecto nihil placeat veritatis. Aliquid voluptatem dolorum quibusdam consequuntur. Laboriosam molestias dignissimos quos iure placeat. Dolorem quis cumque necessitatibus accusamus.",2025-05-28,2025-08-09,"Inventore esse dolorem. Consectetur dolorem quidem modi excepturi. Perspiciatis voluptatum iure nostrum.
Accusamus voluptatibus culpa dolorem placeat. Dignissimos expedita iure vero in.","Pariatur ullam laborum dolorum tenetur harum.
Beatae repellendus aspernatur nobis. Ab labore necessitatibus deserunt eum. Alias vero accusamus quos neque.",2026-03-03,https://img.example.com/thumb_28.jpg
29,29,"Magni corrupti temporibus voluptate quibusdam eos quam alias. Velit beatae soluta sint enim ullam. Consequuntur eius porro.
Earum veniam alias quas. Eligendi recusandae rem voluptates tempora ducimus. Earum doloremque aperiam quidem veritatis incidunt.
Atque nisi reiciendis harum. Tempore maxime dolore reiciendis. Velit quaerat iusto sint dolores laudantium commodi esse.
Quasi doloremque libero esse perspiciatis. Veniam expedita asperiores quo quisquam similique officiis.",2025-03-18,2025-06-08,Quis earum quisquam in laborum velit. Magni culpa magni dolores impedit. Culpa voluptatum perferendis consectetur sit magnam.,"Rerum porro ipsum quae. Repellendus officia quo sit alias. Ut repudiandae maiores itaque asperiores saepe.
Aliquam eum officia nemo. Et hic harum modi laboriosam.",2026-01-27,https://img.example.com/thumb_29.jpg
30,30,"Nulla earum nihil sequi. Nam vero laudantium harum labore ea. Ducimus similique quaerat facere suscipit ut beatae voluptatem.
Consequatur sint aspernatur. Deleniti numquam possimus nihil harum. Laborum repudiandae consequatur accusantium fugit.
Porro vero placeat quod. Nulla delectus minima recusandae consectetur aut.
Consequuntur quibusdam fuga quam. Distinctio ratione fuga. Dicta odit nemo.
Sit alias fugiat vero. Suscipit ipsum eius perferendis nam ipsum.",2025-03-03,2025-08-15,"Dolorem veniam exercitationem error. Soluta officiis earum est porro sint.
Animi doloribus velit expedita veritatis debitis. Dicta aliquid excepturi facilis excepturi dolorum eum.",Nam nesciunt officiis voluptas necessitatibus veniam. Blanditiis tempora distinctio doloribus magnam ipsa. Ipsa labore natus veniam voluptas.,2026-01-18,https://img.example.com/thumb_30.jpg
31,31,"Repellendus deleniti quidem voluptatum vero unde. A omnis rerum tenetur in. Voluptatibus ut unde necessitatibus quidem quos. Sunt eligendi neque repellat veritatis perspiciatis.
Nisi illum modi voluptatem quaerat quod libero vitae. Ea in qui ex reiciendis.
Repudiandae enim incidunt deserunt. Id iure beatae repellat optio dicta. Suscipit aspernatur ducimus nam maxime repellendus molestiae.",2025-05-15,2025-07-08,Officia fugiat fugiat repellat. Soluta laudantium cumque necessitatibus ex pariatur. Modi hic nobis aspernatur repellat aliquam expedita. Iure dolores sunt nulla.,"Facere enim iste. Maxime autem minima est.
Alias sequi officiis quidem quam voluptate. A aut temporibus at minima expedita quibusdam.",2025-08-15,https://img.example.com/thumb_31.jpg
32,32,"Ullam rerum illum ex molestias. Necessitatibus labore perspiciatis fuga placeat ipsam saepe laboriosam.
Accusamus quibusdam illum eveniet iure. Maiores blanditiis inventore vero odio non eveniet beatae. Tempora quos tempora eos officiis quia doloremque.
Soluta nobis dignissimos sequi inventore ipsum velit dolorum. Beatae animi minus vitae corrupti. Inventore pariatur eaque voluptatem.",2025-05-01,2025-07-22,Magnam qui accusamus quidem omnis veniam. Modi mollitia quam fugit. Consequuntur perspiciatis dicta beatae consequatur natus ullam. Cumque minima magnam praesentium laborum ad iure recusandae.,Ipsum omnis earum sint placeat earum. Animi perspiciatis esse doloribus amet iusto numquam. Aliquid qui molestias qui.,2025-08-21,https://img.example.com/thumb_32.jpg
33,33,"Enim commodi accusantium magnam nulla odit. Officiis nihil ullam nostrum pariatur magni.
Cum blanditiis soluta deserunt magnam eaque ducimus harum. Dolor officia aperiam pariatur nesciunt repudiandae quis ipsa.
Excepturi ratione dicta vel asperiores. Harum tenetur cumque.
Eum quibusdam libero provident. Vel modi ad odit doloremque rem.
Impedit ea at quos hic. Nesciunt nam dolore qui aliquam. Provident dolor recusandae dicta facilis voluptates libero quia.",2025-03-31,2025-06-24,"Velit tempora a porro tempore corrupti voluptatibus. Aspernatur ducimus quis aliquam facilis. Consectetur rem repudiandae quisquam.
Corporis non ipsa.",Inventore commodi repudiandae cupiditate quas officia. Consequuntur recusandae doloremque eum nesciunt aperiam.,2026-01-10,https://img.example.com/thumb_33.jpg
34,34,"Animi quidem suscipit dignissimos mollitia consequuntur mollitia quas.
Laboriosam recusandae praesentium expedita autem ex. Consectetur voluptates aspernatur distinctio. Hic magnam non itaque neque temporibus. Saepe quae animi quisquam fuga.
Doloremque mollitia quia earum. In non aliquam distinctio iste debitis deleniti.
Similique sed veritatis. Nobis accusantium quae numquam corrupti eum.
Voluptas nemo incidunt quae voluptatem tenetur.",2025-05-29,2025-07-07,"Ipsam deserunt rerum aliquid possimus neque. Voluptatem animi qui.
Amet quidem commodi itaque inventore non. Eligendi vero voluptate.","Minima dolorum veniam perferendis at. Quaerat molestiae repudiandae laborum dicta deserunt.
Eveniet qui mollitia aspernatur. Quia aperiam dolore amet placeat. Distinctio et blanditiis.",2026-02-17,https://img.example.com/thumb_34.jpg
35,35,"Quis temporibus eum iste perspiciatis sapiente. Ipsam dolor laborum ratione.
Repellat aspernatur quisquam eligendi accusamus. Tempora officiis vero ut possimus. Soluta perferendis pariatur doloribus magni delectus atque est.
Nesciunt adipisci sapiente veniam quod natus labore. Laborum enim maxime tenetur ea cum nam eveniet. Itaque autem ut maxime corrupti porro qui.",2025-04-29,2025-06-29,"Eligendi aspernatur dolorem. Voluptatem deleniti sit sapiente.
Dolor eveniet sapiente aliquam. Eveniet nulla tempora molestiae.",Laboriosam amet voluptatum ea veniam sunt asperiores inventore. Eos tempore error. Itaque nesciunt facere exercitationem cupiditate rerum.,2025-12-11,https://img.example.com/thumb_35.jpg
36,36,"Deleniti a beatae dolore quas saepe. Quo ducimus facere.
Velit cumque accusantium natus maiores aperiam cupiditate ullam. Dolorem magni minima beatae fuga.
Tempore quas accusamus iste. Pariatur sapiente ducimus tenetur vitae repellendus.
Molestias debitis dolores aliquam assumenda aspernatur. Eaque explicabo aut exercitationem labore est molestiae. Ex nemo est voluptas.
Doloremque repellendus est pariatur rerum quibusdam sint nam. Mollitia a esse. Soluta quas voluptatibus.",2025-04-22,2025-08-01,Itaque alias deserunt facilis similique earum. Ut saepe ea laudantium accusamus necessitatibus temporibus. Quo sed beatae necessitatibus.,Error quisquam odio laudantium doloremque voluptatem. Quisquam quibusdam commodi hic officia voluptates sapiente.,2025-09-07,https://img.example.com/thumb_36.jpg
37,37,"Architecto nulla ducimus distinctio quos.
Dolore cupiditate veritatis. Fuga facilis maxime provident quidem minima.
Vero porro enim laudantium quasi id. Aliquid beatae quasi reprehenderit fugit tempora.
Impedit recusandae voluptate cupiditate corporis alias.
Debitis natus minima molestiae assumenda explicabo magnam nesciunt. Temporibus quas illo modi repellat ipsa blanditiis. Voluptatibus voluptatum natus architecto cum saepe laboriosam.",2025-03-25,2025-06-05,"Alias sint minus suscipit aut. Aspernatur dolorem ex totam accusamus.
Natus fugiat aliquam quisquam ad ipsam. Corporis incidunt aspernatur odio itaque quas culpa sit.","Laborum ullam aperiam quis saepe id. Doloribus nesciunt culpa natus velit iste. Optio aperiam corrupti illo.
Necessitatibus error soluta odio fugiat enim pariatur. Ratione sequi quia error.",2025-08-23,https://img.example.com/thumb_37.jpg
