setting_id,author_id,author_year,updated_at,note_format,privacy_default,mood_tracking,weather_tracking
29,29,1984,2025-05-12 01:33:51.693157,격자 형식,비공개,True,True
30,30,2000,2025-05-21 05:29:18.997099,격자 형식,공개,True,True
31,31,1997,2025-05-08 04:10:11.158040,격자 형식,공개,False,True
32,32,2003,2025-05-21 09:00:15.742291,격자 형식,친구만,True,True
33,33,2000,2025-05-21 21:01:04.183262,줄글 형식,친구만,True,True
34,34,1993,2025-05-26 20:24:37.741250,백지 형식,친구만,True,True
35,35,1996,2025-05-23 16:07:23.611755,백지 형식,친구만,False,True
36,36,1984,2025-05-23 01:44:47.197367,백지 형식,공개,True,True
37,37,1988,2025-05-28 23:45:25.482938,격자 형식,친구만,False,False
38,38,1991,2025-05-08 19:01:55.205844,백지 형식,공개,False,True
39,39,1985,2025-05-16 23:15:03.472019,백지 형식,공개,True,False
40,40,2002,2025-05-31 02:15:25.127019,줄글 형식,공개,True,True
41,41,2003,2025-05-05 22:52:03.476301,격자 형식,친구만,True,True
42,42,2003,2025-05-22 20:09:15.547734,격자 형식,친구만,True,True
43,43,1989,2025-05-08 10:51:51.041212,격자 형식,공개,True,False
44,44,2001,2025-05-25 11:09:42.991295,격자 형식,비공개,False,True
45,45,2005,2025-05-30 20:55:10.167882,백지 형식,비공개,True,True
46,46,1996,2025-05-10 00:06:24.224845,격자 형식,비공개,False,False
47,47,2005,2025-05-15 09:40:20.647753,백지 형식,친구만,True,False
48,48,1986,2025-05-13 07:06:08.498155,백지 형식,친구만,True,True
49,49,1980,2025-05-18 21:31:19.107169,격자 형식,공개,False,True
50,50,1988,2025-05-04 19:06:09.901263,백지 형식,비공개,True,True
51,51,1980,2025-05-17 02:47:38.230119,격자 형식,친구만,True,False
52,52,1985,2025-05-23 03:20:47.884104,백지 형식,공개,False,True
53,53,1996,2025-05-31 03:48:59.760458,백지 형식,친구만,True,True
54,54,1986,2025-05-24 22:54:43.129234,격자 형식,공개,True,True
55,55,1998,2025-05-30 06:52:04.839131,줄글 형식,비공개,True,True
56,56,1989,2025-05-06 03:25:15.844386,줄글 형식,비공개,False,True
57,57,1980,2025-06-01 11:18:58.560696,격자 형식,비공개,True,True
58,58,1996,2025-05-13 05:02:17.418800,줄글 형식,친구만,False,True
59,59,1982,2025-05-22 20:33:48.680548,격자 형식,비공개,True,True
60,60,1983,2025-05-03 19:05:32.696245,격자 형식,친구만,False,False
61,61,2002,2025-05-24 13:45:59.054961,줄글 형식,공개,False,True
62,62,1992,2025-05-27 19:30:43.458492,백지 형식,비공개,False,True
63,63,1984,2025-05-15 13:43:18.359576,줄글 형식,공개,False,True
64,64,1981,2025-05-15 13:06:46.473320,줄글 형식,비공개,True,False
65,65,2003,2025-05-07 02:52:23.051073,백지 형식,친구만,True,False
66,66,1990,2025-05-16 01:04:33.997102,격자 형식,공개,True,True
67,67,1999,2025-05-13 03:35:41.498203,백지 형식,비공개,False,True
68,68,2003,2025-05-08 07:40:41.188418,백지 형식,공개,False,True
69,69,1993,2025-05-07 19:42:45.859953,백지 형식,공개,True,False
70,70,1987,2025-05-08 20:45:54.817958,백지 형식,친구만,True,True
71,71,1990,2025-05-05 20:56:26.920353,줄글 형식,공개,True,True
72,72,1999,2025-05-10 02:22:04.201994,백지 형식,친구만,True,False
73,73,1990,2025-05-22 22:37:49.869543,백지 형식,친구만,True,True
74,74,1988,2025-05-12 02:45:41.759698,백지 형식,공개,True,True
75,75,2000,2025-05-05 18:05:20.937314,백지 형식,공개,True,True
76,76,1989,2025-05-10 16:29:40.987216,격자 형식,공개,False,True
77,77,1998,2025-05-23 09:51:25.003963,격자 형식,비공개,False,True
78,78,1996,2025-05-07 11:40:36.026394,줄글 형식,비공개,False,True
79,79,1983,2025-05-05 05:43:14.969154,백지 형식,비공개,True,True
80,80,1998,2025-05-05 00:50:19.623463,격자 형식,공개,True,True
