analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated,click_through_rate,impression_count
20,20,18245,안정,하락,낮음,3,9058,3,0.121,0.034,2025-05-19 17:47:57.717216,0.086,36542
21,21,20583,보통,하락,낮음,3,5644,4,0.089,0.111,2025-05-26 13:17:45.426144,0.124,12755
22,22,22633,불안정,유지,보통,5,3432,3,0.116,-0.077,2025-05-19 07:39:31.222857,0.063,39632
23,23,21637,안정,하락,보통,5,3137,3,0.035,0.069,2025-05-18 15:36:53.599574,0.07,17598
24,24,24326,보통,상승,낮음,5,6175,2,0.13,-0.081,2025-05-16 12:50:23.289425,0.062,36186
25,25,24026,불안정,유지,보통,4,8661,2,0.136,0.064,2025-05-15 17:42:45.655221,0.137,18354
26,26,24289,보통,하락,낮음,4,4459,3,0.126,0.052,2025-05-18 17:27:53.634244,0.142,45484
27,27,15590,불안정,하락,높음,3,8530,4,0.082,0.072,2025-05-05 10:34:12.145148,0.083,25929
28,28,17461,불안정,유지,보통,5,2501,4,0.022,-0.055,2025-05-28 19:07:08.645991,0.085,27482
29,29,19914,불안정,유지,낮음,3,3111,4,0.104,-0.002,2025-05-05 07:29:03.571070,0.104,42353
30,30,15078,안정,유지,낮음,3,5891,1,0.036,0.056,2025-05-08 14:36:15.464989,0.017,41120
31,31,20055,보통,상승,보통,4,7028,5,0.03,-0.065,2025-05-11 22:42:11.457782,0.093,31679
32,32,23366,보통,유지,보통,5,2414,4,0.055,-0.038,2025-05-28 01:29:03.099091,0.127,49926
33,33,24930,안정,하락,높음,4,6075,5,0.045,0.075,2025-05-08 23:46:51.945107,0.139,48092
34,34,16785,불안정,하락,높음,3,5583,2,0.047,-0.073,2025-05-03 00:24:05.774275,0.064,39487
35,35,24513,불안정,유지,보통,3,8279,3,0.043,0.053,2025-05-14 20:47:00.401545,0.132,24687
36,36,16532,불안정,하락,높음,5,4495,3,0.116,0.143,2025-06-02 01:48:12.671452,0.127,44974
37,37,19472,안정,유지,낮음,3,7458,2,0.144,0.036,2025-05-14 20:07:34.437311,0.106,41425
38,38,23107,안정,상승,낮음,4,6924,2,0.052,0.054,2025-06-01 10:57:17.906217,0.039,21559
39,39,21040,불안정,유지,낮음,3,7867,1,0.111,0.037,2025-05-14 15:25:50.001548,0.11,16140
40,40,17348,안정,유지,보통,3,9924,3,0.012,-0.083,2025-05-10 16:17:02.674170,0.03,35623
41,41,24589,불안정,하락,높음,3,2837,4,0.102,0.039,2025-05-24 08:16:54.507569,0.145,15691
42,42,23647,보통,유지,높음,5,7406,3,0.107,0.142,2025-05-26 14:16:29.379917,0.094,40456
43,43,21621,안정,하락,높음,5,3905,1,0.019,0.117,2025-05-14 05:56:46.496234,0.11,28018
44,44,16127,안정,유지,높음,4,8677,5,0.027,0.019,2025-05-06 17:28:04.890678,0.027,20438
45,45,19831,안정,하락,높음,5,9289,1,0.053,0.145,2025-06-01 06:02:58.306155,0.027,7167
46,46,15600,안정,유지,낮음,4,4142,1,0.067,0.124,2025-05-20 21:06:37.172642,0.077,35078
47,47,17132,불안정,유지,높음,5,2729,2,0.08,0.073,2025-05-21 01:03:54.209996,0.084,9729
48,48,22719,안정,하락,높음,4,1604,3,0.135,-0.086,2025-05-10 03:29:55.707950,0.061,21092
49,49,19459,불안정,유지,보통,4,7502,3,0.108,0.003,2025-05-19 18:28:12.331712,0.012,47893
50,50,24436,불안정,상승,낮음,4,7322,5,0.054,-0.081,2025-05-18 06:05:37.221864,0.137,35479
