project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at
41,1:1 최대화 모델,46,20186481,7408013,준비중,178,2025-02-10
42,디지털화된 상황에 맞는 아키텍쳐,8,13935083,6859896,준비중,35,2025-01-29
43,조절 가능한 교훈적 코어,46,661322,2499373,성공,72,2024-06-21
44,크로스 그룹 비동기 엔진,36,5106824,2825121,실패,177,2025-02-02
45,안전한 지역적 아카이브,49,41901265,3139010,성공,197,2024-08-17
46,더 작아진 방향 축적,29,20978211,146202,성공,142,2024-10-11
47,인체 공학적인 분리된 프로젝트,21,46274000,824889,진행중,194,2024-07-13
48,더 커진 휴대형 공구,24,11731932,563808,준비중,96,2025-04-22
49,다용도 밀착 예보,10,36503495,8466555,진행중,109,2024-10-06
50,안전한 보조 엑스트라넷,26,5300740,5627881,준비중,123,2025-05-17
51,독보적인 그리드 가능 지원,27,45966495,5287850,진행중,12,2024-11-04
52,유저 친화적 컨텐츠 기반 그래픽 인터페이스,4,8293654,7767408,성공,150,2024-07-20
53,적응된 24시간 포탈,50,24385190,5930238,진행중,81,2025-02-06
54,비즈니스 중점적 환경 친화적 어플리케이션,44,14187135,5302018,실패,182,2024-08-23
55,공개 키 3세대 전략,36,16957943,5475771,성공,154,2024-07-19
56,리버스 엔지니어링된 컨텐츠 기반 정책,42,9520787,5356142,성공,111,2024-12-29
57,효율적인 클라이언트-서버 정책,40,16605003,882814,진행중,40,2025-04-10
58,완벽히 설정된 비동기 시너지,21,8785710,4021335,진행중,52,2025-04-18
59,출판된 그리드 가능 엔진,47,20476325,7902302,준비중,101,2025-02-25
60,사용자 중심의 헌신적 능력,43,9511801,7832315,준비중,10,2024-12-18
61,완벽히 설정된 휴대형 서비스 창구,28,33616860,6268764,실패,137,2024-07-18
62,업그레이드 가능한 보조 축적,23,6281563,2618744,실패,49,2024-11-04
63,다중 주파수 정적 접근,2,38540224,5333004,실패,178,2024-10-11
64,프로그래밍 가능한 무관리 패러다임,34,40430542,3486409,진행중,147,2024-11-11
65,무결점의 장거리 모니터링,31,33533526,2630080,성공,196,2024-07-13
66,원활한 스며든 프레임,41,31629364,2448219,실패,114,2024-06-15
67,멀티 채널 실시간 웹 사이트,42,27375597,1810387,진행중,85,2024-09-04
68,더 커진 백그라운드 능력,41,40526211,9732479,성공,61,2024-06-13
69,다양한 취약점 보안구역,45,38986465,5805016,실패,21,2024-06-26
70,변경 가능한 요약 융합,35,3185455,6831295,준비중,106,2024-09-12
71,유저 친화적 작동 배열,38,32953343,2325365,실패,128,2024-09-01
72,진보적인 휴리스틱 알고리즘,49,1462127,5839634,성공,167,2025-06-01
73,더 작아진 컨텐츠 기반 하드웨어,33,25129543,8903259,준비중,198,2025-01-26
74,확대된 국가적 그룹웨어,15,18075513,3965437,실패,42,2025-02-09
75,크로스 플랫폼 문맥 기반 허브,33,18199551,1943123,실패,148,2024-09-09
76,무결점의 6세대 에뮬레이션,26,14649368,88042,성공,77,2024-09-09
77,품질 중심의 4세대 공구,42,37760892,5882150,진행중,102,2024-10-31
78,인체 공학적인 역수 정의,42,47331326,11102,실패,15,2024-09-24
79,강화된 밀착 프레임워크,17,39475390,8731251,성공,184,2025-01-28
80,미래가 보장된 분석중인 도전,11,13276289,9605173,준비중,165,2024-12-23
