question_id,title,content,created_at,difficulty,views,likes,resolve_count
11,Voluptatibus odit beatae quibusdam ducimus aut quisquam amet consequatur.?,"Velit odio praesentium soluta ut necessitatibus. Atque provident voluptates atque tempore magnam officia.
Assumenda saepe quis debitis aliquam corporis minima enim. Expedita inventore earum perspiciatis voluptatum. Impedit eligendi corrupti consequuntur.
Iusto pariatur natus consequatur maiores atque. Impedit sed tempore quas pariatur. Quibusdam tempora quae neque.",2024-11-13 18:17:43.192212,초급,806,38,True
12,Exercitationem molestiae vitae magni possimus at magnam.?,"Animi itaque voluptas harum velit voluptate. Eum eligendi quos eum ipsum.
Deleniti doloribus accusantium. Placeat quisquam quisquam magni.
Aliquam repudiandae iste reprehenderit. Quae rerum error ducimus veritatis consectetur repellat. Officia pariatur sint maiores at officia soluta eligendi.
Voluptas atque enim. Necessitatibus distinctio quibusdam placeat vero nam quas perferendis.",2025-03-07 02:16:42.134905,고급,30,63,False
13,Iure in rem laboriosam libero accusantium impedit architecto dolores beatae.?,"Adipisci ipsum impedit commodi iusto optio amet.
Consequuntur accusantium aspernatur minima.
Eligendi exercitationem nihil eveniet placeat recusandae culpa. Aspernatur ipsum quisquam quaerat. Excepturi ullam quaerat.
Atque explicabo debitis ad dicta.
Quod libero numquam a cumque distinctio unde. Culpa sequi culpa nam aspernatur quidem deleniti. Ut eaque explicabo fuga labore.",2024-10-19 08:26:26.616872,고급,273,89,True
14,Saepe voluptates odit dignissimos enim non.?,"Officia sit quae sapiente nesciunt. Sint quo minima in. Est explicabo blanditiis nam vel possimus possimus.
Modi nihil autem non. Amet inventore illo asperiores id aliquid doloribus nesciunt.
Numquam facere ipsum porro praesentium unde.
Itaque perferendis quasi dignissimos reiciendis. Quasi reprehenderit quasi deserunt voluptatum dicta dolorem. Earum reprehenderit voluptas quibusdam blanditiis exercitationem nesciunt.",2025-02-26 16:35:57.600497,초급,841,9,True
15,Ipsam nostrum deserunt vero laboriosam aperiam enim et voluptatem.?,"Quo adipisci commodi sunt ex itaque deserunt. Accusamus consequuntur repellendus laboriosam consequatur cum laboriosam. Aspernatur ex labore vero soluta fugiat voluptatibus.
Deleniti doloremque ex atque similique. Facere voluptatum exercitationem temporibus nulla ipsam asperiores.
Earum amet expedita praesentium repellendus ex praesentium tempore. Doloribus minus vitae voluptatum. Optio incidunt repudiandae ipsum placeat.
Quaerat error vero beatae maiores. Ipsam vel tenetur sit.",2024-09-06 22:52:41.030676,고급,892,24,False
16,Quidem atque eveniet eius exercitationem porro modi.?,"Voluptates nisi expedita sapiente quis. Eos eveniet necessitatibus amet quasi minus. Repellat nostrum veniam consectetur impedit quo officia.
Maiores tempore maiores sint. Quam vitae nemo cum inventore.
Provident aspernatur ut. Molestias laudantium at ipsam asperiores.
Nam culpa distinctio. Repellendus repudiandae incidunt.
Hic suscipit doloribus harum rem est. Itaque excepturi placeat commodi consectetur. Neque atque laboriosam minima veritatis facilis eius recusandae.",2024-12-07 15:10:58.544354,중급,988,85,True
17,Aspernatur culpa rem corporis.?,"Consequatur quos reiciendis neque officiis. Distinctio corporis iure aliquid iusto. Sint accusamus dicta quidem voluptas blanditiis consequatur suscipit.
Rerum aut soluta nulla cumque facere nemo sapiente. Incidunt perferendis totam mollitia. Ducimus quam omnis amet animi ducimus laudantium.
Hic nisi enim blanditiis nulla saepe. Cupiditate quis cum consectetur.
Distinctio vel animi voluptatem dolor. Saepe quae qui vero alias labore. Odio reprehenderit iste ab.",2024-12-28 18:55:41.394101,초급,864,77,True
18,Libero et unde nobis nisi sequi magni ex placeat deserunt.?,"In ut esse earum. Ut ut reiciendis. Amet at natus enim quasi veritatis cupiditate quam.
Voluptas aperiam veritatis vero possimus delectus ex optio. Perferendis corporis dolorum ipsam culpa.
Tenetur saepe doloribus aperiam. Perferendis illo delectus a deserunt exercitationem.
Laudantium dolore aliquid libero velit. Quisquam doloribus earum doloribus pariatur dolorem.
Quisquam cumque illum a. Animi doloremque assumenda eius minus eveniet est. Libero pariatur ab odit aperiam.",2024-07-30 12:56:05.798616,중급,195,31,False
19,Minima vero veritatis optio maiores.?,"Quo et nihil. Earum natus repudiandae voluptas tenetur. Reprehenderit totam alias eos saepe ea. Quis voluptatibus dignissimos tempore ratione totam quos.
Mollitia animi quis totam autem sapiente aperiam. Cum omnis eaque ducimus mollitia esse explicabo. Odio aspernatur quasi voluptatum.
A commodi nesciunt fugiat. Rem odit repellat id.
Veniam ipsum ex tempore ducimus. Autem distinctio laboriosam nostrum. Rerum ratione eum alias. Minus accusamus suscipit aperiam sunt vel sint.",2025-02-28 05:44:11.659341,중급,232,33,False
20,Tempore aliquam fuga inventore id voluptatibus alias molestiae.?,"Quis unde fuga ipsa assumenda.
Autem quia reiciendis itaque earum dolorem nulla. Quo saepe nihil sed. Corrupti est perspiciatis corporis consequatur cupiditate.
Placeat iusto cupiditate tempore eveniet rerum. Rem itaque corrupti. Facilis ea quasi enim minus ut.
Debitis voluptatum alias accusamus. Culpa praesentium omnis qui ipsam dicta. Maxime cumque placeat numquam inventore nulla. Excepturi eveniet cumque.",2025-01-13 09:55:43.899827,중급,429,17,False
21,Molestiae illo distinctio assumenda facere inventore nulla.?,"Dignissimos laudantium aut distinctio amet. Itaque vitae rerum nulla eligendi. Consectetur accusamus animi necessitatibus.
Quo libero necessitatibus tempora velit saepe. Atque cumque aut iusto labore in consequatur. Consequatur alias accusantium. Magni quae beatae cupiditate molestias nam fugiat.
Enim fugit enim dolor aspernatur ducimus. Accusamus doloribus nobis repudiandae. Itaque iusto laborum molestiae.",2024-06-27 18:49:59.002515,고급,932,99,False
22,Repudiandae dolores dolorum expedita eligendi deserunt nostrum dignissimos ab eligendi.?,"Sunt ducimus laudantium quo repellendus ab eius. Suscipit quae non quidem nostrum quas officiis.
Nobis voluptatum quae blanditiis odit facere eos. Neque reiciendis culpa animi.
Molestiae natus velit eum placeat reprehenderit. Sint quidem repudiandae nihil harum dignissimos molestias. Possimus labore praesentium nostrum enim quae.
Ad excepturi doloremque. Omnis sint odit mollitia doloribus voluptas.
Facilis possimus enim labore. Quod aliquid error.",2024-08-16 08:47:07.692068,고급,96,58,True
23,Accusamus ut asperiores earum excepturi delectus.?,"Iure provident eveniet aperiam quas. Optio dicta sapiente. Soluta qui officiis nemo quaerat.
Ad voluptas molestiae nam modi tempora similique. Ea iusto labore consequatur quam iure rerum.
Commodi natus placeat saepe ex.
Unde odit perspiciatis fugiat. Eum ipsam quam iusto minima eveniet voluptas.
Unde labore magni eius maiores. Eveniet quis vero explicabo odit adipisci est. Porro cumque blanditiis odio reprehenderit quidem. Eos neque reiciendis quis culpa id.",2025-05-04 04:05:51.769271,고급,577,74,True
24,Itaque eveniet sunt alias assumenda repudiandae illum deleniti consequuntur.?,"Nihil ipsum voluptatibus aliquid magni vel sunt. Occaecati autem labore at quia.
Ipsum quod beatae itaque reiciendis deserunt. Non ullam totam nihil reprehenderit eum.
Facere fugit minus hic. Perferendis ea itaque similique quas inventore eos ipsa. Corrupti quidem quaerat.
Explicabo cupiditate ipsum nisi nam libero fuga id. Cupiditate adipisci soluta.
Laborum illum tempore provident ex doloremque. Animi officiis exercitationem tenetur.",2025-02-25 22:22:33.215524,초급,942,25,False
25,Cum molestiae amet culpa accusamus natus deleniti.?,"Quos quae accusantium incidunt doloribus molestiae. Placeat expedita est similique quod et.
Iusto ab autem exercitationem provident et. Voluptatum recusandae quam vitae iusto at.
Aliquam porro magni non. Laborum commodi maiores nam sint. Ipsa voluptas hic in iusto corrupti.
Tenetur deleniti dignissimos ipsa natus autem possimus. Optio voluptate aut natus sit assumenda laboriosam. Sequi repudiandae voluptatum accusantium dolores molestiae distinctio sint.",2024-08-13 06:29:41.075895,고급,721,8,True
26,Aut commodi omnis voluptas sed hic exercitationem ut.?,"Ipsa natus debitis odit ipsa. Dolorem odio ab. Dignissimos odit nemo molestias voluptatum recusandae.
Ab eius a neque culpa. Recusandae beatae quis animi. Tempora ratione quod architecto eum.
Voluptate excepturi perspiciatis inventore dolorum at deleniti. Inventore labore facere ab. Laboriosam quasi similique sequi.
Repudiandae repudiandae occaecati repellat error nam omnis. Magnam reprehenderit mollitia architecto. Officiis tenetur aliquam eaque quidem architecto repudiandae.",2025-05-06 10:34:09.488338,중급,872,15,True
27,Debitis quo numquam veritatis eveniet nisi iusto et ratione itaque consequuntur.?,"Exercitationem delectus quis ea. Explicabo suscipit sed laudantium iure.
Et molestias impedit aspernatur adipisci dolorem. Odio expedita facilis reprehenderit.
Architecto beatae nobis aperiam temporibus eaque. Fuga molestias enim molestiae. Praesentium illum optio.
Eligendi cumque nulla assumenda aliquam numquam vero. Libero non beatae iusto quia at. Assumenda fugiat perspiciatis molestias esse.",2025-04-18 10:18:29.396930,초급,693,52,False
28,Nesciunt nisi minima natus dolore modi eos id fugit.?,"Ducimus hic provident ullam magni modi sint. Pariatur omnis error qui neque ullam necessitatibus.
Quibusdam cumque animi vero quaerat sunt tempore eum. Esse atque iusto ipsam quod aperiam reprehenderit sapiente. Dolorem at id quasi.
Esse doloremque hic rerum saepe.
Maxime unde odio deleniti velit autem. Perferendis sint error asperiores excepturi voluptate.
Beatae est dolore fuga blanditiis optio laborum aspernatur. Itaque placeat quisquam eos perspiciatis.",2024-06-18 13:18:11.510212,초급,937,53,False
29,Perspiciatis voluptas rem modi voluptates quod cum.?,"Itaque molestiae eligendi debitis maxime voluptatum voluptatibus aliquam. Dolorem illum fugit ea. Quisquam fugiat facilis soluta sint id. Incidunt distinctio commodi sequi amet facilis.
Sunt commodi explicabo corrupti eius nobis. Eum quo doloribus blanditiis illum commodi.
Ea maxime eligendi fuga. Quae natus suscipit ad aut dignissimos. Sequi accusamus similique doloribus odio minus voluptatibus.",2024-07-21 10:33:41.984066,고급,330,64,False
30,Voluptatibus cupiditate similique cupiditate.?,"Quia error numquam minima dolorum sed praesentium. Doloremque aliquam labore asperiores animi amet. Facere blanditiis animi accusantium odio.
Tempora id pariatur voluptatum impedit. Maiores quod corrupti quaerat rerum nostrum.
Pariatur quas doloribus inventore ducimus perferendis ipsam reiciendis. Accusantium nihil cupiditate enim ipsam optio.
Expedita aut necessitatibus omnis eos laborum. Doloremque esse excepturi explicabo laudantium aliquam voluptates.",2024-07-16 01:45:16.225338,고급,809,43,True
31,At quam hic sunt minima minus ab ex.?,"Provident quaerat asperiores dolores praesentium. Velit perspiciatis magnam omnis officia. Necessitatibus veniam nemo amet eveniet.
Mollitia similique itaque deleniti suscipit tempore. Qui accusantium modi rem quasi necessitatibus perferendis. Tempore quaerat quibusdam fugit laudantium deleniti molestias itaque.
Incidunt est cum ab perspiciatis porro incidunt quis. Voluptas fugiat sint ipsa iste. Fugiat dignissimos pariatur autem impedit quas ipsa dolor.",2024-09-03 18:57:50.680885,고급,422,55,True
32,Harum reiciendis veritatis optio repellat nam.?,"Praesentium ea quo animi quaerat accusantium explicabo. Veritatis neque itaque ea rem.
Amet odit doloribus. Quibusdam delectus sunt tempora eveniet quaerat.
Nemo facere laborum sit voluptate nisi. Voluptatem veniam ad provident molestias id.
Atque reiciendis laudantium molestias eum ipsum. Ad quod eos sed nisi suscipit. Magnam nam minima pariatur et tempora quos laboriosam.",2025-03-06 05:08:25.529148,고급,818,5,True
33,Voluptate corporis optio dolorum minus eum aperiam quae minima perspiciatis quibusdam.?,"Impedit error nam deleniti molestias nam. Adipisci iusto tenetur voluptates corrupti. Eveniet odio quos enim.
Voluptate ut enim natus quo numquam officiis. Itaque molestiae nam molestiae necessitatibus in.
Molestias vitae eligendi nostrum.
Excepturi architecto excepturi laudantium doloremque autem. Facilis quia rem quis fugit voluptates.
Ipsum odit rem porro ad porro. Illo quod nulla sed tempora.
Atque ex commodi. Accusantium est earum deserunt tempore numquam veritatis.",2025-01-23 07:24:11.416456,초급,887,85,False
34,Id voluptates fuga maxime reprehenderit quas illum consequuntur voluptates.?,"Distinctio nemo a labore est. Itaque accusamus fuga soluta cumque.
Neque delectus omnis cum odio asperiores dolore. A unde consequatur fugit nulla ex. Totam voluptate sunt beatae qui earum.
Dolorum eaque repudiandae nam id consequatur sit. Culpa beatae perspiciatis quibusdam harum tempore.
Vitae nulla eaque iure aliquid reiciendis placeat expedita. Quibusdam laborum sequi quidem eveniet. Aut omnis at illo recusandae unde.",2024-12-29 13:54:53.871383,초급,362,27,True
35,Deserunt magni suscipit quidem architecto deserunt tempora.?,"Ipsam molestias laborum occaecati. Consequatur quibusdam ex consectetur modi sint nisi.
Ipsum dicta modi laboriosam. Autem ipsam eius atque hic. Natus odit ut necessitatibus ut eius ducimus.
Minima alias incidunt facere aliquid asperiores beatae. Iure eum laboriosam nisi odio aliquid quaerat tempora. Minima rerum nemo ipsum consequuntur iusto repellendus. Atque aliquam recusandae numquam delectus alias nihil.",2024-10-06 06:49:45.996687,초급,933,77,True
36,Libero incidunt accusantium pariatur modi.?,"Nisi ab saepe pariatur ipsam iste recusandae. Ratione atque odio vero. Quae expedita qui fugit dicta.
Ad dolor autem unde ipsam perferendis eius tempore. Eius non quasi voluptatum.
Nisi iure ipsum minus enim rem ex sed. Inventore laboriosam quia quidem dolor.
Earum nesciunt et omnis optio voluptas. Consequuntur nostrum nisi voluptas. Voluptas minus harum maxime earum libero exercitationem mollitia. Facilis veritatis maxime beatae architecto quae error.",2024-06-26 16:35:03.053403,중급,499,22,True
37,Temporibus repellat nostrum qui non nobis eaque quibusdam occaecati placeat.?,"Libero quisquam cum voluptatibus ipsa. Quas dolor labore possimus. Labore cupiditate fuga quisquam fugit iste autem.
Nemo eaque neque consectetur. Autem ipsa necessitatibus labore. Id magni eligendi.
Minus quaerat aliquid animi placeat libero. Officiis magnam ut laboriosam.
Eligendi officiis iusto tenetur optio odio quam. Sint tempore quibusdam nemo excepturi dolorem. Facere suscipit veritatis assumenda explicabo id.
Ipsa voluptatibus id eius. Ipsa architecto minima assumenda.",2024-06-30 18:51:53.332820,초급,17,72,True
38,Dolor ut corrupti temporibus itaque voluptas cumque.?,"Voluptatibus amet eveniet dolorum. Nobis sit adipisci error. Alias alias inventore blanditiis delectus.
Minima sequi fuga temporibus expedita quos. Modi cupiditate quidem dolorum qui sit dolorum nam.
Accusantium incidunt reprehenderit ipsum. Impedit porro libero inventore ipsum quidem vitae.
Quas repellat doloribus assumenda facilis quibusdam suscipit. Voluptatibus praesentium amet neque.
Dicta architecto impedit odio sunt eum nostrum. Illum aut dignissimos ab quos repellendus placeat.",2025-04-22 16:32:50.993943,중급,725,55,True
39,Nulla corrupti atque nam nihil ullam facere.?,"Sequi praesentium aut iste ullam. Omnis consectetur odit nam illo distinctio. Inventore aperiam ex impedit eaque quia pariatur quos.
Dolorum ab culpa quis voluptas similique quae. Beatae quos quam quas architecto similique libero. Odit temporibus commodi saepe nostrum incidunt fuga temporibus. Dolores ducimus nam minus earum maxime.
Explicabo beatae vitae praesentium.
Facere delectus ducimus. Adipisci sequi deserunt officia.",2024-11-26 09:01:21.594807,초급,757,72,True
40,Officiis voluptas reiciendis voluptas eos alias.?,"Quisquam facere aliquam quaerat similique repellat qui. Quibusdam quasi saepe animi laudantium quos omnis.
Iure debitis neque nihil tempora. Quaerat sunt veritatis mollitia architecto veritatis.
Quasi dolorum sit a repudiandae aperiam eveniet. Delectus voluptatibus commodi voluptate repellat omnis. Vel repudiandae ipsum enim modi quisquam suscipit. Et minus eius accusantium dicta a.
Perferendis dignissimos sapiente dolorum repellendus a quibusdam.",2024-09-22 23:11:45.577116,고급,505,84,False
41,Adipisci quod provident sunt provident vel eius explicabo.?,"Error labore aperiam. Consectetur tempora voluptas mollitia ea natus. Laboriosam quam aliquam veniam dolore minima.
Cumque fugit praesentium impedit esse.
Quaerat consequatur rerum laudantium quos accusantium doloremque expedita. Enim repellendus dolorum. Ad iste iste nam nihil.
Fugiat enim commodi doloribus repellendus impedit vel.
Ullam iure magnam delectus illo labore reprehenderit adipisci. Possimus magnam recusandae odio doloremque saepe.",2024-09-04 22:47:59.814777,중급,940,51,True
42,Dicta voluptatum aperiam accusantium debitis eligendi laboriosam soluta tenetur non.?,"Nobis eligendi molestias quidem illum illum error. Ab pariatur est molestias fuga tempora voluptatem. Autem eos labore aut.
Delectus doloribus consequuntur optio tenetur beatae. Ipsum repellat provident possimus qui. Assumenda fuga error architecto dignissimos animi fugit harum.
Fugit minima iste aut deserunt nihil. Eos quam rerum labore. Impedit eligendi magni officiis veritatis. At commodi suscipit delectus adipisci natus a.",2024-09-10 18:43:29.169486,초급,736,6,True
43,Optio quam modi vel accusamus in inventore veritatis.?,"Nesciunt dolore at nisi quisquam neque qui.
Odit tempore eum quas vel. Alias dolore quae minima incidunt neque voluptatum.
Nesciunt quisquam perferendis vel assumenda. Laboriosam explicabo quo magnam corporis tenetur. Maiores consequatur repellendus ratione ipsa odit.
Provident quidem nostrum eaque officia voluptatum. Inventore aspernatur hic asperiores itaque. Ullam porro unde.
Consequuntur non temporibus harum corrupti quasi a. Dignissimos sed quod quo eius voluptate possimus quaerat.",2024-12-08 16:04:09.711107,고급,999,60,True
44,Unde consectetur quia assumenda similique praesentium dolore voluptatum illum aperiam.?,"Rerum a nemo odio quam nisi consequuntur explicabo. Autem sed aspernatur pariatur tempore tenetur.
Sapiente magni quaerat eligendi.
Reiciendis excepturi quibusdam repudiandae ipsa quae quam est. Unde nam nisi molestiae unde reprehenderit consequatur. Corporis eos corrupti sunt.
Harum ea unde alias. Iure quis architecto accusantium provident.
Asperiores rem fugiat natus placeat. Occaecati porro recusandae officiis illo sint placeat.
Dolorem dicta similique corrupti dolorum sunt ullam.",2025-05-06 22:44:51.921768,고급,583,11,False
45,A temporibus magnam saepe amet cumque voluptate quae iste nam.?,"Quam quibusdam excepturi voluptas esse id deleniti. Nemo ipsam aut occaecati.
At aliquam molestiae omnis eveniet eius. Facere veritatis ut tenetur provident.
Eius nam veniam. Est sed esse molestias beatae maiores. Aliquam eos autem sequi dolores adipisci. Nostrum ad eligendi.
Est esse exercitationem excepturi facilis. Necessitatibus qui deleniti odit beatae nostrum. Pariatur quas placeat facere iure repellendus accusamus.",2024-07-28 12:12:26.343112,중급,301,48,True
46,Vel harum modi iste hic unde amet explicabo.?,"Repellendus sequi ea quisquam ipsum possimus eligendi explicabo. Mollitia quam error sunt. Ullam dolorum voluptates itaque deleniti magnam atque cupiditate.
Laborum rem aliquam delectus dicta. Esse ipsam voluptatibus repellendus dignissimos nam eveniet. Quibusdam rerum dignissimos suscipit illum esse odio quos.
Error dolore quos quidem laudantium facere neque officiis. Beatae doloremque facere saepe eius natus. Ullam porro repudiandae saepe.",2024-11-28 23:49:04.573709,중급,539,78,True
47,Sequi incidunt mollitia porro nihil beatae eos pariatur.?,"Nisi veritatis reprehenderit beatae. Culpa occaecati odit tenetur eum. Natus nulla excepturi numquam rerum dignissimos ullam.
Repudiandae minus blanditiis dignissimos id. Occaecati dicta excepturi corporis unde. Recusandae tenetur a nihil eaque quae.
Neque aspernatur dolores. Accusantium in ut itaque tenetur dolorum.
Totam inventore ex unde. Dolorem occaecati rem necessitatibus. Accusantium exercitationem placeat.",2024-10-27 21:22:47.131943,고급,197,87,False
48,Saepe velit placeat consequuntur minima eum.?,"Praesentium minus amet sunt autem. Expedita in eius reprehenderit reprehenderit quis. Corrupti impedit magni aliquid officia error.
Fugit dolorum rerum officia. Qui labore in perspiciatis explicabo quis. Explicabo iusto neque.
Aspernatur aut veritatis nihil aperiam ex deserunt. Amet aliquam distinctio nulla commodi facilis consequatur. Porro alias commodi quasi animi.
Voluptatum dolorem esse sed odit. Quia sequi eaque nemo voluptatem.",2024-07-01 03:15:42.292527,초급,37,0,False
49,Reiciendis quis a modi unde perspiciatis incidunt culpa.?,"Tempore optio quasi.
Dolorem rerum culpa possimus rerum. Recusandae quisquam et.
Libero expedita vero illo. Tenetur sapiente laboriosam ea quis quasi. Nostrum reprehenderit occaecati.
Quo aliquid laborum iste. Placeat corporis iusto fugiat sit porro optio.
Blanditiis eaque nesciunt cupiditate voluptate saepe. Delectus molestiae voluptate dolore occaecati eum consectetur.
Officiis libero sint at optio. Velit consequuntur adipisci fugiat. Quod unde exercitationem praesentium.",2024-10-25 16:06:06.748355,중급,575,38,True
50,Ullam asperiores fugit explicabo beatae quae ratione.?,"Neque explicabo minus. Reprehenderit incidunt officiis maxime. Necessitatibus amet quis voluptatum aliquam nemo laudantium.
Ex perferendis doloremque ad. Pariatur enim odio ipsam labore.
Natus eligendi fugiat voluptates voluptatum tempora. Voluptate possimus quaerat qui.
Nesciunt pariatur dolor dolore cum. Esse delectus dignissimos expedita. Expedita voluptatum aspernatur dolores sunt magni nesciunt.",2024-11-07 23:10:37.205892,고급,861,14,False
51,Modi officia tempora tenetur autem iure.?,"Ipsam impedit blanditiis aperiam harum. Illum magni quam quas maxime excepturi magnam. Ipsam natus amet cum itaque vero.
Aliquam itaque hic esse est earum. Illum blanditiis perspiciatis necessitatibus rem ab.
Placeat culpa neque soluta. Facilis deserunt nobis natus laudantium.
Ducimus tempore enim. Fugiat adipisci alias quidem.
Nemo illum officiis dicta atque reprehenderit exercitationem. Repudiandae iste neque explicabo.
Delectus consequatur hic aliquid nisi voluptates.",2025-03-29 23:37:35.307733,고급,895,18,True
52,Ipsa accusantium quis commodi sequi.?,"Quos dolor tempore quis consectetur. Sint doloribus soluta quas. Nam officiis necessitatibus impedit accusamus minima expedita.
Inventore quos tenetur non aliquid ad. Blanditiis et dignissimos iste dolorum magnam.
Rem quasi nemo quam. Odit excepturi beatae quisquam a quasi dolor. Ipsam incidunt voluptate corporis.
Odio iusto eveniet ex molestiae placeat rerum molestiae. Molestias sint nemo eligendi. Pariatur voluptatem corrupti perspiciatis enim odit.",2025-03-20 01:15:17.994206,초급,552,0,True
53,Accusamus possimus doloremque accusantium aut libero quisquam tempora assumenda explicabo.?,"Quasi sapiente exercitationem. Odit at fuga aliquid quidem. Dolore repellat necessitatibus consequuntur animi praesentium.
Aut sint totam minima. Odio vel quibusdam vel repellendus animi dolorem.
Sapiente tempore officia omnis quo. Modi error repellat fuga modi. Odio animi eius.
Fugiat expedita ut iusto nam. Tempora quidem doloribus officia nobis. A aliquam consequuntur aliquid veniam atque veniam numquam.",2025-01-15 11:38:45.854820,고급,725,58,False
