result_id,takers_id,validity_check,neuroticism_score,openness_score,agreeableness_score,conscientiousness_score,stress_level,recommendation,report_generated
22,22,True,3,3,6,6,높음,"Est ut iure provident. Voluptatibus autem similique veniam quod nam dolorum autem.
Inventore sequi incidunt rerum. Soluta quis facilis id. Eum minima doloremque.
Sunt quis laborum aliquam earum. Sequi officiis qui. Eos error ratione quae ad asperiores nesciunt.",True
23,23,True,3,8,4,10,매우높음,"Saepe molestiae porro tempora error atque labore. Eius praesentium nemo iure adipisci eius.
Perspiciatis modi quam.
Incidunt dignissimos minus nulla necessitatibus illum. Provident modi aspernatur nostrum. Voluptatem aperiam alias.
Corporis porro iste. Quaerat deleniti iure est.",True
24,24,True,6,10,9,6,보통,"Adipisci molestiae numquam quod porro incidunt ea. Soluta eaque suscipit repudiandae molestias cumque.
Ex neque odit porro laudantium explicabo enim.
Ducimus exercitationem aut ut. Enim itaque sapiente cupiditate dolor. Magnam ipsum minima laboriosam quibusdam cumque.",True
25,25,True,3,6,1,6,높음,"Autem eveniet numquam nam. Asperiores a eligendi vel ea.
Sit voluptates doloremque modi. Facilis placeat ipsa omnis. Officia numquam ab officia rerum minima.
Quisquam magnam illo. Quam unde ut voluptatibus accusantium iste. Magni excepturi consequuntur nisi ut aliquam nihil ducimus.",True
26,26,True,8,1,1,2,보통,"Maiores modi aut assumenda. Error ut quos excepturi excepturi repudiandae blanditiis ipsa.
Praesentium dignissimos quam. Accusantium eum perferendis perferendis fuga quisquam. Atque porro doloribus a earum perspiciatis harum.
Nobis alias iusto sapiente ullam dolor voluptates. Ex eaque voluptatem.",True
27,27,True,5,4,8,1,낮음,"Pariatur magni quasi veniam minus ducimus laborum libero. Doloribus corrupti minima velit fuga odit eos accusamus.
Recusandae optio iste. Quas illum debitis reiciendis repellendus.",True
28,28,True,7,6,3,1,매우높음,"Cupiditate porro necessitatibus officia est occaecati beatae. Magnam nostrum ad aliquam id.
Excepturi nostrum itaque earum similique. Nihil odio eum accusantium exercitationem.
A recusandae impedit omnis. Sunt inventore iste.",True
29,29,True,2,6,8,9,매우높음,"Ipsum sint optio facilis fugit odit. Provident assumenda sit esse nobis ut similique.
Dolore sed dignissimos nam unde. Repellat optio consectetur odit eaque neque dolor aperiam.
Animi pariatur deserunt amet totam iure. Magni doloremque doloribus aliquid.",True
30,30,True,8,6,10,4,매우높음,"Voluptatum ullam delectus ut dolorem. Soluta illum quis harum distinctio fuga.
Occaecati sequi quidem. Aperiam exercitationem molestias excepturi ea accusamus molestiae.
Quas eaque voluptas nulla alias. Quisquam omnis eos iste voluptates.
Quasi reiciendis ducimus. Eum quis alias nisi nisi cum.",True
31,31,True,2,8,9,6,매우높음,"Deserunt eos numquam alias illum. Totam eius enim cumque itaque nostrum explicabo. Voluptate ipsa eos dolorem.
Quia quasi molestias corporis quidem. Excepturi sequi omnis ex reiciendis autem odit vitae.
Totam mollitia eaque earum beatae saepe. Esse tempora libero sequi officiis.",True
32,32,True,5,2,1,1,높음,"Excepturi assumenda voluptas et repellendus. Totam excepturi provident provident tenetur eius odio. Dolor sed fuga maxime quasi.
Officiis odit perferendis nulla beatae. Voluptatum iusto temporibus aperiam delectus incidunt eum.",True
33,33,True,9,9,7,4,매우높음,"Eos maiores aperiam beatae aliquid praesentium maiores. Ipsum corrupti eum dolor soluta tempora.
Voluptatibus quidem incidunt facere minima. Magnam optio ratione laudantium consequatur modi porro quasi. Voluptates quod nisi nemo inventore perspiciatis sequi.",True
34,34,True,3,3,6,10,매우높음,"At alias eum vero. Accusamus dolore veniam impedit. Mollitia commodi nesciunt ex qui quis numquam. Provident culpa consequuntur.
Excepturi ab ratione provident voluptatibus ratione nisi ullam. Inventore corrupti omnis autem blanditiis consequuntur occaecati ut.",True
35,35,True,6,5,7,8,높음,"Sint nobis iste vero asperiores. Quos aliquam porro soluta deserunt magnam.
Aspernatur dolor a dolorum magnam distinctio quod. Sapiente numquam debitis odio dignissimos laborum ut.
Aperiam cupiditate natus voluptate odio nesciunt impedit.",True
36,36,True,3,6,10,5,보통,"Error exercitationem fugit aut voluptas autem maxime. Illum nobis ut vel. Suscipit voluptatibus commodi. Soluta eos deleniti.
Tempora adipisci iste expedita nemo earum nobis eius. Mollitia dolorum pariatur similique a voluptates. Minus in assumenda enim. Distinctio libero cumque aspernatur.",True
37,37,True,6,9,6,9,보통,"Dolorem voluptatem ullam vero.
Vel aspernatur commodi dolorum officiis. Possimus laudantium vero ea ipsum pariatur nisi similique. Provident debitis saepe temporibus necessitatibus.
Totam iusto excepturi laborum vitae impedit. Nihil vel nobis. Quidem sapiente repellendus incidunt maiores ullam.",True
38,38,True,10,4,1,3,높음,"Nihil illum consequuntur ut. Delectus facilis occaecati. Eius commodi inventore animi.
Doloremque repellendus aperiam reprehenderit. Voluptatum facere inventore.
Nam quo cupiditate saepe. Nihil sed reiciendis facere accusantium laborum.",True
39,39,True,8,10,4,1,보통,"Fugiat incidunt animi soluta expedita explicabo. Ut necessitatibus perferendis vero sapiente modi.
Natus magnam et explicabo. Commodi explicabo aliquid dolorem dolore mollitia.
Asperiores possimus temporibus dolor eos quam sed.",True
40,40,True,7,4,8,8,매우높음,"Aspernatur voluptate maxime. Architecto aperiam error quis quibusdam inventore quisquam. Nemo nostrum maiores necessitatibus rem praesentium.
Ipsum quisquam odio adipisci consequatur. Accusamus magnam suscipit quasi consectetur eveniet eum blanditiis.",True
41,41,True,6,1,4,6,매우높음,"Blanditiis odit recusandae explicabo. Quo aperiam repellendus consequuntur corrupti. Nam maiores assumenda accusantium amet quia totam.
Sapiente nemo veritatis aspernatur veritatis ipsam dolorem. Perspiciatis rem eligendi quisquam. Aliquid aliquam possimus facere cum.",True
42,42,True,4,8,2,8,높음,"Ea modi corrupti autem. Non tempora natus quisquam iure. Nam magni maxime dicta ullam distinctio.
Laboriosam quam assumenda. Delectus sit recusandae temporibus laborum. Voluptate autem culpa expedita qui.",True
43,43,True,6,2,2,6,낮음,"Ratione cupiditate consectetur porro a repudiandae eaque fugit. Ullam reiciendis laborum itaque maiores. Iste numquam reprehenderit ratione itaque eveniet dolorum.
Molestiae voluptatem vitae culpa amet. Hic ratione facilis velit sunt quia. Rem impedit ex pariatur commodi ad dolor.",False
44,44,True,7,1,7,4,높음,"Quam distinctio porro. Placeat soluta architecto explicabo itaque libero impedit. Doloremque facere veniam nisi earum. Quod sint doloribus vitae optio recusandae aspernatur.
Ducimus veniam neque iure. Id asperiores provident id minima nemo et. Fugit sint in voluptas libero.",False
45,45,True,8,7,8,8,낮음,"Voluptates quibusdam ipsa ea laborum inventore. Error sit unde quod quod itaque quas. Suscipit vero rerum adipisci fugiat.
Libero labore impedit similique expedita. Nesciunt nesciunt corporis facere. Explicabo consequatur labore sapiente quos laboriosam.",True
46,46,True,7,6,2,3,보통,"Tenetur est iure dicta optio quo. Exercitationem porro blanditiis culpa. Ut laudantium quod harum ipsa recusandae.
Ad sunt itaque esse maxime officiis voluptatum. Dolores debitis delectus iure ab cumque facilis.",False
47,47,True,8,3,10,5,매우높음,"Libero tenetur quisquam sequi consequatur rerum exercitationem. Doloribus culpa facilis consectetur veritatis.
Temporibus quas modi qui recusandae. Molestiae expedita ipsum amet provident iure repellendus vitae.",True
48,48,True,5,1,7,7,매우높음,"Voluptate quos aspernatur voluptatibus. Repellat quibusdam quae voluptatibus consequatur quasi.
Officiis assumenda occaecati voluptatem illo omnis porro vitae. Inventore velit error libero.
Ducimus aliquid ratione. Placeat facilis eligendi sit. Ullam ipsa accusamus quod consequuntur voluptatum.",True
49,49,True,9,3,9,6,보통,"Sint velit fugit inventore delectus. Autem eius accusamus expedita expedita. Porro nostrum sunt fugiat.
Sequi nostrum porro. Error odio qui velit quas. Iusto libero quia.
Maiores dicta inventore cum.",False
50,50,True,7,8,1,7,낮음,"Repellendus optio at natus amet consectetur.
Consectetur est ad placeat eveniet ea. Nam iusto quasi. Quisquam facilis vitae provident tempore. Reprehenderit consequuntur eius odit quae saepe.
Quo rem porro. Itaque eligendi assumenda deserunt neque odio praesentium.",True
51,51,True,8,9,2,7,높음,"Eveniet quod ratione maiores.
Consequatur nobis ipsa. Necessitatibus magnam fugiat quidem unde voluptatem ducimus. Ea labore reprehenderit numquam assumenda ducimus.
Exercitationem non qui vitae natus. Odit ipsam hic illo.
Sint perferendis culpa molestias delectus. Esse debitis laboriosam incidunt.",True
52,52,True,10,1,2,10,높음,"Eos quos neque quaerat eum. Architecto dicta at repellendus iste.
Quibusdam soluta accusantium quisquam aliquid qui. Hic odio est velit.",False
53,53,True,7,4,1,1,보통,"Corporis incidunt deserunt repudiandae quidem. Ratione aliquam odio odit esse facilis. Accusantium earum quod molestiae.
Quisquam consequatur asperiores blanditiis. Quasi odit doloremque sequi laudantium. Molestias quod aspernatur corporis praesentium.",False
54,54,True,5,6,4,2,높음,"Iure unde beatae. Sunt dicta consequatur nesciunt saepe reiciendis placeat. Officiis laboriosam nobis accusamus iure mollitia autem.
Quidem quae animi quis debitis. Ipsam illo architecto porro animi ipsa ipsam fugiat. Aperiam eveniet molestias modi.",True
55,55,True,10,4,5,1,높음,"Earum necessitatibus dolore repudiandae autem. Aliquid possimus molestiae eos fugiat maxime dicta eos.
Odit facere accusamus atque itaque quo vitae. Nobis ullam odit ut illo ducimus voluptatem saepe.
Dolorum vitae ut omnis vel. Deserunt voluptates dicta maxime suscipit similique animi itaque.",False
56,56,True,5,4,8,10,낮음,"Commodi mollitia quidem.
Illum neque voluptas deserunt. Officiis quod ullam voluptate qui voluptatibus impedit.
Totam voluptas saepe aliquam adipisci fugiat quasi. Est cumque quasi tempora consequatur hic assumenda. Numquam pariatur ullam provident perferendis doloribus quod.",True
57,57,True,9,6,10,5,높음,"Nobis nemo at quis.
Exercitationem velit sunt sint blanditiis. Aliquid vitae quia doloribus.
Vitae natus illo porro nihil.
Dolorum dolores sequi aliquid beatae quisquam. Libero nisi eos tempora. Praesentium maxime corporis illo.",True
58,58,True,2,3,1,6,매우높음,"Sequi facilis veritatis dolorum reprehenderit temporibus quidem. Commodi nihil labore voluptatibus omnis soluta quod earum.
Voluptatem similique illo praesentium dolore eum exercitationem. Nam alias dolor fugit quibusdam.
Modi placeat asperiores ipsa porro molestias cupiditate. Magnam non non.",True
59,59,True,2,2,10,2,매우높음,"Minus earum a quibusdam consequuntur. Nisi dignissimos repellat aspernatur. Ullam sed impedit nesciunt quidem ab tempore facilis.
Modi mollitia veniam ipsum a. Provident accusantium beatae eos magni. Doloribus explicabo eius necessitatibus aut maiores voluptatibus. Earum sapiente aut vitae impedit.",True
60,60,True,3,10,4,9,높음,"Dolor facilis iste cum ratione magni at. Ea maxime voluptate quidem minima totam necessitatibus rerum. Voluptatibus sequi odio est.
Reprehenderit atque a eligendi facilis ducimus omnis. Quod tempore dolor excepturi.
Eligendi illo expedita sapiente culpa culpa. Officia maiores tempora nesciunt.",True
61,61,True,10,7,8,3,매우높음,"Provident velit quam incidunt. Enim eius vitae molestias consequatur. Culpa nihil ratione.
Fugit officiis magnam nostrum. Laudantium asperiores mollitia. Vero corrupti eaque ratione voluptates excepturi a.
Perferendis sint veritatis suscipit saepe.",True
62,62,True,9,5,10,2,보통,"Aliquam ab voluptates. Nihil soluta veritatis maxime reprehenderit.
Quibusdam illum corrupti necessitatibus aspernatur cumque. Ab cupiditate vitae.
Maxime at inventore excepturi repellat quis. Perferendis aperiam consequatur iure quibusdam ipsum. Vero facere magnam quidem ipsum asperiores quos.",True
63,63,True,8,9,2,3,매우높음,Ex repudiandae non error nostrum mollitia. Magnam blanditiis perferendis accusantium. Reiciendis assumenda consectetur provident ratione harum repellendus.,True
64,64,True,10,9,2,7,높음,"Tenetur laudantium aspernatur culpa sequi ea. Impedit error dolorum porro perspiciatis. Corporis et eos.
Iure facere in sint illum nihil. Aperiam eius tempora placeat officia.",True
65,65,True,2,1,10,10,보통,"Possimus recusandae delectus iusto. Est voluptatem quidem eaque sunt fuga. Voluptatum modi aliquam nisi cumque explicabo non.
Accusantium sapiente repellendus itaque necessitatibus vel officia. Itaque doloribus fugiat. Veritatis odio cupiditate at reiciendis officia dolores.",True
66,66,True,7,3,8,8,높음,"Deserunt sapiente libero ab quia debitis. Labore dolor eveniet nulla.
Veritatis doloremque earum ipsa quo laboriosam. Voluptatem dolor occaecati doloremque.
Voluptatibus voluptates voluptatibus ullam sequi impedit qui. Architecto veniam asperiores quam fuga nulla.",False
67,67,True,3,8,10,1,보통,"Eum at dignissimos voluptatibus. Veritatis impedit odit cumque doloribus. Eum nostrum perspiciatis neque at asperiores assumenda.
Mollitia facere saepe expedita voluptate voluptate quidem. Soluta deserunt accusantium facere. Sunt reprehenderit quod.",True
68,68,True,8,9,2,9,낮음,"Impedit voluptas asperiores iusto iusto optio. Corrupti laboriosam repellat aliquam.
Similique iure veritatis sint voluptatibus minima. Reiciendis cupiditate laborum.",True
69,69,True,6,7,1,10,매우높음,"Consequuntur perspiciatis atque mollitia.
Voluptates rem nulla magni ipsa non sint. Eius delectus temporibus assumenda temporibus deserunt deserunt eos. Error reiciendis cumque.
Necessitatibus repellendus fugit eligendi.",True
70,70,True,8,9,10,8,낮음,"Natus voluptas blanditiis mollitia aperiam saepe. Corrupti explicabo numquam consectetur aperiam inventore impedit. Cumque accusantium veniam consequatur. Eius consequuntur deleniti enim nemo veniam.
Mollitia facere aspernatur commodi illo officia. Nihil commodi explicabo odit provident esse sequi.",True
71,71,True,9,5,10,7,보통,"Nesciunt aut id repellendus totam ducimus. Illum facilis pariatur ipsam accusantium vero. Unde quod doloribus asperiores doloribus.
Fugit reiciendis saepe inventore porro fugit. Dolorum provident laborum.
Explicabo asperiores praesentium. Nulla corrupti nihil porro sapiente sapiente.",True
72,72,True,8,7,7,10,매우높음,Consectetur nesciunt numquam fuga illum a. Cupiditate sapiente amet maiores aspernatur. Rerum ipsa ipsa veniam optio placeat quidem reiciendis.,True
73,73,True,9,6,6,7,보통,"Cumque veniam aspernatur pariatur. Quia dolorum rerum aperiam vel esse ducimus. Sequi praesentium debitis provident.
Quas maxime quo nihil quod. Quidem repellat architecto voluptates. Porro explicabo voluptates iste.",False
74,74,True,8,4,7,9,높음,"Facere totam deleniti pariatur non accusamus veritatis. Veritatis iusto possimus. Sunt tenetur hic amet et. Sequi vero sapiente unde aspernatur.
Quis repellat repudiandae iusto repellat occaecati ipsam. Placeat cum quo repudiandae. Fugiat eum maxime eveniet ratione tempora.",True
75,75,True,8,4,7,2,높음,"Hic sequi cum perferendis corporis. Reiciendis repellendus officia iure ab. Debitis facere in distinctio adipisci ea corrupti reprehenderit.
Vitae sapiente voluptas minima. Eaque soluta delectus minima.",True
76,76,True,3,9,4,8,높음,"Mollitia delectus voluptas dolorem tempora est. Fugit eum vel maxime quos dignissimos. Voluptates atque qui voluptate.
Nisi amet enim iure perferendis commodi in. Esse officiis hic illum amet doloribus.
Consequuntur tenetur iste. Unde corrupti perspiciatis fugit blanditiis aut.",True
77,77,True,1,3,4,9,낮음,"Necessitatibus laboriosam eveniet sit repudiandae autem. Necessitatibus vitae aliquam perferendis repudiandae.
Ipsa error voluptas blanditiis. Facilis nam magni officiis error maxime deleniti.
Laborum nam repudiandae architecto minus quo. Dicta quibusdam doloribus dolorem quod quod unde.",True
78,78,True,3,7,2,6,매우높음,"Occaecati soluta necessitatibus sit. Ratione porro quidem asperiores. Vel sequi omnis dolorem.
Repellendus repellendus repellendus facilis vitae sunt esse. Enim ullam perferendis possimus. Expedita dolor officiis ex.
Magnam alias corporis ipsum consequuntur doloribus architecto necessitatibus.",True
79,79,True,10,6,8,2,낮음,"Amet asperiores accusamus incidunt repellendus mollitia. Placeat reiciendis modi in commodi eligendi.
Sed nostrum quibusdam animi blanditiis animi illum. Tenetur fugit tempora non. Sequi dolor natus voluptate quidem veniam sapiente.",True
80,80,False,8,9,8,8,매우높음,"Exercitationem quod eos natus.
Consequatur repellendus ipsum consequuntur quos quasi. Corrupti totam officiis quam. Repellat libero ex ratione libero.",True
81,81,True,5,9,6,1,낮음,"Nihil eius in similique. Dolor perspiciatis officiis quae impedit voluptas. Ullam nisi minima ex quis doloremque ipsam. Molestiae a dolore.
Sequi hic numquam suscipit tempora hic eius. Nesciunt facilis magni nulla natus minima mollitia. Ullam aperiam dicta odit.",True
82,82,True,1,8,10,10,매우높음,"Eveniet repellat quasi suscipit. Nesciunt dolorum excepturi. Maxime qui facilis reiciendis accusamus laudantium.
Praesentium quam saepe consequatur optio eum. Doloribus quia nesciunt minus animi distinctio. Excepturi error vitae distinctio pariatur vel.",True
83,83,True,7,2,5,5,낮음,"Ipsa numquam voluptatem atque itaque voluptatibus modi. Totam nostrum neque dicta libero id provident.
Qui praesentium in accusamus voluptatem aut. Eum id ipsum sit magnam. Earum ducimus nulla possimus incidunt aperiam autem. Saepe quam harum ipsa provident tempora.",True
84,84,True,10,3,7,2,낮음,"Blanditiis nobis quaerat tempore reprehenderit.
Assumenda repellendus eveniet. Minus aspernatur dolorem dolor.
Ex nostrum perferendis vitae. Asperiores quisquam illo ex doloribus eos nisi vitae. Corporis soluta rerum tempora laboriosam autem. Suscipit qui nisi sapiente doloremque.",False
85,85,True,8,9,6,1,높음,"Sint rerum sint aut commodi accusantium ad mollitia. Dolorem ipsum consequuntur perspiciatis illum. Repellendus rerum neque assumenda.
Porro iure quas eaque doloribus accusantium nesciunt. Corrupti distinctio nihil voluptatem. Id consequuntur ea ipsum cupiditate non in vel.",True
86,86,True,7,8,3,3,매우높음,Quod itaque itaque enim tempora corrupti ut facere. Sint beatae assumenda voluptatibus tempora mollitia. Cum possimus impedit optio.,True
87,87,True,8,2,2,5,매우높음,"Sapiente assumenda eligendi laudantium totam. Eos eveniet quaerat esse illum voluptatem. Sed minima recusandae alias.
Illum incidunt corporis iste voluptatum impedit. Doloremque id incidunt magni.
Animi laudantium eaque unde velit officiis quod. Deserunt voluptates incidunt voluptas consequuntur.",True
88,88,True,2,10,8,5,매우높음,"Veritatis aut saepe nihil voluptatibus. Harum sed ipsam nihil dignissimos atque. Aut dicta assumenda doloremque provident voluptatum incidunt.
Adipisci voluptate ex quae. Suscipit sequi mollitia minima deserunt sit. Dolorem unde repellendus voluptate eligendi.",True
89,89,True,1,10,8,5,보통,"Expedita exercitationem optio atque qui. Suscipit praesentium ullam consequatur exercitationem aliquid.
Laborum eius ullam rerum accusamus voluptatibus velit ratione. Rem repellat quas nemo quae quis enim.",True
90,90,False,8,1,3,2,높음,"Blanditiis nemo tempore delectus reprehenderit eaque voluptatibus. Excepturi sequi laboriosam.
Consequuntur ullam ab eius quo aperiam. Excepturi rerum velit optio ipsam blanditiis. Consectetur cum veniam vel aut ipsa deleniti. Dolores velit ipsa autem.",True
91,91,True,3,1,9,8,낮음,"Excepturi porro at quasi temporibus porro quae provident. Iure quos commodi quidem inventore aliquid amet. Ducimus neque officiis natus rerum laudantium. Omnis culpa in omnis nisi in quibusdam blanditiis.
Id aperiam nobis distinctio facilis consequatur totam. Voluptas vel doloremque inventore.",True
92,92,True,5,5,3,5,매우높음,"Minima porro cum tenetur facere quasi officiis consectetur. Magnam vitae illo rem nobis exercitationem dignissimos. Iusto nisi id nobis consectetur officia.
Error quidem ullam praesentium eligendi provident. Iusto quos at. Aspernatur itaque delectus voluptatem eaque deleniti cum sed.",True
93,93,True,10,6,4,9,높음,"Non odit magni enim maiores. Iste accusantium sapiente dolor sequi ipsam iste.
Amet ducimus natus perferendis itaque.
Deleniti voluptas eaque rem quo. Ratione amet veritatis soluta sint iste. Saepe facere iure unde debitis eligendi asperiores temporibus.",True
94,94,True,6,2,10,8,매우높음,"Harum veniam consequuntur mollitia. Nihil laborum minima cupiditate aspernatur.
Sapiente architecto quis perferendis soluta ducimus. Vero aspernatur minus est. Deserunt itaque doloribus quas. Tempore laborum aspernatur temporibus dolores.",True
95,95,True,6,9,7,5,보통,"Quia ullam magni. Incidunt et blanditiis aliquam facilis nesciunt consequatur.
Deserunt magni eveniet saepe corporis. Laborum ducimus dicta consectetur.
Ratione aliquam excepturi vero non blanditiis dolores. Magni magnam provident.",True
96,96,True,5,8,10,10,매우높음,"Placeat ipsam impedit rerum architecto.
Fugit praesentium nisi dolor exercitationem necessitatibus similique.
Laboriosam occaecati ab aperiam. Nisi eius illo animi odio dolorum. Hic et velit voluptate cum.
Eaque harum sint eligendi inventore aut. Quis fuga vitae omnis.",True
97,97,True,3,8,8,8,매우높음,"Assumenda occaecati animi molestias earum voluptatum maxime.
Odio voluptatibus placeat sed. Ut error nam minima. Dolore animi a incidunt nostrum.
Impedit accusantium nobis quibusdam. Nulla modi quo.",True
98,98,True,3,5,3,3,매우높음,"Praesentium voluptatem natus dolorem libero cupiditate sapiente.
Culpa laboriosam corrupti quis eveniet. Et unde pariatur sunt ratione soluta possimus cupiditate. Veniam deserunt similique officiis.
Quae velit laudantium recusandae dignissimos. Error beatae nulla ipsum possimus ratione maiores.",True
99,99,True,1,7,8,8,높음,"Quas ex mollitia ea hic iure nihil fuga. Quidem laborum aperiam explicabo occaecati sed.
Consequatur quibusdam voluptatibus architecto. Nihil officiis error eveniet commodi voluptatibus officia sint.",True
100,100,True,4,9,9,6,높음,"Aperiam porro explicabo impedit. Rem blanditiis nisi maxime porro consectetur.
Aspernatur dicta hic exercitationem. Enim quis debitis totam odio ipsum quo. Qui odio quod soluta saepe.
Atque sunt possimus ea dolores. Atque cupiditate deleniti rerum alias.",False
101,101,True,3,7,5,4,매우높음,"Culpa quis eius animi aspernatur minus assumenda. Quae excepturi quod sunt at inventore.
Animi quisquam recusandae aliquam pariatur odio quo. Sunt neque expedita adipisci aliquam magnam quia.
Aliquid vitae alias cupiditate officiis. Dolores cum id atque. Eaque culpa sed omnis consequatur sunt.",False
