setting_id,author_id,author_year,note_format,privacy_default,mood_tracking,weather_tracking,reminder_time,backup_enabled,theme_color,font_size,auto_save,updated_at
22,22,1997,격자 형식,친구만,False,True,07:32:13,1,핑크색,크게,예,2025-05-09 17:00:30.076729
23,23,2005,줄글 형식,비공개,True,True,08:43:46,1,초록색,보통,예,2025-05-31 01:29:25.888100
24,24,1986,줄글 형식,비공개,True,True,14:55:27,1,파란색,작게,예,2025-05-22 22:05:57.872981
25,25,1992,격자 형식,공개,True,True,23:09:36,1,핑크색,작게,예,2025-06-01 13:26:54.061767
26,26,1981,격자 형식,공개,True,True,20:43:40,1,검은색,크게,예,2025-05-14 18:46:41.994565
27,27,1984,격자 형식,친구만,True,False,03:50:13,1,초록색,작게,예,2025-05-10 14:54:54.424545
28,28,1980,줄글 형식,비공개,True,True,05:21:15,1,핑크색,보통,예,2025-05-15 02:29:27.964964
29,29,1984,격자 형식,비공개,True,True,16:56:08,1,보라색,보통,예,2025-05-12 01:33:51.693157
30,30,2000,격자 형식,공개,True,True,04:39:14,1,초록색,보통,예,2025-05-21 05:29:18.997099
31,31,1997,격자 형식,공개,False,True,08:38:53,1,검은색,작게,예,2025-05-08 04:10:11.158040
32,32,2003,격자 형식,친구만,True,True,11:28:21,1,보라색,작게,예,2025-05-21 09:00:15.742291
33,33,2000,줄글 형식,친구만,True,True,19:27:23,1,보라색,크게,예,2025-05-21 21:01:04.183262
34,34,1993,백지 형식,친구만,True,True,02:11:32,1,보라색,크게,예,2025-05-26 20:24:37.741250
35,35,1996,백지 형식,친구만,False,True,15:18:18,1,핑크색,보통,예,2025-05-23 16:07:23.611755
36,36,1984,백지 형식,공개,True,True,06:50:06,1,보라색,보통,예,2025-05-23 01:44:47.197367
37,37,1988,격자 형식,친구만,False,False,01:14:03,1,보라색,작게,예,2025-05-28 23:45:25.482938
38,38,1991,백지 형식,공개,False,True,06:58:57,1,핑크색,크게,예,2025-05-08 19:01:55.205844
39,39,1985,백지 형식,공개,True,False,08:02:14,1,핑크색,보통,예,2025-05-16 23:15:03.472019
40,40,2002,줄글 형식,공개,True,True,04:42:36,1,파란색,보통,예,2025-05-31 02:15:25.127019
41,41,2003,격자 형식,친구만,True,True,12:35:40,1,초록색,크게,예,2025-05-05 22:52:03.476301
42,42,2003,격자 형식,친구만,True,True,08:30:39,1,파란색,크게,예,2025-05-22 20:09:15.547734
43,43,1989,격자 형식,공개,True,False,08:02:37,1,핑크색,보통,예,2025-05-08 10:51:51.041212
44,44,2001,격자 형식,비공개,False,True,12:47:02,1,검은색,작게,예,2025-05-25 11:09:42.991295
45,45,2005,백지 형식,비공개,True,True,18:30:44,1,보라색,크게,예,2025-05-30 20:55:10.167882
46,46,1996,격자 형식,비공개,False,False,06:12:14,1,파란색,작게,아니오,2025-05-10 00:06:24.224845
47,47,2005,백지 형식,친구만,True,False,00:17:03,1,파란색,크게,예,2025-05-15 09:40:20.647753
48,48,1986,백지 형식,친구만,True,True,09:47:10,1,초록색,크게,예,2025-05-13 07:06:08.498155
49,49,1980,격자 형식,공개,False,True,15:32:43,1,핑크색,크게,예,2025-05-18 21:31:19.107169
50,50,1988,백지 형식,비공개,True,True,02:56:46,1,검은색,크게,아니오,2025-05-04 19:06:09.901263
51,51,1980,격자 형식,친구만,True,False,14:19:51,1,보라색,작게,예,2025-05-17 02:47:38.230119
52,52,1985,백지 형식,공개,False,True,00:20:43,1,보라색,보통,예,2025-05-23 03:20:47.884104
53,53,1996,백지 형식,친구만,True,True,21:53:40,1,초록색,크게,예,2025-05-31 03:48:59.760458
54,54,1986,격자 형식,공개,True,True,19:10:12,1,핑크색,크게,예,2025-05-24 22:54:43.129234
55,55,1998,줄글 형식,비공개,True,True,10:44:03,1,파란색,보통,예,2025-05-30 06:52:04.839131
56,56,1989,줄글 형식,비공개,False,True,07:40:02,1,보라색,작게,예,2025-05-06 03:25:15.844386
57,57,1980,격자 형식,비공개,True,True,22:37:14,1,검은색,작게,예,2025-06-01 11:18:58.560696
58,58,1996,줄글 형식,친구만,False,True,20:48:07,1,검은색,보통,예,2025-05-13 05:02:17.418800
59,59,1982,격자 형식,비공개,True,True,02:29:32,1,보라색,작게,예,2025-05-22 20:33:48.680548
60,60,1983,격자 형식,친구만,False,False,20:04:57,0,초록색,크게,예,2025-05-03 19:05:32.696245
61,61,2002,줄글 형식,공개,False,True,13:34:56,1,초록색,크게,예,2025-05-24 13:45:59.054961
62,62,1992,백지 형식,비공개,False,True,23:25:01,1,초록색,크게,예,2025-05-27 19:30:43.458492
63,63,1984,줄글 형식,공개,False,True,23:34:08,1,검은색,보통,예,2025-05-15 13:43:18.359576
64,64,1981,줄글 형식,비공개,True,False,22:03:53,1,핑크색,작게,예,2025-05-15 13:06:46.473320
65,65,2003,백지 형식,친구만,True,False,06:54:28,1,핑크색,작게,예,2025-05-07 02:52:23.051073
66,66,1990,격자 형식,공개,True,True,00:49:30,1,보라색,보통,예,2025-05-16 01:04:33.997102
67,67,1999,백지 형식,비공개,False,True,00:58:28,1,핑크색,보통,예,2025-05-13 03:35:41.498203
68,68,2003,백지 형식,공개,False,True,08:00:53,1,검은색,보통,예,2025-05-08 07:40:41.188418
69,69,1993,백지 형식,공개,True,False,07:09:20,0,검은색,보통,예,2025-05-07 19:42:45.859953
70,70,1987,백지 형식,친구만,True,True,01:37:38,1,핑크색,작게,예,2025-05-08 20:45:54.817958
71,71,1990,줄글 형식,공개,True,True,03:46:17,0,보라색,보통,아니오,2025-05-05 20:56:26.920353
72,72,1999,백지 형식,친구만,True,False,18:18:28,1,초록색,작게,예,2025-05-10 02:22:04.201994
73,73,1990,백지 형식,친구만,True,True,05:20:31,1,파란색,보통,예,2025-05-22 22:37:49.869543
74,74,1988,백지 형식,공개,True,True,13:20:20,1,파란색,보통,예,2025-05-12 02:45:41.759698
75,75,2000,백지 형식,공개,True,True,23:22:07,1,검은색,크게,아니오,2025-05-05 18:05:20.937314
76,76,1989,격자 형식,공개,False,True,06:49:59,0,초록색,크게,예,2025-05-10 16:29:40.987216
77,77,1998,격자 형식,비공개,False,True,08:02:57,1,초록색,크게,예,2025-05-23 09:51:25.003963
78,78,1996,줄글 형식,비공개,False,True,13:50:32,1,핑크색,작게,예,2025-05-07 11:40:36.026394
79,79,1983,백지 형식,비공개,True,True,00:50:34,1,보라색,크게,예,2025-05-05 05:43:14.969154
80,80,1998,격자 형식,공개,True,True,21:41:34,1,보라색,보통,예,2025-05-05 00:50:19.623463
