setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference,premium_status,referral_code
70,70,영어,True,True,False,느림,20,False,True,비공개,78,False,mNBw####
71,71,일본어,True,True,True,빠름,4,False,True,친구만,175,True,xnKB####
72,72,영어,True,True,False,빠름,5,True,True,비공개,76,False,CgoE####
73,73,중국어,False,True,False,보통,2,True,True,친구만,47,True,GvxX####
74,74,일본어,False,True,True,느림,20,True,True,친구만,173,True,BrbD####
75,75,영어,True,True,True,빠름,1,False,True,비공개,115,True,WIGD####
76,76,영어,False,False,True,보통,15,True,True,친구만,48,False,ySZE####
77,77,중국어,True,False,True,보통,12,True,True,친구만,175,True,mHjW####
78,78,영어,False,True,False,빠름,10,False,True,친구만,112,False,MdNT####
79,79,영어,True,True,False,빠름,10,True,False,공개,47,True,iyHY####
80,80,한국어,True,True,False,느림,18,False,False,공개,130,False,KcNx####
81,81,일본어,True,False,False,빠름,6,True,True,친구만,57,False,wESX####
82,82,한국어,False,True,True,느림,1,True,True,비공개,69,True,LYpm####
83,83,중국어,False,True,False,보통,15,False,True,공개,98,True,OIZc####
84,84,한국어,True,True,False,보통,11,True,True,비공개,86,True,Sbpv####
85,85,한국어,True,False,False,보통,18,True,True,친구만,152,False,AKGV####
86,86,중국어,True,True,False,느림,3,False,True,비공개,168,True,blYN####
87,87,영어,True,True,False,느림,17,True,True,친구만,110,False,LFhG####
88,88,한국어,True,False,False,보통,11,True,True,공개,85,True,HeCp####
89,89,영어,False,False,True,빠름,15,True,True,공개,70,True,XVxQ####
90,90,한국어,True,True,False,보통,16,True,True,공개,60,False,rSKP####
91,91,영어,True,True,False,느림,1,True,False,공개,159,True,ZODD####
92,92,일본어,True,True,False,보통,12,False,True,공개,70,True,qBEQ####
93,93,중국어,True,True,True,빠름,18,True,True,친구만,71,False,KMux####
94,94,영어,True,True,False,빠름,2,True,True,공개,166,False,aJpp####
95,95,한국어,True,False,False,보통,11,True,True,친구만,141,False,NkEk####
96,96,영어,True,True,False,느림,19,False,True,친구만,56,False,wkkp####
97,97,영어,True,False,False,느림,8,True,True,공개,171,True,lufO####
98,98,한국어,True,True,True,느림,20,False,True,친구만,46,True,QZFM####
99,99,중국어,True,True,True,빠름,15,True,True,비공개,32,False,Rfol####
100,100,한국어,True,True,False,보통,2,True,True,공개,35,False,Gxtb####
101,101,일본어,True,True,False,빠름,2,False,True,친구만,155,False,mKgf####
102,102,중국어,False,True,False,보통,1,True,True,공개,36,False,bnOz####
103,103,영어,True,True,False,보통,8,False,True,비공개,108,False,kvLd####
104,104,한국어,True,True,True,빠름,1,False,True,친구만,158,True,lfjV####
105,105,중국어,True,False,False,느림,5,True,True,비공개,175,False,UjDi####
106,106,일본어,True,False,True,빠름,18,True,True,비공개,53,True,eKmy####
107,107,영어,True,True,True,보통,11,True,True,공개,154,False,tWMG####
108,108,중국어,True,True,False,느림,8,False,True,공개,84,False,ORUn####
109,109,영어,True,True,True,빠름,17,True,True,비공개,37,False,WiFO####
110,110,영어,False,True,True,보통,3,False,True,공개,123,True,QXiA####
111,111,일본어,True,True,True,느림,18,False,True,친구만,133,True,PMjn####
112,112,영어,True,True,False,빠름,4,True,True,비공개,38,False,YLSv####
113,113,한국어,True,True,True,빠름,5,False,True,공개,163,False,SSGR####
114,114,중국어,True,False,False,느림,9,True,True,공개,47,True,ECGR####
115,115,중국어,True,True,True,빠름,20,True,True,친구만,33,True,azLp####
116,116,영어,False,True,True,보통,20,True,True,공개,122,True,fkTH####
117,117,영어,True,True,True,보통,9,True,False,친구만,40,False,Ycda####
118,118,한국어,True,True,True,느림,2,True,True,공개,115,False,mLIG####
119,119,일본어,True,False,False,빠름,12,True,True,공개,68,True,wCWC####
120,120,영어,False,False,False,보통,10,False,True,비공개,46,False,HMWV####
121,121,중국어,True,True,True,빠름,6,False,True,공개,157,False,BJec####
122,122,중국어,True,True,False,빠름,1,False,True,비공개,60,False,mXKA####
123,123,한국어,True,True,True,보통,12,True,True,비공개,41,True,bgtg####
124,124,일본어,True,True,False,빠름,9,True,True,비공개,144,True,TRau####
125,125,중국어,True,True,True,보통,5,False,True,공개,152,False,gdFa####
126,126,한국어,True,True,False,느림,5,True,True,비공개,144,True,zhlg####
127,127,영어,True,True,True,느림,12,True,True,비공개,142,True,zOSR####
128,128,중국어,True,True,False,보통,5,True,True,비공개,68,False,DFCN####
129,129,중국어,False,True,False,느림,11,True,True,비공개,138,False,GQQr####
130,130,중국어,True,False,False,빠름,17,True,True,비공개,60,True,sCzN####
131,131,영어,True,True,False,보통,13,True,True,공개,103,True,LNlW####
132,132,일본어,True,True,False,느림,5,False,True,공개,144,False,gdiG####
133,133,중국어,False,True,True,보통,2,True,True,비공개,153,False,JvaK####
134,134,중국어,True,True,True,보통,12,False,True,공개,125,True,oSsY####
135,135,중국어,True,True,False,빠름,20,False,True,친구만,177,False,dpGf####
136,136,영어,True,False,False,느림,11,False,False,공개,87,True,MExS####
137,137,중국어,True,True,True,빠름,4,True,True,비공개,128,True,XSAB####
138,138,중국어,False,False,False,보통,1,True,True,비공개,41,True,gFYz####
139,139,중국어,True,False,False,보통,17,True,True,비공개,64,False,UYMA####
140,140,중국어,True,True,False,보통,20,False,True,친구만,43,False,xucB####
141,141,한국어,False,True,False,보통,12,False,False,공개,96,True,GuMW####
142,142,영어,True,False,True,보통,4,True,True,비공개,44,True,RmUj####
143,143,한국어,True,True,False,빠름,5,False,True,친구만,56,False,kxRZ####
144,144,한국어,True,True,False,보통,9,False,True,비공개,62,True,VcpZ####
145,145,일본어,True,False,True,빠름,7,False,True,친구만,111,False,NQjA####
146,146,한국어,True,True,True,보통,18,False,True,비공개,80,True,MldV####
147,147,일본어,True,False,True,보통,7,False,False,공개,63,True,iZXJ####
148,148,중국어,False,True,False,느림,10,True,True,비공개,119,True,Poym####
149,149,중국어,True,False,False,느림,10,True,True,친구만,128,True,TQeU####
150,150,한국어,False,False,True,빠름,12,False,True,비공개,174,False,lVyV####
151,151,중국어,True,False,False,느림,18,False,True,친구만,84,True,Ypfi####
152,152,일본어,True,False,False,느림,3,False,True,비공개,102,True,JnOq####
153,153,중국어,True,True,True,빠름,6,False,True,공개,38,True,fIcw####
154,154,한국어,True,True,True,빠름,14,True,True,친구만,162,False,JIfR####
155,155,한국어,True,True,True,빠름,12,True,False,비공개,42,True,QKgY####
156,156,영어,True,True,False,빠름,7,True,True,비공개,144,True,MPJo####
157,157,영어,True,True,True,느림,10,True,True,비공개,173,False,dLaF####
158,158,한국어,True,True,False,보통,12,True,False,공개,113,False,dEtR####
159,159,한국어,True,True,True,느림,7,True,True,친구만,67,True,hMut####
160,160,일본어,True,False,False,보통,6,True,True,비공개,52,True,mLfg####
161,161,한국어,True,False,False,빠름,18,True,True,공개,172,False,LYcE####
162,162,일본어,True,True,True,느림,11,True,True,친구만,45,False,kovK####
163,163,한국어,True,True,False,보통,3,True,True,공개,62,True,tcqO####
164,164,중국어,True,True,False,보통,10,False,True,공개,118,False,Qpuu####
165,165,영어,True,True,True,느림,11,True,True,비공개,38,True,yloY####
166,166,한국어,True,False,True,빠름,7,True,True,친구만,107,False,BIIX####
167,167,일본어,True,True,False,보통,8,True,True,공개,98,True,oNLq####
168,168,영어,False,False,False,빠름,11,False,True,친구만,144,False,Ommz####
169,169,한국어,True,True,True,느림,19,True,True,공개,79,False,FIam####
170,170,한국어,False,True,False,빠름,13,True,True,비공개,95,False,sEvy####
171,171,한국어,True,False,False,빠름,2,False,True,비공개,161,False,Rurz####
172,172,일본어,True,True,False,보통,2,True,True,비공개,70,True,AuRc####
173,173,일본어,True,True,True,보통,1,False,True,친구만,33,False,MEhZ####
174,174,중국어,True,False,True,느림,14,False,True,친구만,68,True,OApG####
175,175,영어,False,False,False,빠름,9,True,True,비공개,146,False,TUwt####
176,176,중국어,True,True,False,보통,14,True,True,친구만,31,False,uZDI####
177,177,일본어,True,False,False,느림,2,False,True,친구만,144,False,BXMB####
178,178,영어,False,True,True,빠름,18,False,True,공개,171,True,SRfK####
179,179,일본어,False,True,False,보통,7,True,True,친구만,105,False,xqnh####
180,180,영어,False,True,True,보통,15,False,True,친구만,100,True,ably####
181,181,한국어,True,False,True,빠름,12,True,True,친구만,110,False,JJoy####
182,182,한국어,True,False,False,느림,11,True,True,비공개,95,True,uUWP####
183,183,일본어,True,True,False,느림,11,True,False,비공개,35,False,prbc####
184,184,중국어,True,False,False,보통,18,True,True,비공개,166,True,ulPX####
185,185,영어,True,True,True,느림,4,True,True,친구만,59,True,nSQJ####
186,186,중국어,False,False,True,빠름,11,False,True,공개,115,True,FRsb####
187,187,한국어,False,True,False,보통,11,True,True,친구만,144,False,Ksdu####
188,188,일본어,True,False,False,느림,12,True,False,공개,102,False,iQoB####
189,189,한국어,True,True,True,느림,7,True,True,비공개,122,False,eCsX####
190,190,중국어,True,True,True,빠름,17,False,True,공개,62,False,KggS####
191,191,중국어,True,True,True,느림,10,False,True,비공개,90,True,ttbv####
192,192,한국어,True,True,True,보통,19,True,True,비공개,117,True,iASV####
193,193,중국어,True,False,False,느림,18,True,True,공개,101,False,dOoD####
194,194,영어,True,True,False,느림,20,True,True,친구만,68,False,cRHD####
195,195,중국어,True,True,True,느림,15,False,True,공개,89,False,cuhS####
196,196,영어,False,True,True,보통,15,True,True,친구만,99,False,bOfx####
197,197,중국어,True,False,False,느림,17,True,True,비공개,47,False,nHkZ####
198,198,중국어,False,True,False,느림,15,True,False,친구만,116,False,bWql####
199,199,중국어,True,True,False,느림,19,True,True,공개,102,True,ahGq####
200,200,일본어,False,False,False,느림,13,False,False,공개,45,True,Wzmx####
201,201,한국어,False,False,True,보통,18,True,True,친구만,48,False,saRd####
202,202,중국어,True,True,True,느림,1,True,True,친구만,144,True,RVak####
203,203,영어,True,False,True,빠름,11,True,False,비공개,132,False,Vapz####
204,204,중국어,True,True,True,보통,4,False,True,친구만,170,False,Iejz####
205,205,한국어,True,True,False,느림,1,True,True,공개,159,False,BIko####
206,206,영어,True,False,False,느림,12,True,True,비공개,75,True,nRIe####
207,207,영어,True,False,False,느림,1,False,True,비공개,135,False,ARDd####
208,208,일본어,True,False,True,느림,16,True,True,비공개,43,True,Lglo####
209,209,중국어,False,False,False,느림,13,True,True,비공개,87,False,vNPK####
210,210,한국어,True,False,False,빠름,2,False,True,비공개,110,True,dAts####
211,211,영어,True,True,False,느림,15,True,True,친구만,109,True,QNOr####
212,212,한국어,True,True,False,보통,17,True,True,공개,91,False,sTqZ####
213,213,중국어,True,False,False,느림,3,False,True,비공개,166,True,zoBV####
214,214,한국어,True,True,True,빠름,4,True,True,비공개,80,True,AnAy####
215,215,중국어,True,True,True,보통,15,False,True,비공개,55,True,Vunq####
216,216,한국어,True,False,False,보통,14,False,True,친구만,172,False,GMiH####
217,217,중국어,True,True,False,보통,15,True,True,비공개,130,True,wCUy####
218,218,영어,True,False,True,빠름,6,True,True,비공개,46,True,QqtN####
219,219,한국어,True,True,True,느림,11,True,True,공개,53,False,KLUR####
220,220,한국어,False,False,False,빠름,16,False,True,친구만,165,False,JPyX####
221,221,중국어,True,True,True,빠름,6,True,True,비공개,41,False,eQuA####
222,222,영어,False,True,False,보통,11,True,True,공개,103,True,sfCs####
223,223,영어,True,True,False,느림,18,False,True,공개,162,False,lVLP####
224,224,한국어,True,True,False,느림,1,False,True,공개,94,True,oMdC####
225,225,일본어,False,True,False,보통,7,True,True,친구만,98,False,aQGn####
226,226,영어,False,True,True,빠름,12,False,True,공개,83,True,RtcC####
227,227,일본어,False,True,False,보통,7,True,True,공개,128,False,yrMN####
228,228,영어,True,True,True,보통,9,False,True,공개,155,False,oslz####
229,229,한국어,True,True,False,보통,1,True,True,친구만,74,True,viAy####
230,230,영어,True,True,False,보통,15,True,True,공개,111,True,heOV####
231,231,중국어,True,True,False,느림,15,False,True,비공개,138,False,CPIE####
232,232,중국어,True,True,False,느림,6,True,True,친구만,34,True,TPXc####
233,233,일본어,True,False,False,빠름,4,False,True,비공개,122,True,UbIt####
234,234,중국어,True,True,True,보통,4,True,True,비공개,171,False,CLIj####
235,235,영어,False,True,True,빠름,16,False,True,친구만,142,False,zmtK####
236,236,중국어,True,True,False,느림,17,False,True,비공개,118,False,QHxw####
237,237,영어,False,True,False,느림,14,True,True,공개,167,False,fdWM####
238,238,일본어,True,False,False,빠름,3,True,True,친구만,140,True,KDwh####
239,239,중국어,False,True,False,보통,20,True,True,공개,174,True,AGeX####
240,240,영어,True,False,True,빠름,10,True,True,공개,37,False,wcnp####
241,241,일본어,False,True,True,느림,2,True,True,친구만,131,False,dGPF####
242,242,일본어,True,True,False,빠름,7,False,True,친구만,129,True,xVoi####
243,243,영어,True,True,False,느림,2,True,True,공개,107,False,cjne####
244,244,영어,True,True,True,보통,3,True,True,공개,135,True,npjf####
245,245,중국어,True,False,False,보통,5,True,True,공개,114,False,MsBK####
246,246,한국어,False,False,False,느림,17,True,True,친구만,147,False,Ybpv####
247,247,한국어,True,False,False,보통,13,True,True,공개,38,True,VCYh####
248,248,중국어,True,True,False,빠름,2,False,True,공개,176,True,youE####
249,249,중국어,True,False,False,보통,7,False,True,친구만,130,False,qiop####
250,250,한국어,True,False,False,느림,2,True,True,공개,146,False,XHCV####
251,251,한국어,True,False,True,보통,2,True,True,비공개,169,True,HseZ####
252,252,한국어,True,True,True,느림,18,True,True,비공개,145,True,famf####
253,253,영어,True,True,False,빠름,6,False,True,공개,160,False,Qqtg####
254,254,한국어,True,True,True,느림,3,True,True,친구만,171,False,PJkq####
255,255,한국어,True,True,False,느림,12,True,True,공개,37,False,ryxv####
256,256,한국어,True,True,False,빠름,9,False,True,비공개,157,True,iJVs####
257,257,한국어,True,False,False,보통,1,True,True,공개,110,False,dTcU####
258,258,한국어,True,True,False,빠름,3,True,True,친구만,101,False,IrEn####
259,259,일본어,True,True,True,느림,7,True,True,비공개,76,False,SDsQ####
260,260,영어,True,False,True,보통,17,False,True,친구만,153,False,QlAO####
261,261,한국어,False,True,True,느림,9,True,True,공개,117,False,dcfq####
262,262,영어,True,True,True,빠름,12,False,True,비공개,163,True,liiE####
263,263,한국어,True,True,True,보통,20,True,True,친구만,159,True,lMkW####
264,264,중국어,False,True,True,느림,19,False,True,공개,54,True,pPAT####
265,265,중국어,True,True,False,빠름,9,True,True,친구만,90,False,yBtM####
266,266,한국어,True,False,False,보통,11,True,True,비공개,45,True,tbfX####
267,267,일본어,False,False,True,보통,11,False,True,친구만,60,True,AGGO####
268,268,영어,True,True,False,느림,9,True,True,친구만,44,False,ujEM####
269,269,한국어,True,False,True,느림,3,False,True,친구만,167,False,iCsA####
270,270,일본어,False,True,False,빠름,12,True,True,공개,118,True,lOMR####
271,271,영어,True,True,True,빠름,13,True,False,공개,112,True,fkBf####
272,272,중국어,True,True,False,빠름,12,False,True,공개,144,True,Jarb####
273,273,일본어,False,False,False,느림,16,False,True,비공개,116,True,yLLX####
274,274,한국어,False,False,False,느림,15,False,True,친구만,105,True,gayD####
275,275,중국어,True,True,True,느림,3,True,True,공개,78,False,WTWK####
276,276,중국어,False,True,False,빠름,20,False,False,친구만,173,False,TaDv####
277,277,중국어,True,False,False,보통,14,True,True,친구만,163,True,jcVg####
278,278,중국어,False,False,True,빠름,10,False,True,친구만,161,False,zCrM####
279,279,일본어,True,True,False,빠름,19,True,False,친구만,38,False,ZvkE####
280,280,일본어,True,True,True,빠름,18,False,True,비공개,130,False,uihk####
281,281,일본어,True,True,True,느림,1,True,True,친구만,77,True,oMkH####
282,282,영어,True,True,False,빠름,20,False,True,공개,158,True,SrJP####
283,283,한국어,True,True,False,느림,7,True,True,공개,172,True,ZHMi####
284,284,한국어,False,True,True,느림,20,True,True,친구만,127,True,SDhX####
285,285,중국어,False,False,False,느림,13,False,False,비공개,52,False,SqaW####
286,286,영어,False,True,False,보통,5,True,True,공개,143,True,npDR####
287,287,중국어,True,False,True,느림,5,False,True,친구만,96,True,hAPG####
288,288,일본어,True,True,False,보통,7,True,True,공개,49,False,YBgh####
289,289,영어,True,True,False,보통,13,False,True,비공개,80,False,aNZT####
290,290,한국어,True,True,True,빠름,19,True,True,친구만,108,True,yDIM####
291,291,중국어,True,True,False,보통,20,True,True,공개,103,True,sJYv####
292,292,중국어,True,False,False,느림,20,True,True,비공개,143,True,qpro####
293,293,중국어,True,True,True,빠름,18,False,True,친구만,157,False,iQNq####
294,294,한국어,True,False,False,빠름,13,False,False,친구만,36,True,irwZ####
295,295,일본어,False,False,False,빠름,20,True,True,비공개,151,False,ZmNI####
296,296,영어,True,False,False,빠름,14,True,True,공개,55,True,HaXn####
297,297,중국어,True,False,False,보통,14,False,True,친구만,159,True,NCqR####
298,298,영어,True,True,True,보통,10,False,True,친구만,37,True,Yfgs####
299,299,중국어,False,False,False,빠름,8,False,False,친구만,62,True,yKLT####
300,300,영어,True,True,True,보통,14,False,True,친구만,36,False,AaeM####
