project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at,category_score,external_id
22,복제된 환경 친화적 그래픽 인터페이스,44,31296191,2267879,진행중,189,2024-07-08,30,f2eb2851-7626-4874-bf0d-14d02c0f296d
23,융합력있는 분석중인 생산 능력,9,22321783,8691469,준비중,64,2024-09-04,97,cf0e0bc5-0739-4349-a6d3-14a8e5648977
24,유저 친화적 국가적 능력,14,22205254,6892177,성공,39,2024-12-21,27,45732036-b9ac-4fbb-a58c-8aeefc866450
25,반동적인 역수 프레임워크,2,4428946,5548809,진행중,12,2024-07-09,68,9ab22894-4244-4b1e-b19f-b7465885ed46
26,무결점의 합성물 환경,40,28067212,9939758,준비중,146,2025-03-05,41,814a818f-06a3-4ca2-8304-e2bad15f49a8
27,다양한 스며든 모델,3,3853184,4616031,진행중,146,2024-10-06,83,d2a1663a-2e0e-4cf3-be87-0450190d9ef3
28,복제된 로컬 예산 관리,34,29896580,8567485,진행중,79,2025-02-28,43,2df477ea-6abd-4750-8886-a7df1ee5e9f0
29,품질 중심의 고단계 유연성,31,40002690,5106859,준비중,194,2024-06-03,62,214a992b-250c-4f78-bef5-aa387559de13
30,자동화된 국가적 보안구역,42,20034237,9145511,실패,180,2024-09-06,68,c0462ef1-4365-4b63-9bf6-37e5d448e849
31,원활한 주파수 탐지 가능 LAN,46,13528475,8311338,준비중,68,2025-01-03,85,035f51bf-be60-4f34-a97b-89330797955f
32,강력한 최적화된 공개 시스템,2,45972235,5947520,진행중,138,2024-07-22,67,6f4732f5-648d-468a-86e4-6f0502332540
33,수익에 중점을 둔 6세대 프로젝트,21,21322888,6689327,진행중,91,2024-12-14,53,71cc065e-d1de-4567-abf6-0c49b33fad14
34,확장된 휴대형 포탈,43,40638074,255203,성공,142,2025-01-04,5,34daeab5-8d28-4add-be5f-1367f906f36f
35,안정적인 인간자원 패러다임,28,20839900,9340890,진행중,4,2025-01-06,36,e03e58e7-2888-42de-8c8e-4e29ea08eb70
36,확장된 문맥 기반 솔루션,9,23939270,3239859,준비중,165,2024-12-12,6,0ae5626a-e88d-4377-b37d-625e0b9e41f4
37,강화된 휴리스틱 암호화,38,24141236,3113257,준비중,79,2024-10-15,92,8bd9c409-466f-4bd0-8112-d6234ab55b44
38,안정적인 실시간 데이터베이스,40,23201876,2593393,진행중,98,2024-10-01,22,4ac31522-a161-4aa4-8028-0febedbae23c
39,독보적인 휴대형 인공지능,22,42621708,5841937,실패,52,2024-12-13,0,3abae8d1-c3cc-4d78-b76f-ce5452cc29ce
40,공개 키 클라이언트 단 그래픽 인터페이스,35,13627011,7722743,준비중,199,2024-10-05,33,34012d8a-cc6a-4275-899f-5b2a0c31e399
41,1:1 최대화 모델,46,20186481,7408013,준비중,178,2025-02-10,39,b52aa740-8eb0-49a6-ba00-c56bbed1d114
42,디지털화된 상황에 맞는 아키텍쳐,8,13935083,6859896,준비중,35,2025-01-29,53,42d24ed7-f058-4fe8-9441-d424ff154757
43,조절 가능한 교훈적 코어,46,661322,2499373,성공,72,2024-06-21,47,dee1e675-ad8e-494d-8ef6-d0294fe77b7d
44,크로스 그룹 비동기 엔진,36,5106824,2825121,실패,177,2025-02-02,5,2cb25dfb-65c0-4420-874c-381edffe52c1
45,안전한 지역적 아카이브,49,41901265,3139010,성공,197,2024-08-17,45,64bcba4b-3542-49ba-a28c-dffac64339d9
46,더 작아진 방향 축적,29,20978211,146202,성공,142,2024-10-11,20,7784f040-1de0-41c9-aac4-d4758098cd51
47,인체 공학적인 분리된 프로젝트,21,46274000,824889,진행중,194,2024-07-13,56,7938055a-1ab0-4d3f-8db5-452749b00e9e
48,더 커진 휴대형 공구,24,11731932,563808,준비중,96,2025-04-22,63,7fb4c867-c1d3-45be-8ea5-b0cd962bed4f
49,다용도 밀착 예보,10,36503495,8466555,진행중,109,2024-10-06,2,a682a60d-a473-4163-b935-54f0ab718e91
50,안전한 보조 엑스트라넷,26,5300740,5627881,준비중,123,2025-05-17,33,97c5def2-2a65-4d41-a9c2-643302f31eae
51,독보적인 그리드 가능 지원,27,45966495,5287850,진행중,12,2024-11-04,26,7c2fe6c7-9d3b-4f34-82d6-b7491c3b9691
52,유저 친화적 컨텐츠 기반 그래픽 인터페이스,4,8293654,7767408,성공,150,2024-07-20,8,2b8bdd1e-bd87-49db-a0c9-f5655063be11
53,적응된 24시간 포탈,50,24385190,5930238,진행중,81,2025-02-06,30,694bb97e-e938-4d4d-9ffb-d63ec49e318d
54,비즈니스 중점적 환경 친화적 어플리케이션,44,14187135,5302018,실패,182,2024-08-23,38,f62cb874-9174-40f0-96ec-922bb585524a
55,공개 키 3세대 전략,36,16957943,5475771,성공,154,2024-07-19,54,30cfa808-541d-403e-8f92-8904c43d207a
56,리버스 엔지니어링된 컨텐츠 기반 정책,42,9520787,5356142,성공,111,2024-12-29,59,7e727323-252d-4c59-ab40-3d91b8b26b59
57,효율적인 클라이언트-서버 정책,40,16605003,882814,진행중,40,2025-04-10,34,a0db3c79-a44a-4b7b-9095-9cef32021458
58,완벽히 설정된 비동기 시너지,21,8785710,4021335,진행중,52,2025-04-18,86,39ce45cb-e09c-484a-a936-552f56bd19ce
59,출판된 그리드 가능 엔진,47,20476325,7902302,준비중,101,2025-02-25,82,887d5a7a-a0fe-4916-878f-422eb89b4092
60,사용자 중심의 헌신적 능력,43,9511801,7832315,준비중,10,2024-12-18,23,b9cae122-17ad-47e3-89be-643b2d4e3779
61,완벽히 설정된 휴대형 서비스 창구,28,33616860,6268764,실패,137,2024-07-18,92,aecf5461-4054-4615-879f-965403a1ff43
62,업그레이드 가능한 보조 축적,23,6281563,2618744,실패,49,2024-11-04,70,29a7c4f3-2a7a-4cfc-ab4e-edfab0282d51
63,다중 주파수 정적 접근,2,38540224,5333004,실패,178,2024-10-11,82,9f4744ef-281f-4001-b00c-ad467d1e9569
64,프로그래밍 가능한 무관리 패러다임,34,40430542,3486409,진행중,147,2024-11-11,31,4e9e613b-ae18-4ede-ab3d-2d58e7400744
65,무결점의 장거리 모니터링,31,33533526,2630080,성공,196,2024-07-13,46,d5bb87d5-59bf-44b3-a495-9c0cbd50ffc6
66,원활한 스며든 프레임,41,31629364,2448219,실패,114,2024-06-15,65,3c560ecd-c369-4e47-9bf4-0159a4dc9381
67,멀티 채널 실시간 웹 사이트,42,27375597,1810387,진행중,85,2024-09-04,72,4e0b7de4-702c-483f-89d5-0348410b3404
68,더 커진 백그라운드 능력,41,40526211,9732479,성공,61,2024-06-13,5,cf219b08-6c8b-466e-ba6e-4a8557fe61ae
69,다양한 취약점 보안구역,45,38986465,5805016,실패,21,2024-06-26,22,0e884ad7-62f1-4b44-89ea-1bb0fe897a27
70,변경 가능한 요약 융합,35,3185455,6831295,준비중,106,2024-09-12,90,fc7e0fb2-2d40-460b-8686-8984b6bc641b
71,유저 친화적 작동 배열,38,32953343,2325365,실패,128,2024-09-01,57,bc6b192f-938b-41d8-b4de-fb6a69c1a140
72,진보적인 휴리스틱 알고리즘,49,1462127,5839634,성공,167,2025-06-01,36,5df7a3b8-5d4f-479a-9f8c-30b02a4780a7
73,더 작아진 컨텐츠 기반 하드웨어,33,25129543,8903259,준비중,198,2025-01-26,0,a36308c0-870a-4aa1-9c6d-cd581c621530
74,확대된 국가적 그룹웨어,15,18075513,3965437,실패,42,2025-02-09,39,74372fae-d174-455c-9b57-3bd07a363af9
75,크로스 플랫폼 문맥 기반 허브,33,18199551,1943123,실패,148,2024-09-09,3,8340dcb5-452e-42c1-9fe8-a1d7e694700c
76,무결점의 6세대 에뮬레이션,26,14649368,88042,성공,77,2024-09-09,89,8da87b80-d3b0-4996-ac02-2a90c3f56ce6
77,품질 중심의 4세대 공구,42,37760892,5882150,진행중,102,2024-10-31,31,4db11716-68f0-4967-b69e-0b23ec5256e6
78,인체 공학적인 역수 정의,42,47331326,11102,실패,15,2024-09-24,70,b5e03a54-2250-4763-a8ff-4f8bb84254cc
79,강화된 밀착 프레임워크,17,39475390,8731251,성공,184,2025-01-28,83,6ca948a0-d6a3-4228-88d3-d83c34f487c9
80,미래가 보장된 분석중인 도전,11,13276289,9605173,준비중,165,2024-12-23,35,6fb47a5e-6af7-4285-b058-ab412fed14e7
