membership_id,contact_id,group_id,joined_date,role,connection_date,confidence_level
40,28,1,2025-03-25,리더,2024-08-14 17:19:23.688827,0.67
41,75,10,2023-06-07,관리자,2024-12-28 10:00:26.620614,0.99
42,27,5,2025-03-21,일반,2024-10-05 00:04:44.547553,0.89
43,6,8,2024-09-02,리더,2025-03-03 22:32:16.545861,0.82
44,37,3,2025-04-10,일반,2025-01-27 18:16:29.478997,0.77
45,94,3,2024-05-11,리더,2024-06-08 06:40:36.503361,0.63
46,118,6,2023-09-29,관리자,2025-01-26 21:34:20.110196,0.62
47,10,7,2023-07-20,관리자,2024-08-22 03:39:51.532367,0.77
48,117,7,2024-06-20,일반,2025-01-09 03:37:11.453498,0.9
49,39,9,2024-12-13,리더,2024-12-06 11:13:57.194839,0.66
50,64,6,2023-08-31,리더,2024-10-14 23:31:49.914310,0.82
51,87,5,2023-10-23,관리자,2024-12-10 17:14:23.634178,0.98
52,2,9,2023-12-31,일반,2025-02-06 18:25:03.084032,0.5
53,86,10,2024-03-08,관리자,2025-04-07 20:31:16.109694,0.64
54,46,9,2025-05-29,관리자,2024-12-01 05:47:28.041427,0.98
55,5,10,2024-07-30,일반,2025-02-12 03:31:04.307041,0.83
56,15,9,2024-12-02,관리자,2024-11-12 19:04:00.633627,0.73
57,87,3,2025-01-30,일반,2024-11-24 21:42:15.806642,0.97
58,70,3,2025-05-01,리더,2024-11-23 08:53:15.794358,0.95
59,71,7,2023-06-28,리더,2024-08-12 04:05:59.837202,0.54
60,113,8,2025-01-25,관리자,2024-06-27 13:43:54.185437,0.99
61,96,10,2025-01-05,리더,2025-03-03 02:31:50.492802,0.73
62,77,7,2025-05-28,관리자,2025-01-27 09:26:29.598282,0.73
63,42,9,2023-07-20,관리자,2024-08-30 23:39:27.063258,1.0
64,102,9,2023-06-12,관리자,2024-08-07 02:45:55.343208,0.72
65,62,4,2025-03-28,리더,2024-10-04 20:50:25.227122,0.5
66,100,7,2023-12-08,리더,2025-04-22 02:28:57.942664,0.67
67,63,10,2024-04-17,리더,2025-03-28 18:20:58.666674,0.85
68,80,5,2024-05-03,관리자,2024-11-13 13:23:15.375225,0.53
69,63,6,2024-09-20,리더,2024-12-19 04:40:10.994709,0.88
70,78,9,2025-01-07,관리자,2024-10-12 23:54:21.379138,0.67
71,103,6,2024-09-11,관리자,2024-08-06 23:23:48.001845,0.56
72,20,1,2024-11-20,리더,2024-11-23 03:09:01.395479,0.79
73,72,7,2025-01-19,관리자,2024-10-29 12:43:01.186147,0.85
74,104,2,2024-01-31,리더,2025-03-20 12:54:04.584882,0.75
75,116,1,2024-12-06,관리자,2024-08-10 17:00:17.347419,0.59
76,68,7,2024-07-22,관리자,2024-08-15 07:08:52.339067,0.55
77,100,4,2025-04-05,리더,2024-09-13 01:28:26.605239,0.85
78,29,5,2024-09-19,리더,2025-05-10 23:11:13.377825,0.81
79,2,4,2025-05-14,관리자,2024-11-29 01:39:11.523848,0.71
80,118,9,2024-03-03,리더,2024-09-24 07:47:07.634676,0.64
81,119,5,2023-07-31,관리자,2025-04-24 09:23:08.649951,0.57
82,64,1,2024-11-22,리더,2025-02-01 06:09:46.419824,0.86
83,111,10,2024-08-11,일반,2025-05-08 04:21:33.995841,0.88
84,43,9,2024-05-20,관리자,2025-04-04 18:47:14.653959,0.63
85,24,6,2024-01-02,리더,2025-03-28 17:33:01.994016,0.67
86,30,4,2023-12-22,리더,2025-04-30 23:00:04.157419,0.56
87,40,10,2023-07-02,관리자,2024-10-15 11:51:03.837776,0.77
88,65,2,2024-09-27,리더,2024-11-14 20:51:05.611151,0.89
89,33,4,2025-03-24,리더,2024-07-18 01:50:25.359791,0.92
90,26,7,2023-07-13,일반,2024-12-18 18:38:21.916848,0.96
91,45,1,2025-02-05,리더,2025-04-23 04:01:11.271497,0.84
92,24,10,2023-12-23,관리자,2025-05-15 06:37:31.057172,0.51
93,41,5,2023-10-02,일반,2025-04-06 00:04:54.567115,0.75
94,101,5,2023-06-06,리더,2024-11-20 12:03:14.115063,0.67
95,88,2,2024-05-16,리더,2024-11-12 14:53:36.343537,0.86
96,117,4,2025-02-08,일반,2024-12-06 22:13:13.536741,0.76
97,94,10,2024-07-02,일반,2024-06-22 04:43:44.406866,0.57
98,60,4,2023-08-19,일반,2024-12-31 17:38:19.657412,0.84
99,50,8,2024-04-30,일반,2024-07-19 05:55:46.427464,0.76
100,19,8,2024-06-11,관리자,2024-12-12 02:09:18.630914,0.75
101,110,7,2024-04-11,리더,2025-02-26 11:27:42.718420,0.51
102,83,3,2023-08-21,리더,2024-06-05 16:01:17.346931,0.82
103,75,6,2024-12-13,리더,2024-10-13 13:14:47.561126,0.95
104,67,1,2024-05-11,일반,2024-07-07 08:53:15.228640,0.76
105,80,3,2024-10-11,리더,2024-10-17 22:40:48.548766,0.77
106,33,1,2023-11-06,일반,2025-04-07 22:03:01.865133,0.79
107,40,7,2023-06-11,관리자,2024-09-07 05:45:32.881279,0.69
108,53,3,2024-02-23,관리자,2025-01-13 08:37:50.113627,0.59
109,94,1,2023-07-05,일반,2024-07-25 18:57:09.672084,0.66
110,9,3,2024-08-20,리더,2024-06-30 07:30:32.959146,0.66
111,14,10,2025-02-15,일반,2024-12-19 12:46:30.011505,0.99
112,107,2,2024-06-23,관리자,2024-11-19 02:18:38.878324,0.99
113,23,10,2024-05-22,리더,2024-11-11 01:11:31.645475,0.59
114,78,6,2024-03-07,일반,2025-04-09 13:22:19.088576,0.71
115,111,5,2023-10-09,관리자,2025-03-27 00:56:26.618034,0.52
116,41,10,2024-10-30,관리자,2024-07-06 18:32:14.945259,0.71
117,40,4,2024-09-12,관리자,2024-11-22 05:51:44.149374,0.89
118,91,1,2023-12-04,리더,2025-04-11 19:51:03.179566,0.64
119,61,7,2024-03-23,관리자,2025-05-13 21:13:23.070823,0.63
120,29,7,2025-02-02,관리자,2024-09-22 15:04:55.931384,0.8
121,111,5,2023-11-22,일반,2024-10-02 08:03:56.221202,0.89
122,103,3,2024-12-21,관리자,2024-12-05 14:16:42.069154,0.68
123,120,7,2023-10-22,일반,2025-04-24 16:41:01.844017,0.8
124,55,8,2023-11-13,관리자,2024-08-08 00:31:39.267848,0.75
125,108,3,2023-09-10,관리자,2024-07-03 01:24:39.014757,0.77
126,109,6,2025-01-07,일반,2024-11-04 04:52:42.649648,0.78
127,60,6,2024-11-01,관리자,2024-06-03 23:49:28.920938,0.58
128,86,4,2023-11-21,리더,2024-11-18 16:22:08.793332,0.88
129,93,8,2024-05-14,일반,2025-03-30 17:30:51.863396,0.52
130,81,9,2023-09-13,리더,2024-08-27 08:26:06.467040,0.85
131,97,8,2023-06-04,일반,2025-01-23 09:38:35.931007,0.65
132,86,5,2024-11-30,리더,2024-11-13 14:41:56.747706,0.9
133,10,6,2024-03-20,일반,2024-12-05 20:00:32.303508,0.8
134,31,1,2024-07-15,리더,2025-03-09 10:39:28.615608,0.61
135,3,2,2023-11-06,일반,2025-03-03 22:39:13.290355,0.73
136,43,8,2024-12-05,일반,2024-11-21 22:18:55.773667,0.69
137,40,7,2024-01-11,일반,2025-02-24 23:37:14.660522,0.56
138,40,10,2024-11-18,일반,2024-08-02 09:28:09.890100,0.92
139,99,10,2023-06-27,리더,2024-12-01 02:18:48.580710,0.9
140,114,6,2024-11-22,관리자,2024-06-24 04:41:12.959228,0.79
141,56,10,2024-10-07,일반,2025-04-07 12:56:09.375076,0.6
142,99,1,2024-12-26,일반,2025-04-08 18:29:30.567012,0.85
143,7,9,2024-05-24,관리자,2024-08-06 23:37:11.399245,0.67
144,12,3,2023-09-05,일반,2025-05-26 01:55:47.731024,0.69
145,26,9,2024-07-01,일반,2024-07-23 00:09:05.403178,0.66
146,30,9,2023-12-28,관리자,2024-12-05 11:12:19.852500,0.9
147,57,10,2024-12-12,관리자,2024-10-12 13:46:10.206413,0.91
148,8,1,2023-12-26,일반,2025-04-16 15:59:09.112243,0.84
149,56,10,2023-08-31,리더,2025-04-25 13:59:08.333340,0.94
150,68,3,2024-11-26,일반,2024-10-08 03:33:31.939026,0.87
151,91,3,2024-07-10,관리자,2024-08-07 12:21:17.396884,0.62
152,53,5,2023-11-20,일반,2025-04-17 09:27:50.375073,0.63
153,72,3,2023-11-14,리더,2024-07-23 17:24:02.434319,0.89
154,49,5,2023-10-17,리더,2025-05-07 20:21:44.223544,0.55
155,27,9,2025-03-27,관리자,2025-02-08 06:19:58.353815,0.51
156,37,3,2023-10-09,일반,2024-10-02 18:15:38.105647,0.95
157,35,2,2025-03-02,리더,2025-03-29 07:11:48.186128,0.79
158,83,5,2025-03-07,관리자,2025-03-17 02:13:29.421495,0.74
159,13,8,2024-10-10,관리자,2024-11-01 10:18:41.646101,0.66
160,95,5,2024-10-18,관리자,2024-06-22 07:46:01.752790,0.94
161,83,2,2024-11-01,일반,2024-07-09 02:30:45.167078,0.63
162,12,10,2024-03-07,관리자,2024-11-17 20:55:26.415238,0.94
163,97,7,2024-08-22,리더,2025-05-30 21:52:09.441230,0.74
164,90,9,2025-05-20,일반,2024-09-02 09:23:16.940720,0.52
165,26,7,2023-07-20,리더,2025-01-09 16:40:27.614732,0.57
166,84,7,2023-08-24,관리자,2024-10-01 04:29:58.032622,0.85
167,15,9,2024-10-16,관리자,2024-07-29 04:15:55.329497,0.84
168,70,1,2025-03-29,리더,2024-08-12 20:15:08.111740,0.71
169,60,8,2025-03-28,리더,2025-03-14 06:49:43.834779,0.88
170,81,7,2024-10-26,일반,2025-01-07 06:55:09.721499,0.63
171,34,7,2023-10-09,리더,2024-09-27 05:09:27.879705,0.64
172,106,8,2024-03-16,관리자,2025-05-10 07:31:17.563081,0.82
173,11,3,2023-07-13,리더,2024-09-21 04:47:39.461562,0.97
174,99,10,2023-09-16,리더,2025-02-21 21:30:49.319242,0.83
175,96,5,2024-08-05,리더,2024-10-18 02:46:38.177279,0.65
176,15,6,2024-12-23,관리자,2024-07-23 21:30:10.698758,0.8
177,6,1,2025-02-08,관리자,2024-09-09 05:12:38.505481,0.7
178,120,9,2023-10-05,관리자,2025-03-07 14:38:37.272551,0.52
179,63,10,2023-07-31,일반,2024-10-08 21:02:52.882452,0.69
180,51,5,2023-10-06,리더,2024-09-10 09:54:12.456890,0.63
181,49,1,2024-11-04,리더,2024-10-20 05:42:32.136437,0.51
182,104,4,2023-10-02,일반,2025-03-18 11:52:52.455614,0.92
183,113,1,2024-03-02,일반,2024-11-28 22:52:43.088809,0.96
184,48,3,2025-01-18,일반,2025-05-27 23:38:04.706719,0.54
185,102,6,2024-11-02,관리자,2024-10-13 06:27:47.385267,0.82
186,68,7,2025-04-23,리더,2025-02-17 02:26:10.448108,0.89
187,62,7,2023-11-26,일반,2024-12-04 01:02:54.541392,0.73
188,35,9,2025-05-06,리더,2024-06-13 07:47:55.995621,0.58
189,60,6,2024-06-15,일반,2024-08-26 03:36:26.509651,0.63
190,87,1,2025-04-05,일반,2025-01-01 21:35:57.859507,0.69
191,120,8,2024-09-20,리더,2025-03-17 00:56:48.738753,0.84
192,96,10,2025-04-18,리더,2025-05-11 17:38:36.051425,0.5
193,113,3,2023-10-07,관리자,2025-05-11 20:47:19.842359,0.85
194,106,9,2023-06-12,일반,2025-04-19 00:15:58.656274,0.72
195,53,8,2025-02-25,리더,2024-06-30 08:19:33.750291,0.99
196,80,6,2025-02-04,관리자,2024-12-20 08:31:02.113541,0.71
197,39,9,2024-04-24,일반,2025-03-22 01:02:44.493962,0.74
198,30,9,2025-02-15,리더,2025-04-17 10:32:58.273541,0.79
199,52,2,2025-03-21,일반,2024-06-30 09:25:07.607995,0.88
200,92,1,2024-06-15,일반,2024-12-25 08:45:51.839502,0.98
