certification_id,counselor,expertise,proficiency_level,certified_date,connection_date,match_score
84,28,13,고급,2023-08-15,2024-12-06 23:05:19.440389,0.58
85,41,2,고급,2024-09-04,2024-06-12 03:25:55.534871,0.18
86,12,15,중급,2024-11-30,2024-10-29 12:22:23.191455,0.75
87,38,18,전문가,2024-03-22,2024-07-28 21:32:14.402728,0.32
88,40,1,고급,2023-12-27,2024-08-17 16:39:58.221085,0.88
89,9,9,초급,2023-09-28,2025-03-21 07:21:00.215293,0.99
90,30,14,초급,2024-01-21,2024-07-29 21:20:44.901865,0.46
91,22,10,전문가,2024-08-23,2025-03-21 13:15:25.044835,0.51
92,36,9,중급,2024-02-22,2024-10-16 11:02:48.822395,0.78
93,15,12,중급,2023-11-16,2024-08-05 22:35:46.237582,0.64
94,42,9,중급,2024-12-13,2025-03-01 00:20:06.866500,0.46
95,42,16,중급,2024-04-29,2025-01-21 06:03:52.903695,0.71
96,22,9,중급,2024-03-12,2024-09-18 22:21:45.320739,0.44
97,47,4,전문가,2025-01-22,2024-09-18 17:49:44.072530,0.95
98,23,17,중급,2023-09-19,2024-08-12 06:56:36.218395,0.67
99,39,11,전문가,2024-04-02,2025-03-09 18:24:52.443603,0.06
100,47,10,초급,2023-12-07,2024-11-05 03:33:36.643681,1.0
101,41,3,고급,2023-06-29,2024-08-29 11:50:55.383440,0.24
102,17,1,전문가,2023-08-20,2025-02-07 05:58:26.522080,0.81
103,46,11,중급,2025-03-08,2024-12-18 22:34:39.240704,0.74
104,19,1,고급,2023-09-19,2024-10-25 00:21:08.188657,0.24
105,37,15,초급,2025-05-08,2024-12-16 13:15:49.549076,0.76
106,19,4,전문가,2024-11-06,2025-04-05 22:16:53.217679,0.86
107,24,12,고급,2023-09-13,2025-05-18 21:58:45.742594,0.42
108,19,12,고급,2025-01-30,2024-11-21 14:38:58.628144,0.66
109,43,14,중급,2023-12-04,2024-09-10 10:51:23.705725,0.8
110,34,10,고급,2023-08-14,2024-08-04 08:25:25.659724,0.96
111,47,11,전문가,2025-05-22,2025-01-18 04:56:26.879577,0.43
112,35,2,전문가,2023-07-27,2024-06-30 08:38:04.055565,1.0
113,29,19,중급,2023-07-11,2024-10-16 04:32:05.863764,0.4
114,50,5,고급,2025-04-15,2025-02-10 12:47:37.076617,0.77
115,37,2,초급,2025-03-06,2024-11-13 00:20:06.181803,0.03
116,19,5,중급,2025-02-11,2024-06-19 17:18:32.056903,0.53
117,48,16,중급,2025-06-01,2025-04-15 20:06:38.359120,0.39
118,11,12,고급,2024-05-26,2024-08-22 21:21:43.651808,0.27
119,22,19,초급,2024-06-24,2024-08-11 17:02:46.097294,0.51
120,38,20,전문가,2024-05-13,2025-02-17 18:49:44.840605,0.17
121,36,5,고급,2024-02-16,2025-04-16 03:21:41.769256,0.56
122,6,18,고급,2025-05-29,2025-04-20 23:52:03.964549,0.58
123,17,19,고급,2023-08-17,2025-02-28 05:20:04.202259,0.46
124,48,19,초급,2023-12-14,2025-03-26 02:27:31.746101,0.28
125,42,6,중급,2025-01-06,2025-01-03 10:23:05.669217,0.42
126,11,6,중급,2025-04-19,2024-09-13 10:35:32.792223,0.58
127,2,16,중급,2024-09-29,2024-08-31 16:47:49.816552,0.41
128,33,4,중급,2024-06-03,2025-04-05 22:44:18.570990,0.26
129,6,12,전문가,2024-06-01,2024-11-08 01:37:55.909608,0.21
130,42,4,고급,2024-05-10,2024-12-16 00:10:26.022914,0.45
131,24,17,중급,2024-01-02,2024-08-06 10:48:42.284041,0.87
132,34,16,고급,2024-12-30,2024-12-04 21:59:35.520266,0.23
133,41,1,초급,2023-07-27,2024-09-13 06:40:48.351328,0.16
134,50,11,초급,2024-10-08,2025-04-15 21:54:02.901525,0.91
135,35,5,전문가,2023-09-13,2024-12-04 16:25:02.084486,0.67
136,25,8,고급,2024-04-25,2025-03-03 23:19:41.684834,0.25
137,21,6,전문가,2024-11-08,2025-02-17 00:12:36.072497,0.18
138,40,7,전문가,2025-04-25,2024-08-02 19:36:44.758958,0.37
139,11,10,전문가,2025-05-06,2024-07-20 04:34:38.142029,0.7
140,16,17,전문가,2023-12-18,2024-06-21 07:21:59.513334,0.42
141,36,7,중급,2024-12-02,2024-08-13 14:35:24.910707,0.05
142,5,2,고급,2025-03-22,2025-02-21 18:56:43.354888,0.18
143,30,17,초급,2023-10-15,2024-06-22 12:20:11.573419,0.97
144,14,8,고급,2024-11-05,2025-05-02 06:27:46.197562,0.86
145,43,9,전문가,2024-04-06,2025-04-19 06:06:20.225839,0.21
146,41,8,고급,2025-01-23,2024-07-12 07:52:11.677823,0.37
147,43,8,중급,2023-06-15,2024-07-14 05:50:35.346375,0.87
148,10,4,중급,2024-02-03,2024-12-22 22:54:03.222915,0.87
149,29,2,중급,2024-06-13,2025-03-21 01:24:26.959658,0.92
150,30,16,중급,2024-08-15,2024-11-15 14:51:26.309164,0.72
