preference_id,writer_id,writer_year,emotion_id,emotion_year,usage_frequency,is_active,connection_date
82,38,1986,3,2023,45,True,2024-10-20 23:05:48.372816
83,3,2002,11,2023,44,True,2024-09-10 12:13:59.193406
84,9,1995,3,2022,26,True,2024-08-12 23:58:19.009502
85,12,1997,10,2024,40,True,2024-10-06 00:25:19.865562
86,34,1988,2,2024,3,True,2024-11-10 22:13:50.464607
87,13,1986,6,2021,48,False,2025-04-09 15:00:14.808327
88,37,1994,6,2022,16,True,2025-03-09 23:34:17.949403
89,32,1980,4,2022,6,True,2024-08-12 11:40:06.744976
90,3,1982,14,2022,46,True,2024-08-24 06:01:23.781415
91,23,1988,5,2024,40,True,2024-11-24 22:47:37.579635
92,16,1982,7,2021,8,False,2024-11-13 19:57:06.840520
93,2,1983,14,2023,19,True,2024-09-25 08:38:40.785615
94,11,1980,10,2020,12,True,2025-04-15 21:55:33.536164
95,20,1988,1,2023,45,False,2024-07-01 07:16:05.739377
96,14,1991,8,2022,45,False,2025-01-02 01:39:07.293500
97,31,2004,15,2021,23,False,2025-01-25 00:30:55.983693
98,9,1995,6,2024,20,True,2024-06-21 08:02:02.950048
99,39,2001,13,2023,50,False,2024-08-27 10:54:18.670637
100,9,1980,4,2024,3,False,2024-07-13 19:28:33.673909
101,6,2000,10,2024,21,True,2024-11-20 23:29:48.439156
102,33,2000,14,2024,38,True,2024-08-22 22:34:58.600182
103,36,1998,14,2021,44,True,2025-01-20 10:04:42.009424
104,38,1991,1,2021,26,True,2024-06-20 01:47:48.621299
105,11,1981,12,2020,11,False,2025-05-04 01:35:01.579708
106,4,1984,9,2020,15,True,2024-08-25 09:05:44.009201
107,35,1996,10,2024,50,False,2024-08-08 18:03:15.807968
108,22,2001,9,2023,50,True,2024-06-24 03:41:18.256527
109,24,1987,3,2024,5,True,2025-04-23 10:51:17.991250
110,11,1990,4,2020,34,True,2024-11-08 12:09:39.214334
111,18,1995,6,2021,35,True,2024-12-18 23:54:06.865459
112,15,2002,14,2023,27,True,2024-07-21 17:37:33.664505
113,37,1987,10,2020,39,False,2025-05-10 04:25:53.665082
114,20,1984,13,2020,10,False,2024-12-07 15:37:08.647755
115,32,1980,12,2022,27,True,2025-05-11 07:30:01.252781
116,9,1981,8,2024,50,True,2025-03-22 11:39:07.556486
117,2,1985,15,2020,13,True,2024-10-23 05:26:41.352185
118,24,1990,2,2022,39,True,2025-06-01 02:58:50.126963
119,32,2001,6,2023,1,True,2025-05-21 22:33:04.851846
120,3,1981,13,2024,5,True,2025-04-01 13:48:34.452854
