membership_id,contact_id,group_id,joined_date,role
123,120,7,2023-10-22,일반
124,55,8,2023-11-13,관리자
125,108,3,2023-09-10,관리자
126,109,6,2025-01-07,일반
127,60,6,2024-11-01,관리자
128,86,4,2023-11-21,리더
129,93,8,2024-05-14,일반
130,81,9,2023-09-13,리더
131,97,8,2023-06-04,일반
132,86,5,2024-11-30,리더
133,10,6,2024-03-20,일반
134,31,1,2024-07-15,리더
135,3,2,2023-11-06,일반
136,43,8,2024-12-05,일반
137,40,7,2024-01-11,일반
138,40,10,2024-11-18,일반
139,99,10,2023-06-27,리더
140,114,6,2024-11-22,관리자
141,56,10,2024-10-07,일반
142,99,1,2024-12-26,일반
143,7,9,2024-05-24,관리자
144,12,3,2023-09-05,일반
145,26,9,2024-07-01,일반
146,30,9,2023-12-28,관리자
147,57,10,2024-12-12,관리자
148,8,1,2023-12-26,일반
149,56,10,2023-08-31,리더
150,68,3,2024-11-26,일반
151,91,3,2024-07-10,관리자
152,53,5,2023-11-20,일반
153,72,3,2023-11-14,리더
154,49,5,2023-10-17,리더
155,27,9,2025-03-27,관리자
156,37,3,2023-10-09,일반
157,35,2,2025-03-02,리더
158,83,5,2025-03-07,관리자
159,13,8,2024-10-10,관리자
160,95,5,2024-10-18,관리자
161,83,2,2024-11-01,일반
162,12,10,2024-03-07,관리자
163,97,7,2024-08-22,리더
164,90,9,2025-05-20,일반
165,26,7,2023-07-20,리더
166,84,7,2023-08-24,관리자
167,15,9,2024-10-16,관리자
168,70,1,2025-03-29,리더
169,60,8,2025-03-28,리더
170,81,7,2024-10-26,일반
171,34,7,2023-10-09,리더
172,106,8,2024-03-16,관리자
173,11,3,2023-07-13,리더
174,99,10,2023-09-16,리더
175,96,5,2024-08-05,리더
176,15,6,2024-12-23,관리자
177,6,1,2025-02-08,관리자
178,120,9,2023-10-05,관리자
179,63,10,2023-07-31,일반
180,51,5,2023-10-06,리더
181,49,1,2024-11-04,리더
182,104,4,2023-10-02,일반
183,113,1,2024-03-02,일반
184,48,3,2025-01-18,일반
185,102,6,2024-11-02,관리자
186,68,7,2025-04-23,리더
187,62,7,2023-11-26,일반
188,35,9,2025-05-06,리더
189,60,6,2024-06-15,일반
190,87,1,2025-04-05,일반
191,120,8,2024-09-20,리더
192,96,10,2025-04-18,리더
193,113,3,2023-10-07,관리자
194,106,9,2023-06-12,일반
195,53,8,2025-02-25,리더
196,80,6,2025-02-04,관리자
197,39,9,2024-04-24,일반
198,30,9,2025-02-15,리더
199,52,2,2025-03-21,일반
200,92,1,2024-06-15,일반
