question_id,title,content,category,created_at,views,likes,is_resolved
11,Rerum sapiente ducimus quia fuga beatae vero earum laboriosam quam maxime.?,"Optio perspiciatis accusantium illo. Consectetur veniam corrupti voluptatem est.
Optio magnam quisquam distinctio. Ab porro nesciunt quae aspernatur tenetur vitae. Magnam qui eaque impedit neque.
Distinctio eius aspernatur blanditiis magni enim. Provident maxime explicabo nisi.
Officiis totam blanditiis enim accusamus cupiditate nostrum. Officiis cumque culpa quam error adipisci doloribus.",건강,2025-01-27 04:29:05.611777,621,44,False
12,Minus facilis non ad nulla totam quo animi.?,"Esse magnam deserunt pariatur ducimus doloremque rerum repellat. Excepturi dolores deserunt doloremque praesentium at delectus.
Expedita iusto facilis. Reprehenderit qui dolor perferendis ab qui. Sed voluptas eveniet alias.
Nostrum ea impedit tempore. Eius voluptatibus quis quasi dolorum dicta soluta. Nobis facere vitae perferendis dignissimos.
Velit architecto veniam molestias aliquam quod laborum. Nulla alias eveniet deserunt.",학습,2024-06-19 19:38:47.406144,90,60,False
13,Est corporis quidem eum ullam eligendi excepturi tempora quia.?,"Aspernatur sequi accusamus error animi illo. Nobis minus at dolorem. Ducimus iste saepe consectetur veniam soluta labore. Quia rem molestiae illum expedita dolores.
Animi et impedit nesciunt. Ullam tempora soluta deserunt hic.
Suscipit odit inventore alias placeat. Doloremque consequuntur minima adipisci dolore.
Maiores quos nulla magnam. Facilis molestias aliquam quasi.",취업,2025-01-25 06:57:13.942029,248,56,True
14,Voluptas ut quisquam nisi ea.?,"Nemo laudantium culpa id unde porro veritatis. Sapiente repudiandae vel beatae aperiam enim nam. Magnam eaque provident autem iste delectus at.
Pariatur repudiandae molestiae recusandae blanditiis nobis. Vitae eaque dolores temporibus quos.
Temporibus modi rem sunt sint voluptatum reiciendis. Placeat accusantium ullam dignissimos inventore delectus velit.
Vitae magni praesentium facilis magnam. Laudantium porro iusto fugit.
Voluptatum reprehenderit voluptas sunt.",취업,2024-06-15 22:54:06.238654,235,93,False
15,Alias nemo corporis laborum cum ipsa hic ipsa illum nisi.?,"Inventore rem ea necessitatibus ut molestiae. Officia ipsum dolorum. Autem id adipisci quos ipsa sapiente animi. Vero optio dignissimos.
Incidunt nostrum veniam maiores exercitationem.
Tempora libero mollitia quibusdam illo ipsa tempore.
Explicabo voluptatum optio officia eius eveniet rerum. Occaecati dolore error amet necessitatibus tempora voluptatibus. Quis quod fugiat recusandae unde laudantium ab.",기술,2024-07-31 09:50:40.852945,131,44,False
16,Rerum eligendi vitae voluptatum porro fugiat nemo reiciendis.?,"Dicta quidem odio exercitationem. Repellat ipsum repudiandae itaque earum ea. Quasi necessitatibus itaque eum quos quod.
Placeat harum sequi. Fuga facere iusto reprehenderit molestias repellat molestiae earum. Dicta possimus deleniti molestias repellendus suscipit quos.
Nemo est occaecati corrupti minus alias modi.
Dolorem natus repudiandae mollitia. Repellendus magni ex.
Quia placeat deserunt accusantium libero repellendus. Veritatis ex totam neque velit. Occaecati id quod rerum itaque.",기술,2024-11-17 05:24:14.076283,146,60,False
17,Facere accusantium minima nostrum enim unde labore.?,"Iste iste ipsam officiis vel cumque earum veniam. In ea magni aut animi quaerat eum deserunt. Pariatur nisi fugit id molestiae nobis.
Tenetur recusandae expedita. Reiciendis reprehenderit hic nesciunt natus.
Rerum ipsum debitis molestiae. Accusantium vero at odio esse repellendus unde. Pariatur culpa deleniti illum.
Dolorum omnis natus deleniti cupiditate numquam. Aliquam veritatis perferendis animi nihil optio. Tenetur nobis molestiae ex dolorum architecto quos.",생활,2024-07-19 22:07:37.274040,651,65,True
18,Enim necessitatibus ab nisi neque.?,"Iste facilis asperiores molestias. Esse sint officia.
Suscipit odit eveniet expedita nulla. Quos numquam eum error excepturi possimus quis.
Facere ipsam tenetur. Ipsa soluta asperiores laboriosam neque quaerat.
Nobis dicta nemo. Doloremque ipsum nostrum sequi asperiores earum aut.
Praesentium at et labore quaerat quibusdam. Pariatur ut cumque quam.
Neque at dignissimos. Perferendis aut molestias ducimus ipsam optio.",취업,2024-07-02 06:51:23.234702,657,44,False
19,Soluta non quos laborum veritatis similique corrupti earum.?,"Vero qui repellat. Ducimus laborum minima eveniet rerum.
Exercitationem pariatur quam. Harum non quaerat possimus soluta ullam.
Aspernatur consequatur illo reiciendis excepturi. Quisquam eligendi quibusdam provident ipsa iste alias possimus.
Id natus fugit dignissimos repellendus distinctio quis a. Soluta consectetur doloremque libero eum impedit repellat. Aliquam molestiae quidem nisi unde fugit officia.",생활,2024-11-25 19:14:16.768556,122,37,True
20,Nisi sed ipsa quia harum veritatis deserunt.?,"Inventore illo nesciunt nostrum commodi vel cumque. Beatae iste non. Blanditiis similique temporibus laboriosam at quis.
Nostrum corporis dignissimos beatae nisi. Dicta animi error. A laboriosam repellendus eos totam incidunt impedit.
Totam expedita maxime totam magnam delectus atque. Voluptatibus quaerat reiciendis voluptate.
Nostrum perferendis culpa atque inventore a nobis. Quasi cumque provident aspernatur modi exercitationem.
Deserunt laudantium atque voluptatum adipisci.",생활,2024-11-08 19:09:54.709894,608,75,True
21,Expedita quaerat a assumenda sequi eligendi illo.?,"Labore tempore odit. Ratione repudiandae labore. Amet dicta quisquam odio at exercitationem corrupti.
Amet facilis quae. Unde necessitatibus possimus cum debitis nam. Placeat repellendus consequatur rem fuga.
Repudiandae aut molestias architecto minus iusto eaque. Eos quod vitae suscipit explicabo eligendi non.
Voluptatum eum nisi aperiam. Voluptas ut consequuntur perferendis laboriosam. Qui placeat molestias.",취업,2025-03-04 07:37:07.758262,395,82,True
22,Rem nihil voluptatum cum mollitia ullam.?,"Quod recusandae vero laboriosam ut reprehenderit. Iste non illum officia. Inventore perferendis et ad exercitationem eaque nemo.
Dolorem totam fuga dolorem soluta perferendis. Totam voluptates delectus.
Ipsum enim reiciendis magnam. Doloremque esse adipisci ex quam inventore. Voluptatum inventore fuga animi perferendis molestiae.
Exercitationem recusandae veritatis consectetur dolorum. Similique dicta eos praesentium eligendi culpa iusto voluptatibus.",취업,2024-06-22 11:00:50.328335,985,23,False
23,Minus repellendus repellat quod doloribus nemo velit.?,"Voluptate veniam ratione. Corporis ex excepturi quia. Pariatur dicta voluptatum veritatis tempore.
Perspiciatis dolorem ipsum ab eius deleniti. Impedit omnis recusandae ab pariatur corporis aliquid.
Quaerat suscipit veniam molestiae placeat sequi. Officiis alias excepturi magni aut natus. Corporis nihil a ea eveniet.
Aliquid accusamus dolor expedita quo exercitationem. Nostrum architecto recusandae recusandae perspiciatis soluta atque occaecati.",학습,2024-07-06 22:25:57.305698,115,75,False
24,Enim veritatis doloremque odio consectetur tenetur tempora nostrum voluptatum.?,"Blanditiis inventore reprehenderit neque. Dolor distinctio ut enim qui. Magnam sunt mollitia repudiandae expedita.
Eveniet magni ea doloremque numquam iure maiores rem. Doloremque architecto magnam amet nisi rerum optio. Tenetur temporibus veniam.
Tempora totam nobis minima sunt reprehenderit. Illo corporis voluptatibus deleniti corrupti. Dolore rerum explicabo odit quasi dolore ratione. Suscipit rerum est sit et sapiente voluptas.",학습,2025-05-21 17:25:10.739349,436,30,True
25,Culpa debitis in quas quibusdam laudantium velit amet laboriosam.?,"Autem eius provident qui qui vel. Quo accusantium minima hic aliquam ducimus.
Temporibus iure commodi. Illo vero culpa autem.
Eligendi soluta autem recusandae. Sunt enim a consequuntur placeat.
Rerum maiores perferendis libero atque cumque blanditiis consectetur. Accusamus repudiandae necessitatibus voluptatum facilis. Neque quo magni magnam.
Totam dolor quidem beatae cum modi. Fuga ullam sed doloribus in quis excepturi ad.",기술,2024-12-29 15:31:13.178885,828,94,True
26,Eos eveniet ipsam nostrum soluta.?,"Voluptas natus delectus quidem. Nam cum eaque dolor tenetur eveniet.
Id omnis hic animi. Ipsam corrupti reprehenderit magni. Veniam reprehenderit velit repellendus enim. Accusamus beatae hic veritatis veritatis perferendis eaque pariatur.
Eos consequuntur quidem. Illum voluptatem adipisci quos rem.
Autem unde inventore similique consequatur harum. Soluta beatae suscipit ullam perferendis.
Architecto saepe perspiciatis placeat.
Molestias quam dolorum atque maxime quod. Beatae odit est quas.",취업,2025-04-13 21:53:19.161077,718,12,False
27,Temporibus voluptas in dignissimos eos aliquid aperiam.?,"Alias architecto natus ducimus doloremque. Et nobis voluptates molestiae temporibus veniam illo natus.
Vitae impedit debitis voluptate laboriosam quia. Velit animi mollitia eius.
Exercitationem dolorum distinctio quidem ab. Officia optio iure odio. Officia repudiandae ipsam aspernatur neque.
Sequi accusantium illo ad voluptas iusto sed. Pariatur quasi debitis aperiam fuga. Nemo placeat placeat doloremque enim. Doloremque quae laudantium voluptas neque quo necessitatibus.",건강,2025-03-30 16:31:52.321298,212,87,False
28,Non autem qui tempora consequuntur nulla esse quasi libero veritatis magnam.?,"Aliquam ut provident commodi velit culpa. Dolorem eaque perferendis voluptatum fugiat ex.
Eos assumenda enim nostrum a accusantium. Molestias dolorem laborum occaecati atque saepe fugiat. Quidem exercitationem reiciendis delectus.
Deleniti libero commodi nemo mollitia. Error voluptas aut harum labore quod. Possimus iure voluptate deserunt.
Libero earum placeat fugit. Quos reiciendis nostrum sapiente eius. Doloremque saepe vel laudantium amet.",건강,2024-06-29 20:12:36.001062,769,40,False
29,A quasi praesentium tenetur aliquid veritatis inventore.?,"Libero dignissimos fugiat nam. Dolorum veniam adipisci veritatis molestias doloribus ullam. Natus nisi saepe molestiae.
Veniam cupiditate culpa dolores voluptas. Consequatur illum repudiandae. Expedita error saepe repellat sed culpa.
Velit fugiat autem iure architecto sint. Commodi suscipit magnam. Tempore perferendis vitae optio quasi voluptas. Ipsam aliquam aspernatur quas asperiores nostrum excepturi.
Perferendis nobis tempora minima repellat ex.",취업,2024-10-05 03:57:23.001159,601,65,False
30,A libero reiciendis dicta sed numquam eligendi voluptatem quia molestiae.?,"Id odit vero adipisci cum reiciendis. Saepe illum pariatur commodi quod occaecati.
Corporis architecto iure quos explicabo dolorum. Laudantium ipsam nesciunt suscipit deserunt. Quia cumque facilis repellat aspernatur.
Culpa ad esse. Voluptatibus modi eligendi voluptatem.
Reprehenderit possimus repudiandae asperiores esse consequuntur error. Similique beatae minima sapiente odio.
Nemo molestiae id voluptates atque officiis. Atque omnis nisi quidem quos. Provident impedit amet quam iste neque.",취업,2025-02-07 07:31:31.324007,520,22,True
31,Maiores expedita atque suscipit molestias.?,"Voluptatum optio ducimus eos saepe. Laboriosam aliquam hic perspiciatis molestias porro. Quaerat at nobis eum quos omnis assumenda.
Non nostrum et.
Sint inventore sed nihil quibusdam atque eum repellat. Dolor quisquam sit assumenda. Commodi tenetur consequuntur qui repellat assumenda.
Nulla dignissimos totam tempora libero incidunt. Ducimus libero nam eveniet quo.
Facilis incidunt maiores dignissimos. At qui cumque corrupti autem voluptatem doloribus accusamus. Optio a maxime corrupti minima.",건강,2024-09-15 06:15:48.708325,529,27,False
32,Dolorem optio aliquid nostrum nostrum nesciunt eum dignissimos architecto.?,"Rem rerum molestias corporis laudantium sint dolores. Explicabo quam tempora earum eaque nam. Eligendi necessitatibus ab.
Saepe sint minima beatae distinctio similique. Natus debitis consequuntur nam at.
Odio aut fuga cupiditate. Natus possimus eligendi ex illum iusto.
Exercitationem deleniti amet quam esse. Impedit fuga eaque autem soluta iure voluptas. Assumenda delectus consequuntur minima necessitatibus.
Rem amet veritatis.
Ducimus aliquid natus. Alias mollitia ratione est soluta a.",기타,2025-02-21 04:52:58.355890,17,24,True
33,Perferendis unde atque molestiae earum alias inventore.?,"Ipsa quisquam ullam sequi deserunt maiores beatae. Magnam aliquid rerum minus voluptatibus. Exercitationem voluptatum dolore maxime laboriosam voluptas.
Necessitatibus molestias nisi natus a nesciunt. Quidem deserunt cumque placeat labore repudiandae. Molestiae voluptatibus nisi labore.
Dolorem explicabo praesentium nesciunt. Accusantium quia minima eveniet aperiam expedita ullam. Beatae nihil pariatur excepturi ea earum sunt tenetur.",건강,2025-04-11 06:24:25.238892,735,43,True
34,Minima autem itaque cumque rem hic amet consequuntur quibusdam.?,"Tenetur est unde. Perferendis vero porro illo.
Libero culpa recusandae sed tempore. Magnam dolores expedita blanditiis sequi.
Esse excepturi vero hic quas quibusdam.
Ut mollitia sapiente adipisci iure dolor incidunt. Iusto corrupti alias nemo iure. Nulla est a.
Ullam ipsum dolore libero aspernatur. Cumque a blanditiis architecto quos accusantium unde.
Blanditiis deserunt fugiat sint. Numquam quis veniam optio. In voluptates delectus exercitationem error maiores eum ipsam.",학습,2024-12-27 02:50:14.655772,408,11,True
35,Laboriosam tempore maiores eum libero neque amet inventore.?,"Nemo saepe quas reiciendis optio dolorum impedit. Qui vero mollitia eligendi.
Quos nemo reprehenderit hic mollitia.
Voluptates ipsam possimus perferendis reiciendis provident. Similique suscipit sapiente inventore nulla voluptatibus.
Optio vel alias maxime. Repellendus corporis et quidem odit.
Maxime iste error accusamus consequatur. Dolorem rem dicta perspiciatis at blanditiis.
Nulla laudantium perferendis ut consectetur molestias deleniti. Consequuntur pariatur quos eaque magnam.",기술,2024-06-25 15:49:40.592927,613,29,True
36,Praesentium alias autem neque harum facilis ut neque quisquam eligendi.?,"Perferendis laboriosam vitae repudiandae. Dolor accusantium dolores quam ducimus rerum enim. Nihil tempora atque eveniet. Modi debitis hic explicabo ullam blanditiis deleniti.
Molestias dicta incidunt dolor aliquid. Totam amet sunt accusamus corporis iste nobis. Nostrum officiis esse nesciunt esse soluta.
Ipsam corporis possimus. Facere omnis alias impedit maiores recusandae.
Assumenda eaque deserunt quas fuga non asperiores.",학습,2025-05-17 06:12:08.342838,420,71,True
37,Quisquam quo laudantium amet quidem.?,"Ex cumque debitis aut in. Doloremque deserunt accusamus iusto rerum autem. Delectus unde ex velit distinctio iusto.
Nihil aspernatur eius neque quidem necessitatibus. Natus quisquam pariatur delectus. Et adipisci quod deserunt at laborum neque.
Sit a possimus saepe alias vero reprehenderit. Asperiores ex veniam ipsa tempora beatae sequi earum.
Tenetur repudiandae porro minima facere error ad. Architecto ducimus maxime voluptatem dolor cupiditate quasi.",학습,2024-09-08 21:01:05.103388,461,15,True
38,Officia quae ullam voluptatibus reiciendis vel adipisci nostrum.?,"Deserunt sed incidunt sequi blanditiis repudiandae. Ab placeat neque facilis. Consectetur aspernatur vero sit voluptatum quaerat fuga. Architecto mollitia consequuntur error ab.
Sunt sed et delectus fuga voluptatum architecto.
Molestiae libero a reiciendis veniam. Natus esse sequi ex maiores.
Optio dignissimos modi. Placeat ullam similique magnam nesciunt. Deleniti vitae eaque voluptates voluptates possimus.
Facilis cumque suscipit. Sit enim assumenda occaecati. Ab a similique.",취업,2024-12-10 11:53:37.755986,852,83,False
39,Corporis quia accusantium velit voluptatum sunt sapiente.?,"Laborum vitae vero et odit laudantium delectus. Minus exercitationem dolores ab ullam qui fugit.
Quis alias nihil dolore distinctio neque. Iure sequi illo autem eaque. A dolores necessitatibus recusandae quae quis occaecati odit.
Repellendus quas modi id ducimus. Tempora cumque quia fugit eligendi. Exercitationem quos repellendus beatae autem.
Ab recusandae facere impedit quisquam expedita nesciunt dolorem. Quas aliquid optio.
Molestiae blanditiis mollitia saepe.",생활,2024-08-22 17:23:20.315156,809,81,False
40,Eos quas praesentium labore magni eos sequi laboriosam.?,"Minima voluptatem velit delectus saepe. Aut quod nesciunt ipsum dicta provident. Laudantium eveniet amet deleniti quae.
Exercitationem expedita non quidem. Nam mollitia dolores dolor dolor. Rerum nesciunt quam magni.
Nobis ut illum amet. Cupiditate ullam iusto explicabo ipsum quisquam. Cumque repellendus sunt mollitia.
Nulla accusantium placeat ipsum error. Itaque consectetur est sint natus ut accusamus eos. Ad ipsa minima eos possimus ab cupiditate.",기술,2024-09-29 08:03:13.746926,345,35,False
41,Illum cupiditate perferendis veniam fugit.?,"Accusantium sunt soluta. Dolores ipsa vel similique officiis temporibus.
Placeat nobis autem voluptates sapiente exercitationem sunt nobis.
Nihil consequuntur temporibus quisquam quos suscipit. Officiis cum tempora rerum id enim. Atque occaecati sint consequuntur magnam.
Voluptates sequi voluptas voluptates. Excepturi omnis commodi quam ex dicta.
Quas pariatur vitae tenetur inventore voluptate porro. Dicta repudiandae commodi alias vero autem nemo natus. Quas iste laborum.",생활,2024-08-19 14:30:11.472875,901,44,True
42,Dicta accusantium ut voluptas fuga aspernatur veritatis.?,"Deserunt optio ab corporis fugiat ratione iure. Nemo numquam ipsam fuga.
Tenetur reiciendis magni suscipit voluptate optio. Aspernatur commodi necessitatibus maxime.
Dolorum enim voluptates deserunt. Dolor similique debitis deserunt minus.
Officia ipsum assumenda incidunt porro cum. Architecto porro reprehenderit cum. Explicabo assumenda adipisci error in.
Laborum est dolorem dolor.
Unde eligendi placeat esse voluptatum illum. Quaerat debitis neque accusantium voluptatem.",기타,2025-05-01 20:31:00.071188,833,15,True
43,Laboriosam nemo provident voluptatem consequatur dignissimos eius fuga.?,"Sapiente officiis adipisci cumque. Neque itaque ratione odit beatae eaque eligendi. Accusamus nobis occaecati dolores occaecati fugit. Doloribus alias nam eius exercitationem accusamus numquam reiciendis.
Necessitatibus ipsa deleniti non.
Nemo officia consectetur alias expedita porro cum. At doloribus architecto quidem delectus cum itaque. Delectus et et velit ipsum possimus animi.
Incidunt quis hic laboriosam ratione. Beatae voluptates quis.",건강,2024-10-21 11:20:52.379984,302,97,True
44,Ea minus eligendi sapiente minus magnam occaecati soluta.?,"Laborum iste fuga deleniti laboriosam tenetur. Necessitatibus quos mollitia repellat earum. Ut ipsa non numquam numquam. Impedit veritatis deleniti praesentium.
Quia neque consectetur voluptate rerum error. Praesentium tempora ipsa magnam ex.
Blanditiis delectus tempora nobis. Deserunt aspernatur cupiditate consequatur.
Beatae ipsum rem temporibus. Unde facilis culpa repudiandae neque iste. Sequi nemo facilis.",취업,2024-09-01 14:35:38.575154,711,57,False
45,Modi pariatur illum dolor maiores quasi tenetur inventore facere ratione.?,"Reiciendis minima ab incidunt nam.
Quidem dolore accusamus voluptas corrupti asperiores voluptatem. Ullam ad tenetur. At optio molestiae et unde tempora maiores. Corrupti delectus dolores voluptatem nam quis vitae.
Iste harum labore quod minus. Modi odio repellat aperiam cupiditate mollitia consequuntur. Et nemo odit natus a tempore.
Tempore in totam deserunt alias a exercitationem animi. Provident quaerat optio debitis. Recusandae sequi quae animi modi rem excepturi.",건강,2024-12-11 05:46:07.471751,992,71,True
46,Magni error nulla non accusantium nemo facilis tempore.?,"Autem ut totam occaecati voluptatem a accusantium. Facere quas qui consequuntur reiciendis reiciendis autem doloremque. Rem nulla magni neque omnis.
Neque porro omnis iste. Minima nobis fuga quam ipsum neque.
Porro quia harum voluptatibus magnam. Beatae expedita ad voluptatibus corrupti nam. Perspiciatis aliquam asperiores voluptates.
Quisquam sed possimus explicabo quidem. Error est numquam culpa possimus recusandae nesciunt est.",취업,2025-03-04 12:15:49.472053,413,27,False
47,Sed illum non quisquam nesciunt.?,"Assumenda consequuntur modi enim. Animi doloremque dolorem. Provident rerum perspiciatis magni vitae occaecati.
Aliquam commodi accusantium illum. Magni itaque dolorem quaerat voluptate. Earum labore omnis similique ea id.
Impedit provident quas eveniet. Neque repellendus quibusdam.
Dolor reiciendis cum placeat mollitia eos placeat voluptatem. Sapiente eos assumenda mollitia.",생활,2024-10-06 20:02:47.035130,315,98,False
48,Aut alias labore autem saepe laborum dolor ex est.?,"Porro quos illum sequi. Recusandae eligendi nemo quis consectetur animi.
Porro iste eos. Ab odio aliquam consectetur reiciendis occaecati. Dolorem itaque maxime delectus autem quo dicta.
Quis deleniti facilis suscipit sequi quisquam debitis dolore. Reprehenderit laboriosam recusandae hic.
Sapiente nobis veritatis aut aperiam. Doloribus consectetur ratione quidem. Illum quibusdam pariatur.
Labore suscipit modi adipisci doloribus. Tempore dolore harum maiores minima.",건강,2024-06-22 20:40:07.927263,108,52,True
49,Sit modi ullam quae corrupti ullam cupiditate nostrum corporis.?,"Unde sint libero porro blanditiis reiciendis. Sapiente minima assumenda facilis tenetur.
Quos qui alias beatae nemo maiores alias.
Sapiente dolorum unde est quaerat doloribus optio. Earum fuga architecto officia quis aperiam rem veritatis. Beatae voluptatibus quidem nesciunt dolor eligendi quas.
Nisi explicabo facere quasi. Cumque fuga laudantium exercitationem aspernatur ratione aspernatur.
Nesciunt sequi et perspiciatis harum ipsum.",기타,2025-05-30 23:47:50.440037,562,42,True
50,Beatae eaque nihil quidem voluptatibus neque iusto.?,"Suscipit facilis iste quae. Magni aspernatur aut cum ipsum amet dolores consequatur.
Mollitia optio quos debitis molestias fugit. Rerum libero repellendus quam eaque quidem.
Repellendus sint ea laudantium magnam dolorem veritatis. Recusandae id eligendi suscipit aliquid.
Est deleniti optio iusto quaerat. Quisquam soluta recusandae vitae at. Dolor nemo vero tempore optio.",취업,2024-12-18 18:16:28.929990,632,25,True
51,Amet non vel labore velit blanditiis.?,"Quis vitae explicabo non. Blanditiis dicta numquam dolore veritatis minima harum.
Totam consequuntur sint deleniti enim fugiat. Dolores ad perferendis repudiandae totam.
Pariatur necessitatibus nostrum magni beatae debitis libero quibusdam. Adipisci sint reprehenderit inventore similique.
Accusantium maxime occaecati optio nobis corrupti nam. Ea non possimus quidem fugiat. Quos libero voluptates eos quas possimus error similique.",생활,2024-11-09 01:45:00.672979,341,57,False
52,Inventore quaerat sit a consectetur fugiat exercitationem quas cum quas autem.?,"Doloremque possimus doloremque soluta numquam harum.
Dolor pariatur fugiat sit praesentium consequatur. Tempora sapiente ullam est eos dolorem atque.
Ea earum laudantium ut ipsum beatae. Minima ut magni.
Deleniti officiis saepe consequatur eius non debitis. Fuga non odio quas. Minima magnam doloribus dolores.
Praesentium quam officiis ratione nulla vel.
Aperiam dolore a dignissimos fugit adipisci. Eveniet ea perferendis quae quidem vero magni reiciendis. Odit nesciunt eum excepturi incidunt.",생활,2024-09-13 03:51:14.107098,980,1,True
53,Beatae delectus quae tempore aperiam neque quod perferendis corrupti.?,"Exercitationem quibusdam ipsa commodi id voluptatibus commodi. Repudiandae hic rerum voluptas animi qui.
Odit modi sequi consequatur voluptatibus libero accusantium.
Libero doloribus quae itaque placeat enim error. Distinctio beatae saepe.
Omnis nesciunt ratione omnis temporibus ipsa. Suscipit delectus voluptate repudiandae esse. Qui excepturi unde eum non quidem excepturi. Ipsam et distinctio harum reprehenderit.",건강,2024-08-07 09:57:05.099721,723,89,False
