assignment_id,livestock_mkt,analysts_anal,assignment_date,report_submitted,prediction_accuracy,analysis_type,confidence_level,interaction_count
92,3,8,2025-01-04,True,91,주간분석,0.67,33
93,28,6,2025-03-22,False,5,월간분석,0.93,44
94,11,3,2025-05-16,True,15,특별분석,0.62,43
95,28,28,2024-12-09,True,46,분기분석,0.89,19
96,40,13,2024-09-04,True,35,주간분석,0.93,29
97,39,16,2025-05-05,True,77,주간분석,0.79,17
98,32,10,2024-10-12,True,3,월간분석,0.88,42
99,12,15,2025-03-15,True,85,주간분석,0.75,29
100,22,16,2024-06-10,True,87,특별분석,0.83,14
101,13,19,2024-09-20,True,18,주간분석,0.57,4
102,5,24,2024-09-21,True,0,월간분석,0.51,26
103,42,21,2024-08-16,True,66,주간분석,0.68,13
104,37,6,2025-02-02,True,84,분기분석,0.55,41
105,5,15,2025-03-23,True,73,분기분석,0.59,6
106,44,4,2025-03-25,False,62,월간분석,0.74,19
107,32,11,2024-12-31,True,78,주간분석,0.69,40
108,4,5,2024-12-13,False,31,특별분석,0.77,3
109,8,28,2024-12-13,True,0,특별분석,0.83,24
110,30,28,2024-06-21,False,65,월간분석,0.65,31
111,3,13,2024-10-04,True,15,특별분석,0.58,3
112,28,10,2024-10-04,False,31,분기분석,0.8,7
113,37,14,2025-03-17,True,38,분기분석,0.89,40
114,15,13,2025-01-03,True,94,월간분석,0.76,18
115,38,29,2025-02-03,True,3,분기분석,0.65,22
116,34,9,2025-01-19,True,45,월간분석,0.63,48
117,18,3,2024-09-18,False,6,분기분석,0.81,46
118,4,21,2024-10-27,True,6,특별분석,0.65,24
119,18,21,2024-10-03,True,25,주간분석,0.83,1
120,50,20,2025-04-22,True,52,월간분석,0.73,28
