transaction_id,user_id,stock_code,transaction_type,price,quantity,transaction_date
188,36,000660,매수,354110,47,2024-12-10 01:14:50.223190
189,38,005930,매수,438358,1,2025-05-06 06:28:10.409338
190,21,035420,매수,53380,74,2025-02-11 21:34:36.808336
191,31,005380,매도,476740,46,2024-12-29 10:35:51.052778
192,42,005380,매수,429777,100,2025-01-15 15:16:26.677136
193,13,035420,매도,14191,22,2025-04-23 23:27:05.606757
194,37,035420,매도,302294,26,2025-05-18 01:17:09.084762
195,36,005380,매도,216667,29,2025-02-07 09:27:44.408858
196,44,207940,매수,212392,23,2025-01-26 08:30:30.691838
197,2,035420,매도,349909,20,2025-04-13 19:20:14.950961
198,28,035420,매수,189022,14,2024-12-21 01:44:25.160026
199,5,000660,매수,207386,88,2025-05-10 10:19:45.933180
200,19,000660,매도,101784,43,2025-01-19 05:51:30.752722
