setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament
235,235,영어,False,True,True,빠름,16,False,True
236,236,중국어,True,True,False,느림,17,False,True
237,237,영어,False,True,False,느림,14,True,True
238,238,일본어,True,False,False,빠름,3,True,True
239,239,중국어,False,True,False,보통,20,True,True
240,240,영어,True,False,True,빠름,10,True,True
241,241,일본어,False,True,True,느림,2,True,True
242,242,일본어,True,True,False,빠름,7,False,True
243,243,영어,True,True,False,느림,2,True,True
244,244,영어,True,True,True,보통,3,True,True
245,245,중국어,True,False,False,보통,5,True,True
246,246,한국어,False,False,False,느림,17,True,True
247,247,한국어,True,False,False,보통,13,True,True
248,248,중국어,True,True,False,빠름,2,False,True
249,249,중국어,True,False,False,보통,7,False,True
250,250,한국어,True,False,False,느림,2,True,True
251,251,한국어,True,False,True,보통,2,True,True
252,252,한국어,True,True,True,느림,18,True,True
253,253,영어,True,True,False,빠름,6,False,True
254,254,한국어,True,True,True,느림,3,True,True
255,255,한국어,True,True,False,느림,12,True,True
256,256,한국어,True,True,False,빠름,9,False,True
257,257,한국어,True,False,False,보통,1,True,True
258,258,한국어,True,True,False,빠름,3,True,True
259,259,일본어,True,True,True,느림,7,True,True
260,260,영어,True,False,True,보통,17,False,True
261,261,한국어,False,True,True,느림,9,True,True
262,262,영어,True,True,True,빠름,12,False,True
263,263,한국어,True,True,True,보통,20,True,True
264,264,중국어,False,True,True,느림,19,False,True
265,265,중국어,True,True,False,빠름,9,True,True
266,266,한국어,True,False,False,보통,11,True,True
267,267,일본어,False,False,True,보통,11,False,True
268,268,영어,True,True,False,느림,9,True,True
269,269,한국어,True,False,True,느림,3,False,True
270,270,일본어,False,True,False,빠름,12,True,True
271,271,영어,True,True,True,빠름,13,True,False
272,272,중국어,True,True,False,빠름,12,False,True
273,273,일본어,False,False,False,느림,16,False,True
274,274,한국어,False,False,False,느림,15,False,True
275,275,중국어,True,True,True,느림,3,True,True
276,276,중국어,False,True,False,빠름,20,False,False
277,277,중국어,True,False,False,보통,14,True,True
278,278,중국어,False,False,True,빠름,10,False,True
279,279,일본어,True,True,False,빠름,19,True,False
280,280,일본어,True,True,True,빠름,18,False,True
281,281,일본어,True,True,True,느림,1,True,True
282,282,영어,True,True,False,빠름,20,False,True
283,283,한국어,True,True,False,느림,7,True,True
284,284,한국어,False,True,True,느림,20,True,True
285,285,중국어,False,False,False,느림,13,False,False
286,286,영어,False,True,False,보통,5,True,True
287,287,중국어,True,False,True,느림,5,False,True
288,288,일본어,True,True,False,보통,7,True,True
289,289,영어,True,True,False,보통,13,False,True
290,290,한국어,True,True,True,빠름,19,True,True
291,291,중국어,True,True,False,보통,20,True,True
292,292,중국어,True,False,False,느림,20,True,True
293,293,중국어,True,True,True,빠름,18,False,True
294,294,한국어,True,False,False,빠름,13,False,False
295,295,일본어,False,False,False,빠름,20,True,True
296,296,영어,True,False,False,빠름,14,True,True
297,297,중국어,True,False,False,보통,14,False,True
298,298,영어,True,True,True,보통,10,False,True
299,299,중국어,False,False,False,빠름,8,False,False
300,300,영어,True,True,True,보통,14,False,True
