analytics_id,q1,accepted_answer_id,updated_at,total_answers,avg_answer_length,best_answer_score
178,178,38.0,2025-05-04 02:06:56.788853,6,629,31
179,179,9.0,2025-04-30 10:07:22.570793,13,307,25
180,180,15.0,2025-03-31 15:21:26.764662,7,279,43
181,181,99.0,2025-04-03 09:16:28.843167,6,305,15
182,182,69.0,2025-03-12 04:29:47.071538,0,569,34
183,183,67.0,2025-05-30 11:15:32.532685,10,116,41
184,184,29.0,2025-05-02 05:55:50.732619,11,203,46
185,185,7.0,2025-03-18 04:55:42.353120,12,415,42
186,186,49.0,2025-05-18 07:45:23.187290,15,245,3
187,187,47.0,2025-05-19 11:28:27.048854,8,116,42
188,188,,2025-04-21 14:30:42.984038,4,559,5
189,189,29.0,2025-03-28 20:36:12.782966,15,590,19
190,190,,2025-04-30 16:10:43.785471,3,214,9
191,191,27.0,2025-05-10 19:06:29.020521,1,259,27
192,192,51.0,2025-05-01 02:54:32.920598,5,68,24
193,193,55.0,2025-05-27 15:24:31.092125,15,309,27
194,194,9.0,2025-03-30 22:56:34.500136,1,759,39
195,195,18.0,2025-03-05 20:29:46.256725,15,344,49
196,196,,2025-04-22 14:12:47.366175,0,433,32
197,197,,2025-03-18 12:18:51.996108,3,800,25
198,198,67.0,2025-03-17 22:10:28.587157,5,488,34
199,199,50.0,2025-05-06 15:07:37.445810,12,426,46
200,200,,2025-03-03 04:26:11.914082,14,166,49
201,201,12.0,2025-04-10 02:05:28.245355,10,742,4
202,202,46.0,2025-05-08 02:09:55.531812,11,281,17
203,203,45.0,2025-03-03 09:11:22.584262,5,264,39
204,204,97.0,2025-04-10 19:57:29.530356,9,272,22
205,205,89.0,2025-05-29 02:35:23.475056,5,690,25
206,206,,2025-05-19 20:05:39.561139,8,603,4
207,207,,2025-03-07 10:56:06.381739,15,727,2
208,208,35.0,2025-05-19 05:25:17.567075,15,720,3
209,209,36.0,2025-03-23 19:33:32.875477,14,702,10
210,210,87.0,2025-03-03 19:09:55.086830,11,477,4
211,211,,2025-03-28 21:31:54.129796,8,584,8
212,212,50.0,2025-04-30 12:09:32.331444,10,93,21
213,213,,2025-04-13 10:25:49.081826,5,335,0
214,214,,2025-03-08 16:04:22.866072,7,673,6
215,215,,2025-05-13 07:36:36.422351,4,704,1
216,216,,2025-04-17 05:04:23.063489,0,177,5
217,217,94.0,2025-05-27 22:54:45.381196,0,421,6
218,218,,2025-05-18 12:35:29.466182,6,632,34
219,219,57.0,2025-05-14 22:57:40.546634,7,485,47
220,220,,2025-05-09 22:21:20.288674,15,543,34
221,221,65.0,2025-04-10 01:01:15.718565,14,160,37
222,222,20.0,2025-04-06 07:37:34.969024,6,261,29
223,223,17.0,2025-05-15 08:26:16.301390,8,94,9
224,224,,2025-03-27 04:06:24.783664,0,329,27
225,225,,2025-05-27 23:53:26.704857,13,241,45
226,226,8.0,2025-05-09 03:33:26.718216,10,726,18
227,227,93.0,2025-03-10 03:05:24.958493,0,384,37
228,228,,2025-04-07 11:01:21.379747,3,56,10
229,229,12.0,2025-05-24 21:15:46.963449,2,449,22
230,230,,2025-04-02 18:00:26.369043,9,70,20
231,231,,2025-05-25 10:56:48.943709,5,190,18
232,232,1.0,2025-05-07 03:35:07.571300,3,427,38
233,233,,2025-04-21 10:41:43.785784,4,445,25
234,234,34.0,2025-03-24 13:42:27.172823,15,102,11
235,235,,2025-05-31 17:28:55.324474,4,255,50
236,236,50.0,2025-03-30 20:45:28.725880,1,253,30
237,237,,2025-03-30 09:31:22.022398,8,125,25
238,238,59.0,2025-03-15 19:49:43.935465,14,584,8
239,239,20.0,2025-03-31 08:23:46.320504,6,688,16
240,240,88.0,2025-05-25 14:34:13.903255,3,353,30
241,241,6.0,2025-05-14 00:33:00.160769,9,188,25
242,242,,2025-04-18 21:26:43.620350,4,743,20
243,243,78.0,2025-05-27 13:27:11.991956,4,282,27
244,244,3.0,2025-05-06 15:42:31.995098,0,600,6
245,245,13.0,2025-04-06 22:51:12.468332,10,745,2
246,246,54.0,2025-05-03 11:43:15.278977,4,456,49
247,247,62.0,2025-05-08 08:04:42.594405,7,363,33
248,248,29.0,2025-04-18 10:35:09.468599,6,547,3
249,249,,2025-05-17 09:35:11.478903,4,279,27
250,250,64.0,2025-05-01 07:26:34.646150,4,522,22
251,251,18.0,2025-03-28 03:14:47.616178,3,745,10
252,252,57.0,2025-05-08 09:08:16.995857,1,431,4
253,253,33.0,2025-05-24 15:00:42.276781,11,488,4
254,254,99.0,2025-03-25 05:16:42.832356,13,633,11
255,255,,2025-04-21 02:15:56.139886,10,800,8
256,256,99.0,2025-04-23 05:43:11.274456,0,254,43
257,257,47.0,2025-03-06 15:45:50.299143,13,115,28
258,258,,2025-04-25 01:04:03.854489,15,150,44
259,259,54.0,2025-04-04 10:02:04.964829,4,788,40
260,260,27.0,2025-05-28 01:01:44.389481,9,596,0
261,261,32.0,2025-05-31 23:39:30.644530,11,752,41
262,262,14.0,2025-05-30 00:06:44.996693,9,638,22
263,263,,2025-05-18 15:12:02.231082,15,787,24
264,264,15.0,2025-03-28 20:27:03.778353,7,423,16
265,265,57.0,2025-03-14 08:58:39.048020,10,103,16
266,266,,2025-03-30 03:52:45.146620,7,687,28
267,267,74.0,2025-04-20 20:34:04.996517,13,673,50
268,268,55.0,2025-04-27 13:31:53.118443,12,262,24
269,269,,2025-05-22 09:27:44.782796,3,649,21
270,270,46.0,2025-04-28 21:20:46.390653,9,450,7
271,271,,2025-04-27 20:32:25.141675,7,70,25
272,272,,2025-04-05 09:03:07.571293,7,705,48
273,273,15.0,2025-04-03 23:14:15.971902,15,97,14
274,274,89.0,2025-03-20 04:01:43.977663,10,580,13
275,275,,2025-04-03 23:57:26.110410,5,106,37
276,276,,2025-05-06 15:31:56.426284,15,602,23
277,277,,2025-05-30 08:54:18.284469,3,80,23
278,278,92.0,2025-03-16 06:36:03.145047,11,149,27
279,279,,2025-04-26 13:52:37.714794,11,722,3
280,280,,2025-05-01 04:29:53.184268,12,633,12
281,281,,2025-05-30 03:13:45.151942,5,111,8
282,282,,2025-06-02 05:24:30.741638,9,258,8
283,283,,2025-03-16 21:52:54.644924,9,681,20
284,284,,2025-05-25 01:52:59.429610,13,354,20
285,285,77.0,2025-04-18 02:03:02.672330,14,627,28
286,286,98.0,2025-04-07 15:51:45.822691,11,263,27
287,287,55.0,2025-04-17 07:39:07.332352,3,100,6
288,288,,2025-05-28 21:49:08.824458,2,588,40
289,289,,2025-03-06 20:05:06.154315,8,391,14
290,290,34.0,2025-04-19 08:01:46.881312,10,565,14
291,291,1.0,2025-03-17 09:13:04.311932,6,738,38
292,292,100.0,2025-05-25 17:51:24.613496,12,347,35
293,293,,2025-04-06 10:32:28.503906,6,209,5
294,294,23.0,2025-03-14 04:52:42.623738,1,408,28
295,295,,2025-05-29 18:57:59.864102,10,68,14
296,296,,2025-04-22 11:12:28.766445,0,256,19
297,297,70.0,2025-05-12 23:28:53.430878,2,720,23
298,298,8.0,2025-04-13 01:47:06.932558,2,402,34
299,299,,2025-04-06 21:37:19.450369,1,748,26
300,300,2.0,2025-05-28 06:36:52.920066,3,481,17
