market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification,completion_rate,tags
26,단양군 축산시장,인천광역시 종로구 압구정로 87-22,소매시장,주3회,서울,1967,소형,031-271-3265,True,0.95,"nulla,quaerat,facere"
27,용인시 처인구 축산시장,충청남도 춘천시 언주가 지하510,직거래장,매일,제주,2006,중형,051-699-0925,True,0.89,"dicta,ipsa,quod"
28,부천시 축산시장,부산광역시 용산구 압구정258거리 467-35,소매시장,주3회,서울,1957,중형,017-873-9732,True,0.64,"consectetur,deleniti,temporibus"
29,청주시 흥덕구 축산시장,경상북도 서천군 반포대가 지하371,직거래장,주말만,강원,1990,소형,055-923-2423,True,0.52,"assumenda,iusto,commodi"
30,이천시 축산시장,부산광역시 동구 역삼77로 960 (진우이동),도매시장,평일만,충남,1972,대형,019-741-8903,True,0.78,"blanditiis,odit,repudiandae"
31,청주시 상당구 축산시장,전라북도 태백시 오금로 607,도매시장,평일만,제주,2008,대형,053-081-8010,True,0.24,"voluptates,et,laborum"
32,안양시 동안구 축산시장,울산광역시 강북구 봉은사로 지하571 (지후남한마을),소매시장,주3회,충남,1996,중형,070-6085-3989,True,0.19,"velit,modi,cum"
33,남양주시 축산시장,인천광역시 서구 압구정거리 618-40,직거래장,주3회,전북,2013,소형,052-543-3475,False,0.1,"earum,hic,commodi"
34,보은군 축산시장,제주특별자치도 양구군 서초중앙4거리 995-66 (영환정리),도매시장,평일만,경남,1982,소형,052-477-4450,True,0.21,"rerum,eligendi,ea"
35,음성군 축산시장,전라남도 화성시 삼성96가 지하369,도매시장,평일만,전남,1961,소형,052-153-5035,False,0.62,"omnis,modi,ex"
36,옥천군 축산시장,경기도 성남시 중원구 역삼837길 184 (경숙전마을),소매시장,주말만,경북,1954,대형,055-986-6289,True,0.72,"nobis,cumque,non"
37,용인시 수지구 축산시장,울산광역시 중랑구 삼성길 627-11 (지영김읍),소매시장,주3회,강원,2002,중형,018-702-5025,True,0.07,"temporibus,saepe,amet"
38,양주시 축산시장,충청북도 인제군 삼성2로 414,도매시장,주3회,전북,1959,대형,017-721-4276,True,0.61,"rerum,tempora,magnam"
39,수원시 영통구 축산시장,경상북도 부천시 원미구 반포대4로 905-13,도매시장,주3회,경북,1969,중형,061-743-7990,True,0.65,"aperiam,ipsa,repudiandae"
40,영동군 축산시장,부산광역시 송파구 오금길 900-55,도매시장,주말만,전북,1972,대형,044-237-3316,True,0.09,"eius,sequi,sequi"
41,동두천시 축산시장,강원도 평택시 영동대69길 866-46,도매시장,평일만,강원,1981,중형,041-668-4608,False,0.57,"corrupti,reiciendis,magnam"
42,태백시 축산시장,충청북도 수원시 장안구 오금983로 220-84 (예은이조마을),소매시장,매일,전북,1953,중형,02-4872-9271,False,0.78,"culpa,voluptatum,assumenda"
43,보령시 축산시장,세종특별자치시 성동구 영동대로 558 (하은이양리),도매시장,주말만,서울,1957,대형,010-7832-6758,True,0.64,"est,accusamus,reiciendis"
44,안산시 상록구 축산시장,강원도 보령시 서초대길 564 (민서김장마을),도매시장,평일만,전남,2009,중형,051-900-7716,True,0.9,"aut,laudantium,ea"
45,보령시 축산시장,제주특별자치도 서천군 강남대022로 지하843,직거래장,평일만,서울,2013,소형,041-182-2579,False,0.47,"accusantium,quia,voluptatem"
46,안양시 축산시장,부산광역시 종로구 강남대24로 166 (영환최마을),도매시장,매일,충북,2011,중형,011-738-8126,False,0.49,"repudiandae,iusto,nihil"
47,안양시 축산시장,부산광역시 북구 반포대43로 477-84 (준영박읍),직거래장,주말만,충북,1994,소형,070-5782-7160,True,0.64,"occaecati,expedita,similique"
48,성남시 분당구 축산시장,충청북도 청주시 흥덕구 압구정760거리 299-6,직거래장,평일만,충북,1988,대형,033-418-4811,True,0.1,"iste,quasi,aperiam"
49,음성군 축산시장,충청남도 안산시 상록구 오금거리 199-72,직거래장,주말만,제주,1985,소형,011-732-6124,True,0.08,"quasi,voluptate,officia"
50,계룡시 축산시장,제주특별자치도 화성시 영동대로 737 (중수류김동),직거래장,주3회,제주,1954,소형,051-325-8496,True,0.76,"autem,nam,debitis"
