result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated,bounce_rate,impression_count
36,133,CPI,2025-05-26,54,51,ENTP,보통,True,True,0.75,5235
37,151,Big5,2025-04-23,80,60,ISFJ,보통,True,True,0.26,40007
38,60,NEO-PI-R,2025-03-06,97,128,ESTP,매우높음,True,True,0.21,14678
39,68,MBTI,2025-02-20,101,109,ENTJ,매우높음,True,True,0.34,5251
40,57,NEO-PI-R,2024-09-25,87,87,ISFJ,낮음,True,True,0.53,20027
41,176,MBTI,2025-02-07,58,63,ESTP,낮음,True,True,0.67,25534
42,103,MBTI,2024-06-29,102,142,INTJ,낮음,False,True,0.71,12969
43,14,MBTI,2024-10-13,43,114,ENTJ,매우높음,True,True,0.35,27334
44,25,Big5,2024-12-06,104,111,ISFP,매우높음,True,True,0.46,13157
45,73,NEO-PI-R,2024-06-03,39,90,ISFP,보통,True,True,0.63,47004
46,97,NEO-PI-R,2024-12-18,81,75,INFP,보통,True,True,0.4,16495
47,29,MMPI,2025-04-18,104,95,ESTP,매우높음,True,True,0.58,45769
48,144,Big5,2024-08-31,60,113,ENFP,매우높음,True,True,0.33,30832
49,158,CPI,2024-06-13,32,145,ENTJ,높음,True,True,0.75,45259
50,32,Big5,2024-10-21,50,109,ENTJ,높음,True,True,0.64,40237
51,76,MBTI,2024-10-25,81,53,INFP,매우높음,False,True,0.43,26799
52,30,MBTI,2025-02-27,92,87,INTJ,보통,True,True,0.72,9039
53,169,CPI,2024-06-04,84,85,ENFP,매우높음,True,True,0.69,29615
54,18,NEO-PI-R,2024-09-22,100,112,None,매우높음,True,True,0.42,3065
55,106,NEO-PI-R,2024-08-31,75,62,ISFP,낮음,True,True,0.23,14521
56,87,Big5,2025-02-11,83,118,ISFP,보통,True,True,0.44,4458
57,53,CPI,2025-05-23,58,55,INTJ,높음,True,True,0.32,27918
58,66,Big5,2024-12-01,87,83,None,보통,False,False,0.75,2458
59,50,CPI,2025-05-30,48,117,None,낮음,True,True,0.72,16435
60,139,NEO-PI-R,2025-01-26,42,143,ISFP,매우높음,True,True,0.3,28733
61,173,NEO-PI-R,2024-12-23,105,100,INTJ,매우높음,True,True,0.4,21971
62,24,MBTI,2025-05-17,53,92,None,매우높음,True,True,0.25,45521
63,194,MMPI,2025-02-26,72,118,ISFJ,높음,True,True,0.59,42741
64,40,MMPI,2025-01-05,108,123,ENTJ,보통,True,False,0.67,18885
65,172,CPI,2024-11-28,81,128,ISFP,매우높음,True,True,0.46,8489
66,179,NEO-PI-R,2024-11-08,43,143,ISFP,보통,True,True,0.22,22963
67,58,CPI,2024-06-30,22,127,ESTP,보통,True,True,0.79,19204
68,67,MBTI,2024-07-18,57,103,INFP,매우높음,True,True,0.46,9814
69,54,CPI,2024-07-08,30,65,ESTP,낮음,True,True,0.7,9446
70,78,MMPI,2024-10-25,52,51,INTJ,높음,True,True,0.29,22633
71,77,CPI,2024-12-31,72,147,ISFJ,매우높음,True,True,0.46,36417
72,140,MMPI,2024-07-11,85,110,None,높음,True,True,0.55,3074
73,116,NEO-PI-R,2025-05-31,22,81,ENTP,낮음,True,True,0.37,43263
74,133,MBTI,2024-11-30,97,116,ENTJ,높음,True,False,0.72,15893
75,177,Big5,2025-04-06,55,55,ENTJ,높음,True,True,0.6,37457
76,48,CPI,2025-04-30,51,125,ISFP,보통,True,True,0.2,46750
77,176,CPI,2025-04-16,96,68,ENTP,낮음,False,True,0.23,36942
78,163,CPI,2024-12-09,103,123,None,보통,True,True,0.74,48065
79,29,Big5,2024-12-04,107,124,ENFP,낮음,True,True,0.34,11915
80,128,MMPI,2024-07-15,46,93,INFP,높음,True,True,0.25,44827
81,118,MBTI,2025-05-30,117,131,ESTP,높음,True,True,0.5,32245
82,47,CPI,2024-11-21,81,132,ESTP,보통,True,False,0.54,45616
83,192,CPI,2024-06-03,30,66,ENFP,보통,True,True,0.39,36962
84,156,MMPI,2025-01-31,89,145,INFP,매우높음,True,True,0.21,40583
85,145,MMPI,2025-04-13,30,75,ENTJ,낮음,True,True,0.6,7697
86,112,CPI,2024-07-20,98,147,ISFJ,높음,True,True,0.5,47712
87,171,MBTI,2025-04-01,41,93,ESTP,높음,True,True,0.62,2196
88,189,MBTI,2025-02-27,102,149,ENTP,낮음,True,True,0.76,15996
89,117,MMPI,2024-09-07,31,54,INFP,매우높음,True,True,0.57,44978
90,83,NEO-PI-R,2024-12-31,104,127,ESTP,매우높음,True,True,0.21,27816
91,149,CPI,2025-01-09,91,85,ENTP,보통,True,True,0.63,3884
92,135,MBTI,2025-04-13,107,77,INTJ,보통,True,True,0.61,45297
93,50,CPI,2025-05-21,67,148,ENFP,높음,True,True,0.34,15452
94,29,CPI,2024-08-24,94,129,INFP,매우높음,True,True,0.21,31899
95,112,MBTI,2024-06-16,48,87,INFP,낮음,True,True,0.63,39216
96,11,Big5,2024-06-11,29,139,ESTP,매우높음,True,True,0.29,32049
97,102,MBTI,2024-12-29,40,90,ISFP,낮음,True,True,0.62,1102
98,98,MBTI,2024-07-03,64,142,ISFJ,높음,False,True,0.48,31032
99,53,NEO-PI-R,2024-07-08,100,126,ENTP,높음,True,False,0.77,41598
100,83,Big5,2024-09-20,37,117,ENFP,낮음,True,True,0.75,27342
101,44,Big5,2025-04-24,35,84,ENTJ,높음,True,True,0.77,13661
102,173,Big5,2024-08-09,57,102,ESTP,낮음,True,True,0.52,1350
103,55,Big5,2025-01-29,76,50,ISFP,높음,True,True,0.36,24471
104,107,MMPI,2024-12-01,64,57,INFP,매우높음,True,True,0.44,19598
105,187,NEO-PI-R,2025-04-08,64,122,ENTJ,낮음,True,True,0.33,44432
106,97,CPI,2025-02-26,97,76,ESTP,보통,True,True,0.42,2554
107,33,Big5,2024-09-27,111,68,INFP,낮음,True,True,0.69,1916
108,78,MBTI,2025-01-13,32,101,ISFJ,낮음,True,True,0.36,4768
109,56,NEO-PI-R,2024-06-08,52,125,ENTP,낮음,True,True,0.35,43030
110,88,NEO-PI-R,2024-08-17,96,78,INFP,보통,False,True,0.65,35725
111,199,MMPI,2024-06-27,43,93,INTJ,보통,True,True,0.78,10053
112,89,NEO-PI-R,2024-11-13,55,147,INTJ,매우높음,False,False,0.21,23086
113,36,NEO-PI-R,2024-10-28,60,147,ISFP,보통,True,True,0.54,35898
114,28,Big5,2024-12-23,87,115,ENTJ,높음,True,True,0.59,28094
115,70,MMPI,2025-01-23,68,114,ISFJ,낮음,False,True,0.35,17957
116,103,CPI,2025-01-14,29,112,ENTP,보통,True,True,0.34,22819
117,176,MMPI,2024-06-23,116,137,ENFP,보통,True,True,0.43,36735
118,182,NEO-PI-R,2024-07-04,99,71,INFP,보통,True,True,0.25,28557
119,166,Big5,2024-11-30,51,130,ESTP,낮음,True,False,0.72,45111
120,87,Big5,2024-08-05,83,87,ENTP,보통,True,True,0.39,37528
121,141,MBTI,2024-06-05,30,130,INTJ,높음,True,True,0.49,7003
122,145,MBTI,2024-12-14,19,115,None,높음,True,False,0.34,18166
123,160,NEO-PI-R,2024-11-19,74,106,INFP,낮음,True,True,0.45,35315
124,175,MBTI,2024-12-29,26,80,ESTP,보통,True,True,0.21,28749
125,18,CPI,2025-01-20,33,94,ESTP,보통,True,False,0.74,37932
126,114,NEO-PI-R,2024-06-28,83,61,ENFP,매우높음,True,True,0.5,38627
127,111,MBTI,2025-05-29,39,87,ISFP,높음,True,True,0.24,25584
128,195,CPI,2025-04-19,110,53,INTJ,높음,True,True,0.7,16316
129,2,MMPI,2025-01-11,27,75,ISFJ,매우높음,True,False,0.38,10261
130,179,CPI,2025-01-14,86,126,ISFP,보통,True,True,0.56,34366
131,131,MBTI,2025-05-13,63,121,INTJ,높음,True,True,0.21,44250
132,157,MBTI,2024-12-28,120,103,INFP,높음,True,True,0.39,687
133,127,MMPI,2024-07-03,72,113,ENTJ,보통,True,True,0.49,26102
134,181,NEO-PI-R,2024-06-12,53,138,INFP,높음,True,True,0.25,41053
135,81,MBTI,2024-10-12,116,137,None,보통,True,True,0.48,15222
136,14,MBTI,2024-11-21,26,103,ENTJ,높음,True,True,0.73,48462
137,166,NEO-PI-R,2025-02-05,74,82,INTJ,보통,True,True,0.53,23704
138,103,CPI,2025-04-10,16,130,None,높음,True,True,0.62,3020
139,76,MBTI,2024-12-03,27,143,ESTP,낮음,True,True,0.69,20596
140,21,CPI,2024-09-22,15,68,ISFJ,높음,True,True,0.62,4222
141,144,CPI,2024-12-26,118,101,INTJ,높음,True,True,0.59,46342
142,26,Big5,2024-06-20,62,106,ENFP,보통,True,True,0.69,27205
143,122,Big5,2025-02-17,54,59,ENTP,높음,True,True,0.75,255
144,90,MMPI,2024-09-11,117,101,None,매우높음,True,False,0.35,38408
145,53,NEO-PI-R,2025-04-25,63,112,ENFP,낮음,False,True,0.57,18784
146,180,NEO-PI-R,2024-12-09,90,101,ENTP,낮음,True,True,0.72,49821
147,39,MBTI,2024-12-27,105,150,ENTJ,낮음,True,True,0.7,39131
148,161,MBTI,2024-09-11,17,105,ENTJ,낮음,True,True,0.24,12232
149,51,MBTI,2024-10-15,58,79,INFP,높음,True,True,0.55,36023
150,30,NEO-PI-R,2024-07-18,23,118,ENFP,높음,False,True,0.61,31268
151,95,MBTI,2025-04-15,20,84,ENTP,보통,True,True,0.68,19284
152,108,NEO-PI-R,2025-01-31,95,143,ESTP,매우높음,True,True,0.48,32256
153,84,NEO-PI-R,2024-12-26,20,74,ISFP,낮음,True,True,0.33,3069
154,83,MBTI,2024-09-06,18,130,ENFP,매우높음,True,True,0.58,6293
155,104,CPI,2025-02-01,60,76,None,높음,True,False,0.57,29996
156,169,CPI,2024-12-07,98,105,None,높음,True,False,0.5,37256
157,88,NEO-PI-R,2025-01-04,81,90,ISFJ,보통,True,True,0.7,35492
158,37,MBTI,2024-11-02,62,104,INTJ,보통,True,True,0.69,24197
159,195,MMPI,2025-04-02,120,85,ISFP,매우높음,True,True,0.26,26847
160,152,Big5,2024-07-19,79,144,INTJ,낮음,True,True,0.4,6519
161,115,MMPI,2025-04-10,65,97,INFP,매우높음,False,True,0.24,14807
162,81,NEO-PI-R,2024-10-15,33,99,INFP,높음,True,True,0.76,10888
163,49,CPI,2024-09-25,37,65,INTJ,보통,True,False,0.51,34405
164,7,MBTI,2025-04-21,44,82,ISFP,매우높음,True,False,0.37,32715
165,15,MMPI,2025-03-15,31,139,ENFP,매우높음,True,True,0.76,39541
166,15,Big5,2024-06-27,55,83,ISFP,낮음,True,True,0.61,28613
167,18,CPI,2025-05-11,48,56,ENTP,낮음,True,True,0.28,29008
168,112,MBTI,2025-01-12,39,72,INTJ,낮음,True,True,0.75,4636
169,115,NEO-PI-R,2024-10-08,89,52,INFP,보통,True,True,0.62,46526
170,176,CPI,2025-05-13,28,104,INTJ,매우높음,False,True,0.31,14071
171,127,Big5,2025-02-09,57,82,ISFP,매우높음,True,True,0.45,2109
172,36,Big5,2024-07-03,25,71,ISFJ,높음,False,True,0.32,529
173,87,MMPI,2024-07-21,91,84,INTJ,보통,False,True,0.21,4042
174,45,CPI,2025-03-24,84,68,ENTJ,매우높음,True,True,0.61,17624
175,27,MMPI,2024-12-24,22,108,INTJ,높음,False,True,0.35,16430
176,175,MMPI,2025-02-08,39,136,INTJ,낮음,True,False,0.68,8124
177,194,NEO-PI-R,2025-03-09,78,134,ISFP,보통,True,True,0.29,3304
178,155,MMPI,2025-03-14,18,150,INFP,낮음,True,True,0.55,5759
179,168,Big5,2025-05-18,54,60,ENFP,낮음,True,True,0.32,33848
180,79,NEO-PI-R,2024-10-22,50,109,ESTP,매우높음,True,False,0.66,15926
181,14,NEO-PI-R,2024-10-18,116,57,ENTJ,높음,False,True,0.36,45889
182,138,NEO-PI-R,2024-08-10,53,144,INFP,매우높음,True,True,0.44,3484
183,143,NEO-PI-R,2024-07-23,48,90,ESTP,매우높음,True,True,0.3,5800
184,24,CPI,2025-03-10,75,121,ESTP,높음,True,True,0.28,37471
185,81,NEO-PI-R,2025-03-23,32,134,ENTJ,보통,True,False,0.44,24723
186,35,MMPI,2024-12-13,71,111,ENTP,매우높음,False,True,0.71,7164
187,24,Big5,2024-11-15,108,92,ISFP,높음,True,False,0.74,25650
188,19,NEO-PI-R,2024-11-25,74,92,INFP,높음,False,False,0.68,14388
189,90,MBTI,2024-10-28,95,78,ENTP,매우높음,True,True,0.49,8325
190,65,Big5,2025-03-21,87,106,ENTP,매우높음,True,True,0.72,637
191,157,CPI,2024-08-09,106,135,INFP,매우높음,True,False,0.54,34505
192,132,MBTI,2024-11-07,112,76,ISFP,높음,True,True,0.61,39715
193,18,MMPI,2025-04-28,27,145,INFP,매우높음,True,True,0.34,19816
194,164,MMPI,2024-10-14,28,129,ISFP,낮음,True,True,0.61,45934
195,63,MBTI,2025-02-23,108,59,ISFJ,높음,False,True,0.6,9821
196,156,MMPI,2024-12-25,77,106,ENTP,매우높음,True,True,0.58,29371
197,199,NEO-PI-R,2025-03-14,55,108,INTJ,높음,True,True,0.38,16505
198,10,Big5,2024-10-31,94,65,ENTP,매우높음,True,True,0.46,39179
199,117,NEO-PI-R,2025-02-27,30,135,ESTP,매우높음,False,True,0.51,26026
200,150,CPI,2024-09-20,97,131,ESTP,높음,True,True,0.72,481
201,112,NEO-PI-R,2025-04-01,23,82,INTJ,높음,True,True,0.6,34266
202,50,Big5,2024-08-13,100,106,ENTP,높음,True,True,0.56,28569
203,29,MBTI,2024-06-21,104,72,ENTP,보통,True,True,0.52,13197
204,26,Big5,2025-05-01,46,124,ISFJ,높음,True,False,0.48,19103
205,5,CPI,2024-12-03,110,56,ISFJ,보통,True,True,0.4,14635
206,77,NEO-PI-R,2024-06-18,32,119,None,낮음,True,True,0.52,14325
207,63,NEO-PI-R,2025-01-12,51,130,None,낮음,True,True,0.79,24287
208,33,NEO-PI-R,2025-03-26,26,117,INFP,높음,True,True,0.39,31918
209,7,NEO-PI-R,2024-09-06,82,74,ENFP,낮음,True,True,0.62,35140
210,164,CPI,2024-08-10,61,62,INTJ,매우높음,True,True,0.32,23704
211,70,NEO-PI-R,2025-01-25,35,68,ENTP,높음,True,False,0.71,19389
212,158,Big5,2024-09-25,91,130,ISFJ,보통,True,True,0.69,27530
213,33,CPI,2024-12-28,65,64,ISFP,매우높음,True,True,0.75,10732
214,184,CPI,2024-07-14,62,115,ENTP,높음,True,True,0.44,20782
215,200,Big5,2025-06-01,33,82,ISFJ,낮음,True,True,0.42,42858
216,103,MMPI,2024-06-09,22,93,INFP,매우높음,True,True,0.69,44976
217,89,Big5,2024-11-28,45,82,None,보통,True,True,0.76,42693
218,164,MMPI,2025-05-18,35,79,ENTP,낮음,True,True,0.27,25255
219,9,NEO-PI-R,2024-07-06,107,144,ISFJ,보통,True,True,0.73,12739
220,82,CPI,2025-03-29,21,95,ESTP,높음,True,True,0.21,17549
221,86,MMPI,2024-12-23,36,64,INTJ,보통,True,True,0.65,31666
222,104,CPI,2024-12-18,57,135,INTJ,높음,True,True,0.64,1304
223,190,MBTI,2025-01-24,55,126,ENFP,매우높음,True,True,0.71,34309
224,2,NEO-PI-R,2024-12-19,52,124,ISFJ,높음,True,True,0.44,24651
225,137,CPI,2024-07-17,25,105,ISFJ,높음,True,False,0.59,7985
226,127,NEO-PI-R,2024-08-13,98,132,ISFP,매우높음,True,True,0.48,20191
227,183,MBTI,2024-12-14,117,58,ESTP,보통,True,True,0.21,49028
228,73,MBTI,2025-01-13,18,91,INFP,낮음,True,True,0.77,30152
229,177,MBTI,2024-10-18,81,79,ISFP,낮음,False,True,0.21,15168
230,122,NEO-PI-R,2025-02-13,52,71,ISFP,보통,True,True,0.65,35053
231,153,NEO-PI-R,2025-02-25,106,149,ENFP,낮음,True,True,0.49,28415
232,87,MBTI,2025-05-14,35,77,ESTP,높음,True,True,0.76,37652
233,191,MBTI,2025-01-04,16,94,ISFP,보통,False,True,0.5,32741
234,31,MMPI,2024-09-20,84,101,INFP,낮음,True,True,0.53,34886
235,124,MMPI,2024-08-30,112,83,ISFJ,높음,True,True,0.51,41202
236,37,Big5,2025-04-27,36,94,ISFJ,보통,True,True,0.57,22803
237,104,NEO-PI-R,2025-03-21,22,138,ESTP,보통,True,True,0.61,41817
238,132,Big5,2024-10-12,93,69,ENTP,높음,True,True,0.73,28296
239,137,CPI,2024-10-28,113,90,INFP,보통,True,True,0.39,8093
240,69,CPI,2024-06-24,104,72,None,매우높음,True,True,0.64,18304
241,82,CPI,2024-08-14,89,50,ENFP,높음,True,True,0.28,45553
242,137,CPI,2024-12-14,71,71,ENTP,매우높음,True,True,0.37,12968
243,199,NEO-PI-R,2025-03-29,27,120,ENFP,매우높음,True,False,0.31,8435
244,105,MBTI,2025-03-04,94,130,ISFP,높음,True,True,0.22,3307
245,121,Big5,2024-10-07,57,101,ENTP,보통,True,True,0.5,34571
246,48,Big5,2024-09-01,36,112,INFP,보통,True,True,0.38,17491
247,122,NEO-PI-R,2025-03-09,95,66,ENTJ,매우높음,True,True,0.54,29671
248,52,NEO-PI-R,2024-07-18,119,78,ISFP,보통,True,True,0.3,24519
249,173,MMPI,2024-11-13,81,56,ESTP,낮음,True,False,0.52,22496
250,142,MMPI,2025-02-05,40,58,ESTP,높음,True,True,0.37,49919
251,26,NEO-PI-R,2025-03-15,103,82,None,낮음,True,True,0.73,6081
252,102,Big5,2025-01-11,57,74,ENFP,낮음,True,False,0.45,28102
253,169,NEO-PI-R,2025-04-11,59,124,None,높음,True,True,0.8,24379
254,63,NEO-PI-R,2024-07-25,85,122,ENTP,매우높음,True,True,0.26,27961
255,118,Big5,2025-04-29,17,107,INFP,낮음,True,True,0.78,10826
256,179,CPI,2025-01-05,78,147,ENFP,높음,True,False,0.49,25397
257,12,MBTI,2024-09-05,99,128,ENTP,매우높음,True,True,0.44,28840
258,6,MBTI,2024-12-03,19,103,ENTJ,낮음,True,True,0.62,665
259,37,MMPI,2024-12-07,67,130,ENTP,매우높음,True,True,0.27,35185
260,3,NEO-PI-R,2025-06-01,106,76,ESTP,낮음,True,True,0.56,37688
261,169,CPI,2024-11-03,115,116,INTJ,높음,True,True,0.71,37329
262,40,MMPI,2025-04-05,68,142,ISFJ,보통,True,True,0.26,20835
263,178,MMPI,2024-06-07,86,70,ISFP,매우높음,True,False,0.47,6500
264,18,NEO-PI-R,2024-10-03,86,96,ISFJ,낮음,True,True,0.25,6557
265,54,CPI,2024-08-11,109,74,ESTP,보통,True,True,0.25,44812
266,196,Big5,2025-01-20,112,68,None,보통,True,False,0.32,14066
267,146,NEO-PI-R,2024-12-13,119,84,INFP,높음,True,True,0.34,14103
268,64,MBTI,2025-05-05,18,116,ISFJ,높음,True,True,0.38,35865
269,78,Big5,2025-05-15,107,137,ESTP,높음,True,True,0.75,32064
270,130,MMPI,2024-07-18,107,53,ENTJ,매우높음,True,True,0.73,13611
271,80,Big5,2025-05-12,59,141,ISFP,낮음,True,True,0.78,33666
272,77,NEO-PI-R,2024-10-24,77,147,ISFP,매우높음,True,True,0.21,17806
273,128,CPI,2025-04-15,107,70,INFP,매우높음,True,True,0.51,37797
274,84,NEO-PI-R,2024-10-07,63,87,ENTJ,매우높음,True,True,0.56,11182
275,53,MMPI,2025-03-10,71,100,INFP,높음,True,False,0.37,4070
276,93,MMPI,2024-07-21,41,65,INFP,높음,True,True,0.38,33985
277,46,NEO-PI-R,2024-11-17,90,92,ENFP,낮음,True,True,0.39,28985
278,8,Big5,2025-02-16,64,54,ISFJ,보통,True,True,0.39,18582
279,77,MMPI,2025-01-03,46,84,INTJ,낮음,True,True,0.55,4994
280,162,Big5,2025-02-14,119,107,INTJ,낮음,True,False,0.55,34470
281,72,MMPI,2025-03-22,98,87,ESTP,매우높음,True,True,0.65,5533
282,158,MMPI,2025-04-01,105,82,ENFP,높음,True,True,0.44,824
283,91,NEO-PI-R,2024-09-01,110,66,ESTP,보통,True,True,0.32,1522
284,21,CPI,2024-09-10,16,137,INFP,매우높음,True,True,0.27,26392
285,56,CPI,2025-05-23,41,128,ESTP,높음,True,True,0.4,37812
286,169,CPI,2025-02-07,55,130,INTJ,매우높음,True,True,0.76,1424
287,92,MMPI,2024-10-04,94,56,None,매우높음,True,True,0.26,17521
288,147,Big5,2025-01-19,108,92,INFP,보통,True,True,0.27,20643
289,99,CPI,2024-06-03,92,88,ENTP,보통,True,False,0.43,23501
290,83,MMPI,2025-04-23,74,85,ENTJ,매우높음,False,True,0.3,43033
291,194,CPI,2024-12-09,90,74,INTJ,낮음,True,True,0.63,34886
292,80,CPI,2024-09-08,72,81,ENTP,매우높음,True,True,0.2,45861
293,33,MBTI,2024-09-25,48,69,ENTP,낮음,True,False,0.71,21098
294,119,Big5,2024-09-26,20,68,ENTJ,보통,True,True,0.44,36506
295,166,MBTI,2025-05-25,24,92,ENTJ,보통,True,True,0.59,49269
296,89,MBTI,2025-05-02,95,136,None,보통,False,False,0.3,29697
297,143,MMPI,2024-12-10,102,52,ENFP,높음,True,True,0.26,40881
298,142,NEO-PI-R,2024-11-20,72,121,ESTP,높음,True,True,0.34,7776
299,6,NEO-PI-R,2025-01-15,106,107,ENTJ,보통,False,True,0.52,40183
300,135,MBTI,2024-11-09,51,94,ENTP,높음,True,True,0.69,8645
301,182,MMPI,2025-05-11,108,54,INFP,매우높음,False,True,0.79,45774
302,28,Big5,2024-07-24,53,100,ISFP,높음,True,True,0.33,35743
303,98,MBTI,2024-10-08,97,80,ESTP,매우높음,True,True,0.49,30407
304,66,Big5,2025-04-13,97,113,ENTP,보통,True,False,0.62,33221
305,119,Big5,2024-06-21,17,64,INTJ,보통,True,False,0.71,1469
306,133,MMPI,2024-07-15,104,88,None,매우높음,True,True,0.5,25482
307,160,MMPI,2025-02-19,69,69,INFP,보통,True,True,0.64,12937
308,180,MBTI,2024-12-28,68,74,ENFP,매우높음,True,False,0.65,3344
309,104,MBTI,2024-11-04,60,52,None,보통,True,True,0.56,42985
310,89,NEO-PI-R,2024-11-08,53,63,INFP,낮음,True,False,0.53,36890
311,119,Big5,2025-03-25,51,147,ENTJ,보통,True,False,0.21,7931
312,152,CPI,2024-07-18,68,133,ENTP,보통,True,True,0.2,19650
313,129,MMPI,2024-07-26,41,120,INTJ,높음,True,True,0.52,5409
314,164,NEO-PI-R,2024-12-29,102,51,INTJ,낮음,False,True,0.31,8437
315,195,NEO-PI-R,2025-05-05,31,131,ESTP,높음,True,True,0.49,28201
316,3,MMPI,2025-04-27,97,50,INTJ,보통,True,True,0.28,45080
317,131,MMPI,2024-10-24,75,126,INFP,보통,True,True,0.31,15166
318,77,Big5,2024-08-30,64,93,ISFP,높음,True,True,0.25,32200
319,63,MBTI,2024-09-10,97,142,ISFJ,낮음,True,True,0.61,18826
320,153,NEO-PI-R,2024-06-12,61,124,ENTP,낮음,True,True,0.36,47600
321,106,CPI,2024-11-10,105,76,INFP,높음,True,True,0.45,43192
322,80,MBTI,2025-04-08,72,68,ENTP,낮음,True,True,0.63,5173
323,178,Big5,2024-12-24,33,89,ENTJ,매우높음,True,True,0.3,36470
324,7,MMPI,2024-06-18,93,77,ENFP,낮음,True,True,0.58,42647
325,48,CPI,2024-07-30,27,149,INTJ,낮음,True,True,0.73,29758
326,19,MBTI,2025-02-19,71,105,ISFJ,매우높음,True,True,0.5,8749
327,181,MMPI,2025-04-03,46,120,INFP,낮음,True,True,0.53,18929
328,158,MBTI,2024-09-18,112,75,ENTJ,낮음,True,True,0.76,37759
329,144,MBTI,2024-06-01,100,79,ISFJ,매우높음,True,True,0.69,38013
330,103,Big5,2024-06-15,119,89,ENTP,낮음,True,True,0.28,27763
331,94,MMPI,2025-03-10,91,53,None,보통,True,False,0.44,24273
332,14,MBTI,2024-10-06,51,141,None,높음,True,True,0.66,13790
333,86,MBTI,2025-01-29,70,150,ISFP,낮음,True,True,0.3,8650
334,131,CPI,2025-01-12,48,63,ENTJ,낮음,True,True,0.34,28797
335,2,MBTI,2025-01-21,102,64,None,낮음,False,True,0.77,42593
336,116,Big5,2024-06-28,53,59,None,낮음,True,True,0.66,32170
337,51,MMPI,2025-02-07,115,117,ISFJ,낮음,True,True,0.57,17841
338,176,NEO-PI-R,2024-10-07,48,76,ESTP,높음,True,True,0.65,21545
339,164,NEO-PI-R,2025-02-05,42,97,ISFJ,높음,True,True,0.63,4079
340,159,CPI,2025-05-08,61,140,INTJ,낮음,True,True,0.34,43935
341,67,Big5,2025-04-20,76,127,ENFP,낮음,True,False,0.49,35574
342,105,CPI,2024-10-16,48,54,INTJ,보통,True,False,0.28,20645
343,50,MBTI,2024-10-18,50,72,ESTP,매우높음,False,True,0.39,49341
344,97,CPI,2024-08-15,32,122,INTJ,낮음,True,True,0.72,24329
345,108,MBTI,2025-03-26,101,55,INTJ,높음,False,True,0.37,5525
346,152,NEO-PI-R,2025-03-27,38,115,ENTP,낮음,True,True,0.36,9565
