transaction_id,user_id,stock_code,transaction_type,price,stock_name
179,48,005930,매수,483003,NAVER
180,29,000660,매도,172367,현대차
181,17,005930,매도,103823,삼성전자
182,15,005380,매수,25579,삼성바이오로직스
183,37,000660,매도,120230,삼성전자
184,4,005380,매도,28417,NAVER
185,48,035420,매수,494757,삼성전자
186,18,005380,매도,100707,삼성바이오로직스
187,6,207940,매도,215710,현대차
188,36,000660,매수,354110,삼성전자
189,38,005930,매수,438358,SK하이닉스
190,21,035420,매수,53380,SK하이닉스
191,31,005380,매도,476740,삼성바이오로직스
192,42,005380,매수,429777,삼성전자
193,13,035420,매도,14191,현대차
194,37,035420,매도,302294,삼성전자
195,36,005380,매도,216667,SK하이닉스
196,44,207940,매수,212392,NAVER
197,2,035420,매도,349909,삼성바이오로직스
198,28,035420,매수,189022,현대차
199,5,000660,매수,207386,삼성전자
200,19,000660,매도,101784,SK하이닉스
