record_id,owner,score,result,play_time,created_at
61,126,7435,패배,49,2025-02-05 02:39:02.743339
62,79,9733,승리,99,2025-01-06 22:36:28.814671
63,221,2731,승리,89,2024-12-25 02:08:06.217015
64,224,2325,무승부,118,2025-02-11 00:22:17.547000
65,167,3876,승리,44,2025-01-26 03:15:43.225870
66,80,6292,승리,76,2025-04-05 04:54:18.493497
67,105,5442,무승부,119,2024-12-27 09:16:26.897645
68,4,5000,승리,85,2025-01-30 01:24:38.337850
69,92,6552,패배,45,2025-01-24 22:56:27.141271
70,165,9557,무승부,96,2024-12-10 23:43:58.220715
71,174,2721,패배,22,2024-12-30 02:53:51.896905
72,9,6112,승리,72,2025-02-23 16:00:31.790817
73,273,9827,패배,33,2025-05-27 12:52:20.337181
74,123,8194,패배,113,2025-04-25 05:06:40.585560
75,103,7761,승리,97,2025-04-09 03:14:48.291627
76,233,9310,승리,90,2025-02-26 23:27:24.801383
77,153,7847,무승부,83,2025-03-24 07:47:37.880339
78,33,8628,무승부,86,2025-01-29 04:42:33.459972
79,255,8181,무승부,77,2025-05-15 19:42:07.644521
80,27,5940,무승부,35,2025-01-27 17:01:53.103014
81,15,199,승리,47,2025-03-03 09:11:52.235496
82,41,9407,무승부,104,2025-01-15 15:34:59.225694
83,256,7450,무승부,64,2025-05-18 08:57:16.409851
84,277,6437,무승부,10,2025-01-26 23:55:48.603606
85,177,6862,무승부,28,2024-12-20 12:09:15.098688
86,207,371,무승부,107,2025-04-11 00:31:25.510536
87,247,5740,패배,28,2024-12-08 22:41:45.625140
88,115,2269,승리,57,2025-05-10 09:09:13.424286
89,244,6605,승리,18,2025-01-12 00:27:16.921065
90,271,4506,패배,115,2025-03-14 10:15:25.736243
91,193,9226,무승부,15,2025-04-22 12:06:30.543321
92,25,4911,승리,94,2025-01-11 22:50:27.856223
93,275,9592,무승부,44,2024-12-31 12:18:46.593426
94,41,9758,승리,107,2025-03-23 08:00:50.332774
95,204,1841,패배,116,2025-02-26 08:32:30.844219
96,278,5014,패배,64,2025-04-12 03:10:28.396895
97,190,4976,패배,120,2025-01-02 07:21:35.850554
98,212,4632,무승부,78,2025-05-01 12:51:33.675446
99,187,3274,무승부,60,2025-03-21 22:48:44.562940
100,283,5572,무승부,42,2025-05-08 06:05:55.878193
101,192,6382,패배,70,2025-03-14 06:15:35.816777
102,141,942,패배,12,2025-05-08 17:25:58.923512
103,41,896,무승부,57,2025-01-18 08:39:59.552499
104,45,7528,승리,64,2025-05-30 21:13:43.583241
105,146,6176,패배,76,2025-05-07 20:52:57.627999
106,89,4751,무승부,19,2025-03-29 08:21:02.704038
107,90,2415,무승부,112,2025-04-18 09:52:35.877959
108,229,1409,패배,111,2025-04-09 13:31:20.868599
109,26,2214,승리,53,2025-01-17 01:48:35.134387
110,187,7223,패배,60,2025-02-16 06:59:23.845931
111,255,6926,승리,101,2025-03-01 01:52:56.635489
112,294,562,승리,110,2025-01-08 17:08:58.333730
113,82,2479,무승부,77,2025-01-29 23:37:54.343232
114,18,7529,승리,99,2025-01-19 03:35:35.442566
115,131,8774,무승부,104,2025-02-02 05:35:31.657370
116,182,7101,승리,14,2024-12-02 17:59:28.752089
117,191,4441,무승부,42,2025-01-31 05:35:30.319240
118,253,8284,승리,40,2025-02-16 11:08:11.128780
119,54,9568,패배,42,2024-12-06 18:31:21.486838
120,120,8152,패배,37,2025-02-21 06:31:04.914563
121,38,7083,패배,79,2024-12-06 09:45:03.145900
122,230,6974,무승부,119,2025-02-19 03:52:56.167859
123,49,5280,승리,118,2024-12-27 23:10:41.385890
124,254,1392,무승부,108,2025-04-04 14:02:39.718584
125,147,1253,무승부,28,2025-04-11 19:01:31.240381
126,216,243,무승부,60,2025-01-19 05:58:49.691344
127,1,2606,승리,51,2025-01-30 12:40:21.784100
128,157,5967,무승부,12,2025-05-29 18:05:21.898577
129,111,901,패배,12,2025-03-21 21:20:31.486570
130,254,3028,무승부,11,2025-04-21 13:59:17.667699
131,72,3784,승리,113,2025-03-06 17:26:27.152763
132,8,1952,패배,44,2025-05-16 06:08:41.464602
133,181,6641,승리,83,2025-05-13 00:18:28.002187
134,74,1386,승리,22,2025-03-30 13:04:48.900600
135,93,4464,승리,115,2024-12-16 10:08:47.476218
136,105,8008,무승부,44,2025-05-22 01:20:32.544478
137,270,7328,승리,8,2025-04-26 16:47:55.523544
138,8,9618,무승부,41,2025-04-27 05:57:45.404206
139,268,9923,패배,43,2025-02-09 03:37:52.797925
140,97,8316,무승부,72,2025-04-07 12:13:19.335963
141,279,9730,패배,80,2025-02-10 15:31:50.596150
142,256,1083,무승부,78,2025-01-22 03:53:43.664029
143,256,270,패배,87,2025-04-04 04:00:19.910711
144,94,9290,패배,51,2025-04-23 10:46:24.457805
145,8,9883,무승부,27,2025-05-17 19:07:28.672071
146,52,2065,패배,36,2025-02-01 12:26:57.042454
147,261,8298,승리,110,2025-02-23 23:27:41.829745
148,128,1252,패배,55,2025-05-18 08:32:35.896216
149,83,5749,승리,101,2025-04-17 11:43:10.441515
150,151,1773,승리,92,2025-01-20 10:50:27.031164
151,40,3355,무승부,117,2025-02-25 13:10:57.000236
152,292,9924,패배,20,2025-05-15 18:29:53.998450
153,23,7900,승리,32,2025-03-11 06:03:50.373434
154,84,911,패배,108,2025-02-18 04:19:01.441895
155,2,3729,승리,68,2025-01-28 18:12:30.366126
156,134,3222,패배,49,2025-03-02 00:25:36.480296
157,76,6717,승리,70,2025-03-04 23:21:22.393482
158,234,1243,패배,20,2025-02-13 04:05:17.162574
159,19,2636,패배,25,2025-03-21 22:59:57.342364
160,272,5710,승리,119,2025-01-14 08:15:38.971519
161,59,4921,승리,39,2025-05-19 20:49:14.730939
162,65,6410,패배,85,2025-05-05 01:25:58.573529
163,91,4908,패배,118,2025-01-30 16:19:20.749640
164,165,8282,패배,54,2025-05-04 21:43:18.069997
165,203,4606,패배,81,2024-12-05 00:45:49.719341
166,159,8205,승리,106,2025-01-28 14:56:21.565948
167,242,1240,패배,49,2025-01-17 21:19:35.527191
168,119,4398,패배,112,2025-01-26 11:39:44.316689
169,209,1151,무승부,16,2024-12-13 23:24:37.243529
170,64,8493,패배,29,2025-05-20 19:05:56.263869
171,98,9557,패배,30,2025-01-29 04:23:00.719508
172,44,4480,무승부,60,2025-02-17 04:51:27.529386
173,290,5674,무승부,29,2025-04-19 15:51:30.489439
174,60,1410,승리,21,2025-02-05 17:45:30.646120
175,94,6158,패배,12,2025-05-10 19:48:20.868953
176,31,1368,패배,28,2025-05-11 11:26:59.774396
177,257,1075,무승부,61,2024-12-18 21:32:11.845772
178,196,799,승리,70,2025-05-12 22:25:47.909874
179,152,8637,패배,39,2025-05-03 05:12:59.084011
180,49,2750,무승부,63,2025-02-10 04:34:55.197203
181,209,537,무승부,29,2025-02-02 05:35:26.965372
182,88,6814,무승부,57,2025-01-24 04:46:45.320120
183,275,922,승리,103,2025-02-16 16:55:34.868308
184,265,4481,무승부,46,2025-03-06 14:02:32.329808
185,212,2999,승리,89,2025-02-28 14:02:13.782936
186,80,2885,무승부,108,2025-02-09 06:09:55.199708
187,273,2987,승리,33,2024-12-11 01:21:10.568320
188,124,1146,무승부,70,2025-01-30 16:10:12.065143
189,264,2165,무승부,79,2025-01-10 21:35:30.045129
190,65,8669,패배,24,2025-04-08 06:52:06.357005
191,260,9833,승리,21,2025-02-02 13:03:36.839407
192,204,2305,패배,54,2025-04-18 08:23:22.378335
193,254,6557,승리,98,2025-05-01 00:45:32.432027
194,202,5992,패배,98,2025-04-08 22:49:57.656082
195,43,1204,승리,13,2025-02-10 12:48:02.009990
196,94,9930,무승부,107,2025-05-13 23:53:47.736384
197,167,378,패배,110,2025-02-23 10:43:02.305868
198,150,7498,패배,91,2024-12-16 12:04:18.614213
199,121,6668,패배,62,2025-02-14 06:00:58.913310
200,116,3430,무승부,36,2025-02-10 00:53:43.404987
201,84,1926,무승부,92,2025-02-17 18:09:30.948541
202,23,5523,승리,95,2025-04-12 22:19:17.255078
203,112,721,무승부,119,2024-12-28 12:38:52.990831
204,234,2073,승리,59,2025-04-18 12:26:34.890422
205,123,6695,패배,32,2025-02-17 01:00:44.186858
206,131,2585,승리,64,2025-01-19 07:15:47.927598
207,288,9516,승리,82,2025-03-21 04:28:44.674192
208,292,6860,무승부,79,2025-02-11 12:12:50.565485
209,102,8461,패배,93,2025-02-06 06:28:00.669882
210,105,7536,무승부,51,2025-01-17 00:44:43.224856
211,40,9729,무승부,70,2025-02-22 15:47:06.241034
212,131,5030,무승부,21,2025-01-18 11:24:10.163362
213,178,830,패배,105,2025-03-23 06:36:07.788171
214,249,1843,패배,94,2025-05-31 17:15:20.962027
215,184,1247,무승부,69,2025-01-31 00:27:01.285661
216,150,6373,패배,87,2024-12-09 11:45:53.463755
217,14,9930,무승부,55,2025-04-27 06:29:13.859455
218,14,1657,무승부,84,2025-02-22 06:23:18.303874
219,221,1277,무승부,91,2025-03-02 07:35:20.265135
220,91,286,승리,15,2025-05-06 05:51:32.111294
221,299,9068,승리,65,2025-01-17 21:57:37.210470
222,86,567,승리,40,2025-04-18 22:40:17.218975
223,121,8313,무승부,9,2025-04-20 00:26:28.149844
224,103,1976,무승부,22,2025-01-07 03:35:02.379755
225,290,7535,패배,45,2025-01-31 13:52:04.998870
226,77,8938,패배,112,2025-03-04 03:15:12.496280
227,152,1767,무승부,21,2025-01-03 12:36:20.894515
228,79,1917,승리,22,2025-01-17 03:18:57.324385
229,10,3300,무승부,33,2025-01-02 21:20:53.676232
230,112,864,패배,11,2025-01-06 18:00:05.857831
231,208,4878,무승부,33,2025-02-19 11:04:00.520534
232,57,4004,무승부,74,2025-05-30 05:41:28.537381
233,4,2086,승리,61,2025-04-02 06:17:52.507773
234,172,3634,승리,32,2025-01-17 07:34:48.772462
235,203,6070,무승부,18,2025-04-10 09:36:18.990128
236,5,7930,승리,101,2025-04-13 21:40:05.606947
237,207,7215,패배,29,2024-12-25 10:06:04.928550
238,101,2396,무승부,87,2025-03-06 10:33:47.816265
239,285,5842,무승부,77,2025-04-14 17:05:19.833155
240,7,2033,무승부,55,2025-01-10 08:33:29.419280
241,193,1738,패배,96,2025-05-26 16:34:29.773884
242,149,1422,패배,96,2025-03-30 02:47:31.104352
243,138,5331,패배,54,2025-05-10 04:35:43.821365
244,27,9292,무승부,120,2024-12-31 03:05:01.488252
245,181,1455,무승부,13,2025-05-28 13:49:15.915768
246,110,9614,무승부,23,2025-02-25 13:10:29.399201
247,25,6680,승리,114,2025-03-13 07:54:33.999815
248,26,1961,패배,83,2024-12-09 11:28:28.600899
249,270,9946,무승부,69,2024-12-09 21:19:08.855756
250,54,5260,패배,35,2025-03-26 18:26:31.352344
251,70,1924,무승부,114,2025-01-03 10:07:45.457920
252,280,6570,패배,120,2025-02-05 21:02:33.951765
253,173,2809,패배,80,2025-04-07 04:34:28.307022
254,224,4908,승리,9,2025-01-15 00:07:11.655517
255,172,7817,승리,116,2025-01-01 11:47:12.567968
256,43,3680,무승부,8,2025-04-16 09:59:42.061916
257,181,5249,패배,39,2025-03-21 12:54:33.215149
258,83,4166,승리,71,2025-04-27 09:30:59.220983
259,139,6786,패배,49,2025-05-08 11:45:14.739267
260,229,3005,승리,31,2025-02-15 09:16:19.105548
261,99,6091,패배,17,2024-12-11 13:24:43.847564
262,39,3808,무승부,78,2024-12-09 01:23:56.123294
263,165,4131,무승부,108,2025-02-02 17:21:43.317519
264,237,2532,무승부,40,2025-05-28 15:48:43.398598
265,62,9282,승리,74,2025-03-26 06:16:32.594476
266,291,1277,무승부,111,2025-01-05 01:08:36.152582
267,54,2569,무승부,96,2025-05-22 19:26:59.130657
268,127,4049,무승부,20,2025-02-17 07:51:48.173722
269,55,7258,무승부,28,2025-04-19 09:11:25.495331
270,72,8740,패배,8,2025-03-17 02:38:42.687494
271,30,7243,무승부,46,2025-05-04 19:20:32.166010
272,287,2352,패배,75,2025-04-21 18:18:58.004632
273,2,6429,무승부,12,2024-12-26 04:59:07.578737
274,232,8487,패배,61,2025-01-19 00:49:46.466142
275,211,3052,무승부,51,2025-04-14 17:56:14.627282
276,133,8906,승리,58,2025-02-06 08:24:04.302216
277,161,6288,무승부,20,2025-05-08 19:33:57.400822
278,74,5884,무승부,48,2025-01-17 20:38:54.689779
279,65,1142,승리,97,2025-02-08 03:36:08.797688
280,126,1767,패배,34,2025-03-03 19:26:43.760912
281,149,6656,패배,49,2024-12-08 19:36:17.528545
282,71,6503,무승부,13,2025-02-11 00:02:54.124151
283,133,169,승리,90,2025-04-25 12:06:51.283792
284,21,1919,패배,89,2025-05-10 04:38:28.030609
285,16,7895,승리,81,2025-02-22 22:47:05.972138
286,197,7910,무승부,43,2025-04-11 04:51:16.435278
287,216,8392,패배,39,2024-12-06 18:03:49.758682
288,41,908,승리,71,2025-03-11 16:12:55.597250
289,57,1179,승리,81,2025-03-17 14:10:56.592458
290,29,233,패배,77,2024-12-22 05:24:33.066118
291,247,7520,승리,73,2025-03-31 18:24:55.973438
292,244,524,패배,103,2024-12-26 07:42:04.040725
293,179,7923,승리,101,2025-04-06 05:52:19.368020
294,70,2775,무승부,98,2025-04-15 10:32:14.421922
295,246,1866,패배,91,2025-01-13 09:19:06.504969
296,130,6107,승리,21,2025-01-23 19:46:22.893519
297,203,5098,승리,26,2025-04-05 09:28:45.487123
298,10,7321,승리,97,2025-04-19 03:29:35.513581
299,198,1467,패배,80,2025-04-19 09:07:01.949109
300,87,1655,무승부,19,2025-04-05 19:35:48.844532
301,106,5935,승리,86,2025-02-20 01:55:09.220937
302,48,6163,무승부,75,2025-03-03 10:25:50.977496
303,209,7738,무승부,64,2025-05-02 03:37:18.797883
304,80,382,승리,98,2025-02-26 04:32:10.986422
305,228,7061,패배,74,2025-02-28 07:46:31.612838
306,39,2600,패배,42,2025-02-10 00:11:06.426170
307,214,9915,패배,14,2025-06-01 11:20:57.435757
308,104,4644,패배,84,2025-01-24 01:03:30.125770
309,144,4036,패배,52,2025-04-15 17:35:18.059927
310,133,6396,패배,95,2025-01-12 19:40:51.937947
311,272,7574,승리,80,2025-03-22 14:46:32.145410
312,60,2931,패배,34,2024-12-24 11:03:23.123956
313,60,1217,승리,63,2025-03-28 12:46:51.019463
314,97,7108,승리,9,2025-02-11 20:23:50.307985
315,269,1095,패배,5,2025-03-17 19:04:35.870604
316,71,4324,승리,64,2024-12-31 10:27:44.511475
317,156,4490,패배,9,2025-01-04 07:03:21.095827
318,105,210,승리,105,2024-12-15 05:15:13.677790
319,281,6967,패배,96,2025-05-04 02:30:15.322433
320,206,8983,무승부,67,2025-01-17 13:29:01.767073
321,6,7355,승리,74,2025-01-24 14:46:23.636842
322,229,8786,무승부,42,2025-02-04 03:23:34.742419
323,151,4690,승리,107,2025-05-12 19:26:14.810320
324,92,5760,승리,58,2025-02-17 09:28:20.790955
325,42,8757,무승부,43,2025-03-18 00:36:24.813515
326,204,7412,무승부,83,2025-05-23 10:21:25.402168
327,288,3675,무승부,93,2025-04-03 12:59:21.754567
328,96,5991,패배,96,2024-12-09 12:49:31.891793
329,44,848,승리,76,2025-04-24 22:09:09.795267
330,222,6664,무승부,85,2025-03-20 18:00:00.724004
331,300,6842,승리,69,2024-12-12 00:14:48.997048
332,83,9129,무승부,112,2025-02-27 04:25:58.429960
333,290,2780,승리,31,2025-01-23 22:29:42.038411
334,252,4276,승리,119,2025-03-10 09:52:18.940628
335,6,8461,무승부,6,2025-05-19 22:00:20.392470
336,202,4257,무승부,54,2025-03-20 15:20:01.931890
337,214,4852,무승부,44,2024-12-08 18:45:06.321077
338,11,4719,패배,30,2024-12-04 10:11:54.429698
339,287,6684,승리,12,2025-05-31 19:44:46.107932
340,41,1440,무승부,97,2025-04-01 03:01:56.673146
341,154,6914,승리,20,2025-05-20 08:46:27.170592
342,145,8148,패배,92,2025-01-15 10:20:45.584108
343,123,951,승리,24,2025-01-28 17:27:19.979672
344,296,4654,패배,86,2025-03-16 02:41:20.655099
345,237,4767,패배,70,2025-05-29 18:14:44.167143
346,174,3254,무승부,103,2025-02-19 22:14:49.546283
347,103,7968,패배,104,2025-03-05 05:41:23.774680
348,240,9852,승리,115,2025-01-22 19:02:45.839981
349,41,7988,패배,103,2025-05-21 03:01:48.136060
350,246,5813,무승부,63,2025-01-14 22:27:14.279700
351,45,7582,무승부,65,2025-03-17 07:55:12.414654
352,225,4895,무승부,85,2025-04-06 10:58:51.697977
353,286,9300,승리,16,2025-05-12 12:42:57.689167
354,147,2693,패배,70,2025-04-25 10:46:53.394614
355,139,8363,패배,66,2025-04-26 18:15:37.027142
356,293,1789,패배,21,2024-12-29 01:15:49.387047
357,250,4059,승리,84,2025-04-13 11:29:25.973642
358,71,2079,패배,24,2025-05-04 15:59:27.268119
359,56,9756,패배,114,2025-05-28 12:39:39.340202
360,202,3148,무승부,38,2024-12-26 15:55:23.806867
361,265,644,승리,7,2024-12-28 09:26:19.023854
362,49,7286,무승부,87,2025-05-12 14:43:26.587713
363,84,2776,무승부,87,2025-04-22 05:42:27.674755
364,120,2372,승리,108,2025-03-11 22:48:14.479880
365,108,3062,무승부,69,2024-12-22 16:52:40.687421
366,145,7748,패배,106,2025-05-20 06:51:42.035365
367,162,4808,패배,69,2025-02-13 01:23:47.351833
368,122,8499,패배,26,2025-04-16 02:10:39.001415
369,91,3880,무승부,11,2025-02-20 07:38:48.192046
370,214,171,무승부,79,2025-02-27 19:32:33.775955
371,234,5901,승리,73,2025-04-08 06:51:24.311885
372,236,6977,승리,30,2024-12-26 14:17:21.304045
373,92,1215,무승부,95,2025-05-01 10:15:58.747304
374,81,5410,승리,85,2025-02-11 11:19:20.664095
375,194,4906,무승부,16,2025-03-22 07:26:13.395076
376,185,2894,승리,111,2025-04-07 10:06:03.254715
377,96,1154,승리,5,2025-04-12 10:55:12.665303
378,64,8703,승리,34,2025-01-04 21:35:06.343654
379,205,627,무승부,91,2025-01-21 20:21:00.462520
380,163,4858,무승부,80,2025-02-07 10:19:45.739973
381,275,8106,패배,31,2024-12-05 01:01:39.552945
382,278,2872,무승부,97,2025-04-09 15:34:04.661405
383,67,4307,무승부,108,2025-04-18 22:18:44.293938
384,58,8465,무승부,92,2025-01-28 15:27:24.376736
385,81,7302,무승부,87,2025-01-30 01:43:22.568666
386,171,3200,무승부,27,2025-03-10 05:28:13.620718
387,207,5777,패배,96,2025-02-07 21:45:32.546244
388,167,7325,승리,12,2025-06-01 23:15:27.608904
389,35,4162,패배,36,2025-02-02 19:16:18.353723
390,101,5225,무승부,36,2025-01-28 12:16:03.544161
391,17,6314,승리,111,2025-02-03 12:43:08.516564
392,274,9896,승리,14,2025-05-17 17:30:00.081678
393,61,7330,패배,119,2025-01-06 20:40:04.443781
394,133,5193,무승부,25,2025-03-17 09:52:05.974931
395,39,4216,승리,42,2024-12-24 22:20:32.759494
396,53,9543,패배,9,2025-02-13 14:11:28.988876
397,59,3412,무승부,66,2025-03-20 03:06:49.046505
398,135,6145,패배,21,2025-01-20 06:30:49.151458
399,188,7345,무승부,107,2025-05-01 16:15:21.839065
400,106,3571,승리,61,2025-05-09 00:38:25.975992
401,224,5296,승리,59,2025-05-20 22:05:35.856015
402,137,390,패배,72,2025-05-22 02:23:32.796685
403,90,6574,승리,108,2025-02-19 00:38:06.181441
404,33,1770,무승부,54,2025-05-16 22:37:48.446965
405,146,7827,패배,64,2025-04-23 01:23:14.351336
406,203,2813,승리,79,2025-02-02 05:59:28.017984
407,206,2359,승리,10,2024-12-22 06:05:57.666231
408,132,8522,무승부,90,2025-01-07 22:54:44.247284
409,202,8216,패배,88,2025-05-05 10:46:36.465234
410,298,8955,무승부,79,2025-02-16 16:08:18.192478
411,232,8908,패배,25,2025-05-21 19:58:14.016272
412,167,2040,패배,109,2024-12-03 23:49:13.828152
413,161,4370,패배,64,2025-01-31 22:25:34.462866
414,7,4016,승리,101,2025-04-25 13:05:27.135531
415,255,5218,패배,36,2025-04-12 16:08:50.831657
416,289,2074,패배,42,2024-12-31 22:06:45.106714
417,4,5502,패배,6,2025-04-27 10:02:42.218237
418,13,1659,무승부,85,2025-03-02 14:21:20.701313
419,176,1668,무승부,52,2025-02-22 15:54:03.942696
420,43,7786,승리,101,2025-03-15 06:24:11.228789
421,27,4008,패배,92,2025-01-20 10:17:24.366350
422,62,6835,패배,57,2024-12-09 08:08:01.524034
423,235,9649,승리,66,2025-05-02 10:27:24.160905
424,13,9314,무승부,12,2025-02-22 02:26:54.594136
425,166,7279,패배,110,2025-01-02 12:54:59.752417
426,212,1746,승리,47,2025-01-15 20:14:16.874853
427,134,4194,무승부,63,2025-04-16 12:09:35.893092
428,15,3465,패배,109,2025-05-09 14:37:07.664912
429,147,5960,승리,21,2025-04-23 11:03:34.332786
430,138,8391,무승부,57,2025-03-13 18:19:09.614395
431,182,110,무승부,99,2025-04-25 00:42:41.461783
432,63,7741,승리,107,2024-12-03 07:19:27.742543
433,288,5483,패배,89,2024-12-03 06:26:58.789501
434,29,1169,승리,94,2025-02-18 20:19:49.439818
435,231,8162,무승부,65,2024-12-18 01:28:21.938384
436,3,8639,승리,8,2025-02-09 21:29:01.142684
437,85,6763,패배,79,2025-03-27 01:19:13.501123
438,39,1538,패배,29,2025-06-01 06:41:18.952771
439,78,7867,패배,67,2025-06-01 12:21:07.399905
440,190,7868,승리,22,2025-02-26 16:14:04.316622
441,224,7046,패배,29,2025-03-05 07:47:19.019264
442,249,9473,무승부,107,2024-12-01 23:09:14.372680
443,72,2791,패배,99,2025-05-18 23:26:04.453084
444,224,8596,승리,97,2025-01-29 02:46:34.909220
445,157,8870,승리,119,2024-12-18 17:01:37.002305
446,17,7419,승리,44,2025-05-22 15:22:14.342554
447,44,9050,승리,68,2025-06-01 06:11:31.862341
448,67,989,무승부,46,2025-05-07 08:05:37.364135
449,205,2735,무승부,29,2025-01-29 11:47:18.100225
450,63,5805,무승부,10,2024-12-17 12:23:05.937749
451,191,2815,승리,55,2025-02-04 19:27:54.840741
452,241,2515,무승부,64,2025-02-10 17:55:20.550133
453,9,8533,승리,27,2025-03-31 05:01:43.223724
454,151,7828,무승부,52,2025-02-12 18:38:00.891239
455,221,9372,패배,26,2025-03-14 08:56:34.980297
456,89,5825,무승부,57,2025-01-18 13:56:05.074627
457,5,5104,무승부,23,2025-01-10 20:41:54.826287
458,291,5443,무승부,108,2025-03-20 14:01:18.802090
459,216,825,패배,68,2025-03-09 12:22:28.014359
460,242,6889,패배,12,2025-05-26 09:53:44.150881
461,228,1756,승리,93,2024-12-30 12:26:18.447789
462,216,4495,승리,57,2025-04-16 23:05:53.873907
463,268,9878,무승부,39,2025-02-19 05:01:47.408017
464,54,3834,패배,57,2025-04-16 01:05:02.935039
465,297,561,승리,86,2025-06-01 06:29:49.529577
466,270,8540,패배,38,2024-12-10 11:48:25.085458
467,112,2833,패배,33,2024-12-07 18:25:12.933917
468,182,990,패배,108,2025-02-21 12:26:16.069914
469,81,3629,패배,5,2025-02-18 23:47:20.895404
470,128,207,승리,57,2025-05-25 10:37:05.386477
471,45,6811,무승부,31,2025-01-11 06:51:50.875910
472,130,5216,패배,49,2025-03-17 04:44:53.364911
473,289,5538,무승부,41,2025-01-12 08:42:14.145800
474,111,5612,무승부,61,2025-05-17 15:47:43.184514
475,274,508,승리,78,2025-05-15 15:46:14.055930
476,287,5424,패배,106,2024-12-26 14:35:27.876802
477,76,5384,무승부,56,2024-12-19 14:35:13.501723
478,211,1958,승리,8,2025-05-29 12:52:18.925002
479,227,3406,무승부,51,2025-03-03 07:48:30.532449
480,290,1213,무승부,93,2025-04-22 09:38:49.630696
481,55,271,무승부,68,2025-02-27 13:46:35.720236
482,80,3497,무승부,58,2025-04-02 15:00:00.851267
483,192,2296,무승부,84,2025-04-12 04:21:35.039918
484,184,9185,패배,102,2025-04-28 14:25:17.418018
485,267,6850,패배,105,2025-05-21 02:51:02.346951
486,160,8358,무승부,89,2025-02-14 23:01:40.121264
487,232,1321,무승부,40,2025-04-01 16:00:59.960712
488,210,9772,승리,94,2025-04-12 04:22:09.911871
489,138,6399,승리,63,2025-02-05 01:47:32.034015
490,159,7356,패배,59,2025-03-16 13:38:37.160990
491,193,1353,무승부,118,2025-04-06 23:56:59.372224
492,267,8722,승리,23,2024-12-27 16:59:11.643111
493,64,9941,패배,73,2025-04-10 22:33:47.514523
494,299,7960,승리,45,2025-04-30 16:47:04.993622
