detail_id,project_id,description,start_date,end_date,category
14,14,"Earum accusamus blanditiis optio enim. Qui consequatur vel beatae. Enim quibusdam accusamus vero error.
Debitis fuga voluptatum eos harum itaque. Veniam repellat ipsum tempora perferendis. Ullam natus soluta repellat consequuntur. Temporibus expedita tenetur quos ducimus rerum.
Sapiente consectetur aliquam esse qui perferendis cum. Vitae maxime accusantium reiciendis sequi. Rem est exercitationem nemo aut quae.
Optio similique omnis fugit.
Vel temporibus natus ab numquam dolorem consequatur.",2025-03-20,2025-06-07,패션
15,15,"Unde corrupti fuga necessitatibus similique soluta et. Asperiores laborum modi beatae adipisci facilis.
Deserunt porro ullam tenetur deserunt natus nesciunt ex.
Occaecati mollitia ea culpa nobis officiis eaque. Nesciunt recusandae provident suscipit. Aspernatur incidunt doloribus recusandae pariatur dolor commodi officiis.
Eum voluptatum ut quaerat unde. Iusto ipsam nihil sequi. Nemo consequuntur illum eveniet.",2025-04-15,2025-08-05,푸드
16,16,"Non maxime dolorum doloribus quidem excepturi maxime.
Fugit reprehenderit voluptas quis omnis quam. Distinctio ipsam cupiditate reiciendis totam veritatis aut neque.
Facere vel molestiae placeat maxime. Quo voluptates praesentium perferendis earum id. Odit ducimus iusto nemo. Porro porro velit ipsum.
Ea tempora repellat voluptas.
Neque odio perferendis adipisci inventore magni. Iusto quibusdam dolorem aut consequatur alias omnis. Quisquam placeat impedit expedita excepturi quisquam.",2025-05-08,2025-06-14,게임
17,17,"Quasi fugit voluptatibus sit delectus exercitationem corporis cupiditate.
Porro sed voluptatibus nostrum dolore facere doloribus. Recusandae minus eius officia distinctio asperiores aliquam non.
Iusto ea tenetur enim assumenda non laborum. Eaque fugiat nostrum libero rem magnam magnam. Distinctio alias tempora perspiciatis ea.
Vitae similique esse odit aut. Sit laborum omnis odio modi numquam.",2025-03-21,2025-07-14,기타
18,18,"Quibusdam porro ipsum expedita repellendus perspiciatis. Ipsam nemo in optio. Rem velit culpa at fugiat maiores.
Nisi illum odio deserunt nobis. Beatae iste consequuntur voluptate esse doloremque.
Repudiandae ipsam distinctio. Omnis quidem excepturi odit aut praesentium iste. Exercitationem doloremque nisi eos. Ipsam repellendus occaecati nam.
Assumenda quis possimus. Dolorum nostrum at fuga.",2025-03-29,2025-06-15,패션
19,19,"Sunt consectetur distinctio molestias facere. Quae quis optio quos beatae id itaque ipsam.
A deleniti quo inventore quibusdam tenetur. Aut nobis sapiente consequuntur. Distinctio sit accusantium natus molestias qui.
Molestias quam culpa id quis. In vitae similique laudantium saepe saepe. Commodi nesciunt maiores quibusdam quas.
Dolores dolorum impedit. Tempore beatae velit odio recusandae quia. Voluptate odio blanditiis eaque placeat laudantium tempore.",2025-03-16,2025-06-07,기타
20,20,"Labore reprehenderit pariatur tenetur sapiente expedita quibusdam quam. Tempore aperiam quaerat earum explicabo. Commodi reprehenderit cupiditate commodi saepe.
Deleniti vero animi eaque cupiditate. Ea architecto odit similique.
At quidem voluptatum nulla. Aliquam eligendi alias doloremque ea asperiores. Cupiditate saepe asperiores assumenda.
Quod illo nobis. Culpa ipsum et repellendus nihil rem aperiam in.",2025-04-29,2025-07-05,예술
21,21,"Magnam quo velit ut repudiandae aliquam.
Quibusdam maxime ullam quae. Cupiditate dignissimos commodi nesciunt. Incidunt reiciendis quasi deserunt.
Fugit laudantium quasi quod. Dicta rem iure ducimus velit reiciendis qui. Neque distinctio quisquam provident suscipit quia iusto.
Dignissimos enim perspiciatis quasi facilis. Ducimus recusandae recusandae amet doloribus.
Quod blanditiis minima quod aliquid possimus. Molestiae nulla hic eaque in voluptas itaque quam.",2025-03-22,2025-06-28,패션
22,22,"Sed reiciendis officia quo eveniet vitae perspiciatis animi. Temporibus nihil ea saepe ea.
Quasi quo rem esse illo quasi voluptatibus. Minima accusamus a praesentium. Qui omnis tenetur ea officia vitae minus.
Quo ducimus temporibus voluptas totam eos error illum. Nesciunt beatae consequuntur eligendi numquam asperiores.",2025-05-02,2025-08-14,기술
23,23,"Pariatur corrupti eveniet architecto corrupti sed. Adipisci omnis similique rem ipsam velit est. Dignissimos fuga illum fugit exercitationem doloremque.
Odio ex nobis aliquid nesciunt repellat esse. Natus ullam aut at aspernatur qui. Sequi fugiat corrupti amet molestiae voluptate hic. Iste in explicabo culpa.
Minima dolorum veniam ex. Accusamus debitis quae quo.
Sint fugit ratione asperiores reprehenderit. Quisquam in alias nemo fugiat. Minima minus asperiores.",2025-04-01,2025-07-09,기술
24,24,"Beatae magni maxime pariatur nemo at veritatis.
Vitae impedit autem nulla consequatur. Pariatur placeat vero qui. Magnam distinctio quae quos blanditiis.
Ab alias doloremque nobis sit laudantium unde. Autem dolores laborum minima magnam tempore explicabo.
Quae non excepturi in repudiandae temporibus. Veritatis nam natus perspiciatis ratione. Facere repellendus ex praesentium autem.
Hic libero odio laborum quis consectetur vitae. Quisquam sunt quo exercitationem maxime consequatur saepe.",2025-04-21,2025-07-23,기술
25,25,"Libero beatae deserunt doloremque delectus velit iure.
Aspernatur consectetur fugit esse eos adipisci. Quisquam nobis sed fugiat perferendis. Rem magnam ut illum soluta.
Alias labore autem incidunt nesciunt nemo. Occaecati deserunt voluptates in officiis ea possimus consequuntur.
Ab in harum id enim. Numquam possimus voluptates ratione dolore. Eveniet impedit ut deleniti sapiente.",2025-03-31,2025-07-24,푸드
26,26,"Ullam nulla ipsum a. Dolores beatae cupiditate quisquam voluptatum.
Omnis dicta accusantium asperiores nemo atque. Natus quas modi veritatis doloremque asperiores possimus.
Explicabo sunt accusamus magnam nihil. Amet saepe laborum accusamus consectetur.
Tempore accusamus ullam ullam sapiente ipsa. Rem sequi natus perferendis. Fuga optio debitis temporibus voluptas distinctio voluptatum repudiandae.",2025-05-01,2025-07-28,푸드
27,27,"Quibusdam optio ab ratione molestiae nemo voluptatem. Blanditiis corrupti tenetur modi quibusdam. Pariatur praesentium magni porro. Culpa ad corporis minus fugit temporibus quam consequuntur.
Odio ad eos fugiat nostrum culpa.
Laboriosam esse repudiandae voluptas expedita dolores quaerat voluptate.
Consequuntur quaerat totam facere cumque aliquid error. A modi dolorum veniam quae. Quo mollitia porro nemo.",2025-04-10,2025-08-22,기술
28,28,"Rerum ipsam perferendis voluptates. Officiis esse alias possimus nostrum. Asperiores veniam perspiciatis rem voluptate nulla.
Magnam deserunt consectetur expedita sequi consectetur. Rem error porro est id ut enim. Repellat qui consequuntur placeat deleniti incidunt.
Molestias omnis ipsa architecto nihil placeat veritatis. Aliquid voluptatem dolorum quibusdam consequuntur. Laboriosam molestias dignissimos quos iure placeat. Dolorem quis cumque necessitatibus accusamus.",2025-05-28,2025-08-09,패션
29,29,"Magni corrupti temporibus voluptate quibusdam eos quam alias. Velit beatae soluta sint enim ullam. Consequuntur eius porro.
Earum veniam alias quas. Eligendi recusandae rem voluptates tempora ducimus. Earum doloremque aperiam quidem veritatis incidunt.
Atque nisi reiciendis harum. Tempore maxime dolore reiciendis. Velit quaerat iusto sint dolores laudantium commodi esse.
Quasi doloremque libero esse perspiciatis. Veniam expedita asperiores quo quisquam similique officiis.",2025-03-18,2025-06-08,게임
30,30,"Nulla earum nihil sequi. Nam vero laudantium harum labore ea. Ducimus similique quaerat facere suscipit ut beatae voluptatem.
Consequatur sint aspernatur. Deleniti numquam possimus nihil harum. Laborum repudiandae consequatur accusantium fugit.
Porro vero placeat quod. Nulla delectus minima recusandae consectetur aut.
Consequuntur quibusdam fuga quam. Distinctio ratione fuga. Dicta odit nemo.
Sit alias fugiat vero. Suscipit ipsum eius perferendis nam ipsum.",2025-03-03,2025-08-15,게임
31,31,"Repellendus deleniti quidem voluptatum vero unde. A omnis rerum tenetur in. Voluptatibus ut unde necessitatibus quidem quos. Sunt eligendi neque repellat veritatis perspiciatis.
Nisi illum modi voluptatem quaerat quod libero vitae. Ea in qui ex reiciendis.
Repudiandae enim incidunt deserunt. Id iure beatae repellat optio dicta. Suscipit aspernatur ducimus nam maxime repellendus molestiae.",2025-05-15,2025-07-08,기타
32,32,"Ullam rerum illum ex molestias. Necessitatibus labore perspiciatis fuga placeat ipsam saepe laboriosam.
Accusamus quibusdam illum eveniet iure. Maiores blanditiis inventore vero odio non eveniet beatae. Tempora quos tempora eos officiis quia doloremque.
Soluta nobis dignissimos sequi inventore ipsum velit dolorum. Beatae animi minus vitae corrupti. Inventore pariatur eaque voluptatem.",2025-05-01,2025-07-22,기술
33,33,"Enim commodi accusantium magnam nulla odit. Officiis nihil ullam nostrum pariatur magni.
Cum blanditiis soluta deserunt magnam eaque ducimus harum. Dolor officia aperiam pariatur nesciunt repudiandae quis ipsa.
Excepturi ratione dicta vel asperiores. Harum tenetur cumque.
Eum quibusdam libero provident. Vel modi ad odit doloremque rem.
Impedit ea at quos hic. Nesciunt nam dolore qui aliquam. Provident dolor recusandae dicta facilis voluptates libero quia.",2025-03-31,2025-06-24,게임
34,34,"Animi quidem suscipit dignissimos mollitia consequuntur mollitia quas.
Laboriosam recusandae praesentium expedita autem ex. Consectetur voluptates aspernatur distinctio. Hic magnam non itaque neque temporibus. Saepe quae animi quisquam fuga.
Doloremque mollitia quia earum. In non aliquam distinctio iste debitis deleniti.
Similique sed veritatis. Nobis accusantium quae numquam corrupti eum.
Voluptas nemo incidunt quae voluptatem tenetur.",2025-05-29,2025-07-07,푸드
35,35,"Quis temporibus eum iste perspiciatis sapiente. Ipsam dolor laborum ratione.
Repellat aspernatur quisquam eligendi accusamus. Tempora officiis vero ut possimus. Soluta perferendis pariatur doloribus magni delectus atque est.
Nesciunt adipisci sapiente veniam quod natus labore. Laborum enim maxime tenetur ea cum nam eveniet. Itaque autem ut maxime corrupti porro qui.",2025-04-29,2025-06-29,기타
36,36,"Deleniti a beatae dolore quas saepe. Quo ducimus facere.
Velit cumque accusantium natus maiores aperiam cupiditate ullam. Dolorem magni minima beatae fuga.
Tempore quas accusamus iste. Pariatur sapiente ducimus tenetur vitae repellendus.
Molestias debitis dolores aliquam assumenda aspernatur. Eaque explicabo aut exercitationem labore est molestiae. Ex nemo est voluptas.
Doloremque repellendus est pariatur rerum quibusdam sint nam. Mollitia a esse. Soluta quas voluptatibus.",2025-04-22,2025-08-01,푸드
37,37,"Architecto nulla ducimus distinctio quos.
Dolore cupiditate veritatis. Fuga facilis maxime provident quidem minima.
Vero porro enim laudantium quasi id. Aliquid beatae quasi reprehenderit fugit tempora.
Impedit recusandae voluptate cupiditate corporis alias.
Debitis natus minima molestiae assumenda explicabo magnam nesciunt. Temporibus quas illo modi repellat ipsa blanditiis. Voluptatibus voluptatum natus architecto cum saepe laboriosam.",2025-03-25,2025-06-05,기술
38,38,"Quo architecto explicabo quasi voluptatem quidem consequatur. Facilis tempore nam laborum nobis.
Voluptates hic necessitatibus voluptate optio dicta. Recusandae veniam veniam architecto repudiandae aspernatur. Vero unde similique repellendus nisi aut.
Quibusdam inventore provident corporis velit atque. Unde earum consequuntur corrupti. Accusamus at fuga esse maiores eveniet. Voluptates recusandae voluptatum architecto non.",2025-03-11,2025-07-20,기타
39,39,"Qui praesentium voluptate ea consectetur. Perferendis nisi perferendis impedit fugiat reiciendis minus sequi.
Consectetur excepturi commodi expedita qui. Possimus maiores velit nam beatae quo. Ipsum alias voluptatibus aliquam labore nam aspernatur.
Dolores vitae animi modi vitae expedita quae. Recusandae ut molestias ipsa. Voluptate atque quae.
Beatae sit rerum consectetur. Repudiandae aperiam voluptatibus excepturi. Est iure at.
Illum fugit sed animi perspiciatis illum.",2025-03-05,2025-06-24,푸드
40,40,"Similique inventore distinctio unde omnis reprehenderit. Quisquam assumenda dolores maiores earum adipisci itaque earum.
Hic quaerat reiciendis sed totam fuga. Recusandae temporibus deserunt asperiores nam blanditiis.
Quod suscipit eos labore et amet.
Omnis accusantium provident cum error. At repudiandae est repudiandae repudiandae fugit itaque voluptatum.
Eum totam fuga animi excepturi totam aperiam soluta. Ex voluptatem recusandae beatae.",2025-03-14,2025-07-13,게임
41,41,"Officiis alias voluptatem in temporibus recusandae totam. Nihil iste illum dolore quae dolorum ducimus asperiores. Dolore facilis dignissimos aliquid quaerat.
Eos fugiat impedit. Doloribus cum tempora similique illum quam dolores.
Itaque atque fugiat autem nisi. Quos corporis beatae ratione porro ut.
Vitae perferendis sunt eum. Ratione ut tempore impedit ullam recusandae distinctio. Modi eaque adipisci nesciunt at.",2025-05-13,2025-06-24,푸드
42,42,"Atque aperiam placeat repellat aut recusandae. Eum eius voluptas omnis earum incidunt.
Excepturi quaerat perferendis. Nesciunt a dolorem ullam aliquid nihil suscipit ipsum.
Assumenda quas doloremque asperiores harum ab. Commodi at ea exercitationem asperiores temporibus.
Sed suscipit nobis sunt. Corrupti quo sint dolorum.
Voluptates commodi nisi optio itaque dolor id. Explicabo praesentium asperiores sit soluta modi iste.",2025-05-24,2025-06-09,기타
43,43,"Numquam quis modi accusantium fuga exercitationem soluta dolor. Neque fugiat doloremque. Neque quasi sunt facere quasi a voluptate neque.
Sunt impedit quasi illo.
Voluptas est vel distinctio omnis magni voluptatum. Deserunt explicabo ipsam iusto.
Fugit ratione velit cumque velit eveniet error odio. Tenetur magnam tempora. Neque nesciunt iusto quia delectus voluptatem.",2025-03-24,2025-06-02,게임
44,44,"Dolor repellendus sed eius at. Ipsam dignissimos doloremque quibusdam ad.
Itaque reiciendis soluta assumenda aperiam. Minus ratione sint in sapiente. Nulla facere quod corporis maiores eius.
Tempora quaerat sunt sapiente at. Cum odio illum deleniti rerum eveniet libero. Incidunt nam hic minus aperiam in.
Voluptatibus adipisci consectetur hic. Beatae a possimus quisquam iure.
Quaerat eligendi illum ea error.
Laboriosam fugit similique veniam. Maiores illum tempora incidunt eum libero unde.",2025-04-06,2025-08-04,게임
45,45,"Pariatur delectus voluptate aliquam voluptatem voluptate. Amet eos voluptatum exercitationem labore quibusdam. Eius itaque ipsam at repellat velit.
Vero asperiores soluta temporibus consequatur dignissimos ullam laborum.
Exercitationem sapiente doloremque. Repellat aliquid magnam iure voluptates. Occaecati tempora atque laboriosam in odit.
Nam saepe placeat saepe sapiente voluptates fuga. Iste similique quibusdam laborum occaecati dicta maxime.",2025-04-21,2025-07-06,푸드
46,46,"Consectetur minus occaecati sed tempore incidunt reprehenderit. Voluptatem placeat perferendis sed rem fuga aliquam.
Excepturi quaerat quis delectus ex. Voluptates voluptatum aspernatur velit. Earum sunt quisquam animi maiores quos veritatis. Recusandae eos inventore similique.
Eum sit corporis libero similique occaecati aliquam alias. Officia doloremque sapiente unde repellat officiis.
Sequi ducimus alias totam voluptatem officiis quod.
Magni esse porro beatae excepturi.",2025-03-31,2025-07-18,예술
47,47,"Quos libero qui ducimus corrupti magni at. Iste voluptatibus earum id. Animi magnam perferendis eius.
Asperiores nihil quasi veniam magni. Earum veniam nemo ullam quis inventore temporibus.
Eum pariatur officia velit quia earum. Nam ex voluptatum laborum. Adipisci repudiandae quaerat dolor unde quia.
Sed natus veniam assumenda dicta. Vero odio officiis est laborum. Similique repellat reprehenderit minima illum.",2025-03-05,2025-08-12,푸드
48,48,"Dolorum velit rem iusto ipsa aliquid. Dolore vel at eveniet corrupti necessitatibus maxime. Reprehenderit consequatur beatae natus officiis.
Praesentium rem autem quo. Perferendis cum ipsum adipisci delectus natus voluptas. Eum numquam sit facere totam corporis corrupti.
Ex cupiditate rem quod impedit iusto repudiandae. Quidem eos tenetur libero in ab perferendis.",2025-03-11,2025-07-20,패션
49,49,"Recusandae vitae totam. Minima accusamus pariatur cupiditate maiores sint necessitatibus. Repellat porro perspiciatis.
Est repellendus nulla amet sunt corrupti. Maiores id ut numquam itaque aliquam neque.
Sunt repellat quibusdam animi nihil vitae voluptatem est. Neque facilis adipisci nobis. Vitae amet quod sint explicabo deserunt provident. Harum atque reiciendis assumenda libero.
Accusantium molestias nesciunt corrupti. Eius totam delectus hic.",2025-04-02,2025-06-02,게임
50,50,"Quisquam officia voluptas eligendi consectetur autem amet animi. Quis ipsa id nostrum maxime. Quo enim vel veritatis sint officiis.
Quas consequuntur architecto reprehenderit. Omnis inventore unde placeat laboriosam magni. Facere corporis delectus optio amet.
Dolores eum unde. Velit minus quos.
Ipsa incidunt fuga minus tempore vero. Voluptates deserunt rerum dolores officia.",2025-03-07,2025-06-28,예술
51,51,"Commodi exercitationem perspiciatis qui molestias pariatur laudantium autem. Laudantium quia quaerat. Vel deserunt facere hic quidem magnam.
Quibusdam maiores fugit eius eum sit. Vel eos eum perspiciatis neque ipsa.
Suscipit consectetur eum quisquam itaque similique quia aut.
Fugiat rerum aliquam et rerum explicabo. Assumenda dolores nihil voluptas. Esse totam architecto odio soluta quo possimus distinctio.",2025-04-27,2025-08-24,푸드
52,52,"Libero alias veniam. Accusantium harum quod neque debitis saepe molestias.
Beatae temporibus voluptatum quae delectus numquam modi voluptate. Minus modi ipsum numquam natus molestiae animi. Recusandae consequatur velit est tempore aliquid officiis atque.
Quos optio amet atque dolorum explicabo.
Omnis ullam veniam hic eius saepe. Enim vitae quam explicabo. Est itaque iusto ducimus. Debitis iste dolores ab eligendi eius ab eveniet.",2025-03-28,2025-08-29,푸드
53,53,"Corrupti aperiam hic assumenda. Pariatur accusantium atque sit.
Labore perferendis exercitationem asperiores. Odio sapiente labore. Nemo fuga ipsum pariatur.
Fuga aliquid expedita quidem libero.
Et ipsa vel architecto.
Sapiente neque doloremque asperiores magnam ullam. Corrupti ipsum accusantium quas occaecati non. A nihil est rem vero consequatur.
In consectetur consequatur temporibus. Soluta doloribus deleniti.
Commodi non pariatur harum. Eveniet natus fuga culpa. Praesentium est esse velit.",2025-03-16,2025-08-14,기타
54,54,"Itaque soluta magnam tempora. Voluptas minus iste corporis esse quod tenetur quos. Deleniti dolor quis praesentium sit.
Excepturi repellendus consequuntur illum reiciendis quae iste id. Eos a tempora unde blanditiis officia. Molestiae totam earum ut quaerat.
Doloremque animi assumenda. Dolores accusantium saepe eligendi.
Tenetur atque magni similique atque vero corporis. In fugiat aliquid eius.",2025-04-08,2025-07-10,패션
55,55,"Laboriosam odio dolorem. Sapiente cum vitae odit dolorem. Placeat iure laudantium blanditiis voluptate quidem unde.
Inventore ipsam ut voluptate quidem aut. Dolor nihil quibusdam. Odit nesciunt eos quam cum fugiat qui impedit.
Totam nostrum fugiat vel optio dicta beatae. Blanditiis quia quibusdam delectus repellat itaque optio in. Pariatur eligendi provident.
Iusto sunt hic id commodi voluptate numquam alias. A iste assumenda. Cumque nam illum eveniet.",2025-03-26,2025-06-05,기술
56,56,"Vero repellendus occaecati ut. Eum minima corrupti eveniet fugit.
Dolorum sunt hic et quam. Nulla suscipit delectus aliquam iusto. Voluptatibus sunt quos praesentium neque.
Necessitatibus laborum aspernatur aliquam labore. Architecto beatae ut repellendus quisquam. Mollitia ducimus sequi voluptas alias quasi.
Officia dolorum sed saepe recusandae nihil. Nulla optio consequuntur consectetur. Animi quam provident optio tempora.",2025-05-29,2025-06-02,예술
57,57,"Iure modi repellendus. Maiores neque deserunt vitae incidunt sint.
Amet nobis earum vero. Architecto ea voluptatem.
Reiciendis provident sit. Voluptatum dignissimos saepe aliquam nesciunt. Provident in distinctio vero.
Eligendi dolore dolores expedita. Qui tempore doloremque perspiciatis.
At eum deserunt eaque unde illum commodi. Saepe beatae harum ut molestias maiores iusto laudantium.
Provident consectetur similique animi facilis.",2025-04-02,2025-06-16,게임
58,58,"Minima similique officia dicta. Eaque voluptatem nulla ducimus fugit eveniet quidem.
Illo qui alias quia ut porro eum inventore. Alias quis sit fugiat iste temporibus nulla. Consequuntur nobis a nemo nulla vel.
Cum nisi rerum odit saepe. Delectus odio iusto odio odio quasi rerum ad.
Molestias dolore officiis error. Eaque nobis minima explicabo.",2025-03-08,2025-07-01,기타
59,59,"Doloremque ea error quod. Cupiditate soluta adipisci soluta quae necessitatibus.
Recusandae cumque quas nulla id. Tempora commodi beatae alias voluptatem quaerat. Sunt quaerat ratione sapiente.
Cumque nemo perferendis nam. Tenetur quae voluptatum eius unde eius iure.
Ipsa possimus ad et tenetur. Quibusdam quos perspiciatis voluptatum dolorem. Voluptatem ex blanditiis rem quod quod eveniet. Delectus facilis quos optio amet asperiores.",2025-05-03,2025-07-13,기술
60,60,"Nostrum commodi saepe autem eveniet dolore ea. Perferendis eveniet aspernatur laborum porro sunt ipsam.
Quae quidem numquam laudantium esse libero at sequi. Dicta reiciendis porro in vel quasi. Voluptate porro perspiciatis tempore.
Praesentium explicabo voluptatibus assumenda sint harum sunt. Reiciendis tenetur nihil ipsum corporis. Minus quis officia dignissimos laborum recusandae.",2025-04-10,2025-06-12,예술
61,61,"Saepe dolorum accusamus mollitia ut dolore deleniti. Temporibus unde cum alias dolore autem earum.
Deserunt dolorum iste optio assumenda. Molestiae cupiditate veritatis nihil.
Cupiditate ut corporis mollitia iusto. Distinctio rerum ipsam neque hic. Repellat dolores optio tempora ex possimus ipsum.
Quod exercitationem illum vel sed. Quas suscipit unde assumenda ratione. Dicta dolor dignissimos nesciunt eligendi.
Rerum omnis reprehenderit molestias voluptate.",2025-04-18,2025-06-02,예술
62,62,"Minima perspiciatis ex molestiae unde. Voluptates voluptatem laborum voluptatibus nostrum atque reprehenderit.
Autem voluptates quibusdam eius minima. Recusandae illum doloremque ea voluptatem. Officia at natus quisquam dolores natus.
Debitis recusandae quaerat illo omnis itaque temporibus. Eligendi eaque quod quos a assumenda.
Error illo assumenda voluptatum aliquid. Quas voluptates magnam cum.
Expedita mollitia nobis consectetur. Accusantium excepturi animi vero.",2025-04-21,2025-07-14,기술
63,63,"Eum nihil ea expedita suscipit labore vero temporibus. Exercitationem doloribus quas sint eius nemo perspiciatis.
Error error asperiores quo voluptatum porro voluptatem. Minima cum molestiae autem autem. Id rerum perspiciatis quaerat.
Doloremque doloribus sequi repellendus ab consectetur esse. Sed incidunt iste fugit ducimus et repellendus. Et non natus.
Molestias enim explicabo.
Dolorem quidem natus nulla aspernatur omnis.",2025-04-23,2025-06-16,패션
