match_id,user_id,matched_user_id,match_status,match_score,matched_at
124,21,30,만료,99,2025-04-20 15:32:03.450437
29,27,51,거절,76,2025-04-03 13:00:33.346757
41,19,57,거절,76,2025-04-09 05:12:07.144445
139,29,59,대기중,69,2025-03-31 09:28:03.394643
140,40,45,성사,88,2025-04-29 14:06:52.834404
26,33,15,만료,73,2025-03-19 06:03:08.168982
24,20,19,만료,70,2025-05-05 18:40:43.902644
145,37,39,대기중,84,2025-04-26 03:57:36.771563
82,21,49,대기중,80,2025-05-17 15:20:47.856465
80,37,25,성사,87,2025-04-24 07:45:27.411527
85,59,59,대기중,100,2025-04-15 00:22:47.896268
40,30,55,성사,76,2025-03-04 05:11:42.965358
109,7,35,거절,89,2025-04-06 04:42:07.574427
87,4,24,대기중,67,2025-05-06 15:02:26.255505
128,41,4,성사,67,2025-06-01 06:13:46.192104
176,3,17,성사,94,2025-05-16 16:34:40.593141
167,42,49,거절,96,2025-03-03 14:13:01.724442
48,24,16,거절,75,2025-06-02 05:44:23.492832
95,28,46,대기중,77,2025-05-13 04:45:23.300965
138,11,37,대기중,88,2025-04-03 21:08:18.050834
169,55,46,대기중,60,2025-03-17 11:20:53.477534
62,54,53,대기중,89,2025-03-29 01:59:21.185627
74,15,18,만료,87,2025-05-11 07:33:53.819892
34,58,21,대기중,95,2025-05-20 20:30:41.917184
44,18,35,대기중,64,2025-05-03 21:23:40.135161
136,23,59,성사,97,2025-04-12 06:55:14.233663
142,58,47,성사,65,2025-05-09 09:38:31.893001
63,16,16,만료,71,2025-04-30 05:34:24.276803
179,16,41,성사,65,2025-03-28 14:15:26.904762
120,8,31,만료,63,2025-04-15 16:23:19.744272
123,32,18,만료,68,2025-04-04 17:45:20.698155
106,12,1,거절,76,2025-05-02 09:52:56.043870
54,55,47,대기중,82,2025-04-05 13:39:52.371261
6,40,11,만료,63,2025-03-19 23:17:10.999138
163,9,9,성사,73,2025-04-20 12:59:06.965959
4,34,30,만료,68,2025-04-12 04:10:44.345134
168,43,48,만료,92,2025-03-07 17:26:54.347390
50,55,28,대기중,85,2025-03-30 11:59:54.090539
