price_id,livestock_mkt,record_date,product_type,grade,part,price_per_kg,supply_volume,season,disease_outbreak,currency_rate,predicted_price
36,45,2023-11-13,돼지고기,1등급,뒷다리,18992,4672,봄,False,1357.47,15562
37,32,2024-09-17,양고기,2등급,갈비,18172,823,봄,False,1327.88,11488
38,47,2024-09-15,돼지고기,1등급,갈비,34046,4431,봄,True,1128.05,10037
39,28,2025-04-20,돼지고기,3등급,목살,18713,2225,봄,True,1213.78,15767
40,12,2025-03-17,오리고기,3등급,등심,23961,4440,여름,False,1265.81,25576
41,49,2024-10-18,양고기,특등급,갈비,29513,537,여름,False,1116.83,15931
42,43,2023-08-03,닭고기,등외급,등심,12991,1833,봄,False,1102.84,14819
43,48,2025-03-28,오리고기,1등급,갈비,19247,2826,겨울,False,1151.42,12054
44,26,2024-01-17,소고기,3등급,목살,8644,2482,가을,False,1249.96,8922
45,6,2024-07-23,양고기,3등급,갈비,24396,3066,가을,False,1230.17,29470
46,45,2024-06-23,닭고기,1등급,앞다리,31755,3604,겨울,False,1335.31,33017
47,21,2024-10-03,오리고기,2등급,안심,21107,894,겨울,True,1269.76,13266
48,7,2023-11-26,닭고기,2등급,안심,14868,297,봄,False,1357.39,22644
49,4,2024-04-02,소고기,특등급,갈비,23936,4949,가을,False,1128.61,23211
50,16,2024-08-12,돼지고기,등외급,뒷다리,28910,2790,여름,False,1258.45,17826
51,49,2023-07-12,닭고기,3등급,목살,22386,4568,여름,False,1112.77,14983
52,40,2023-10-07,양고기,3등급,등심,12452,1369,여름,False,1163.43,22484
53,12,2025-05-31,돼지고기,2등급,등심,10553,3578,겨울,False,1360.44,10413
54,8,2024-12-04,돼지고기,1등급,뒷다리,28950,590,봄,False,1366.27,10857
55,31,2023-08-07,돼지고기,등외급,앞다리,30335,2759,겨울,False,1242.65,14442
56,48,2024-03-20,양고기,3등급,뒷다리,13574,1919,가을,False,1113.97,16104
57,44,2025-05-12,양고기,특등급,안심,23609,990,겨울,False,1122.3,9008
58,35,2025-01-12,소고기,2등급,뒷다리,27724,4025,여름,False,1377.68,27858
59,34,2023-11-29,소고기,특등급,안심,11589,1939,가을,False,1369.79,12553
60,41,2024-01-16,닭고기,특등급,앞다리,30669,3556,겨울,False,1269.05,32593
61,16,2024-10-17,돼지고기,1등급,뒷다리,12270,566,겨울,False,1109.87,16742
62,34,2024-09-09,소고기,등외급,뒷다리,13933,1593,겨울,False,1378.63,20004
63,29,2024-05-26,닭고기,1등급,안심,12260,1710,여름,False,1194.35,16409
64,4,2024-03-09,닭고기,2등급,삼겹살,29965,3504,여름,False,1388.44,18210
65,3,2024-06-29,돼지고기,1등급,갈비,10523,2865,여름,False,1276.11,9275
66,49,2025-03-26,양고기,1등급,삼겹살,15475,2776,봄,False,1325.68,30386
67,36,2025-03-13,돼지고기,3등급,목살,9115,1678,여름,False,1313.81,16775
68,42,2024-01-30,양고기,2등급,등심,30289,4437,봄,False,1219.49,16976
69,29,2023-09-17,돼지고기,1등급,뒷다리,31654,889,여름,True,1123.08,29073
70,33,2023-08-24,오리고기,1등급,목살,24819,2610,여름,False,1148.74,8833
71,13,2023-06-07,소고기,1등급,삼겹살,13815,3030,봄,False,1172.14,11816
72,39,2023-09-04,돼지고기,1등급,갈비,31126,3673,봄,False,1350.4,20425
73,18,2023-12-23,소고기,3등급,뒷다리,32654,4537,가을,False,1216.75,9133
74,46,2024-06-26,닭고기,3등급,앞다리,17103,376,겨울,False,1368.96,11647
75,12,2023-12-15,오리고기,3등급,앞다리,18572,2037,겨울,False,1199.52,21952
76,25,2025-02-12,돼지고기,2등급,앞다리,34698,1071,여름,False,1326.68,9875
77,36,2023-12-22,소고기,2등급,뒷다리,23377,4793,여름,False,1141.99,14713
78,19,2025-05-29,닭고기,1등급,등심,26495,4384,여름,False,1396.54,27649
79,22,2025-05-12,돼지고기,3등급,목살,8653,1400,가을,False,1317.25,14210
80,33,2024-01-21,소고기,3등급,안심,30600,3161,가을,False,1250.24,18634
81,31,2025-01-11,양고기,특등급,뒷다리,23353,769,가을,False,1392.3,18959
82,19,2023-10-26,오리고기,특등급,삼겹살,13596,1885,가을,False,1116.11,11251
83,4,2024-07-22,양고기,등외급,삼겹살,16066,1377,가을,False,1231.13,26272
84,12,2024-05-22,닭고기,등외급,삼겹살,10222,4275,겨울,False,1351.6,25541
85,26,2023-11-13,오리고기,1등급,앞다리,18790,1527,봄,False,1202.18,18211
86,1,2024-05-28,닭고기,1등급,안심,9620,1434,가을,False,1330.7,27845
87,31,2025-01-03,오리고기,3등급,삼겹살,30405,2965,겨울,False,1386.46,32219
88,29,2025-04-09,돼지고기,3등급,앞다리,27947,4011,봄,False,1219.01,8604
89,23,2023-08-19,양고기,특등급,안심,17453,2195,겨울,False,1332.07,15518
90,9,2024-02-07,소고기,1등급,앞다리,27111,542,여름,False,1108.89,28458
91,4,2025-04-02,돼지고기,등외급,목살,10505,3380,가을,False,1182.0,15003
92,3,2023-07-19,오리고기,3등급,뒷다리,28389,4628,가을,False,1397.78,28962
93,18,2024-09-17,오리고기,2등급,안심,24925,1209,가을,False,1247.18,28925
94,18,2024-01-06,소고기,1등급,목살,17440,1880,가을,False,1206.74,32584
95,44,2023-09-23,소고기,등외급,뒷다리,23206,671,가을,False,1382.34,9764
96,43,2023-11-07,오리고기,3등급,앞다리,13774,1025,여름,False,1229.55,26882
97,36,2023-12-26,돼지고기,특등급,안심,17815,3289,여름,False,1303.91,20556
98,11,2023-09-25,닭고기,1등급,앞다리,18479,4942,가을,False,1298.2,20383
99,15,2024-01-19,돼지고기,특등급,삼겹살,25538,380,여름,False,1125.71,26719
100,1,2025-05-03,소고기,등외급,뒷다리,24354,4558,겨울,False,1285.58,11286
101,4,2024-03-08,소고기,2등급,뒷다리,22978,2714,여름,False,1339.42,15713
102,6,2024-12-13,닭고기,3등급,갈비,16991,3259,여름,False,1313.93,14184
103,6,2024-02-12,양고기,1등급,목살,26050,2037,가을,False,1124.61,16113
104,49,2023-11-29,돼지고기,등외급,등심,23994,2105,가을,False,1146.27,34324
105,45,2024-02-19,돼지고기,등외급,등심,31874,589,겨울,False,1313.5,14198
106,22,2025-04-23,소고기,2등급,삼겹살,11404,1268,봄,False,1290.17,23267
107,5,2024-03-17,오리고기,1등급,삼겹살,9411,3183,여름,False,1321.9,30937
108,9,2024-07-16,소고기,1등급,뒷다리,22197,689,겨울,False,1195.0,23936
109,21,2024-12-27,돼지고기,등외급,목살,26235,188,봄,False,1131.97,31103
110,40,2024-07-09,돼지고기,3등급,안심,32076,4685,겨울,False,1101.56,16091
111,27,2025-01-12,닭고기,특등급,안심,33758,3208,가을,False,1192.48,20282
112,23,2023-10-29,돼지고기,등외급,목살,8575,639,겨울,False,1207.98,22836
113,22,2023-10-21,양고기,특등급,등심,22045,2934,봄,False,1180.93,30791
114,30,2024-02-09,돼지고기,2등급,삼겹살,21829,2143,가을,False,1139.75,33646
115,19,2025-04-19,오리고기,2등급,앞다리,29547,4387,가을,False,1156.22,33180
116,47,2024-11-26,소고기,등외급,갈비,11199,1460,봄,False,1234.65,13375
117,50,2023-12-09,소고기,2등급,등심,24556,260,봄,False,1266.42,14828
118,6,2023-10-18,양고기,3등급,뒷다리,13786,1260,겨울,False,1222.41,34878
119,47,2023-07-02,오리고기,1등급,목살,9724,4914,봄,False,1107.88,20741
120,47,2024-01-01,닭고기,등외급,등심,29510,318,가을,False,1206.17,26784
121,47,2025-01-12,양고기,특등급,앞다리,25852,4130,겨울,False,1127.92,17450
122,39,2024-06-23,소고기,3등급,목살,13871,2322,가을,False,1279.41,14727
123,43,2024-03-13,소고기,1등급,안심,31903,3020,여름,False,1197.33,24688
124,49,2024-01-25,오리고기,등외급,목살,9544,2343,가을,False,1215.57,28174
125,9,2024-06-16,소고기,3등급,앞다리,24175,1590,여름,False,1187.55,10929
126,18,2024-07-12,오리고기,1등급,등심,31734,1911,겨울,False,1216.34,11576
127,47,2023-07-17,소고기,1등급,안심,16070,4490,여름,False,1125.41,17627
128,39,2024-03-12,돼지고기,2등급,등심,9208,4707,가을,False,1370.34,10134
129,14,2023-08-07,오리고기,특등급,앞다리,21558,2544,봄,False,1371.56,28782
130,5,2023-06-26,양고기,특등급,삼겹살,15208,2184,봄,False,1393.45,28530
131,1,2024-10-26,돼지고기,2등급,안심,23276,3652,겨울,False,1271.59,11614
132,23,2025-01-18,양고기,1등급,안심,11378,1592,가을,False,1150.87,24667
133,1,2024-03-11,소고기,3등급,뒷다리,32290,2284,겨울,True,1214.22,34287
134,47,2024-04-18,양고기,등외급,앞다리,21795,2555,여름,False,1141.65,16832
135,28,2024-03-17,소고기,2등급,뒷다리,30843,740,봄,False,1190.34,12597
136,49,2023-09-27,소고기,3등급,안심,18563,4212,겨울,False,1247.94,32812
137,25,2024-05-02,소고기,3등급,목살,8340,3909,가을,False,1118.98,23155
138,32,2024-09-24,오리고기,등외급,갈비,22465,1640,겨울,False,1230.4,34678
139,30,2023-08-29,소고기,등외급,목살,34614,2013,여름,False,1226.33,15879
140,47,2025-03-25,소고기,특등급,안심,21025,2206,겨울,False,1245.27,8362
141,33,2024-12-08,소고기,2등급,안심,31005,3055,봄,False,1123.08,31769
142,28,2025-05-15,닭고기,등외급,목살,30082,4923,겨울,False,1175.51,25675
143,4,2025-04-22,닭고기,특등급,갈비,28228,898,가을,False,1173.98,13534
144,26,2024-03-06,닭고기,등외급,앞다리,33706,2998,봄,False,1287.51,19052
145,48,2024-09-12,양고기,1등급,등심,17614,1039,여름,False,1278.14,30357
146,16,2024-07-15,닭고기,2등급,삼겹살,17860,2146,여름,False,1158.66,30032
147,17,2024-03-20,오리고기,1등급,등심,11686,3451,가을,False,1132.09,29715
148,40,2025-03-02,닭고기,3등급,삼겹살,9955,3883,가을,False,1191.4,12140
149,27,2025-02-27,양고기,특등급,안심,19857,1569,가을,False,1384.65,14524
150,37,2024-03-18,돼지고기,1등급,갈비,25547,4731,가을,False,1199.67,31658
151,4,2024-08-25,돼지고기,1등급,등심,32523,668,겨울,False,1286.06,22684
152,36,2024-12-06,소고기,특등급,안심,25218,572,여름,False,1341.22,23743
153,26,2024-04-10,소고기,3등급,목살,26712,3522,여름,True,1198.86,22089
154,48,2024-05-13,돼지고기,등외급,갈비,32679,1322,겨울,False,1200.42,22393
155,8,2025-05-16,소고기,특등급,갈비,28221,4058,겨울,False,1344.64,11171
156,48,2024-08-14,오리고기,1등급,목살,32895,3361,봄,False,1357.85,9636
157,17,2024-06-04,닭고기,특등급,앞다리,27098,4583,겨울,False,1392.27,24164
158,4,2023-11-05,오리고기,등외급,삼겹살,26792,4824,겨울,False,1140.84,18755
159,26,2025-05-14,소고기,특등급,갈비,31432,2570,여름,False,1196.2,18271
160,1,2025-04-02,양고기,3등급,등심,12937,4748,봄,False,1384.18,21859
161,10,2024-05-06,닭고기,3등급,삼겹살,9450,605,겨울,False,1160.26,11110
162,28,2024-10-18,소고기,3등급,앞다리,21622,655,여름,False,1194.25,11715
163,26,2023-08-11,소고기,2등급,등심,17284,2653,봄,False,1389.37,11107
164,27,2024-02-08,돼지고기,2등급,뒷다리,8133,782,여름,False,1390.62,11912
165,18,2024-06-09,돼지고기,등외급,앞다리,22343,1350,겨울,True,1187.43,13241
166,49,2024-04-25,돼지고기,1등급,목살,17437,4757,여름,False,1308.49,21168
167,21,2024-08-07,돼지고기,3등급,삼겹살,21583,4046,가을,False,1247.3,10649
168,28,2024-01-19,돼지고기,특등급,앞다리,9431,2021,가을,False,1272.76,23450
169,41,2024-02-12,소고기,2등급,갈비,15492,2787,가을,False,1172.73,14131
170,30,2023-11-10,돼지고기,등외급,삼겹살,26081,308,겨울,False,1212.82,25680
171,20,2024-10-23,닭고기,3등급,안심,29579,4030,겨울,False,1344.95,22827
172,2,2025-03-21,닭고기,1등급,안심,17014,2407,가을,False,1217.88,19453
173,29,2024-02-22,양고기,특등급,앞다리,28075,1131,가을,False,1134.17,34858
174,11,2023-08-08,닭고기,3등급,등심,22356,1748,가을,False,1269.16,8025
175,31,2025-03-27,소고기,1등급,안심,30194,744,봄,False,1277.67,12034
176,44,2024-12-11,닭고기,등외급,등심,13156,2069,봄,False,1263.69,12010
177,2,2025-03-28,오리고기,1등급,목살,17196,2997,겨울,False,1304.51,12577
178,46,2024-12-22,오리고기,1등급,등심,18942,1837,여름,False,1265.03,32053
179,26,2025-02-17,오리고기,3등급,등심,30201,4085,여름,False,1385.9,22897
180,34,2024-09-30,양고기,3등급,앞다리,27216,4569,여름,False,1238.49,27161
181,36,2024-10-27,오리고기,2등급,뒷다리,24581,4296,여름,False,1312.51,28552
182,3,2023-12-24,닭고기,1등급,목살,20639,2780,봄,False,1231.54,20923
183,17,2023-12-05,양고기,등외급,뒷다리,13884,3781,봄,False,1187.4,20425
184,24,2023-09-28,닭고기,특등급,목살,16457,124,가을,False,1307.85,31099
185,7,2025-05-30,돼지고기,등외급,등심,15188,3713,가을,False,1345.69,8534
186,10,2023-07-12,소고기,등외급,뒷다리,20502,2484,봄,False,1338.7,31339
187,4,2024-05-30,양고기,3등급,목살,16379,407,봄,False,1222.74,18972
188,49,2024-12-25,오리고기,1등급,목살,16913,4545,겨울,False,1249.79,32380
189,19,2025-02-04,오리고기,특등급,앞다리,29068,2535,가을,False,1290.0,21856
190,11,2024-03-03,소고기,특등급,뒷다리,30064,3229,봄,False,1172.61,33374
191,15,2024-01-05,닭고기,2등급,앞다리,13370,4279,봄,False,1297.6,26245
192,38,2025-04-21,닭고기,3등급,안심,30576,3195,봄,False,1314.57,28551
193,16,2024-05-10,닭고기,3등급,갈비,32088,3045,여름,False,1336.72,17188
194,36,2024-09-10,양고기,3등급,삼겹살,20606,3036,겨울,False,1122.19,18951
195,9,2024-01-20,양고기,등외급,삼겹살,14813,610,여름,False,1397.21,34967
196,13,2025-02-23,양고기,등외급,안심,18726,4334,봄,False,1243.77,31878
197,46,2023-12-02,양고기,1등급,삼겹살,20196,2803,겨울,False,1220.24,16083
198,26,2024-11-29,소고기,등외급,갈비,18526,3225,봄,False,1251.98,32741
199,16,2023-12-08,돼지고기,1등급,갈비,13571,3229,봄,False,1376.12,34700
200,3,2023-09-17,오리고기,1등급,안심,10750,1276,가을,False,1307.51,16825
201,9,2024-03-19,오리고기,등외급,등심,27899,3804,봄,False,1263.09,14289
202,46,2023-07-04,돼지고기,1등급,삼겹살,8613,3027,여름,False,1337.22,8908
203,29,2024-04-08,소고기,3등급,갈비,26713,4005,봄,False,1207.86,10238
204,17,2024-10-15,닭고기,1등급,등심,19838,4266,여름,False,1368.65,10472
205,48,2024-05-25,양고기,3등급,앞다리,26992,160,봄,False,1261.07,17284
206,44,2025-01-25,오리고기,2등급,등심,27211,3341,봄,False,1291.45,21410
207,13,2024-08-09,닭고기,3등급,갈비,12769,1269,여름,False,1125.49,29809
208,19,2024-07-13,소고기,등외급,안심,29858,1141,여름,False,1330.69,31360
209,6,2023-08-07,양고기,등외급,갈비,9982,3923,가을,False,1297.28,29758
210,8,2025-02-09,돼지고기,2등급,목살,32627,3281,봄,False,1206.5,9426
211,28,2023-06-21,양고기,1등급,앞다리,15802,991,겨울,False,1294.1,10594
212,11,2024-12-28,돼지고기,등외급,뒷다리,16719,2561,겨울,False,1113.29,13359
213,21,2024-05-18,닭고기,3등급,안심,12238,2426,가을,False,1395.08,14978
214,5,2024-08-09,양고기,2등급,뒷다리,14403,1788,가을,False,1303.24,8127
215,35,2024-12-25,닭고기,1등급,목살,8818,660,겨울,False,1219.89,23873
216,18,2024-02-17,양고기,2등급,갈비,23772,2557,겨울,False,1325.8,25087
217,33,2023-08-31,소고기,특등급,갈비,18852,3167,겨울,False,1389.72,9208
218,38,2024-02-26,소고기,특등급,등심,23843,161,가을,False,1229.14,13946
219,47,2025-04-02,오리고기,3등급,뒷다리,30366,3662,가을,False,1103.16,15385
220,45,2024-01-15,닭고기,1등급,갈비,24006,2302,가을,False,1177.62,19235
221,19,2024-12-25,소고기,2등급,갈비,32552,1276,여름,False,1253.2,12789
222,15,2024-12-12,돼지고기,2등급,등심,22063,1520,가을,False,1255.64,18525
223,48,2023-07-04,닭고기,1등급,안심,25384,2239,여름,False,1274.16,8223
224,45,2025-01-06,돼지고기,2등급,목살,15676,649,봄,False,1272.57,33517
225,16,2024-06-14,양고기,1등급,갈비,17421,355,여름,False,1233.73,13727
226,29,2024-12-21,돼지고기,2등급,삼겹살,23156,810,겨울,False,1217.34,22132
227,5,2024-03-13,양고기,3등급,삼겹살,9102,3472,여름,False,1331.7,24408
228,13,2023-10-05,오리고기,특등급,목살,9571,2514,봄,False,1276.58,26382
229,27,2024-08-02,닭고기,2등급,앞다리,21235,3089,봄,False,1250.14,20933
230,29,2023-11-14,소고기,2등급,등심,17078,1509,겨울,False,1203.49,30026
231,2,2024-02-14,소고기,1등급,삼겹살,10679,372,가을,False,1107.37,19841
232,30,2024-06-13,돼지고기,등외급,등심,24719,451,겨울,False,1131.36,22076
233,47,2024-12-04,닭고기,2등급,목살,15537,3194,여름,False,1224.79,27524
234,46,2025-03-27,소고기,등외급,갈비,25507,1774,겨울,False,1388.52,25973
235,37,2024-08-28,닭고기,3등급,목살,20944,3057,봄,False,1134.82,16678
236,24,2023-12-29,소고기,특등급,안심,19012,395,봄,False,1382.2,8580
237,24,2025-02-13,닭고기,2등급,안심,8665,2707,겨울,False,1142.5,11035
238,42,2024-11-10,닭고기,특등급,삼겹살,31067,2897,겨울,False,1193.57,28335
239,45,2023-07-09,양고기,2등급,앞다리,22565,4887,봄,False,1236.6,29289
240,30,2024-08-12,돼지고기,특등급,삼겹살,23733,301,봄,False,1162.06,24217
241,12,2024-08-12,돼지고기,특등급,안심,23738,3002,봄,False,1244.88,33877
242,5,2023-07-12,오리고기,등외급,등심,34457,1709,봄,False,1242.85,34572
243,34,2024-02-29,오리고기,등외급,삼겹살,27103,1406,여름,True,1231.45,31758
244,3,2024-10-22,소고기,2등급,목살,16467,3564,여름,False,1309.03,16837
245,48,2024-03-23,돼지고기,2등급,앞다리,11126,2883,봄,False,1195.67,34834
246,7,2023-07-13,오리고기,등외급,뒷다리,20802,1568,겨울,False,1190.08,9912
247,26,2023-12-06,닭고기,2등급,목살,14242,706,겨울,False,1343.06,10932
248,42,2023-12-27,소고기,3등급,안심,22034,2656,봄,False,1134.53,14468
249,19,2025-01-17,소고기,등외급,갈비,27515,3741,여름,False,1354.75,11695
250,29,2023-12-01,돼지고기,2등급,등심,25221,1039,가을,False,1294.39,30722
251,38,2023-08-17,오리고기,1등급,삼겹살,11295,3939,가을,False,1303.14,19561
252,4,2024-06-18,돼지고기,2등급,안심,26862,4937,봄,True,1149.31,16287
253,14,2025-01-27,양고기,3등급,목살,14737,4605,여름,False,1395.17,30379
254,36,2023-09-16,닭고기,1등급,갈비,16600,843,겨울,False,1173.17,26123
255,12,2024-03-19,돼지고기,2등급,목살,28181,811,봄,False,1152.34,8850
256,32,2024-07-03,오리고기,2등급,안심,8029,630,가을,False,1148.04,11251
257,46,2023-07-23,오리고기,특등급,안심,8776,4856,봄,False,1267.95,8475
258,11,2024-01-13,양고기,특등급,앞다리,19002,1083,가을,False,1387.54,33054
259,3,2025-02-11,돼지고기,3등급,목살,26123,3532,겨울,True,1169.56,33569
260,10,2024-10-29,소고기,2등급,뒷다리,24604,481,봄,False,1221.51,26530
261,11,2025-05-02,돼지고기,1등급,목살,24136,4072,봄,False,1155.34,25039
262,1,2025-01-25,돼지고기,1등급,뒷다리,10799,1609,여름,False,1292.14,33675
263,34,2025-03-12,오리고기,2등급,앞다리,18870,1505,겨울,False,1229.64,29925
264,29,2024-12-10,양고기,3등급,뒷다리,30117,589,봄,False,1108.76,28508
265,1,2024-12-06,양고기,3등급,등심,29051,428,겨울,False,1284.23,22139
266,40,2024-07-09,소고기,등외급,등심,10480,3234,여름,False,1159.2,28742
267,15,2023-10-21,소고기,2등급,뒷다리,34350,2238,봄,False,1277.66,28805
268,37,2024-06-04,양고기,등외급,뒷다리,32061,3061,겨울,False,1216.65,15889
269,41,2024-11-06,돼지고기,3등급,목살,23227,666,봄,False,1311.42,33855
270,38,2024-08-25,오리고기,3등급,뒷다리,14569,1052,가을,False,1161.74,27607
271,23,2023-06-18,돼지고기,2등급,삼겹살,26450,2712,겨울,False,1325.7,14857
272,9,2024-01-24,돼지고기,2등급,안심,10526,2789,봄,False,1342.62,34715
273,16,2024-04-14,닭고기,1등급,안심,27540,1849,봄,False,1118.77,14156
274,27,2023-11-25,양고기,3등급,삼겹살,30656,3578,겨울,False,1130.53,27885
275,31,2025-05-21,양고기,특등급,앞다리,32190,3880,겨울,False,1361.59,18938
276,19,2023-08-12,닭고기,1등급,등심,13130,2285,겨울,False,1156.09,22232
277,36,2024-04-18,돼지고기,등외급,등심,20628,4857,겨울,False,1197.8,27100
278,41,2025-04-03,소고기,1등급,등심,29828,1730,가을,False,1237.27,20612
279,22,2024-06-24,양고기,3등급,앞다리,18475,2367,가을,False,1178.71,29694
280,12,2023-10-27,오리고기,2등급,뒷다리,19643,2391,봄,False,1358.79,12963
281,18,2025-04-09,소고기,특등급,앞다리,11395,2197,가을,False,1258.31,26016
282,20,2024-03-19,돼지고기,2등급,앞다리,15804,711,겨울,False,1291.73,25042
283,29,2025-01-29,소고기,1등급,뒷다리,30010,4315,봄,False,1279.09,33752
284,5,2025-02-24,소고기,2등급,삼겹살,18046,4251,가을,False,1283.39,8190
285,30,2025-04-21,오리고기,2등급,앞다리,26351,4879,겨울,False,1276.1,19880
286,32,2024-05-16,닭고기,특등급,앞다리,24383,1981,가을,False,1204.38,25234
287,41,2024-04-06,소고기,특등급,갈비,30773,106,가을,False,1353.66,20172
288,24,2025-04-24,소고기,3등급,앞다리,15970,4823,가을,False,1285.21,27505
289,4,2023-06-17,오리고기,등외급,갈비,19347,1913,여름,False,1344.12,25458
290,42,2025-01-10,양고기,3등급,삼겹살,23655,3742,봄,False,1311.8,12386
291,3,2025-01-26,돼지고기,3등급,안심,29100,2486,봄,False,1189.23,34972
292,12,2025-01-13,돼지고기,등외급,목살,25057,404,여름,False,1284.35,13053
293,22,2025-03-06,닭고기,특등급,안심,33560,3069,겨울,False,1125.43,34533
294,35,2024-07-12,오리고기,1등급,갈비,12025,3485,가을,False,1140.18,18398
295,32,2023-11-11,양고기,특등급,목살,30006,3011,겨울,False,1135.36,30500
296,48,2023-10-30,양고기,2등급,목살,11461,4039,가을,False,1191.61,32108
297,11,2024-08-21,소고기,3등급,삼겹살,29214,2778,봄,False,1154.91,34173
298,18,2023-12-25,돼지고기,등외급,갈비,15284,3785,봄,False,1308.03,26926
299,13,2023-11-21,소고기,1등급,삼겹살,8034,393,여름,False,1253.25,8778
300,11,2024-08-13,돼지고기,2등급,목살,31287,3156,여름,False,1225.47,26473
301,24,2025-03-26,소고기,등외급,앞다리,15409,2203,겨울,False,1141.36,14667
302,39,2023-12-03,오리고기,2등급,목살,17708,3131,봄,False,1215.11,12808
303,42,2024-04-09,닭고기,2등급,등심,16594,2405,가을,False,1155.73,17449
304,25,2023-06-12,돼지고기,3등급,앞다리,32845,4353,가을,False,1290.65,26897
305,28,2024-07-07,돼지고기,특등급,갈비,26257,1269,가을,False,1308.03,10489
306,39,2024-11-26,양고기,1등급,등심,14030,3867,겨울,False,1293.58,25120
307,5,2024-05-22,오리고기,특등급,삼겹살,25786,3572,겨울,False,1399.97,11031
308,50,2025-05-19,돼지고기,2등급,갈비,27305,4702,겨울,False,1266.47,13520
309,31,2024-09-05,오리고기,특등급,목살,20909,1880,봄,False,1246.89,33694
310,41,2025-04-05,소고기,2등급,삼겹살,14956,748,여름,False,1142.09,29036
311,43,2023-08-03,양고기,2등급,삼겹살,33427,4213,가을,False,1194.37,18983
312,31,2024-01-25,양고기,등외급,목살,20988,1535,겨울,False,1235.3,15876
313,16,2024-10-12,닭고기,2등급,삼겹살,10393,4704,봄,False,1116.08,20510
314,36,2024-08-25,오리고기,특등급,뒷다리,23619,614,겨울,False,1207.71,28657
315,44,2024-06-06,돼지고기,등외급,갈비,25431,4940,겨울,False,1102.88,27828
316,21,2024-08-24,오리고기,2등급,삼겹살,28363,1044,여름,False,1140.96,24610
317,1,2025-04-24,오리고기,특등급,뒷다리,10478,2198,겨울,False,1344.56,21772
318,21,2024-05-24,소고기,등외급,삼겹살,17644,3357,봄,False,1389.15,25864
319,5,2024-06-29,돼지고기,3등급,안심,30157,2223,가을,False,1251.63,27321
320,10,2023-06-22,돼지고기,2등급,갈비,25139,3730,봄,False,1248.49,33754
321,50,2025-04-23,닭고기,3등급,안심,19195,457,여름,False,1305.41,31381
