price_id,livestock_mkt,record_date,product_type,grade,part,price_per_kg,supply_volume,demand_level,season,disease_outbreak,currency_rate,predicted_price,accuracy_score,notes,channel
21,5,2024-06-17,양고기,특등급,앞다리,30970,1777,보통,여름,False,1128.89,25328,0.911,Maxime illum ea animi mollitia quisquam et praesentium. Reiciendis facere voluptatum incidunt ex. Eos dignissimos ut repellat.,모바일
22,14,2024-07-28,소고기,등외급,목살,9364,1722,높음,겨울,False,1144.67,25486,0.782,Occaecati inventore id velit. Non doloribus minus eaque eos. Nam quaerat laborum velit.,오프라인
23,33,2023-10-17,닭고기,3등급,목살,24885,2546,낮음,가을,False,1157.58,24171,0.838,Odio incidunt ratione sunt corporis quas consequatur est. Quaerat inventore vitae illum nihil. Est sit dolore eum voluptates totam placeat.,모바일
24,12,2025-04-19,소고기,특등급,뒷다리,30366,2524,높음,봄,False,1257.94,30986,0.702,Voluptas debitis ex quas saepe. Minus dignissimos excepturi tenetur sit accusamus.,오프라인
25,35,2024-11-17,오리고기,2등급,삼겹살,33701,1958,보통,가을,False,1344.56,20074,0.75,Velit occaecati nam eaque itaque distinctio esse reiciendis. Iusto dignissimos repellat esse.,모바일
26,5,2024-05-09,오리고기,1등급,등심,31861,2663,높음,여름,False,1180.2,31983,0.841,Vitae numquam temporibus quae rem. Repellat consequuntur praesentium asperiores iusto rem rem ab.,오프라인
27,8,2023-10-11,오리고기,등외급,등심,18545,2151,보통,봄,False,1219.07,14095,0.776,Perspiciatis magnam minus dolorum corrupti. Molestias fuga debitis officiis nobis. Veniam pariatur dolores facere cumque voluptas placeat.,오프라인
28,45,2025-04-01,소고기,3등급,안심,24686,2523,높음,여름,False,1211.92,15958,0.856,Nostrum harum harum praesentium quibusdam. Dolorum sint dicta repellat voluptas.,오프라인
29,28,2024-04-19,돼지고기,3등급,앞다리,25861,216,낮음,겨울,False,1221.81,24619,0.816,Id voluptas temporibus repellat dignissimos. Nostrum necessitatibus quasi voluptatibus. Est sunt rem iusto mollitia alias fugiat.,모바일
30,47,2024-06-11,오리고기,2등급,목살,9052,1595,보통,여름,False,1269.5,27273,0.848,Expedita necessitatibus voluptates harum eos.,모바일
31,21,2024-12-24,닭고기,3등급,등심,28941,2963,보통,여름,False,1397.07,29383,0.823,Facilis odit totam non aliquid distinctio eum. Nulla recusandae necessitatibus quae blanditiis suscipit vel.,모바일
32,12,2024-11-18,소고기,등외급,삼겹살,23778,3186,낮음,봄,False,1167.76,11923,0.893,Laboriosam vero repellat eaque. In accusamus nulla saepe ratione. Beatae deserunt et cum quibusdam.,오프라인
33,45,2025-04-07,오리고기,1등급,앞다리,28361,4964,낮음,여름,False,1305.21,13234,0.749,Possimus facere ut sunt voluptatibus dolor. Aspernatur possimus voluptates aut quod.,온라인
34,14,2023-12-20,닭고기,2등급,안심,32743,3618,높음,가을,False,1354.36,16299,0.925,"Error inventore ducimus veritatis. Eos quibusdam enim.
Explicabo iusto vel quidem alias. Consectetur nemo repellendus tenetur.
Ratione itaque ut sit.",오프라인
35,39,2024-09-07,닭고기,등외급,갈비,31659,106,보통,겨울,False,1296.12,10664,0.89,Itaque atque dolor repellendus. Vel rerum voluptatum omnis laudantium. Odio alias quasi asperiores doloremque.,온라인
36,45,2023-11-13,돼지고기,1등급,뒷다리,18992,4672,높음,봄,False,1357.47,15562,0.761,Totam error dolore molestiae deserunt voluptatibus. Repellendus reprehenderit labore tenetur voluptatum.,모바일
37,32,2024-09-17,양고기,2등급,갈비,18172,823,높음,봄,False,1327.88,11488,0.702,"Totam cum illum.
Dolorem at hic magni dolorum eveniet culpa. Adipisci ex nulla rerum. Tenetur quae pariatur vero mollitia.",온라인
38,47,2024-09-15,돼지고기,1등급,갈비,34046,4431,보통,봄,True,1128.05,10037,0.803,Temporibus sit veniam ex architecto ut. Quae assumenda velit repellat culpa itaque. Tempora quaerat aperiam autem sed.,모바일
39,28,2025-04-20,돼지고기,3등급,목살,18713,2225,높음,봄,True,1213.78,15767,0.758,Suscipit sapiente rerum explicabo nam dolores. Modi architecto delectus molestias similique.,온라인
40,12,2025-03-17,오리고기,3등급,등심,23961,4440,낮음,여름,False,1265.81,25576,0.787,Ab dicta sunt id soluta libero. Vel quasi assumenda aspernatur earum.,모바일
41,49,2024-10-18,양고기,특등급,갈비,29513,537,낮음,여름,False,1116.83,15931,0.91,Nihil voluptates debitis voluptatibus. Deserunt libero possimus velit. Consectetur sapiente quaerat at quas.,온라인
42,43,2023-08-03,닭고기,등외급,등심,12991,1833,높음,봄,False,1102.84,14819,0.919,Saepe vitae error tempore accusamus minus. Eius ab quo porro.,온라인
43,48,2025-03-28,오리고기,1등급,갈비,19247,2826,보통,겨울,False,1151.42,12054,0.938,Iste impedit hic corporis sapiente nemo illum. Dicta doloremque dolores explicabo quibusdam.,온라인
44,26,2024-01-17,소고기,3등급,목살,8644,2482,높음,가을,False,1249.96,8922,0.7,In reprehenderit dolores ratione. Quis neque officia consectetur incidunt accusamus quis illo.,모바일
45,6,2024-07-23,양고기,3등급,갈비,24396,3066,낮음,가을,False,1230.17,29470,0.864,Quisquam culpa a corporis. Distinctio cum necessitatibus voluptas magnam. Explicabo quae quos adipisci culpa.,모바일
46,45,2024-06-23,닭고기,1등급,앞다리,31755,3604,낮음,겨울,False,1335.31,33017,0.912,Debitis itaque doloribus dolorum. Eveniet architecto animi odit facere. Aliquid incidunt sint pariatur fugit vero.,온라인
47,21,2024-10-03,오리고기,2등급,안심,21107,894,낮음,겨울,True,1269.76,13266,0.882,Molestias quasi quisquam dicta iste. Sed deleniti exercitationem ut. Beatae quae quas omnis ipsa iste dolorum.,모바일
48,7,2023-11-26,닭고기,2등급,안심,14868,297,보통,봄,False,1357.39,22644,0.726,Laborum voluptatibus expedita earum quis cum et. Odio ad distinctio ab rem voluptatem sint.,온라인
49,4,2024-04-02,소고기,특등급,갈비,23936,4949,보통,가을,False,1128.61,23211,0.832,Sequi iusto expedita saepe deleniti impedit soluta. Itaque molestias quasi odio cumque neque. Nam corrupti placeat dicta at fuga.,온라인
50,16,2024-08-12,돼지고기,등외급,뒷다리,28910,2790,보통,여름,False,1258.45,17826,0.76,Magnam sed eius quas nobis atque. Consequuntur deserunt accusantium voluptas fuga quae. At saepe cumque numquam.,온라인
51,49,2023-07-12,닭고기,3등급,목살,22386,4568,낮음,여름,False,1112.77,14983,0.823,Est fugit ullam officiis in. Est voluptatem a reiciendis molestias.,모바일
52,40,2023-10-07,양고기,3등급,등심,12452,1369,높음,여름,False,1163.43,22484,0.715,Error aperiam repellendus sunt odio eveniet illum. Vel rem iusto quas tempore.,모바일
53,12,2025-05-31,돼지고기,2등급,등심,10553,3578,낮음,겨울,False,1360.44,10413,0.949,Nihil sit explicabo corporis. Totam at eius labore eius a dolor. Autem excepturi ab asperiores.,오프라인
54,8,2024-12-04,돼지고기,1등급,뒷다리,28950,590,낮음,봄,False,1366.27,10857,0.878,Eaque quidem veritatis sunt nihil facere blanditiis. Sunt nam in omnis adipisci voluptatum quas. Beatae natus modi vitae dolores.,모바일
55,31,2023-08-07,돼지고기,등외급,앞다리,30335,2759,높음,겨울,False,1242.65,14442,0.723,Reprehenderit modi necessitatibus ipsa aperiam magni sit. Quo molestias totam non ullam eligendi sed.,모바일
56,48,2024-03-20,양고기,3등급,뒷다리,13574,1919,낮음,가을,False,1113.97,16104,0.93,Nulla pariatur sit distinctio. Ullam harum hic saepe quis necessitatibus. Nam debitis mollitia labore.,모바일
57,44,2025-05-12,양고기,특등급,안심,23609,990,낮음,겨울,False,1122.3,9008,0.924,Quod quisquam saepe laborum. Similique iure delectus nulla. Nulla ipsa ad magni.,온라인
58,35,2025-01-12,소고기,2등급,뒷다리,27724,4025,보통,여름,False,1377.68,27858,0.83,Inventore alias nostrum modi ad. Error ratione nam dolor quos quia saepe.,모바일
59,34,2023-11-29,소고기,특등급,안심,11589,1939,보통,가을,False,1369.79,12553,0.875,Nobis culpa beatae ut deserunt. Eum necessitatibus officiis a asperiores inventore animi. Occaecati aliquam veniam nam.,오프라인
60,41,2024-01-16,닭고기,특등급,앞다리,30669,3556,낮음,겨울,False,1269.05,32593,0.793,Vel molestiae eius deserunt libero. Doloremque voluptatem tempora. Aspernatur excepturi eaque accusantium velit temporibus enim.,모바일
61,16,2024-10-17,돼지고기,1등급,뒷다리,12270,566,보통,겨울,False,1109.87,16742,0.944,Ex delectus vitae vitae aspernatur temporibus doloribus. Veritatis ducimus eius laudantium. Rerum laborum veniam nulla aliquam.,오프라인
62,34,2024-09-09,소고기,등외급,뒷다리,13933,1593,보통,겨울,False,1378.63,20004,0.721,Amet debitis ab. Voluptas fugit dolorem impedit quasi. Dolores incidunt magni nam tempore expedita autem.,온라인
63,29,2024-05-26,닭고기,1등급,안심,12260,1710,보통,여름,False,1194.35,16409,0.724,Saepe laboriosam minus debitis blanditiis architecto aperiam. Repellat officia ducimus corrupti quas voluptas minima.,온라인
64,4,2024-03-09,닭고기,2등급,삼겹살,29965,3504,보통,여름,False,1388.44,18210,0.733,"Numquam cum ab. Itaque accusamus illo officiis.
Deserunt quod consectetur voluptas deleniti repudiandae. Aliquid quos quaerat culpa ex.",온라인
65,3,2024-06-29,돼지고기,1등급,갈비,10523,2865,높음,여름,False,1276.11,9275,0.905,Qui impedit nobis dignissimos. Impedit ratione dolorem sed vel.,온라인
66,49,2025-03-26,양고기,1등급,삼겹살,15475,2776,낮음,봄,False,1325.68,30386,0.719,Quaerat inventore rerum error autem. Molestias reiciendis vitae aspernatur dolore.,온라인
67,36,2025-03-13,돼지고기,3등급,목살,9115,1678,낮음,여름,False,1313.81,16775,0.842,Atque incidunt eveniet excepturi molestias saepe. Quibusdam cum nesciunt ducimus autem doloribus excepturi. Cupiditate illum odio quam cupiditate.,온라인
68,42,2024-01-30,양고기,2등급,등심,30289,4437,보통,봄,False,1219.49,16976,0.809,"Dolorem quasi temporibus. Quo autem fugit id.
Repellat inventore laboriosam deleniti dolor dicta non. Ea numquam perferendis.",오프라인
69,29,2023-09-17,돼지고기,1등급,뒷다리,31654,889,높음,여름,True,1123.08,29073,0.941,"Rem repudiandae quasi.
Aperiam saepe reprehenderit sed facere. Accusantium sequi tempora. Aut perferendis adipisci porro.",오프라인
70,33,2023-08-24,오리고기,1등급,목살,24819,2610,낮음,여름,False,1148.74,8833,0.759,Velit adipisci dolorum accusantium perferendis saepe. Praesentium blanditiis sequi aut harum recusandae nam repudiandae.,모바일
71,13,2023-06-07,소고기,1등급,삼겹살,13815,3030,낮음,봄,False,1172.14,11816,0.765,"Sapiente iure quia dolore fuga. Rerum fugit excepturi.
Ab doloribus veniam error impedit. Inventore amet nihil facere.",온라인
72,39,2023-09-04,돼지고기,1등급,갈비,31126,3673,높음,봄,False,1350.4,20425,0.779,"Animi molestias nesciunt quae unde voluptates.
Commodi sed debitis sed enim eligendi eum. Esse dolor ad quidem aliquam quibusdam.",온라인
73,18,2023-12-23,소고기,3등급,뒷다리,32654,4537,낮음,가을,False,1216.75,9133,0.9,Dignissimos fugit ipsa sequi. Veniam laudantium natus.,모바일
74,46,2024-06-26,닭고기,3등급,앞다리,17103,376,보통,겨울,False,1368.96,11647,0.875,Optio dignissimos laudantium ab fugit voluptatum. Repudiandae quibusdam cum corrupti. Voluptas ratione vel aperiam voluptatibus.,모바일
75,12,2023-12-15,오리고기,3등급,앞다리,18572,2037,높음,겨울,False,1199.52,21952,0.884,Maiores totam non pariatur nam atque similique. Animi hic qui odit dolores ut.,모바일
76,25,2025-02-12,돼지고기,2등급,앞다리,34698,1071,낮음,여름,False,1326.68,9875,0.78,Ipsam facilis deserunt nulla animi. Odit repellendus porro laboriosam placeat. Impedit tempora eius minima labore consequuntur.,모바일
77,36,2023-12-22,소고기,2등급,뒷다리,23377,4793,낮음,여름,False,1141.99,14713,0.768,Excepturi laboriosam quos ipsa omnis eos. Facilis suscipit repellat quis animi laudantium.,오프라인
78,19,2025-05-29,닭고기,1등급,등심,26495,4384,보통,여름,False,1396.54,27649,0.719,Optio quia dolore doloremque eligendi rerum tenetur. Quos pariatur sequi laboriosam reprehenderit. Quos ipsa eaque repellendus suscipit.,온라인
79,22,2025-05-12,돼지고기,3등급,목살,8653,1400,보통,가을,False,1317.25,14210,0.751,Quas fugit impedit amet error voluptatem numquam. Omnis placeat impedit ea quos.,모바일
80,33,2024-01-21,소고기,3등급,안심,30600,3161,높음,가을,False,1250.24,18634,0.895,Porro minus nam non inventore fuga ratione. Odio error asperiores et consectetur laudantium. Officiis distinctio saepe dolore.,모바일
81,31,2025-01-11,양고기,특등급,뒷다리,23353,769,높음,가을,False,1392.3,18959,0.846,Aliquam illo tempora expedita provident pariatur quia. Unde amet facilis corporis voluptate.,온라인
82,19,2023-10-26,오리고기,특등급,삼겹살,13596,1885,낮음,가을,False,1116.11,11251,0.739,"Assumenda iure quaerat deleniti omnis voluptate. Nihil facere fuga non dolores dolores ratione.
Atque eaque ea nobis unde doloribus maxime numquam.",오프라인
83,4,2024-07-22,양고기,등외급,삼겹살,16066,1377,높음,가을,False,1231.13,26272,0.741,"Nihil inventore quas animi. Iure numquam ad maiores facere minus. Ullam quas temporibus.
Delectus cumque aut.",모바일
84,12,2024-05-22,닭고기,등외급,삼겹살,10222,4275,높음,겨울,False,1351.6,25541,0.817,Ut maiores quam maiores natus. Exercitationem error similique veniam labore ipsa.,오프라인
85,26,2023-11-13,오리고기,1등급,앞다리,18790,1527,높음,봄,False,1202.18,18211,0.802,Aspernatur aliquam sequi a vel aspernatur.,모바일
86,1,2024-05-28,닭고기,1등급,안심,9620,1434,낮음,가을,False,1330.7,27845,0.834,In veniam totam magni doloribus occaecati accusantium exercitationem. Veniam consequuntur illum at eos dolorum expedita. Totam earum dolores.,온라인
87,31,2025-01-03,오리고기,3등급,삼겹살,30405,2965,높음,겨울,False,1386.46,32219,0.941,"Enim eligendi dolorem odio sapiente. Quod magni dolor laudantium fugiat sed suscipit.
Minus neque a at corporis soluta.",모바일
88,29,2025-04-09,돼지고기,3등급,앞다리,27947,4011,보통,봄,False,1219.01,8604,0.752,"Aspernatur optio laboriosam tempora sit rerum.
Incidunt minima alias. Maxime necessitatibus aperiam quas neque nemo. Optio in aperiam expedita.",온라인
89,23,2023-08-19,양고기,특등급,안심,17453,2195,높음,겨울,False,1332.07,15518,0.777,Perspiciatis iure provident ducimus. Laboriosam quia itaque mollitia nostrum ab esse. Quasi occaecati atque aspernatur dicta repudiandae quasi.,모바일
90,9,2024-02-07,소고기,1등급,앞다리,27111,542,보통,여름,False,1108.89,28458,0.766,Doloribus placeat architecto natus porro. Necessitatibus facilis animi doloremque in eum delectus. Perferendis saepe nisi modi accusamus magnam sunt.,오프라인
91,4,2025-04-02,돼지고기,등외급,목살,10505,3380,낮음,가을,False,1182.0,15003,0.73,Quod nisi dicta cum voluptatem blanditiis. Minima eveniet nam iure laborum at.,오프라인
92,3,2023-07-19,오리고기,3등급,뒷다리,28389,4628,낮음,가을,False,1397.78,28962,0.739,Maxime doloremque necessitatibus corrupti id nesciunt. Fuga occaecati dolorum amet. Aperiam possimus expedita accusantium veritatis doloribus.,모바일
93,18,2024-09-17,오리고기,2등급,안심,24925,1209,보통,가을,False,1247.18,28925,0.872,Aliquam vero pariatur commodi. Voluptatum sit eos aliquid provident error.,모바일
94,18,2024-01-06,소고기,1등급,목살,17440,1880,보통,가을,False,1206.74,32584,0.907,Libero nobis aliquid. Nam possimus officiis.,모바일
95,44,2023-09-23,소고기,등외급,뒷다리,23206,671,높음,가을,False,1382.34,9764,0.874,Cupiditate eaque rem aperiam. Dolores expedita explicabo quod possimus alias dignissimos. Dolorum debitis dolor hic.,온라인
96,43,2023-11-07,오리고기,3등급,앞다리,13774,1025,보통,여름,False,1229.55,26882,0.71,"Cum tempore magnam voluptatum repellat est. Laudantium doloribus et voluptatibus commodi.
Quasi cum unde quidem.",오프라인
97,36,2023-12-26,돼지고기,특등급,안심,17815,3289,높음,여름,False,1303.91,20556,0.909,Sed labore tenetur inventore sint. Delectus nostrum maiores iste.,온라인
98,11,2023-09-25,닭고기,1등급,앞다리,18479,4942,높음,가을,False,1298.2,20383,0.782,Aut tempore totam laborum quis. Eveniet omnis fugiat esse culpa libero quisquam.,오프라인
99,15,2024-01-19,돼지고기,특등급,삼겹살,25538,380,높음,여름,False,1125.71,26719,0.723,Facilis illum voluptates ducimus ipsam. Ducimus corporis vitae earum dignissimos ipsam nulla.,모바일
100,1,2025-05-03,소고기,등외급,뒷다리,24354,4558,높음,겨울,False,1285.58,11286,0.762,"Nisi mollitia ipsam voluptate autem.
Voluptatibus mollitia sapiente sequi laboriosam. Maxime sunt quis quibusdam.",모바일
101,4,2024-03-08,소고기,2등급,뒷다리,22978,2714,보통,여름,False,1339.42,15713,0.789,Perferendis illum fugiat itaque voluptate nihil sed. Porro ab velit optio. Nisi ducimus laudantium.,온라인
102,6,2024-12-13,닭고기,3등급,갈비,16991,3259,높음,여름,False,1313.93,14184,0.828,Libero quo saepe pariatur ex officiis. Pariatur culpa soluta dolor repudiandae molestias soluta.,모바일
103,6,2024-02-12,양고기,1등급,목살,26050,2037,높음,가을,False,1124.61,16113,0.869,Similique minus porro iusto. Magnam ipsam repudiandae maxime ad. Vel aliquam deserunt inventore maiores amet rerum.,온라인
104,49,2023-11-29,돼지고기,등외급,등심,23994,2105,높음,가을,False,1146.27,34324,0.765,Mollitia labore harum quasi repudiandae numquam iure. Maiores error amet est atque earum. Architecto cum aut tempora.,온라인
105,45,2024-02-19,돼지고기,등외급,등심,31874,589,높음,겨울,False,1313.5,14198,0.948,Nesciunt doloribus eaque totam at dolores placeat ipsum. Recusandae officiis esse. Occaecati natus impedit quod.,오프라인
106,22,2025-04-23,소고기,2등급,삼겹살,11404,1268,높음,봄,False,1290.17,23267,0.708,Dolorum temporibus animi iure. Deleniti aliquid quia maiores id dignissimos nesciunt. Consequuntur adipisci asperiores optio.,모바일
107,5,2024-03-17,오리고기,1등급,삼겹살,9411,3183,보통,여름,False,1321.9,30937,0.801,Voluptates accusamus enim aliquid distinctio deserunt aspernatur. Sint facere quisquam neque. Nesciunt nesciunt ipsam soluta iste suscipit.,모바일
108,9,2024-07-16,소고기,1등급,뒷다리,22197,689,낮음,겨울,False,1195.0,23936,0.813,Ducimus nemo tempore ipsum quo eligendi. Nam accusamus consequatur reiciendis voluptate tempora quia adipisci.,모바일
109,21,2024-12-27,돼지고기,등외급,목살,26235,188,보통,봄,False,1131.97,31103,0.887,Aliquam commodi quod repellendus delectus reprehenderit libero eos. Nisi architecto alias laborum eum est ad.,온라인
110,40,2024-07-09,돼지고기,3등급,안심,32076,4685,낮음,겨울,False,1101.56,16091,0.762,Consectetur aliquam sit voluptatum neque quaerat ab ipsam. Maxime quasi ipsa quam deleniti corrupti aliquid.,모바일
111,27,2025-01-12,닭고기,특등급,안심,33758,3208,낮음,가을,False,1192.48,20282,0.816,Nam rem fugit natus accusamus. Sapiente quas maxime accusantium tempore.,온라인
112,23,2023-10-29,돼지고기,등외급,목살,8575,639,낮음,겨울,False,1207.98,22836,0.901,"Illum iusto vero praesentium tempora deserunt. Exercitationem facilis veniam sequi aut.
Vitae dignissimos nisi ex. Soluta aliquam ipsa doloribus.",온라인
113,22,2023-10-21,양고기,특등급,등심,22045,2934,보통,봄,False,1180.93,30791,0.735,Necessitatibus doloremque corrupti repellat modi officiis quasi. Nemo quas exercitationem quae. Animi provident minus accusamus eius fugit.,오프라인
114,30,2024-02-09,돼지고기,2등급,삼겹살,21829,2143,높음,가을,False,1139.75,33646,0.703,Nulla perferendis officiis ad placeat veritatis ea corrupti. Sequi natus eos aliquam mollitia iste.,오프라인
115,19,2025-04-19,오리고기,2등급,앞다리,29547,4387,보통,가을,False,1156.22,33180,0.908,Cumque corrupti deserunt. Suscipit veritatis adipisci repellendus reprehenderit.,온라인
116,47,2024-11-26,소고기,등외급,갈비,11199,1460,보통,봄,False,1234.65,13375,0.946,"Omnis minus mollitia quaerat odio.
Libero natus eos quas deserunt velit nobis. Quasi ea cupiditate dolorem laudantium unde libero.",모바일
117,50,2023-12-09,소고기,2등급,등심,24556,260,높음,봄,False,1266.42,14828,0.733,Doloremque tempore adipisci occaecati et. Vitae est provident.,온라인
118,6,2023-10-18,양고기,3등급,뒷다리,13786,1260,낮음,겨울,False,1222.41,34878,0.906,Nobis beatae ea soluta ullam est ullam quae. Mollitia quaerat iusto voluptatibus illum.,온라인
119,47,2023-07-02,오리고기,1등급,목살,9724,4914,높음,봄,False,1107.88,20741,0.793,Sequi quam eaque voluptas tempore ratione. Rem beatae doloribus accusantium.,모바일
120,47,2024-01-01,닭고기,등외급,등심,29510,318,높음,가을,False,1206.17,26784,0.858,Officiis unde adipisci. Tempora dolor doloremque ducimus explicabo mollitia at. Molestiae totam aperiam magnam commodi dolor.,온라인
121,47,2025-01-12,양고기,특등급,앞다리,25852,4130,낮음,겨울,False,1127.92,17450,0.861,Animi dolorum ipsam culpa eum labore commodi. Pariatur libero at vero in. Incidunt molestias dolor aperiam iste.,오프라인
122,39,2024-06-23,소고기,3등급,목살,13871,2322,보통,가을,False,1279.41,14727,0.846,Magnam dolores quam odio. Tenetur ratione alias maiores.,모바일
123,43,2024-03-13,소고기,1등급,안심,31903,3020,낮음,여름,False,1197.33,24688,0.765,Delectus dolorum quisquam tempora quos vitae. Consequuntur dignissimos eum fuga.,모바일
124,49,2024-01-25,오리고기,등외급,목살,9544,2343,낮음,가을,False,1215.57,28174,0.903,Quae deleniti assumenda temporibus nostrum quidem iste. Debitis voluptatibus quam adipisci.,오프라인
125,9,2024-06-16,소고기,3등급,앞다리,24175,1590,낮음,여름,False,1187.55,10929,0.705,Maiores tenetur error. Exercitationem totam eveniet eaque beatae possimus veniam non.,온라인
126,18,2024-07-12,오리고기,1등급,등심,31734,1911,낮음,겨울,False,1216.34,11576,0.716,"Dignissimos vitae sunt nam quo voluptas.
A distinctio minima. Ut quaerat voluptate iste. Suscipit tempora dolor et numquam nostrum a dignissimos.",모바일
127,47,2023-07-17,소고기,1등급,안심,16070,4490,낮음,여름,False,1125.41,17627,0.926,Consectetur molestias illo totam rem assumenda labore. Sequi cum recusandae beatae animi dolore asperiores in.,모바일
128,39,2024-03-12,돼지고기,2등급,등심,9208,4707,높음,가을,False,1370.34,10134,0.811,Deleniti accusamus necessitatibus tempore natus rerum. Commodi officiis rerum quis numquam corrupti. Nemo velit amet accusantium culpa.,온라인
129,14,2023-08-07,오리고기,특등급,앞다리,21558,2544,높음,봄,False,1371.56,28782,0.732,"Debitis natus voluptatum animi. Corrupti ipsum aperiam necessitatibus.
Totam aperiam occaecati. Earum ut iure sequi pariatur sit. Nihil quo labore.",온라인
130,5,2023-06-26,양고기,특등급,삼겹살,15208,2184,낮음,봄,False,1393.45,28530,0.926,Maxime officia hic beatae veritatis laudantium. Repudiandae iste in sit quas quos unde. Ratione quas corrupti velit nemo repudiandae pariatur.,온라인
131,1,2024-10-26,돼지고기,2등급,안심,23276,3652,보통,겨울,False,1271.59,11614,0.907,Reiciendis provident labore modi. Odio similique quo libero maxime excepturi. Veritatis culpa delectus laudantium eum consequuntur quo.,온라인
132,23,2025-01-18,양고기,1등급,안심,11378,1592,보통,가을,False,1150.87,24667,0.783,Minus adipisci autem voluptates vel cum. Assumenda quis nesciunt eligendi laudantium. Sequi vel error ipsam.,온라인
