setting_id,owner,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference
145,145,7,False,True,친구만,111
146,146,18,False,True,비공개,80
147,147,7,False,False,공개,63
148,148,10,True,True,비공개,119
149,149,10,True,True,친구만,128
150,150,12,False,True,비공개,174
151,151,18,False,True,친구만,84
152,152,3,False,True,비공개,102
153,153,6,False,True,공개,38
154,154,14,True,True,친구만,162
155,155,12,True,False,비공개,42
156,156,7,True,True,비공개,144
157,157,10,True,True,비공개,173
158,158,12,True,False,공개,113
159,159,7,True,True,친구만,67
160,160,6,True,True,비공개,52
161,161,18,True,True,공개,172
162,162,11,True,True,친구만,45
163,163,3,True,True,공개,62
164,164,10,False,True,공개,118
165,165,11,True,True,비공개,38
166,166,7,True,True,친구만,107
167,167,8,True,True,공개,98
168,168,11,False,True,친구만,144
169,169,19,True,True,공개,79
170,170,13,True,True,비공개,95
171,171,2,False,True,비공개,161
172,172,2,True,True,비공개,70
173,173,1,False,True,친구만,33
174,174,14,False,True,친구만,68
175,175,9,True,True,비공개,146
176,176,14,True,True,친구만,31
177,177,2,False,True,친구만,144
178,178,18,False,True,공개,171
179,179,7,True,True,친구만,105
180,180,15,False,True,친구만,100
181,181,12,True,True,친구만,110
182,182,11,True,True,비공개,95
183,183,11,True,False,비공개,35
184,184,18,True,True,비공개,166
185,185,4,True,True,친구만,59
186,186,11,False,True,공개,115
187,187,11,True,True,친구만,144
188,188,12,True,False,공개,102
189,189,7,True,True,비공개,122
190,190,17,False,True,공개,62
191,191,10,False,True,비공개,90
192,192,19,True,True,비공개,117
193,193,18,True,True,공개,101
194,194,20,True,True,친구만,68
195,195,15,False,True,공개,89
196,196,15,True,True,친구만,99
197,197,17,True,True,비공개,47
198,198,15,True,False,친구만,116
199,199,19,True,True,공개,102
200,200,13,False,False,공개,45
201,201,18,True,True,친구만,48
202,202,1,True,True,친구만,144
203,203,11,True,False,비공개,132
204,204,4,False,True,친구만,170
205,205,1,True,True,공개,159
206,206,12,True,True,비공개,75
207,207,1,False,True,비공개,135
208,208,16,True,True,비공개,43
209,209,13,True,True,비공개,87
210,210,2,False,True,비공개,110
211,211,15,True,True,친구만,109
212,212,17,True,True,공개,91
213,213,3,False,True,비공개,166
214,214,4,True,True,비공개,80
215,215,15,False,True,비공개,55
216,216,14,False,True,친구만,172
217,217,15,True,True,비공개,130
218,218,6,True,True,비공개,46
219,219,11,True,True,공개,53
220,220,16,False,True,친구만,165
221,221,6,True,True,비공개,41
222,222,11,True,True,공개,103
223,223,18,False,True,공개,162
224,224,1,False,True,공개,94
225,225,7,True,True,친구만,98
226,226,12,False,True,공개,83
227,227,7,True,True,공개,128
228,228,9,False,True,공개,155
229,229,1,True,True,친구만,74
230,230,15,True,True,공개,111
231,231,15,False,True,비공개,138
232,232,6,True,True,친구만,34
233,233,4,False,True,비공개,122
234,234,4,True,True,비공개,171
235,235,16,False,True,친구만,142
236,236,17,False,True,비공개,118
237,237,14,True,True,공개,167
238,238,3,True,True,친구만,140
239,239,20,True,True,공개,174
240,240,10,True,True,공개,37
241,241,2,True,True,친구만,131
242,242,7,False,True,친구만,129
243,243,2,True,True,공개,107
244,244,3,True,True,공개,135
245,245,5,True,True,공개,114
246,246,17,True,True,친구만,147
247,247,13,True,True,공개,38
248,248,2,False,True,공개,176
249,249,7,False,True,친구만,130
250,250,2,True,True,공개,146
251,251,2,True,True,비공개,169
252,252,18,True,True,비공개,145
253,253,6,False,True,공개,160
254,254,3,True,True,친구만,171
255,255,12,True,True,공개,37
256,256,9,False,True,비공개,157
257,257,1,True,True,공개,110
258,258,3,True,True,친구만,101
259,259,7,True,True,비공개,76
260,260,17,False,True,친구만,153
261,261,9,True,True,공개,117
262,262,12,False,True,비공개,163
263,263,20,True,True,친구만,159
264,264,19,False,True,공개,54
265,265,9,True,True,친구만,90
266,266,11,True,True,비공개,45
267,267,11,False,True,친구만,60
268,268,9,True,True,친구만,44
269,269,3,False,True,친구만,167
270,270,12,True,True,공개,118
271,271,13,True,False,공개,112
272,272,12,False,True,공개,144
273,273,16,False,True,비공개,116
274,274,15,False,True,친구만,105
275,275,3,True,True,공개,78
276,276,20,False,False,친구만,173
277,277,14,True,True,친구만,163
278,278,10,False,True,친구만,161
279,279,19,True,False,친구만,38
280,280,18,False,True,비공개,130
281,281,1,True,True,친구만,77
282,282,20,False,True,공개,158
283,283,7,True,True,공개,172
284,284,20,True,True,친구만,127
285,285,13,False,False,비공개,52
286,286,5,True,True,공개,143
287,287,5,False,True,친구만,96
288,288,7,True,True,공개,49
289,289,13,False,True,비공개,80
290,290,19,True,True,친구만,108
291,291,20,True,True,공개,103
292,292,20,True,True,비공개,143
293,293,18,False,True,친구만,157
294,294,13,False,False,친구만,36
295,295,20,True,True,비공개,151
296,296,14,True,True,공개,55
297,297,14,False,True,친구만,159
298,298,10,False,True,친구만,37
299,299,8,False,False,친구만,62
300,300,14,False,True,친구만,36
