result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated
301,182,MMPI,2025-05-11,108,54,INFP,매우높음,False,True
15,37,MBTI,2024-07-26,49,66,INFP,높음,True,True
157,88,NEO-PI-R,2025-01-04,81,90,ISFJ,보통,True,True
41,176,MBTI,2025-02-07,58,63,ESTP,낮음,True,True
367,53,NEO-PI-R,2025-02-24,71,57,ISFP,매우높음,False,True
324,7,MMPI,2024-06-18,93,77,ENFP,낮음,True,True
217,89,Big5,2024-11-28,45,82,None,보통,True,True
280,162,Big5,2025-02-14,119,107,INTJ,낮음,True,False
347,72,Big5,2024-08-12,55,60,ISFJ,높음,True,True
237,104,NEO-PI-R,2025-03-21,22,138,ESTP,보통,True,True
208,33,NEO-PI-R,2025-03-26,26,117,INFP,높음,True,True
213,33,CPI,2024-12-28,65,64,ISFP,매우높음,True,True
296,89,MBTI,2025-05-02,95,136,None,보통,False,False
365,157,NEO-PI-R,2024-12-13,109,69,ESTP,매우높음,True,True
252,102,Big5,2025-01-11,57,74,ENFP,낮음,True,False
391,125,MMPI,2025-04-30,24,116,ISFP,매우높음,True,True
366,58,MMPI,2025-01-16,99,125,ISFJ,높음,False,True
304,66,Big5,2025-04-13,97,113,ENTP,보통,True,False
270,130,MMPI,2024-07-18,107,53,ENTJ,매우높음,True,True
202,50,Big5,2024-08-13,100,106,ENTP,높음,True,True
162,81,NEO-PI-R,2024-10-15,33,99,INFP,높음,True,True
44,25,Big5,2024-12-06,104,111,ISFP,매우높음,True,True
218,164,MMPI,2025-05-18,35,79,ENTP,낮음,True,True
191,157,CPI,2024-08-09,106,135,INFP,매우높음,True,False
310,89,NEO-PI-R,2024-11-08,53,63,INFP,낮음,True,False
260,3,NEO-PI-R,2025-06-01,106,76,ESTP,낮음,True,True
106,97,CPI,2025-02-26,97,76,ESTP,보통,True,True
54,18,NEO-PI-R,2024-09-22,100,112,None,매우높음,True,True
2,31,MMPI,2025-03-28,25,100,ENFP,매우높음,True,True
50,32,Big5,2024-10-21,50,109,ENTJ,높음,True,True
81,118,MBTI,2025-05-30,117,131,ESTP,높음,True,True
206,77,NEO-PI-R,2024-06-18,32,119,None,낮음,True,True
35,122,NEO-PI-R,2024-10-20,39,56,None,높음,True,False
264,18,NEO-PI-R,2024-10-03,86,96,ISFJ,낮음,True,True
92,135,MBTI,2025-04-13,107,77,INTJ,보통,True,True
340,159,CPI,2025-05-08,61,140,INTJ,낮음,True,True
53,169,CPI,2024-06-04,84,85,ENFP,매우높음,True,True
346,152,NEO-PI-R,2025-03-27,38,115,ENTP,낮음,True,True
265,54,CPI,2024-08-11,109,74,ESTP,보통,True,True
242,137,CPI,2024-12-14,71,71,ENTP,매우높음,True,True
14,143,MMPI,2025-03-07,70,137,ENTJ,낮음,True,True
316,3,MMPI,2025-04-27,97,50,INTJ,보통,True,True
89,117,MMPI,2024-09-07,31,54,INFP,매우높음,True,True
274,84,NEO-PI-R,2024-10-07,63,87,ENTJ,매우높음,True,True
167,18,CPI,2025-05-11,48,56,ENTP,낮음,True,True
329,144,MBTI,2024-06-01,100,79,ISFJ,매우높음,True,True
394,16,CPI,2024-12-03,74,77,ISFP,매우높음,True,False
135,81,MBTI,2024-10-12,116,137,None,보통,True,True
307,160,MMPI,2025-02-19,69,69,INFP,보통,True,True
384,17,MMPI,2024-07-24,32,125,ENFP,매우높음,True,True
320,153,NEO-PI-R,2024-06-12,61,124,ENTP,낮음,True,True
244,105,MBTI,2025-03-04,94,130,ISFP,높음,True,True
55,106,NEO-PI-R,2024-08-31,75,62,ISFP,낮음,True,True
51,76,MBTI,2024-10-25,81,53,INFP,매우높음,False,True
175,27,MMPI,2024-12-24,22,108,INTJ,높음,False,True
190,65,Big5,2025-03-21,87,106,ENTP,매우높음,True,True
398,175,CPI,2025-03-20,64,81,ENFP,높음,True,True
188,19,NEO-PI-R,2024-11-25,74,92,INFP,높음,False,False
170,176,CPI,2025-05-13,28,104,INTJ,매우높음,False,True
59,50,CPI,2025-05-30,48,117,None,낮음,True,True
49,158,CPI,2024-06-13,32,145,ENTJ,높음,True,True
345,108,MBTI,2025-03-26,101,55,INTJ,높음,False,True
236,37,Big5,2025-04-27,36,94,ISFJ,보통,True,True
253,169,NEO-PI-R,2025-04-11,59,124,None,높음,True,True
22,5,MMPI,2024-12-20,90,85,ENTP,보통,True,True
314,164,NEO-PI-R,2024-12-29,102,51,INTJ,낮음,False,True
161,115,MMPI,2025-04-10,65,97,INFP,매우높음,False,True
277,46,NEO-PI-R,2024-11-17,90,92,ENFP,낮음,True,True
192,132,MBTI,2024-11-07,112,76,ISFP,높음,True,True
294,119,Big5,2024-09-26,20,68,ENTJ,보통,True,True
344,97,CPI,2024-08-15,32,122,INTJ,낮음,True,True
258,6,MBTI,2024-12-03,19,103,ENTJ,낮음,True,True
309,104,MBTI,2024-11-04,60,52,None,보통,True,True
150,30,NEO-PI-R,2024-07-18,23,118,ENFP,높음,False,True
131,131,MBTI,2025-05-13,63,121,INTJ,높음,True,True
152,108,NEO-PI-R,2025-01-31,95,143,ESTP,매우높음,True,True
360,127,NEO-PI-R,2025-05-23,53,66,INFP,매우높음,True,True
100,83,Big5,2024-09-20,37,117,ENFP,낮음,True,True
373,48,NEO-PI-R,2024-10-28,77,141,ISFJ,높음,True,True
88,189,MBTI,2025-02-27,102,149,ENTP,낮음,True,True
331,94,MMPI,2025-03-10,91,53,None,보통,True,False
215,200,Big5,2025-06-01,33,82,ISFJ,낮음,True,True
122,145,MBTI,2024-12-14,19,115,None,높음,True,False
400,161,CPI,2024-12-19,87,57,INTJ,보통,True,True
21,178,Big5,2025-01-09,106,110,INTJ,보통,True,True
189,90,MBTI,2024-10-28,95,78,ENTP,매우높음,True,True
72,140,MMPI,2024-07-11,85,110,None,높음,True,True
107,33,Big5,2024-09-27,111,68,INFP,낮음,True,True
271,80,Big5,2025-05-12,59,141,ISFP,낮음,True,True
349,116,NEO-PI-R,2025-05-01,96,131,None,매우높음,False,True
103,55,Big5,2025-01-29,76,50,ISFP,높음,True,True
